name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
TotalAssets,"275,271,000","267,798,000","247,140,000","238,003,000","192,606,000","185,837,000","119,954,000","142,589,000","75,888,000","64,628,000","44,421,000","38,092,000","48,402,000","34,798,000","31,199,000","32,015,121","22,203,444","16,706,669"
TotalLiabilitiesNetMinorityInterest,"343,168,000","336,986,000","322,824,000","265,504,000","228,911,000","224,241,000","169,386,000","159,775,000","105,876,000","95,635,000","72,271,000","68,640,000","80,253,000","60,001,000","57,720,000","58,699,236","59,568,582","57,839,617"
TotalEquityGrossMinorityInterest,"-67,897,000","-69,188,000","-75,684,000","-27,501,000","-36,305,000","-38,404,000","-49,432,000","-17,186,000","-29,988,000","-31,007,000","-27,850,000","-30,548,000","-31,851,000","-25,203,000","-26,521,000","-26,684,115","-37,365,138","-41,132,948"
	StockholdersEquity,"-10,447,000","-14,020,000","-18,860,000","3,419,000","-2,349,000","-4,876,000","-12,135,000","1,188,000","-7,714,000","-9,007,000","-8,196,000","76,418,000","76,777,000","82,595,000","82,953,000","81,838,380","-37,365,138","-41,132,948"
		CapitalStock,"370,000","370,000","369,000","367,000","367,000","367,000","366,000","365,000","362,000","362,000","362,000","362,000","362,000","362,000","362,000","362,800",,
			CommonStock,"370,000","370,000","369,000","367,000","367,000","367,000","366,000","365,000","362,000","362,000","362,000","362,000","362,000","362,000","362,000","362,800",,
		AdditionalPaidInCapital,"52,589,000","46,281,000","41,820,000","36,579,000","32,292,000","29,371,000","24,601,000","21,348,000","15,891,000","14,442,000","13,792,000","85,221,000","86,483,000","88,811,000","89,259,000","89,033,692",,
		RetainedEarnings,"-63,406,000","-60,671,000","-61,049,000","-33,527,000","-35,008,000","-34,614,000","-37,102,000","-20,525,000","-23,967,000","-23,811,000","-22,350,000","-9,165,000","-10,068,000","-6,578,000","-6,668,000","-7,558,112",,
	MinorityInterest,"-57,450,000","-55,168,000","-56,824,000","-30,920,000","-33,956,000","-33,528,000","-37,297,000","-18,374,000","-22,274,000","-22,000,000","-19,654,000","-106,966,000","-108,628,000","-107,798,000","-109,474,000","-108,522,495",,
TotalCapitalization,"106,720,000","104,341,000","100,695,000","79,958,000","76,125,000","74,532,000","68,197,000","82,460,000","36,669,000","33,154,000","35,159,000","120,972,000","122,028,000","128,542,000","129,597,000","129,842,414","10,714,595","7,023,392"
CommonStockEquity,"-10,447,000","-14,020,000","-18,860,000","3,419,000","-2,349,000","-4,876,000","-12,135,000","1,188,000","-7,714,000","-9,007,000","-8,196,000","76,418,000","76,777,000","82,595,000","82,953,000","81,838,380","-37,365,138","-41,132,948"
CapitalLeaseObligations,"57,997,000","52,228,000","51,600,000","52,909,000","36,668,000","36,136,000",,,,,,,,,,,,
NetTangibleAssets,"-13,846,000","-16,818,000","-21,116,000","1,663,000","-2,988,000","-5,425,000","-12,689,000","697,000","-8,189,000","-9,452,000","-8,638,000","76,005,000","76,511,000","82,347,000","82,700,000","81,597,094","-37,601,016","-41,349,416"
InvestedCapital,"111,720,000","108,716,000","104,445,000","84,958,000","80,125,000","78,032,000","71,197,000","84,960,000","38,669,000","37,154,000","38,659,000","123,972,000","124,778,000","131,042,000","131,847,000","130,342,414","11,214,595","7,523,392"
TangibleBookValue,"-13,846,000","-16,818,000","-21,116,000","1,663,000","-2,988,000","-5,425,000","-12,689,000","697,000","-8,189,000","-9,452,000","-8,638,000","76,005,000","76,511,000","82,347,000","82,700,000","81,597,094","-37,601,016","-41,349,416"
TotalDebt,"180,164,000","174,964,000","174,905,000","134,448,000","119,142,000","119,044,000","83,332,000","83,772,000","46,383,000","46,161,000","46,855,000","47,554,000","48,001,000","48,447,000","48,894,000","48,504,034","48,579,733","48,656,340"
NetDebt,"100,980,000","94,210,000","97,793,000","46,564,000","51,677,000","57,995,000","63,375,000","29,454,000","35,552,000","31,824,000","36,035,000","39,127,000","29,584,000","29,812,000","30,827,000","29,565,579","42,247,817","43,708,669"
ShareIssued,"20,321,000","20,198,005","19,786,000","19,209,000","18,448,000","18,303,649","17,499,000","17,084,000","16,032,000","15,238,079","15,173,000","15,013,000","14,522,000","13,799,630","13,533,000","13,533,267","12,253,767","12,253,767"
OrdinarySharesNumber,"20,321,000","20,198,005","19,786,000","19,209,000","18,448,000","18,303,649","17,499,000","17,084,000","16,032,000","15,238,079","15,173,000","15,013,000","14,522,000","13,799,630","13,533,000","13,533,267","12,253,767","12,253,767"
