name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
OperatingCashFlow,"-128,415,939","-30,742,480","-22,529,566","-28,779,893","-46,364,000","-34,903,644","-32,636,957","-19,887,813","-9,931,375","-7,822,804","-12,734,541","-12,326,879","-6,041,568","-5,768,689","-4,428,239","-9,748,221","-2,996,053","-4,581,620","-10,379,685","-8,543,659","-6,702,895","-13,036,302","-5,696,481","-4,093,053","-5,850,305","-3,394,324","-4,045,194","-1,353,880","-1,327,523","-1,493,635","-1,608,726","-963,231","-1,338,310","-556,321","-497,458","-730,923","-558,442","-945,805","-490,285","-517,228","-264,066","-929,702","-1,064,137","-1,682,093","-1,976,946","-1,155,717","-1,027,506","-1,148,622","-542,207","-533,179","-1,242,975","-22","-21","-21","-36,397","-3,239","0","12,051"
	CashFlowFromContinuingOperatingActivities,"-128,415,939","-30,742,480","-22,529,566","-28,779,893","-46,364,000","-34,903,644","-32,636,957","-19,887,813","-9,931,375","-7,822,804","-12,734,541","-12,326,879","-6,041,568","-5,768,689","-4,428,239","-9,748,221","-2,996,053","-4,581,620","-10,379,685","-8,543,659","-6,702,895","-13,036,302","-5,696,481","-4,093,053","-5,850,305","-3,394,324","-4,045,194","-1,353,880","-1,327,523","-1,493,635","-1,608,726","-963,231","-1,338,310","-556,321","-497,458","-730,923","-558,442","-945,805","-490,285","-517,228","-264,066","-929,702","-1,064,137","-1,682,093","-1,976,946","-1,155,717","-1,027,506","-1,148,622","-542,207","-533,179","-1,242,975","-22","-21","-21","-36,397","-3,239","0","12,051"
		NetIncomeFromContinuingOperations,"-302,892,577","-22,054,535","-156,103,541","-81,115,414","-43,619,087","-120,506,771","280,482,439","-84,130,722","-131,331,909","4,756,691","655,132","5,302,526","-36,856,313","-6,264,172","-17,689,660","-5,485,553","-6,909,297","-6,417,806","-12,451,337","-12,667,588","-9,199,700","-7,920,606","-6,977,167","-5,262,859","-2,935,830","-4,380,012","-3,752,453","-1,733,749","-1,881,292","-2,059,359","-1,647,780","-1,787,865","-1,965,932","-1,207,103","-1,319,279","-1,045,164","-2,162,404","-1,583,707",,"-1,283,345","-672,027",,,,,,"-1,952,637","-1,055,484","-1,126,333","-893,652","-1,478,464","-8,622","-18,461","-19,376","-20,767","-2,789","0","-920"
		OperatingGainsLosses,,,"0","0","0","-1,411,000","-318,361,944","0","21,321,690","-9,145,000","-7,201,772","-12,771,388","31,138,714","568,066","-1,156,056",,,,,,,,,,,,,,,,"0",,"0","0","0","0",,"0","2","14,452","0","0",,"0","0","0","0","0","680","7,863",,,,,,,,
			GainLossOnSaleOfBusiness,"-3,655,000"
			GainLossOnSaleOfPPE,"19,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,"-318,361,944","0","21,321,690","-9,145,000","-3,566,139","-12,771,388","31,138,714","568,066","-1,156,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,917,259","319,984","566,071","554,502","476,702","311,144","235,358","205,915","196,611","171,761","97,114","97,501","97,099","96,687","96,453","99,361","104,166","48,359","134,810","146,135","125,886","143,142","95,507","96,290","96,557","93,469","89,452","93,972","93,972","93,830","93,430","91,590","101,492","101,494","101,494","101,491","101,493","15,171","15,171","15,573","16,682","16,203","15,476","14,639","16,180","11,742","11,742","10,145","9,885","8,961",,,,,,,,
			DepreciationAndAmortization,"1,917,259","319,984","566,071","554,502","476,702","311,144","235,358","205,915","196,611","171,761","97,114","97,501","97,099","96,687","96,453","99,361","104,166","48,359","134,810","146,135","125,886","143,142","95,507","96,290","96,557","93,469","89,452","93,972","93,972","93,830","93,430","91,590","101,492","101,494","101,494","101,491","101,493","15,171","15,171","15,573","16,682","16,203","15,476","14,639","16,180","11,742","11,742","10,145","9,885","8,961",,,,,,,,
				Depreciation,"1,917,259","319,984","566,071","554,502","476,702","311,144","235,358","205,915","196,611","171,761","97,114","97,501","97,099","96,687","96,453","99,361","104,166","48,359","134,810","146,135","125,886","143,142","95,507","96,290","96,557","93,469","89,452","93,972","93,972","93,830","93,430","91,590","101,492","101,494","101,494","101,491","101,493","15,171","15,171","15,573","16,682","16,203","15,476","14,639","16,180","11,742","11,742","10,145","9,885","8,961",,,,,,,,
