name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011
TotalRevenue,"370,389,000","88,582,000","92,404,000","92,827,000","96,576,000","81,661,000","83,268,000","79,521,000","77,249,000","72,652,000","71,500,000","61,950,000","66,300,000","52,252,000","53,280,000","46,986,000","43,575,000","35,963,000","37,687,000","41,334,000","30,887,000","21,048,000","13,808,000","5,177,000","5,520,000","445,000","446,000","445,000","445,000","1,445,405","445,405","445,405","445,405","405,403","405,408","405,407","405,407","405,405","405,405","523,191","758,755","758,754","758,753","640,972"
	OperatingRevenue,"370,389,000","88,582,000","92,404,000","92,827,000","96,576,000","81,661,000","83,268,000","79,521,000","77,249,000","72,652,000","71,500,000","61,950,000","66,300,000","52,252,000","53,280,000","46,986,000","43,575,000","35,963,000","37,687,000","41,334,000","30,887,000","21,048,000","13,808,000","5,177,000","5,520,000","445,000","446,000","445,000","445,000","1,445,405","445,405","445,405","445,405","405,403","405,408","405,407","405,407","405,405","405,405","523,191","758,755","758,754","758,753","640,972"
CostOfRevenue,"3,048,000","758,000","1,014,000","658,000","618,000","810,000","767,000","1,826,000","1,877,000","852,000","2,474,000","487,000","677,000","574,000","1,007,000","519,000","713,000","280,000","823,000","172,000","279,000","97,000","0","0","0","0","0",,"0",,,,,,,,,,,"0",,,"0","0"
GrossProfit,"367,341,000","87,824,000","91,390,000","92,169,000","95,958,000","80,851,000","82,501,000","77,695,000","75,372,000","71,800,000","69,026,000","61,463,000","65,623,000","51,678,000","52,273,000","46,467,000","42,862,000","35,683,000","36,864,000","41,162,000","30,608,000","20,951,000","13,808,000","5,177,000","5,520,000","445,000","447,000",,"445,000",,,,,,,,,,,"523,191",,,"758,753","640,972"
OperatingExpense,"404,186,000","98,096,000","112,256,000","98,387,000","95,447,000","110,037,000","121,854,000","119,477,000","127,402,000","155,245,000","158,316,000","136,996,000","129,282,000","135,623,000","134,244,000","104,753,000","112,639,000","111,139,000","141,833,000","107,333,000","111,117,000","104,914,000","127,815,000","88,213,000","83,615,000","127,845,000","89,337,000","52,229,000","49,269,000","41,103,450","35,576,993","36,516,926","22,874,093","31,580,810","14,312,737","11,507,723","8,023,476","7,229,410","6,969,648","4,309,372","5,961,886","4,118,787","5,198,437","3,666,338"
	SellingGeneralAndAdministration,"221,591,000","50,007,000","60,590,000","53,339,000","57,655,000","59,271,000","69,956,000","70,619,000","93,360,000","98,558,000","93,680,000","76,828,000","69,683,000","77,227,000","70,971,000","56,812,000","65,224,000","62,467,000","84,335,000","61,356,000","66,925,000","61,082,000","96,514,000","44,375,000","42,275,000","90,432,000","44,891,000","24,742,000","20,974,000","13,137,816","11,859,299","9,135,968","7,954,903","5,651,127","4,729,385","3,115,095","2,890,505","2,396,854","2,183,008","991,062","943,857","1,059,202","1,035,343","1,154,090"
	ResearchAndDevelopment,"182,595,000","48,089,000","51,666,000","45,048,000","37,792,000","50,766,000","51,898,000","48,858,000","34,042,000","56,687,000","64,636,000","60,168,000","59,599,000","58,396,000","63,273,000","47,941,000","47,415,000","48,672,000","57,498,000","45,977,000","44,192,000","43,832,000","31,301,000","43,838,000","41,340,000","37,413,000","44,446,000","27,487,000","28,295,000","27,965,634","23,717,694","27,380,958","14,919,190","25,929,683","9,583,352","8,392,628","5,132,971","4,832,556","4,786,640","3,318,310","5,018,029","3,059,585","4,163,094","2,512,248"
OperatingIncome,"-36,845,000","-10,272,000","-20,866,000","-6,218,000","511,000","-29,186,000","-39,353,000","-41,782,000","-52,030,000","-83,445,000","-89,290,000","-75,533,000","-63,659,000","-83,945,000","-81,971,000","-58,286,000","-69,777,000","-75,456,000","-104,969,000","-66,171,000","-80,509,000","-83,963,000","-114,007,000","-83,036,000","-78,095,000","-127,400,000","-88,891,000","-51,784,000","-48,824,000","-39,658,045","-35,131,588","-36,071,521","-22,428,688","-31,175,407","-13,907,329","-11,102,316","-7,618,069","-6,824,005","-6,564,243","-3,786,181","-5,203,131","-3,360,033","-4,439,684","-3,025,366"
NetNonOperatingInterestIncomeExpense,"-48,673,000","-6,673,000","-15,316,000","-14,095,000","-12,589,000","-12,419,000","-12,253,000","-12,091,000","-11,933,000","-11,777,000","-11,626,000","-11,795,000","-9,884,000","-7,839,000","-7,754,000","-7,671,000","-7,589,000","-7,509,000","-7,431,000","-7,354,000","-7,279,000","-7,207,000","-7,131,000","-7,065,000","0","0","0",,"0",,,,,,,,,,,"16,883",,,"17,593","10,098"
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,883",,,"19,204","12,987"
	InterestExpenseNonOperating,"46,129,000","6,673,000","14,762,000","13,461,000","11,904,000","12,419,000","12,253,000","12,091,000","11,933,000","11,777,000","11,626,000","11,795,000","9,884,000","7,839,000","7,754,000","7,671,000","7,589,000","7,509,000","7,431,000","7,354,000","7,279,000","7,207,000","7,131,000","7,065,000","0","0","0",,"0",,,,,,,,,,,"0",,,"1,611","2,889"
	TotalOtherFinanceCost,,,"554,000","634,000","685,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
