name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,12/31/2009
TotalAssets,"1,936,666,000","2,006,970,000","2,034,155,000","1,245,781,000","1,252,888,000","413,980,000","300,318,000","213,648,000","234,764,000","147,985,000","146,110,000","170,582,000","185,577,000","170,275,000","182,906,000","137,058,000","156,949,000","144,084,000","157,904,000","177,905,000","135,508,000","137,884,000","150,635,000","161,371,000","140,175,000","131,107,000","99,777,000","96,770,000","106,421,000","124,523,000","121,642,000","128,241,000","141,040,000","136,185,000","152,800,000","134,277,000","139,774,000","129,683,000","148,208,000","169,930,000","194,738,000","218,316,000","237,961,000","261,220,000","278,558,000","305,747,000","129,936,000","152,897,000","101,098,000"
	CurrentAssets,"1,029,188,000","1,101,134,000","1,129,805,000","1,189,136,000","1,195,952,000","355,587,000","239,508,000","150,939,000","169,530,000","81,046,000","76,941,000","98,909,000","112,588,000","131,659,000","143,873,000","96,412,000","115,699,000","101,619,000","113,611,000","132,932,000","88,340,000","109,011,000","122,467,000","138,055,000","119,053,000","110,541,000","86,207,000","90,189,000","99,522,000","117,760,000","114,137,000","119,898,000","132,062,000","126,459,000","141,763,000","122,114,000","126,481,000","115,000,000","132,338,000","152,643,000","176,806,000","199,601,000","220,283,000","244,728,000","264,270,000","293,114,000","117,286,000","140,007,000","93,745,000"
		CashCashEquivalentsAndShortTermInvestments,"962,775,000","1,044,400,000","1,079,890,000","1,144,373,000","1,160,319,000","318,814,000","208,550,000","119,963,000","142,591,000","49,099,000","49,204,000","66,844,000","82,872,000","102,354,000","115,747,000","63,491,000","79,260,000","62,872,000","83,965,000","102,596,000","56,050,000","71,978,000","87,333,000","102,470,000","91,531,000","82,270,000","58,909,000","72,674,000","79,149,000","101,348,000","99,312,000","105,034,000","118,736,000","112,528,000","126,936,000","106,968,000","112,305,000","100,580,000","119,402,000","137,108,000","161,349,000","177,434,000","193,696,000","216,588,000","248,548,000","283,674,000","112,932,000","138,756,000","92,735,000"
			CashAndCashEquivalents,"428,574,000","460,725,000","425,388,000","459,794,000","932,398,000","81,611,000","69,028,000","43,342,000","68,862,000","29,627,000","33,084,000","30,358,000","38,205,000","18,844,000","38,063,000","23,058,000","25,458,000","16,507,000","25,931,000","36,478,000","28,982,000","16,765,000","22,794,000","24,778,000","20,080,000","33,629,000","27,208,000","25,930,000","30,271,000","36,449,000","35,411,000","28,200,000","41,261,000","26,362,000","64,767,000","40,833,000","53,038,000","46,540,000","32,558,000","33,623,000","56,260,000","58,865,000","57,580,000","54,514,000","84,615,000","147,650,000","62,717,000","90,144,000","89,232,000"
				CashFinancial,"227,251,000","327,316,000","364,020,000","263,433,000","906,453,000","43,040,000","41,784,000","33,294,000","32,529,000","18,644,000","18,505,000","17,124,000","29,329,000","18,844,000","27,386,000","16,438,000","19,725,000","14,858,000","22,283,000","17,160,000","27,183,000","14,516,000","10,850,000","22,444,000","12,031,000","22,034,000","15,259,000","18,882,000","9,799,000","21,952,000","16,513,000","11,703,000","19,885,000","12,963,000","45,571,000","20,037,000","17,995,000","11,847,000",,,,,,,,,,,
				CashEquivalents,"201,323,000","133,409,000","61,368,000","196,361,000","25,945,000","38,571,000","27,244,000","10,048,000","36,333,000","10,983,000","14,579,000","13,234,000","8,876,000",,"10,677,000","6,620,000","5,733,000","1,649,000","3,648,000","19,318,000","1,799,000","2,249,000","11,944,000","2,334,000","8,049,000","11,595,000","11,949,000","7,048,000","20,472,000","14,497,000","18,898,000","16,497,000","21,376,000","13,399,000","19,196,000","20,796,000","35,043,000","34,693,000",,,,,,,,,,,
			OtherShortTermInvestments,"534,201,000","583,675,000","654,502,000","684,579,000","227,921,000","237,203,000","139,522,000","76,621,000","73,729,000","19,472,000","16,120,000","36,486,000","44,667,000","83,510,000","77,684,000","40,433,000","53,802,000","46,365,000","58,034,000","66,118,000","27,068,000","55,213,000","64,539,000","77,692,000","71,451,000","48,641,000","31,701,000","46,744,000","48,878,000","64,899,000","63,901,000","76,834,000","77,475,000","86,166,000","62,169,000","66,135,000","59,267,000","54,040,000","86,844,000","103,485,000","105,089,000","118,569,000","136,116,000","162,074,000","163,933,000","136,024,000","50,215,000","48,612,000","3,503,000"
		Receivables,"27,852,000","24,241,000","23,946,000","19,936,000","12,906,000","16,837,000","11,806,000","11,346,000","7,325,000","15,266,000","9,966,000","12,123,000","7,279,000","8,595,000","6,404,000","7,446,000","8,452,000","13,433,000","8,897,000","9,525,000","10,441,000","16,421,000","11,761,000","10,427,000","8,009,000","15,245,000","4,164,000","3,950,000","5,287,000","3,406,000","2,370,000","4,255,000","3,383,000","2,746,000","3,814,000","4,104,000","2,009,000","2,822,000","532,000","3,371,000","1,505,000","4,557,000","4,434,000","5,437,000","59,000","341,000","1,052,000",,
			AccountsReceivable,"27,852,000","24,241,000","23,946,000","19,936,000","12,906,000","16,837,000","11,806,000","11,346,000","7,325,000","15,266,000","9,966,000","12,123,000","7,279,000","8,595,000","6,404,000","7,446,000","8,452,000","13,433,000","8,897,000","9,525,000","10,441,000","11,421,000","11,761,000","10,427,000","8,009,000","5,245,000","4,164,000","3,950,000","5,287,000","3,406,000","2,370,000","4,255,000","3,383,000","2,743,000","3,814,000","4,104,000","2,009,000","2,822,000","532,000","3,371,000","1,505,000","4,557,000","4,434,000","5,437,000","59,000","341,000","1,052,000",,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000",,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,"5,000,000",,,,"10,000,000",,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"29,625,000","24,599,000","18,276,000","17,985,000","16,268,000","14,230,000","15,940,000","16,768,000","16,124,000","13,312,000","15,067,000","17,404,000","19,650,000","17,878,000","19,694,000","23,440,000","25,930,000","23,065,000","18,201,000","17,266,000","15,348,000","15,634,000","16,473,000","14,201,000","12,162,000","10,955,000","11,621,000","11,978,000","13,457,000","11,335,000","11,398,000","9,440,000","8,301,000","10,050,000","9,819,000","10,283,000","10,597,000","9,592,000","10,202,000","10,271,000","11,821,000","15,517,000","20,262,000","19,552,000","13,539,000","6,864,000",,,
			RawMaterials,"11,530,000","7,993,000","5,511,000","5,253,000","4,458,000","3,531,000","5,198,000","5,289,000","4,464,000","3,966,000","5,193,000","7,988,000","6,253,000","6,222,000","7,557,000","6,877,000","7,356,000","8,884,000","7,042,000","6,803,000","5,573,000","4,817,000","4,458,000","4,348,000","4,633,000","4,041,000","3,003,000","1,081,000","2,064,000","3,150,000","2,553,000","2,567,000","2,644,000","3,019,000","3,152,000","2,953,000","3,250,000","3,823,000","4,332,000","4,649,000","4,415,000","5,273,000","5,743,000","7,054,000","5,871,000","4,051,000",,,
			WorkInProcess,"9,202,000","8,611,000","8,762,000","9,050,000","6,862,000","6,651,000","5,439,000","5,795,000","5,818,000","4,594,000","3,874,000","4,899,000","9,104,000","7,341,000","7,367,000","10,358,000","11,061,000","9,994,000","7,040,000","6,695,000","5,967,000","7,287,000","8,341,000","5,082,000","4,799,000","3,576,000","4,477,000","6,997,000","9,751,000","6,115,000","5,420,000","4,252,000","4,003,000","4,012,000","4,217,000","5,179,000","6,773,000","3,494,000","3,133,000","3,348,000","4,222,000","5,347,000","9,233,000","7,099,000","7,095,000","2,813,000",,,
			FinishedGoods,"8,893,000","7,995,000","4,003,000","3,682,000","4,948,000","4,048,000","5,303,000","5,684,000","5,842,000","4,752,000","6,000,000","4,517,000","4,293,000","4,315,000","4,770,000","6,205,000","7,513,000","4,187,000","4,119,000","3,768,000","3,808,000","3,530,000","3,674,000","4,771,000","2,730,000","3,338,000","4,141,000","3,900,000","1,642,000","2,070,000","3,425,000","2,621,000","1,654,000","3,019,000","2,450,000","2,151,000","574,000","2,275,000","2,737,000","2,274,000","3,184,000","4,897,000","5,286,000","5,399,000","573,000",,,,
		PrepaidAssets,"8,436,000","7,394,000","7,193,000","6,542,000","5,623,000","4,870,000","3,212,000","2,862,000","3,490,000","3,369,000","2,704,000","2,538,000","2,787,000","2,832,000","2,028,000","2,035,000","2,057,000","1,318,000","2,548,000","3,545,000","6,501,000","4,502,000","6,900,000","10,957,000","7,351,000","1,330,000","11,513,000","1,587,000","1,629,000","1,671,000","1,057,000","1,169,000","1,642,000","1,135,000","1,194,000","759,000","1,570,000","2,006,000","2,202,000","1,893,000","2,131,000","2,093,000","1,891,000","3,151,000","2,124,000","2,235,000","3,302,000","1,251,000","1,010,000"
		RestrictedCash,"500,000","500,000","500,000","300,000","836,000","836,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"931,000",,,,"476,000",,,,"741,000",,,,,,,,,,,,,"119,402,000","137,108,000","161,349,000",,,,,,,,
	TotalNonCurrentAssets,"907,478,000","905,836,000","904,350,000","56,645,000","56,936,000","58,393,000","60,810,000","62,709,000","65,234,000","66,939,000","69,169,000","71,673,000","72,989,000","38,616,000","39,033,000","40,646,000","41,250,000","42,465,000","44,293,000","44,973,000","47,168,000","28,873,000","28,168,000","23,316,000","21,122,000","20,566,000","13,570,000","6,581,000","6,899,000","6,763,000","7,505,000","8,343,000","8,978,000","9,726,000","11,037,000","12,163,000","13,293,000","14,683,000","15,870,000","17,287,000","17,932,000","18,715,000","17,678,000","16,492,000","14,288,000","12,633,000","12,650,000","12,890,000","7,353,000"
		NetPPE,"80,431,000","79,121,000","76,981,000","53,580,000","53,369,000","54,850,000","57,268,000","59,168,000","61,194,000","62,897,000","65,128,000","67,632,000","68,424,000","34,073,000","34,490,000","36,103,000","36,704,000","37,920,000","39,605,000","40,289,000","42,449,000","14,560,000","14,003,000","11,188,000","9,093,000","8,548,000","7,855,000","6,428,000","6,743,000","6,601,000","7,034,000","7,861,000","8,492,000","9,236,000","10,544,000","11,655,000","12,779,000","14,329,000","15,514,000","16,937,000","17,592,000","18,398,000","17,359,000","16,180,000","13,932,000","12,311,000","12,350,000","12,669,000","7,142,000"
			GrossPPE,"80,431,000","135,407,000","76,981,000","53,580,000","53,369,000","104,741,000","57,268,000","59,168,000","61,194,000","107,115,000","65,128,000","67,632,000","68,424,000","71,180,000",,,,"70,114,000","72,657,000","72,402,000","80,589,000","51,589,000",,,,"42,413,000",,,,"37,058,000",,,,"35,485,000",,,,"35,090,000",,,,"33,568,000",,,,"24,839,000",,"22,386,000","16,461,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0","0","0","0","0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"0","0"
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,"0",,"0","1,160,000","1,160,000",,,,"1,160,000",,,,"1,160,000",,,,"1,160,000",,,,"1,160,000",,,,"1,160,000",,,,"1,160,000",,"1,160,000","0"
				MachineryFurnitureEquipment,,"23,839,000",,,,"19,774,000",,,,"19,020,000",,,,"16,640,000",,,,"15,298,000","16,094,000","16,107,000","15,328,000","13,182,000",,,,"12,547,000",,,,"10,328,000",,,,"9,268,000",,,,"8,992,000",,,,"21,550,000",,,,"5,543,000",,"14,235,000","3,774,000"
				OtherProperties,"80,431,000","78,151,000","76,981,000","53,580,000","53,369,000","54,899,000","57,268,000","59,168,000","61,194,000","58,000,000","65,128,000","67,632,000","68,424,000","24,111,000",,,,"24,703,000","24,296,000","23,853,000","24,614,000","23,337,000",,,,"20,358,000",,,,"17,169,000",,,,"16,934,000",,,,"16,856,000",,,,,,,,"10,998,000",,,"10,307,000"
				ConstructionInProgress,,"2,303,000",,,,"137,000",,,,"193,000",,,,"608,000",,,,"385,000","1,073,000","1,272,000","1,378,000","5,772,000",,,,,,,,"53,000",,,,"12,000",,,,"47,000",,,,"3,222,000",,,,"8,000",,"0","619,000"
				Leases,,"31,114,000",,,,"29,931,000",,,,"29,902,000",,,,"29,821,000",,,,"29,728,000","31,194,000","31,170,000","38,109,000","8,138,000",,,,"8,348,000",,,,"8,348,000",,,,"8,111,000",,,,"8,035,000",,,,"7,636,000",,,,"7,130,000",,"6,991,000","1,761,000"
			AccumulatedDepreciation,,"-56,286,000",,,,"-49,891,000",,,,"-44,218,000",,,,"-37,107,000",,,,"-32,194,000","-33,052,000","-32,113,000","-38,140,000","-37,029,000",,,,"-33,865,000",,,,"-30,457,000",,,,"-26,249,000",,,,"-20,761,000",,,,"-15,170,000",,,,"-12,528,000",,"-9,717,000","-9,319,000"
		GoodwillAndOtherIntangibleAssets,"820,725,000","820,953,000","822,739,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Goodwill,"409,974,000","409,974,000","411,533,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"410,751,000","410,979,000","411,206,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,,,,,,,,,,,,,,,,,,"0",,,,"9,641,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"6,322,000","5,762,000","4,630,000","3,065,000","3,567,000","3,543,000","3,542,000","3,541,000","4,040,000","4,042,000","4,041,000","4,041,000","4,565,000","4,543,000","4,543,000","4,543,000","4,546,000","4,545,000","4,688,000","4,684,000","4,719,000","4,672,000","14,165,000","12,128,000","12,029,000","12,018,000","5,715,000","153,000","156,000","162,000","471,000","482,000","486,000","490,000","493,000","508,000","514,000","354,000","356,000","350,000","340,000","317,000","319,000","312,000","356,000","322,000","300,000","221,000","211,000"
