name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989
OperatingCashFlow,"11,500,000","4,100,000","26,400,000","-8,900,000","-10,100,000","3,300,000","59,200,000","75,000,000","12,300,000","12,000,000","28,400,000","17,000,000","500,000","35,900,000","30,700,000","40,800,000","-4,100,000","18,200,000","34,500,000","52,400,000","18,700,000","6,600,000","21,400,000","12,000,000","1,600,000","7,000,000","35,600,000","29,900,000","-100,000","19,400,000","20,500,000","21,100,000","2,500,000","17,800,000","37,700,000","33,100,000","15,900,000","7,400,000","14,638,000","21,987,000","4,775,000","27,455,000","15,147,000","17,155,000","-13,999,000","22,232,000","14,444,000","5,496,000","-21,360,000","12,034,000","31,001,000","10,885,000","7,984,000","13,252,000","40,008,000","25,138,000","15,118,000","21,556,000","31,555,000","15,488,000","-1,245,000","34,898,000","33,747,000","27,676,000","6,089,000","34,309,000","47,556,000","27,739,000","22,253,000","67,104,000","56,968,000","28,976,000","2,700,000","20,408,000","38,858,000","34,250,000","13,733,000","16,191,000","20,389,000","47,937,000","28,790,000","23,793,000","38,061,000","39,366,000","30,184,000","7,787,000","32,837,000","41,401,000","40,667,000","32,002,000","29,500,000","13,300,000","16,400,000","15,300,000","41,800,000","27,700,000","20,400,000","30,700,000","33,300,000","15,500,000","23,400,000","25,400,000","26,100,000","25,200,000","23,500,000","18,100,000","20,500,000","22,800,000","23,200,000","18,600,000","20,700,000","15,300,000","12,400,000","14,400,000","27,500,000","19,900,000","13,400,000","15,300,000","23,200,000","18,500,000","6,700,000","8,900,000","20,600,000","13,700,000","2,600,000","900,000","36,000,000","8,100,000","8,300,000","18,700,000","14,400,000","10,500,000","3,500,000"
	CashFlowFromContinuingOperatingActivities,"11,500,000","4,100,000","26,400,000","-8,900,000","-10,100,000","3,300,000","59,200,000","75,000,000","12,300,000","12,000,000","28,400,000","17,000,000","500,000","35,900,000","30,700,000","40,800,000","-4,100,000","18,200,000","34,500,000","52,400,000","18,700,000","6,600,000","21,400,000","12,000,000","1,600,000","7,000,000","35,600,000","29,900,000","-100,000","19,400,000","20,500,000","21,100,000","2,500,000","17,800,000","37,700,000","33,100,000","15,900,000","7,400,000","14,638,000","21,987,000","4,775,000","27,455,000","15,147,000","17,155,000","-13,999,000","22,232,000","14,444,000","5,496,000","-21,360,000","12,034,000","31,001,000","10,885,000","7,984,000","13,252,000","40,008,000","25,138,000","15,118,000","21,556,000","31,555,000","15,488,000","-1,245,000","34,898,000","33,747,000","27,676,000","6,089,000","-19,153,000","47,556,000","27,739,000","22,253,000","67,104,000","56,968,000","28,976,000","2,700,000","20,408,000","38,858,000","34,250,000","13,733,000","16,191,000","20,389,000","47,937,000","28,790,000","23,793,000","38,061,000","39,366,000","30,184,000","7,787,000","32,837,000","41,401,000","40,667,000","32,002,000","29,500,000","13,300,000","16,400,000","15,300,000","41,800,000","27,700,000","20,400,000","30,700,000","33,300,000","15,500,000","23,400,000","25,400,000","26,100,000","25,200,000","23,500,000","18,100,000","20,500,000","22,800,000","23,200,000","18,600,000","20,700,000","15,300,000","12,400,000","14,400,000","27,500,000","19,900,000","13,400,000","15,300,000","23,200,000","18,500,000","6,700,000","8,900,000","20,600,000","13,700,000","2,600,000","900,000","36,000,000","8,100,000","8,300,000","18,700,000","14,400,000","10,500,000","3,500,000"
		NetIncomeFromContinuingOperations,"86,300,000","8,500,000","74,400,000","600,000","2,800,000","-14,600,000","-195,400,000","8,900,000","-8,400,000","-6,400,000","1,000,000","-4,800,000","8,200,000","6,400,000","18,300,000","38,700,000","22,500,000","18,000,000","-27,900,000","16,300,000","17,400,000","8,100,000","1,900,000","-4,000,000","8,900,000","7,800,000","8,200,000","-22,500,000","5,500,000","-3,000,000","9,700,000","2,000,000","14,100,000","119,700,000","-3,400,000","5,000,000","10,600,000","-1,600,000","-8,369,000","-11,953,000","-878,000","16,284,000","8,406,000","998,000","13,116,000",,"5,990,000","-12,447,000","3,081,000",,"3,779,000","-6,457,000","-14,503,000","-47,116,000","-56,057,000","-13,226,000","7,787,000","-40,958,000","-47,350,000","10,062,000","12,650,000","-2,750,000","16,346,000","12,369,000","16,367,000","12,714,000","13,518,000","-39,342,000","20,751,000","14,855,000","18,946,000","14,052,000","13,809,000","12,528,000","12,318,000","4,305,000","11,286,000","-13,601,000","9,612,000","6,270,000","10,385,000","5,046,000","-51,251,000","59,332,000","10,218,000","4,516,000","6,109,000","19,018,000","17,962,000","14,603,000","16,200,000","15,100,000","19,500,000","17,400,000","17,300,000","19,100,000","20,100,000","18,200,000","17,900,000","18,200,000","18,200,000","16,400,000","15,400,000","15,600,000","16,400,000","13,800,000","14,900,000","16,700,000","16,000,000","19,400,000","17,400,000","16,800,000","14,800,000","11,000,000","10,600,000","11,600,000","9,900,000","8,800,000","7,600,000","8,800,000","8,500,000","7,600,000","6,500,000","7,400,000","6,500,000","2,000,000","14,600,000","7,200,000","6,700,000","7,000,000","6,700,000","5,200,000","6,300,000"
		OperatingGainsLosses,"6,600,000","0","0","0","6,600,000",,,,,"0",,,,"0","0",,,,,,,"0","900,000",,,"3,100,000","2,000,000",,,"3,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,"-2,135,000","-913,000","1,145,000","9,200,000","-14,297,000","-4,225,000","3,171,000","-3,444,000","-6,321,000","-119,000","-43,913,000","-736,000","53,166,000","2,425,000","-1,033,000","1,059,000","65,000","563,000",,,,,,,,,,,,,,,,,,,,"-3,100,000",,,,,,,,"5,200,000","-28,600,000","10,700,000","9,600,000","7,100,000","-24,700,000","5,600,000","6,100,000","7,200,000",,,,,,,,"3,500,000","-22,400,000",,,"-6,600,000",,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,"0","-800,000",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,"0","0",,,"-800,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,"800,000","900,000",,,"2,700,000","2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"54,800,000","14,400,000","13,800,000","13,100,000","13,500,000","14,400,000","16,300,000","19,300,000","18,600,000","19,300,000","19,500,000","19,400,000","18,900,000","19,300,000","19,100,000","19,100,000","19,400,000","19,900,000","19,000,000","19,300,000","18,500,000","18,400,000","14,500,000","12,900,000","12,500,000","12,800,000","12,700,000","12,300,000","12,400,000","12,300,000","12,800,000","13,200,000","13,300,000","13,100,000","13,300,000","15,600,000","16,100,000","14,000,000","13,611,000","14,140,000","14,049,000","14,322,000","14,214,000","14,202,000","14,952,000","13,999,000","14,168,000","13,747,000","14,578,000","16,141,000","16,549,000","16,727,000","16,349,000","17,459,000","17,170,000","19,118,000","19,587,000","22,506,000","20,022,000","19,198,000","19,225,000","18,716,000","17,423,000","17,680,000","17,285,000","18,938,000","17,008,000","18,517,000","17,628,000","18,334,000","17,303,000","16,897,000","15,960,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,800,000",,,,,,,,,,,,
			DepreciationAndAmortization,"54,800,000","14,400,000","13,800,000","13,100,000","13,500,000","14,400,000","16,300,000","19,300,000","18,600,000","19,300,000","19,500,000","19,400,000","18,900,000","19,300,000","19,100,000","19,100,000","19,400,000","19,900,000","19,000,000","19,300,000","18,500,000","18,400,000","14,500,000","12,900,000","12,500,000","12,800,000","12,700,000","12,300,000","12,400,000","12,300,000","12,800,000","13,200,000","13,300,000","13,100,000","13,300,000","15,600,000","16,100,000","14,000,000","13,611,000","14,140,000","14,049,000","14,322,000","14,214,000","14,202,000","14,952,000","13,999,000","14,168,000","13,747,000","14,578,000","16,141,000","16,549,000","16,727,000","16,349,000","17,459,000","17,170,000","19,118,000","19,587,000","22,506,000","20,022,000","19,198,000","19,225,000","18,716,000","17,423,000","17,680,000","17,285,000","18,938,000","17,008,000","18,517,000","17,628,000","18,334,000","17,303,000","16,897,000","15,960,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,800,000",,,,,,,,,,,,
		DeferredTax,"-3,800,000","900,000","-3,000,000","1,400,000","-3,100,000","-9,600,000","76,500,000","6,900,000","-5,900,000","800,000","700,000","0","-500,000","-1,500,000","3,500,000","-7,400,000","1,000,000","2,000,000","17,400,000","-3,200,000","-4,100,000","4,500,000","-3,500,000",,,"-4,400,000","300,000",,,,,,,,,,,,,,,,,,,,,,,"5,507,000",,,,"9,755,000",,,,"1,787,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
