name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
MarketCap,"7,091,157,839","8,735,485,350","11,243,802,570","15,177,551,110","13,955,735,400","11,442,956,800","14,025,213,620","10,756,664,480","10,582,651,350","5,840,807,000","5,673,066,000","5,173,860,810","5,348,897,506","3,875,763,379","2,079,854,350","2,321,875,727","3,468,056,410"
EnterpriseValue,"6,626,844,839","8,239,747,350","10,728,008,570","14,601,552,110","13,381,949,400","10,837,327,800","13,027,615,620","10,349,566,480","10,202,143,350","5,440,914,000","5,678,182,000","5,178,976,810","5,354,013,506","3,880,879,379","1,936,339,350","2,178,360,727","3,513,198,410"
PeRatio,,,,,,,,,,,,"71.585",,,,,
PsRatio,"9.339","12.281","17.063","24.855","24.705","21.587","28.138","22.753","24.648","14.308","14.743","14.273","17.068","7.933","8.198","9.738","15.363"
PbRatio,"6.843","8.51","10.859","13.731","12.905","10.594","13.148","21.505","22.225","12.595","12.23","11.443","32.237","35.598","17.013","16.338",
EnterprisesValueRevenueRatio,"8.837","40.286","54.975","80.597","79.152","70.555","89.995","80.932","87.582","48.822","52.758","52.565","58.643","45.674","24.99","31.331","55.144"
EnterprisesValueEBITDARatio,"-80.725","-419.454","-509.644","-642.957","-750.53","-591.88","-1,087.719","-1,230.334","-1,661.316","-504.957","-516.574","-647.777","-605.589","-727.438","-128.592","-107.51","-258.647"
