name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
OperatingCashFlow,"-1,034,200","-281,456","-247,594","-423,125","-82,043","-751,761"
	CashFlowFromContinuingOperatingActivities,"-1,034,200","-281,456","-247,593","-423,126","-82,043","-751,761"
		NetIncomeFromContinuingOperations,"5,224,801","6,082,039","-467,066","1,738,856","-2,129,046","3,322,648"
		OperatingGainsLosses,"-7,147,500","-5,900,000","147,500","-3,149,167","1,754,167","-3,488,274"
			GainLossOnInvestmentSecurities,"-7,147,500","-5,900,000","147,500","-3,149,167","1,754,167","-3,488,274"
		OtherNonCashItems,"-537,486","-466,139","-31,211","-23,671","-16,465","-18,447"
		ChangeInWorkingCapital,"1,425,985","2,644","103,183","1,010,857","309,301","-567,688"
			ChangeInPrepaidAssets,"406,371","96,781","99,894","106,615","103,081","-733,275"
			ChangeInPayablesAndAccruedExpense,"1,019,614","-94,137","718,758","188,773","206,220","165,587"
				ChangeInPayable,"-8,840","-13,840","0","-9,217","14,217","3,000"
					ChangeInTaxPayable,,"-13,840",,,,
						ChangeInIncomeTaxPayable,,"-13,840",,,,
				ChangeInAccruedExpense,"1,028,454","-80,297","718,758","197,990","192,003","162,587"
InvestingCashFlow,"0","0","0","0","0","-287,500,000"
	CashFlowFromContinuingInvestingActivities,"0","0","0","0","0","-287,500,000"
		NetOtherInvestingChanges,,,"0","0","0","-287,500,000"
FinancingCashFlow,"437,942","300,000","137,942","0","0","288,973,706"
	CashFlowFromContinuingFinancingActivities,"437,942","300,000","137,942","0","0","288,973,706"
		NetIssuancePaymentsOfDebt,"300,000","300,000","0","0","0","-112,500"
			NetLongTermDebtIssuance,"300,000","300,000","0","0","0","-112,500"
				LongTermDebtIssuance,,"300,000",,,,
				LongTermDebtPayments,"0","0","0","0","0","-112,500"
			NetShortTermDebtIssuance,,,,,,"-112,500"
				ShortTermDebtPayments,,,,,,"-112,500"
		NetCommonStockIssuance,"0","0","0","0","0","281,750,000"
			CommonStockIssuance,"0","0","0","0","0","281,750,000"
		ProceedsFromStockOptionExercised,"0","0","0","0","0","7,750,000"
		NetOtherFinancingCharges,,,"137,942","0","0","-413,794"
EndCashPosition,"125,669","125,669","107,125","216,777","639,902","721,945"
	ChangesInCash,"-596,258","18,544","-109,652","-423,125","-82,043","721,945"
	BeginningCashPosition,"721,927","107,125","216,777","639,902","721,945","0"
IssuanceOfCapitalStock,"0","0","0","0","0","281,750,000"
IssuanceOfDebt,,"300,000",,,,
RepaymentOfDebt,"0","0","0","0","0","-112,500"
FreeCashFlow,"-1,034,200","-281,456","-247,594","-423,125","-82,043","-751,761"
