name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020
TotalAssets,"1,465,024,000","1,451,189,000","1,387,245,000","192,373,691","74,280,767"
	CurrentAssets,"122,947,000","160,465,000","239,640,000","51,268,359","8,006,313"
		CashCashEquivalentsAndShortTermInvestments,"30,816,000","77,860,000","153,644,000","573,667","1,495,844"
			CashAndCashEquivalents,"30,816,000","77,860,000","153,644,000","573,667","1,495,844"
		Receivables,"37,812,000","37,010,000","30,244,000","2,004,199","1,828,344"
			AccountsReceivable,"37,812,000","37,010,000","30,244,000","1,780,813","1,780,110"
		Inventory,"10,565,000","9,164,000","9,285,000","8,416,000","7,770,000"
		PrepaidAssets,"34,897,000","21,225,000","29,311,000","12,961,258","1,387,125"
		RestrictedCash,"8,857,000","15,206,000","17,156,000","35,729,235",
		AssetsHeldForSaleCurrent,,,,"0","70,034,000"
		OtherCurrentAssets,,,,,"3,295,000"
	TotalNonCurrentAssets,"1,342,077,000","1,290,724,000","1,147,605,000","141,105,332","66,274,455"
		NetPPE,"398,945,000","350,583,000","281,610,000","129,755,279","52,368,402"
			GrossPPE,"411,775,000","358,218,000","284,067,000","130,673,514","52,405,585"
				OtherProperties,"314,861,000","303,179,000","168,730,000","56,792,492","390,708"
				ConstructionInProgress,"96,914,000","55,039,000","115,337,000","73,793,522","51,927,377"
				Leases,,,,"87,500","87,500"
			AccumulatedDepreciation,"-12,830,000","-7,635,000","-2,457,000","-918,235","-37,183"
		GoodwillAndOtherIntangibleAssets,"666,370,000","667,682,000","619,134,000","11,347,183","11,447,183"
			Goodwill,"29,137,000","29,211,000","27,011,000","2,754,438","2,754,438"
			OtherIntangibleAssets,"637,233,000","638,471,000","592,123,000","8,592,745","8,692,745"
		InvestmentsAndAdvances,"264,622,000","262,738,000","237,265,000","85,299,000","77,993,000"
			LongTermEquityInvestment,"264,622,000","262,738,000","237,265,000","85,299,000","77,993,000"
				InvestmentsinJointVenturesatCost,,,,"85,299,000","77,993,000"
		OtherNonCurrentAssets,"12,140,000","9,721,000","9,596,000","2,870","2,458,870"
TotalLiabilitiesNetMinorityInterest,"662,236,000","620,196,000","1,823,568,000","171,063,547","42,790,106"
	CurrentLiabilities,"92,905,000","68,753,000","33,763,000","29,810,721","24,417,111"
		PayablesAndAccruedExpenses,"75,179,000","52,764,000","25,217,000","16,353,356","21,392,042"
			Payables,"23,565,000","11,096,000","3,630,000","11,787,543","14,845,004"
				AccountsPayable,"23,565,000","11,096,000","3,630,000","11,787,543","14,845,004"
			CurrentAccruedExpenses,"51,614,000","41,668,000","21,587,000","4,565,813","6,547,038"
				InterestPayable,"759,000","738,000",,,"589,788"
		CurrentDebtAndCapitalLeaseObligation,"13,566,000","11,378,000","8,546,000","12,093,407","1,302,384"
			CurrentDebt,"12,606,000","11,378,000","8,546,000","12,093,407","1,302,384"
				LineOfCredit,,,,"7,056,583",
				OtherCurrentBorrowings,"12,606,000","11,378,000","8,546,000","5,036,824","1,302,384"
			CurrentCapitalLeaseObligation,"960,000",,,,
		CurrentDeferredLiabilities,"917,000","505,000",,"1,363,958","1,722,685"
			CurrentDeferredRevenue,"917,000","505,000",,"571,950","1,422,685"
		OtherCurrentLiabilities,"3,243,000","4,106,000",,,"12,534,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"569,331,000","551,443,000","1,789,805,000","141,252,826","18,372,995"
		LongTermProvisions,"4,745,000","4,677,000","3,904,000","309,413","305,865"
		LongTermDebtAndCapitalLeaseObligation,"331,681,000","331,396,000","329,254,000","134,514,571","14,773,024"
			LongTermDebt,"327,768,000","331,396,000","329,254,000","134,514,571","14,773,024"
			LongTermCapitalLeaseObligation,"3,913,000",,,,
		NonCurrentDeferredLiabilities,,,,"2,700,000","3,093,606"
		EmployeeBenefits,,,,"3,616,000","3,750,000"
			NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,"3,616,000","3,750,000"
		DerivativeProductLiabilities,"91,381,000","67,424,000","160,630,000","253,000","1,268,000"
		PreferredSecuritiesOutsideStockEquity,,"993,301,000","1,179,616,000",,
		OtherNonCurrentLiabilities,"141,524,000","147,946,000","116,401,000","3,728,842","200,500"
