name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996
TotalRevenue,"157,690,000","36,074,000","47,591,000","34,506,000","39,519,000","34,568,000","45,229,000","32,258,000","20,014,000","26,678,000","39,390,000","30,499,000","26,151,000","21,810,000","31,335,000","22,484,000","19,011,000","18,027,000","23,350,000","14,260,000","16,953,000","9,361,000","16,523,000","10,929,000","12,823,000","14,108,000","15,420,000","11,309,000","13,590,000","10,849,000","14,706,000","9,658,000","4,432,000","0","8,000","0","3,000","8,000","19,000","0","0","2,000","0","9,000","0","9,000","0","0","0","16,000","73,000","69,000","58,000","28,000","27,000","149,000","202,000","84,000","87,000","165,000","258,000","158,000","104,000","328,000","238,000","117,000","180,000","96,000","252,000","374,000","187,000","210,000","416,000","376,000","300,000","175,000","282,000","171,000","93,000","227,000","232,000","267,000","151,000","246,000","191,000","295,000","167,000","149,000","212,000","404,000","385,000","260,000","251,000","207,000","163,000","104,000","80,000","49,000","16,000","100,000","100,000","100,000","200,000"
	OperatingRevenue,"155,300,000","35,852,000","47,050,000","33,718,000","38,680,000","33,627,000","44,256,000","31,020,000","20,014,000","26,678,000","39,390,000","30,499,000","26,151,000","21,810,000","31,335,000","22,484,000","19,011,000","18,027,000","22,186,000","14,260,000","16,953,000","9,361,000","16,523,000","10,929,000","12,823,000","14,108,000","15,420,000","11,309,000","13,590,000","10,849,000","14,706,000","9,658,000","4,432,000","0","8,000","0","3,000","8,000","19,000","0","0","2,000","0","9,000","0","9,000","0","0","0","16,000","73,000","69,000","58,000","28,000","27,000","149,000","202,000","84,000","87,000","165,000","258,000","158,000","104,000","328,000","238,000","117,000","180,000","96,000","252,000","374,000","187,000","210,000","416,000","376,000","300,000","175,000","280,000","171,000","93,000","797,000","232,000","80,000","151,000","246,000","191,000","295,000","167,000","149,000","212,000","404,000","385,000","260,000","251,000","207,000","163,000","104,000","80,000","49,000","16,000","100,000","100,000","100,000","200,000"
CostOfRevenue,"51,198,000","12,622,000","13,559,000","12,408,000","12,609,000","11,583,000","11,582,000","9,787,000","8,660,000","9,922,000","10,585,000","9,324,000","9,022,000","8,640,000","8,629,000","8,138,000","7,727,000","7,666,000","8,389,000","7,186,000","7,670,000","7,109,000","7,591,000","6,856,000","7,300,000","6,560,000","7,229,000","6,772,000","6,901,000","5,568,000","6,752,000","5,532,000","5,009,000","0","1,000","0","1,000","2,000","4,000","0","0","2,000","0","2,000","0","2,000","0","0","0","2,000","32,000","65,000","25,000","18,000","4,000","25,000","30,000","1,000",,"12,000","14,000","3,000",,"0","2,000","4,000","5,000","8,000","86,000","39,000","15,000","5,000","5,000","5,000","265,000","316,000","207,000","282,000","88,000","56,000","40,000","66,000","40,000","0",,"13,000",,"-35,000","-115,000","21,000","1,230,000",,,,,,,,,"-100,000","-100,000","-100,000","-100,000"
GrossProfit,"106,492,000","23,452,000","34,032,000","22,098,000","26,910,000","22,985,000","33,647,000","22,471,000","11,354,000","16,756,000","28,805,000","21,175,000","17,129,000","13,170,000","22,706,000","14,346,000","11,284,000","10,361,000","14,961,000","7,074,000","9,283,000","2,252,000","8,932,000","4,073,000","5,523,000","7,548,000","8,191,000","4,537,000","6,689,000","5,281,000","7,954,000","4,126,000","-577,000","0","7,000","0","2,000","6,000","15,000","0","0","0","0","7,000","0","7,000","0","0","0","14,000","41,000","4,000","33,000","10,000","23,000","124,000","172,000","83,000",,"153,000","244,000","155,000",,"328,000","236,000","113,000","175,000","88,000","166,000","335,000","172,000","205,000","411,000","371,000","35,000","-141,000","75,000","-111,000","5,000","171,000","192,000","201,000","111,000","246,000",,"282,000",,"184,000","327,000","383,000","-845,000",,,,,,,,,"200,000","200,000","200,000","300,000"
OperatingExpense,"118,314,000","30,725,000","29,891,000","27,059,000","30,639,000","26,290,000","21,358,000","18,954,000","19,712,000","21,832,000","19,595,000","18,078,000","37,329,000","16,528,000","16,711,000","15,682,000","15,530,000","14,683,000","13,770,000","11,105,000","11,804,000","11,875,000","12,183,000","10,453,000","10,507,000","9,540,000","13,148,000","9,414,000","8,954,000","9,853,000","10,300,000","12,148,000","7,945,000","4,645,000","4,931,000","3,641,000","5,236,000","7,171,000","7,632,000","8,285,000","9,300,000","8,558,000","7,834,000","7,446,000","7,507,000","6,267,000","5,853,000","5,140,000","4,263,000","4,599,000","3,857,000","3,990,000","4,045,000","4,162,000","4,042,000","5,117,000","5,461,000","5,620,000","5,487,000","5,376,000","5,166,000","4,895,000","4,688,000","5,129,000","5,035,000","4,452,000","3,969,000","3,693,000","3,719,000","2,885,000","2,881,000","3,008,000","2,939,000","2,811,000","2,921,000","2,627,000","2,207,000","2,209,000","2,498,000","2,178,000","2,325,000","2,327,000","2,126,000","2,253,000","2,054,000","1,376,000","1,782,000","1,677,000","2,788,000","2,567,000","2,771,000","2,428,000","3,674,000","3,861,000","3,744,000","4,141,000","5,688,000","4,671,000","3,856,000","4,100,000","4,900,000","3,100,000","3,800,000"
	SellingGeneralAndAdministration,"100,797,000","25,865,000","25,967,000","22,775,000","26,190,000","22,660,000","18,240,000","16,041,000","16,486,000","18,069,000","16,378,000","14,982,000","16,259,000","13,520,000","13,693,000","12,569,000","11,791,000","10,954,000","10,183,000","8,186,000","8,833,000","8,408,000","7,925,000","7,010,000","6,449,000","6,004,000","5,744,000","5,674,000","5,585,000","5,476,000","4,507,000","4,313,000","3,581,000","1,374,000","1,616,000","1,066,000","1,560,000","1,633,000","1,619,000","2,138,000","2,231,000","1,762,000","1,930,000","1,696,000","2,203,000","1,895,000","1,686,000","1,521,000","1,418,000","1,316,000","946,000","1,041,000","1,260,000","1,333,000","1,316,000","1,668,000","1,429,000","1,725,000","1,614,000","1,896,000","2,070,000","2,332,000","2,384,000","2,390,000","2,438,000","2,257,000","2,016,000","1,745,000","1,624,000","1,289,000","1,314,000","1,190,000","1,279,000","1,356,000","1,565,000","1,148,000","854,000","902,000","1,113,000","792,000","886,000","931,000","919,000","710,000","599,000","411,000","762,000","768,000","737,000","698,000","1,161,000","820,000","669,000","696,000","651,000","640,000","722,000","883,000","613,000","600,000","500,000","400,000","500,000"
	ResearchAndDevelopment,"17,517,000","4,860,000","3,924,000","4,284,000","4,449,000","3,630,000","3,118,000","2,913,000","3,226,000","3,763,000","3,217,000","3,096,000","21,070,000","3,008,000","3,018,000","3,113,000","3,739,000","3,729,000","3,587,000","2,919,000","2,971,000","3,467,000","4,258,000","3,443,000","4,058,000","3,536,000","7,404,000","3,740,000","3,369,000","4,377,000","5,793,000","7,835,000","4,364,000","3,271,000","3,315,000","2,575,000","3,676,000","5,538,000","6,013,000","6,147,000","7,069,000","6,796,000","5,904,000","5,750,000","5,304,000","4,372,000","4,167,000","3,619,000","2,845,000","3,283,000","2,911,000","2,949,000","2,785,000","2,829,000","2,726,000","3,449,000","4,032,000","3,895,000","3,873,000","3,480,000","3,096,000","2,563,000","2,304,000","2,739,000","2,597,000","2,195,000","1,953,000","1,948,000","2,095,000","1,596,000","1,567,000","1,818,000","1,660,000","1,455,000","1,356,000","1,479,000","1,351,000","1,432,000","1,385,000","1,386,000","1,439,000","1,396,000","1,207,000","1,543,000","1,455,000","965,000","1,020,000","874,000","1,936,000","1,869,000","1,610,000","1,608,000","3,005,000","3,165,000","3,093,000","3,501,000","4,966,000","3,788,000","3,243,000","3,400,000","4,300,000","2,600,000","3,200,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,000","115,000",,,,,,,,,,,"100,000","100,000","100,000","100,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,000","115,000",,,,,,,,,,,"100,000","100,000","100,000","100,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000","-125,000",,,,,,,,,,,,,,,,,,,,,,,,,
