name,ttm,03/31/2022,12/31/2021,03/31/2021
OperatingCashFlow,"-46,489,000","-10,601,000","-39,845,766","-5,812,000"
	CashFlowFromContinuingOperatingActivities,"-46,489,000","-10,601,000","-39,845,766","-5,812,000"
		NetIncomeFromContinuingOperations,"-65,548,000","79,792,000","-146,423,928","-7,345,000"
		OperatingGainsLosses,,"-51,763,000","41,171,001",
			GainLossOnInvestmentSecurities,,"-51,763,000","41,171,001",
		DepreciationAmortizationDepletion,"800,000","213,000",,"168,000"
			DepreciationAndAmortization,"800,000","213,000",,"168,000"
				Depreciation,"455,000","125,000",,"80,000"
				AmortizationCashFlow,"345,000","88,000",,"88,000"
					AmortizationOfIntangibles,"345,000","88,000",,"88,000"
		StockBasedCompensation,"64,895,000","25,326,000",,"1,835,000"
		OtherNonCashItems,,"-63,517,000","38,079,922",
		ChangeInWorkingCapital,"-14,997,000","-652,000","-14,831,761","-470,000"
			ChangeInReceivables,"-5,828,000","-1,358,000",,"359,000"
				ChangesInAccountReceivables,"-5,828,000","-1,358,000",,"359,000"
			ChangeInInventory,"-8,071,000","-1,152,000",,"-1,655,000"
			ChangeInPrepaidAssets,"-2,665,000","-109,000","-2,164,306","201,000"
			ChangeInPayablesAndAccruedExpense,"559,000","817,000","153,545","619,000"
				ChangeInPayable,"559,000","817,000",,"619,000"
					ChangeInAccountPayable,"559,000","817,000",,"619,000"
			ChangeInOtherCurrentAssets,"1,220,000","1,391,000",,"6,000"
			ChangeInOtherCurrentLiabilities,,"-241,000",,"0"
InvestingCashFlow,"-5,468,000","-2,992,000",,"-990,000"
	CashFlowFromContinuingInvestingActivities,"-5,468,000","-2,992,000",,"-990,000"
		NetPPEPurchaseAndSale,"-2,050,000","-294,000",,"-312,000"
			PurchaseOfPPE,"-2,050,000","-294,000",,"-312,000"
		NetBusinessPurchaseAndSale,,"-2,704,000",,"0"
			PurchaseOfBusiness,,"-2,704,000",,"0"
		NetOtherInvestingChanges,"10,000","6,000",,"-678,000"
FinancingCashFlow,"273,465,000","-862,000","274,576,981","222,000"
	CashFlowFromContinuingFinancingActivities,"273,465,000","-862,000","274,576,981","222,000"
		NetIssuancePaymentsOfDebt,"95,000","-838,000","933,000","0"
			NetLongTermDebtIssuance,"95,000","-838,000","933,000","0"
				LongTermDebtIssuance,,,"2,000,000",
				LongTermDebtPayments,"-1,905,000","-838,000",,"0"
		NetCommonStockIssuance,"-33,000","-550,000","517,000","0"
			CommonStockIssuance,,,"517,000",
			CommonStockPayments,,"-550,000",,"0"
		ProceedsFromStockOptionExercised,,"526,000",,"222,000"
		NetOtherFinancingCharges,,,"273,126,981",
EndCashPosition,"253,800,000","253,797,000","268,252,000","32,292,000"
	ChangesInCash,"221,508,000","-14,455,000","231,265,215","-6,580,000"
	EffectOfExchangeRateChanges,"-3,000","0",,"3,000"
	BeginningCashPosition,"32,292,000","268,252,000","13,955","38,869,000"
IncomeTaxPaidSupplementalData,,"23,000",,"0"
InterestPaidSupplementalData,,"67,000",,"60,000"
CapitalExpenditure,"-2,050,000","-294,000",,"-312,000"
IssuanceOfCapitalStock,,,"517,000",
IssuanceOfDebt,,,"2,000,000",
RepaymentOfDebt,"-1,905,000","-838,000",,"0"
RepurchaseOfCapitalStock,,"-550,000",,"0"
FreeCashFlow,"-48,539,000","-10,895,000","-41,913,766","-6,124,000"
