name,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018
TotalAssets,"1,176,120,250","1,258,929,991","1,302,707,468","1,243,661,262","1,346,049,722","1,393,433,493","1,280,897,701","1,335,702,205"
TotalLiabilitiesNetMinorityInterest,"343,584,172","363,715,606","368,551,283","373,918,244","387,771,861","412,876,702","387,586,184","399,475,133"
TotalEquityGrossMinorityInterest,"832,536,078","895,214,385","934,156,185","869,743,018","958,277,861","980,556,791","893,311,517","936,227,072"
	StockholdersEquity,"832,536,078","895,214,385","934,156,185","869,743,018","958,277,861","980,556,791","893,311,517","936,227,072"
		CapitalStock,"60,746","60,746","60,746","60,746","60,746","60,746","60,746","60,746"
			CommonStock,"60,746","60,746","60,746","60,746","60,746","60,746","60,746","60,746"
		AdditionalPaidInCapital,"1,038,898,373","1,065,861,198","1,065,861,198","1,099,968,768","1,099,968,768","1,110,765,020","1,110,765,020","1,118,571,236"
		RetainedEarnings,"-206,423,041","-170,707,559","-131,765,759","-230,286,496","-141,751,653","-130,268,975","-217,514,249","-5,561,331"
TotalCapitalization,"1,172,520,141","1,235,729,698","1,295,827,496","1,218,921,003","1,339,698,274","1,376,715,713","1,273,335,251","1,323,129,847"
CommonStockEquity,"832,536,078","895,214,385","934,156,185","869,743,018","958,277,861","980,556,791","893,311,517","936,227,072"
NetTangibleAssets,"832,536,078","895,214,385","934,156,185","869,743,018","958,277,861","980,556,791","893,311,517","936,227,072"
InvestedCapital,"1,172,520,141","1,235,729,698","1,295,827,496","1,218,921,003","1,339,698,274","1,376,715,713","1,273,335,251","1,323,129,847"
TangibleBookValue,"832,536,078","895,214,385","934,156,185","869,743,018","958,277,861","980,556,791","893,311,517","936,227,072"
TotalDebt,"339,984,063","340,515,313","361,671,311","349,177,985","381,420,413","396,158,922","380,023,734","386,902,775"
NetDebt,"339,724,063","338,260,571","361,671,311","349,107,985","381,420,396","395,830,518","374,913,491","380,007,990"
ShareIssued,"60,746,012","60,746,012","60,746,012","60,746,012","60,746,012","60,746,012","60,746,012","60,746,012"
OrdinarySharesNumber,"60,746,012","60,746,012","60,746,012","60,746,012","60,746,012","60,746,012","60,746,012","60,746,012"
