name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996
TotalAssets,"7,878,000,000","7,801,000,000","7,999,000,000","7,525,000,000","7,520,824,000","7,490,140,000","7,783,597,000","7,586,972,000","7,700,773,000","7,682,426,000","7,963,519,000","7,180,965,000","7,327,221,000","7,398,284,000","8,587,613,000","2,964,472,000","3,078,846,000","3,049,680,000","3,046,312,000","2,886,563,000","2,920,587,000","2,870,003,000","2,943,041,000","2,852,155,000","2,645,932,000","2,487,018,000","2,650,185,000","2,550,190,000","2,558,321,000","2,510,890,000","2,510,066,000","2,297,233,000","2,037,900,000","1,950,981,000","1,961,915,000","1,729,908,000","1,751,455,000","1,680,106,000","1,671,724,000","1,493,946,000","1,582,477,000","1,546,823,000","1,580,597,000","1,400,988,000","1,451,944,000","1,393,662,000","1,250,799,000","1,167,530,000","1,101,848,000","1,125,941,000","1,058,550,000","1,120,882,000","1,123,928,000","1,161,549,000","1,084,483,000","1,084,610,000","1,064,629,000","884,764,000","800,898,000","777,593,000","752,423,000","754,075,000","700,595,000","697,126,000","724,601,000","706,286,000","651,258,000","613,696,000","570,262,000","548,556,000","508,767,000","510,308,000","468,439,000","456,463,000","430,099,000","435,265,000","426,405,000","393,736,000","354,457,000","363,297,000","349,227,000","326,893,000","300,444,000","310,132,000","294,069,000","286,242,000","270,234,000","272,328,000","278,600,000","264,600,000","237,900,000","253,900,000","248,400,000","244,300,000","212,200,000","212,300,000","180,300,000","176,300,000","111,000,000","113,000,000","98,700,000","105,200,000"
	CurrentAssets,"3,980,000,000","3,864,000,000","4,019,000,000","3,550,000,000","3,585,797,000","3,648,691,000","3,940,494,000","3,704,917,000","3,723,472,000","3,619,453,000","3,850,007,000","3,567,921,000","3,635,103,000","3,666,665,000","4,490,041,000","1,788,914,000","1,894,761,000","1,857,172,000","1,838,942,000","1,662,670,000","1,694,963,000","1,638,398,000","1,704,558,000","1,611,190,000","1,563,592,000","1,503,495,000","1,659,605,000","1,553,742,000","1,575,869,000","1,555,115,000","1,572,282,000","1,378,290,000","1,340,158,000","1,266,885,000","1,305,972,000","1,115,218,000","1,159,847,000","1,096,383,000","1,113,152,000","946,861,000","1,038,079,000","999,052,000","1,030,652,000","844,492,000","896,043,000","843,091,000","716,065,000","692,632,000","634,748,000","657,099,000","592,631,000","651,961,000","656,881,000","695,470,000","627,700,000","642,014,000","630,906,000","591,767,000","515,160,000","510,581,000","499,756,000","500,124,000","449,760,000","447,221,000","476,634,000","452,117,000","402,894,000","394,203,000","377,277,000","370,276,000","331,371,000","334,977,000","299,196,000","292,100,000","265,469,000","269,949,000","261,461,000","252,433,000","237,095,000","246,935,000","234,340,000","231,193,000","208,563,000","218,337,000","204,013,000","203,050,000","189,195,000","196,533,000","208,600,000","193,300,000","166,600,000","180,000,000","170,800,000","166,600,000","146,200,000","147,400,000","136,600,000","133,100,000","80,500,000","82,600,000","67,200,000","73,500,000"
		CashCashEquivalentsAndShortTermInvestments,"48,000,000","45,000,000","46,000,000","41,000,000","39,495,000","40,496,000","49,046,000","46,993,000","56,425,000","40,064,000","39,758,000","42,350,000","37,861,000","49,515,000","53,910,000","23,315,000","21,758,000","25,401,000","21,155,000","15,414,000","16,119,000","30,658,000","13,556,000","18,593,000","19,327,000","12,482,000","12,293,000","17,380,000","23,940,000","27,474,000","17,564,000","16,116,000","16,577,000","14,575,000","9,357,000","11,111,000","13,876,000","8,085,000","8,939,000","16,122,000","14,202,000","26,736,000","17,016,000","16,867,000","24,318,000","10,706,000","13,802,000","9,683,000","8,046,000","14,854,000","10,269,000","6,686,000","24,636,000","7,474,000","25,333,000","19,481,000","25,183,000","19,446,000","17,010,000","20,544,000","17,066,000","8,416,000","20,054,000","6,061,000","26,608,000","9,906,000","12,615,000","8,197,000","4,198,000","5,753,000","13,633,000","8,802,000","8,860,000","10,149,000","3,645,000","4,956,000","11,827,000","4,399,000","11,184,000","6,498,000","4,779,000","5,309,000","6,393,000","7,829,000","2,791,000","9,443,000","1,943,000","3,334,000","3,800,000","4,800,000","2,800,000","12,000,000","1,800,000","1,500,000","1,400,000","2,300,000","3,500,000","500,000",,,"100,000",
			CashAndCashEquivalents,"48,000,000","45,000,000","46,000,000","41,000,000","39,495,000","40,496,000","49,046,000","46,993,000","56,425,000","40,064,000","39,758,000","42,350,000","37,861,000","49,515,000","53,910,000","23,315,000","21,758,000","25,401,000","21,155,000","15,414,000","16,119,000","30,658,000","13,556,000","18,593,000","19,327,000","12,482,000","12,293,000","17,380,000","23,940,000","27,474,000","17,564,000","16,116,000","16,577,000","14,575,000","9,357,000","11,111,000","13,876,000","8,085,000","8,939,000","16,122,000","14,202,000","26,736,000","17,016,000","16,867,000","24,318,000","10,706,000","13,802,000","9,683,000","8,046,000","14,854,000","10,269,000","6,686,000","24,636,000","7,474,000","25,333,000","19,481,000","25,183,000","19,446,000","17,010,000","20,544,000","17,066,000","8,416,000","20,054,000","6,061,000","26,608,000","9,906,000","12,615,000","8,197,000","4,198,000","5,753,000","13,633,000","8,802,000","8,860,000","10,149,000","3,645,000","4,956,000","11,827,000","4,399,000","11,184,000","6,498,000","4,779,000","5,309,000","6,393,000","7,829,000","2,791,000","9,443,000","1,943,000","3,334,000","3,800,000","4,800,000","2,800,000","12,000,000","1,800,000","1,500,000","1,400,000","2,300,000","3,500,000","500,000",,,"100,000",
		Receivables,"1,228,000,000","1,241,000,000","1,249,000,000","1,103,000,000","1,106,578,000","1,136,135,000","1,165,946,000","1,120,199,000","1,232,612,000","1,074,941,000","1,136,924,000","1,065,699,000","1,049,273,000","1,094,874,000","1,114,015,000","579,702,000","635,190,000","629,362,000","598,718,000","525,636,000","547,792,000","514,870,000","534,322,000","489,708,000","478,577,000","455,831,000","491,221,000","474,494,000","510,692,000","493,873,000","489,758,000","449,870,000","420,943,000","406,943,000","398,210,000","339,590,000","364,411,000","358,173,000","338,577,000","305,177,000","336,132,000","322,818,000","312,850,000","260,308,000","281,857,000","256,756,000","220,208,000","214,021,000","201,232,000","199,924,000","181,254,000","198,186,000","194,388,000","192,876,000","180,475,000","187,224,000","185,747,000","180,986,000","162,165,000","168,771,000","164,244,000","165,727,000","148,940,000","158,027,000","164,052,000","154,320,000","137,349,000","138,290,000","140,756,000","133,700,000","106,950,000","110,784,000","100,388,000","94,485,000","90,696,000","92,531,000","85,233,000","86,892,000","84,816,000","90,649,000","92,225,000","91,187,000","82,244,000","88,020,000","82,623,000","74,581,000","69,930,000","77,342,000","77,000,000","72,100,000","61,700,000","60,100,000","61,200,000","58,300,000","48,800,000","49,300,000","50,500,000","49,700,000","30,900,000","31,100,000","26,100,000","28,900,000"
			AccountsReceivable,"1,210,000,000","1,225,000,000","1,234,000,000","1,087,000,000","1,091,897,000","1,119,770,000","1,149,622,000","1,100,766,000","1,212,725,000","1,051,449,000","1,116,024,000","1,042,442,000","1,045,690,000","1,093,195,000","1,093,907,000","595,698,000","653,375,000","649,146,000","614,284,000","539,575,000","558,039,000","524,130,000","544,237,000","499,346,000","489,993,000","467,024,000","501,402,000","481,983,000","518,390,000","501,218,000","498,162,000","457,459,000","427,710,000","415,449,000","407,994,000","339,590,000","372,094,000","365,195,000","338,577,000","305,177,000","336,132,000","322,818,000","309,541,000","257,482,000","279,650,000","253,305,000","217,097,000","210,957,000","198,166,000","198,052,000","179,455,000","197,580,000","193,128,000","191,522,000","179,063,000","185,680,000","184,409,000","174,021,000","160,329,000","167,486,000","162,954,000","164,476,000","147,686,000","156,952,000","163,080,000","153,488,000","136,472,000","137,698,000","139,990,000","132,939,000","106,178,000","110,094,000","99,652,000","93,891,000","90,111,000","91,982,000","84,785,000","86,418,000","84,303,000","90,059,000","91,477,000","90,533,000","81,559,000","87,604,000",,,,,"77,000,000",,,,,,,,,,,,,
				GrossAccountsReceivable,"1,240,000,000","1,254,000,000","1,264,000,000","1,115,000,000","1,143,399,000","1,176,126,000","1,207,609,000","1,156,694,000","1,264,869,000","1,111,173,000","1,143,836,000","1,063,167,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"345,086,000","311,426,000","342,733,000","328,502,000","314,802,000","262,027,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-30,000,000","-29,000,000","-30,000,000","-28,000,000","-51,502,000","-56,356,000","-57,987,000","-55,928,000","-52,144,000","-59,724,000","-27,812,000","-20,725,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,509,000","-6,249,000","-6,601,000","-5,684,000","-5,261,000","-4,545,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,260,000","1,354,000","1,412,000","1,544,000","1,338,000","6,965,000","1,836,000","1,285,000","1,290,000","1,251,000","1,254,000","1,075,000","972,000","832,000","877,000","592,000","766,000","761,000","772,000","690,000","736,000","594,000","585,000","549,000","448,000","474,000","513,000","590,000","748,000","654,000","685,000",,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,"18,336,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,309,000","2,826,000","2,207,000","3,451,000","3,111,000","3,064,000","3,066,000","1,872,000","1,799,000","606,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
