name,12/31/2021,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018
TotalAssets,"1,554,148,601","1,382,542,627","1,247,159,477","1,064,319,730","1,236,788,300","1,194,178,475","965,399,954","1,171,619,813"
TotalLiabilitiesNetMinorityInterest,"332,539,513","283,401,166","301,965,242","238,467,968","203,898,698","186,578,432","84,764,382","178,309,824"
TotalEquityGrossMinorityInterest,"1,221,609,088","1,099,141,461","945,194,235","825,851,762","1,032,889,602","1,007,600,043","880,635,572","993,309,989"
	StockholdersEquity,"1,221,609,088","1,099,141,461","945,194,235","825,851,762","1,032,889,602","1,007,600,043","880,635,572","993,309,989"
		CapitalStock,"116,590","116,590","116,590","116,590","116,590","116,590","116,590","116,590"
			CommonStock,"116,590","116,590","116,590","116,590","116,590","116,590","116,590","116,590"
		AdditionalPaidInCapital,"939,656,045","939,728,919","939,728,919","985,679,167","985,679,167","1,020,930,749","1,020,930,749","1,097,973,054"
		RetainedEarnings,"281,836,453","159,295,952","5,348,726","-159,943,995","47,093,845","-13,447,296","-140,411,767","-29,663,171"
TotalCapitalization,"1,542,097,888","1,380,137,061","1,234,921,035","1,051,266,862","1,153,909,102","1,165,943,043","954,746,372","1,168,866,189"
CommonStockEquity,"1,221,609,088","1,099,141,461","945,194,235","825,851,762","1,032,889,602","1,007,600,043","880,635,572","993,309,989"
NetTangibleAssets,"1,221,609,088","1,099,141,461","945,194,235","825,851,762","1,032,889,602","1,007,600,043","880,635,572","993,309,989"
InvestedCapital,"1,542,097,888","1,380,137,061","1,234,921,035","1,051,266,862","1,153,909,102","1,165,943,043","954,746,372","1,168,866,189"
TangibleBookValue,"1,221,609,088","1,099,141,461","945,194,235","825,851,762","1,032,889,602","1,007,600,043","880,635,572","993,309,989"
TotalDebt,"320,488,800","280,995,600","289,726,800","225,415,100","121,019,500","158,343,000","74,110,800","175,556,200"
NetDebt,"320,331,912","280,738,889","289,570,657","225,243,034","119,375,470","158,172,556","73,933,229","175,360,106"
ShareIssued,"116,590,494","116,590,494","116,590,494","116,590,494","116,590,494","116,590,494","116,590,494","116,590,494"
OrdinarySharesNumber,"116,590,494","116,590,494","116,590,494","116,590,494","116,590,494","116,590,494","116,590,494","116,590,494"
