name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991
OperatingCashFlow,"1,957,000,000","359,000,000","683,000,000","434,000,000","481,078,000","213,922,000","392,196,000","307,813,000","577,353,000","168,125,000","454,385,000","259,173,000","109,821,000","340,750,000","229,658,000","356,524,000","-1,024,000","348,404,000","112,067,000","107,954,000","263,347,000","96,731,000","164,973,000","130,937,000","86,006,000","56,061,000","94,384,000","39,995,000","157,818,000","47,616,000","48,310,000","5,940,000","155,703,000","45,564,000","73,771,000","66,329,000","34,030,000","-1,044,000","74,474,000","131,767,000","4,770,000","-10,872,000","76,099,000","-81,618,000","165,683,000","6,123,000","-13,363,000","60,697,000","58,074,000","57,820,000","28,255,000","16,713,000","72,898,000","13,190,000","53,584,000","68,139,000","16,858,000","28,330,000","44,457,000","64,303,000","52,706,000","13,414,000","49,980,000","38,148,000","35,577,000","3,900,000","29,510,000","41,178,000","32,094,000","10,782,000","40,668,000","31,887,000","16,530,000","2,912,000","10,367,000","-15,528,000","64,041,000","18,255,000","23,403,000","18,425,000","24,174,000","32,666,000","2,183,000","41,824,000","34,554,000","33,995,000","47,219,000","11,420,000","-2,189,000","44,521,000","29,500,000","25,900,000","11,100,000","11,500,000","19,000,000","19,500,000","12,800,000","10,100,000","10,100,000","12,000,000","5,100,000","6,200,000","13,000,000","7,000,000","3,700,000","4,400,000","3,700,000","18,200,000","-4,400,000","7,600,000","11,800,000","3,100,000","3,800,000","3,600,000","6,500,000","3,200,000","2,900,000","10,600,000","9,700,000","5,800,000","11,000,000","1,900,000","-8,100,000"
	CashFlowFromContinuingOperatingActivities,"1,957,000,000","359,000,000","683,000,000","434,000,000","481,078,000","213,922,000","392,196,000","307,813,000","577,353,000","168,125,000","454,385,000","259,173,000","109,821,000","340,750,000","229,658,000","356,524,000","-1,024,000","348,404,000","112,067,000","107,954,000","263,347,000","96,731,000","164,973,000","130,937,000","86,006,000","56,061,000","94,384,000","39,995,000","157,818,000","47,616,000","48,310,000","5,940,000","155,703,000","45,564,000","73,771,000","66,329,000","34,030,000","-1,044,000","74,474,000","131,767,000","4,770,000","-10,872,000","76,099,000","-81,618,000","165,683,000","6,123,000","-13,363,000","60,697,000","58,074,000","57,820,000","28,255,000","16,713,000","72,898,000","13,190,000","53,584,000","68,139,000","16,858,000","28,330,000","44,457,000","64,303,000","52,706,000","13,414,000","49,980,000","38,148,000","35,577,000","3,900,000","29,510,000","41,178,000","32,094,000","10,782,000","40,668,000","31,887,000","16,530,000","2,912,000","10,367,000","-15,528,000","64,041,000","18,255,000","23,403,000","18,425,000","24,174,000","32,666,000","2,183,000","41,824,000","34,554,000","33,995,000","47,219,000","11,420,000","-2,189,000","44,521,000","29,500,000","25,900,000","11,100,000","11,500,000","19,000,000","19,500,000","12,800,000","10,100,000","10,100,000","12,000,000","5,100,000","6,200,000","13,000,000","7,000,000","3,700,000","4,400,000","3,700,000","18,200,000","-4,400,000","7,600,000","11,800,000","3,100,000","3,800,000","3,600,000","6,500,000","3,200,000","2,900,000","10,600,000","9,700,000","5,800,000","11,000,000","1,900,000","-8,100,000"
		NetIncomeFromContinuingOperations,"2,044,000,000","533,000,000","408,000,000","475,000,000","628,236,000","561,764,000","438,801,000","474,055,000","247,789,000","133,649,000","274,816,000","281,718,000","336,571,000","291,612,000","274,931,000","281,365,000","247,026,000","208,026,000","124,664,000","154,118,000","132,516,000","107,880,000","103,642,000","115,647,000","94,380,000","76,597,000","90,009,000","87,962,000","51,567,000","145,282,000","130,637,000","63,172,000","10,200,000","274,706,000","192,906,000","216,180,000","76,488,000","60,545,000","99,662,000","53,140,000","57,078,000","39,933,000","43,890,000","76,076,000","89,732,000","73,095,000","33,982,000","52,439,000","21,186,000","29,210,000","24,082,000","26,409,000","-32,841,000","-7,010,000","2,422,000","27,008,000","21,295,000","27,903,000","34,266,000","38,116,000","22,865,000","28,391,000","28,350,000","25,170,000","13,594,000","22,271,000","25,646,000","23,059,000","19,682,000","24,150,000","19,555,000","16,103,000","15,708,000","14,010,000","-15,294,000","17,429,000","-576,000","10,418,000","11,917,000","13,096,000","14,985,000","13,360,000","12,084,000","18,602,000","24,132,000","33,336,000","35,739,000","34,939,000","33,735,000","54,655,000","24,900,000","10,500,000","9,000,000","7,800,000","4,600,000","8,500,000","8,200,000","7,600,000","7,500,000","7,200,000","6,800,000","6,200,000","5,900,000","5,300,000","5,600,000","4,700,000","5,500,000","5,400,000","4,000,000","3,300,000","3,000,000","2,100,000","2,300,000","1,700,000","200,000","300,000","100,000","1,000,000","400,000","-9,500,000","3,500,000","3,400,000","3,400,000"
		OperatingGainsLosses,"-623,000,000","-14,000,000","-99,000,000","-187,000,000","-322,010,000","-182,990,000","-108,342,000","-243,703,000","-28,552,000","-90,515,000","-27,690,000","-35,737,000","-45,165,000","-42,344,000","-24,691,000","-19,983,000","-56,242,000","-22,638,000","10,479,000","-38,535,000","-20,520,000","-13,628,000","-3,388,000","-44,614,000","-27,551,000","5,526,000","-23,614,000","-28,033,000","11,895,000","-104,450,000","-114,079,000","-9,123,000","58,530,000","-210,556,000","-178,461,000","-200,160,000","-45,614,000","-26,681,000","-78,361,000","-20,228,000","-30,052,000","-7,839,000","-19,755,000","-52,262,000","-74,803,000","-51,337,000","-25,940,000","-46,611,000","-4,805,000","-15,980,000","-6,667,000","-3,895,000","6,857,000","35,045,000","-5,318,000","816,000","-1,743,000","6,112,000","-5,957,000","-14,719,000","-12,273,000","-12,251,000","-7,344,000","-1,645,000","-4,080,000","61,000","-6,767,000","-2,902,000","3,629,000","-1,599,000","-5,459,000","-1,285,000","-3,788,000","-4,230,000","-1,822,000","-2,835,000","2,788,000","2,743,000","1,503,000","2,870,000","1,320,000","2,471,000","-76,000","8,870,000","-1,179,000","-3,742,000","-87,437,000","-3,817,000","37,109,000","-69,242,000","-1,300,000","0","300,000","-100,000","-1,900,000","-4,100,000",,,"0",,,,"0",,,"400,000","1,100,000","-800,000","1,300,000","300,000","1,100,000",,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-400,000","-887,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-679,000,000","-85,000,000","-100,000,000","-189,000,000","-304,922,000","-167,078,000","-149,992,000","-189,837,000","-34,868,000","-46,055,000","-28,095,000","-29,849,000","-47,698,000","-29,028,000","-10,729,000","-32,193,000","-36,114,000","-9,058,000","-15,765,000","-15,238,000","-17,630,000","-15,970,000","-9,976,000","-23,178,000","-23,270,000","4,684,000","-12,439,000","-18,768,000","24,921,000","-83,159,000","-94,787,000","-5,644,000","57,320,000","-223,912,000","-163,547,000","-187,862,000","-40,561,000","-27,438,000","-68,238,000","-20,228,000","-25,809,000","-7,839,000","-19,755,000","-52,262,000","-74,803,000","-51,337,000","-25,940,000","-46,611,000","-4,805,000","-16,004,000","-6,681,000","-3,905,000","6,750,000","35,045,000","9,828,000","876,000","-2,039,000","6,112,000","-6,113,000","-14,719,000","-13,641,000","-12,251,000","-7,344,000","-1,645,000","-4,080,000","61,000","-6,767,000","-2,902,000","3,629,000","-1,599,000","-3,638,000","-133,000","-478,000","-1,322,000","1,175,000","-1,317,000","3,839,000","4,705,000","3,164,000","2,063,000","2,001,000","2,597,000","8,424,000","2,365,000","1,248,000","336,000","-1,115,000","-3,817,000","-2,245,000","-29,888,000","-1,300,000","0","300,000","-100,000","-600,000","-4,100,000",,,"0",,,,,,,,"0","0","400,000","400,000","1,100,000",,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"170,000,000","50,000,000","45,000,000","45,000,000","30,051,000","30,949,000","27,233,000","23,957,000","24,826,000","24,824,000","22,309,000","19,584,000","19,994,000","20,830,000","14,517,000","14,487,000","14,525,000","14,377,000","16,858,000","12,997,000","13,877,000","12,391,000","11,705,000","11,346,000","12,232,000","11,536,000","11,504,000","8,751,000","9,861,000","9,892,000","10,655,000","10,005,000","9,577,000","9,459,000","9,420,000","9,193,000","8,802,000","8,479,000","5,471,000","9,057,000","7,140,000","6,454,000","7,491,000","6,165,000","7,315,000","6,519,000","4,812,000","5,316,000","4,584,000","4,547,000","9,596,000","10,426,000","8,131,000","7,239,000","6,454,000","2,664,000","8,248,000","7,691,000","5,964,000","6,181,000","8,025,000","6,858,000","3,936,000","7,805,000","8,750,000","3,379,000","-4,926,000","2,490,000","1,287,000","2,823,000","4,688,000","2,061,000","2,209,000","1,959,000","1,969,000","1,714,000","1,954,000","1,973,000","2,573,000","1,765,000","1,746,000","1,766,000","85,000","2,782,000","1,502,000","1,348,000","1,219,000","959,000","915,000","923,000","900,000","800,000","800,000","800,000","600,000","500,000","400,000","300,000","300,000","300,000","400,000","300,000","300,000","300,000","300,000","300,000","300,000","400,000","700,000","500,000","800,000","200,000","300,000","200,000","600,000","400,000","200,000","300,000","200,000","300,000","300,000","300,000","-1,400,000"
			DepreciationAndAmortization,"170,000,000","50,000,000","45,000,000","45,000,000","30,051,000","30,949,000","27,233,000","23,957,000","24,826,000","24,824,000","22,309,000","19,584,000","19,994,000","20,830,000","14,517,000","14,487,000","14,525,000","14,377,000","16,858,000","12,997,000","13,877,000","12,391,000","11,705,000","11,346,000","12,232,000","11,536,000","11,504,000","8,751,000","9,861,000","9,892,000","10,655,000","10,005,000","9,577,000","9,459,000","9,420,000","9,193,000","8,802,000","8,479,000","5,471,000","9,057,000","7,140,000","6,454,000","7,491,000","6,165,000","7,315,000","6,519,000","4,812,000","5,316,000","4,584,000","4,547,000","9,596,000","10,426,000","8,131,000","7,239,000","6,454,000","2,664,000","8,248,000","7,691,000","5,964,000","6,181,000","8,025,000","6,858,000","3,936,000","7,805,000","8,750,000","3,379,000","-4,926,000","2,490,000","1,287,000","2,823,000","4,688,000","2,061,000","2,209,000","1,959,000","1,969,000","1,714,000","1,954,000","1,973,000","2,573,000","1,765,000","1,746,000","1,766,000","85,000","2,782,000","1,502,000","1,348,000","1,219,000","959,000","915,000","923,000","900,000","800,000","800,000","800,000","600,000","500,000","400,000","300,000","300,000","300,000","400,000","300,000","300,000","300,000","300,000","300,000","300,000","400,000","700,000","500,000","800,000","200,000","300,000","200,000","600,000","400,000","200,000","300,000","200,000","300,000","300,000","300,000","-1,400,000"
		DeferredTax,"-19,000,000","47,000,000","-81,000,000","40,000,000","-24,513,000","57,513,000","11,035,000","68,631,000","-12,629,000","-60,126,000","-1,352,000","2,134,000","4,980,000","-8,834,000","-4,529,000","2,062,000","-9,760,000","-8,834,000","22,862,000","12,152,000","5,559,000","-15,386,000","2,604,000","-465,000","-392,000","-5,982,000","-12,264,000","-1,152,000","2,972,000","1,311,000","-25,618,000","-23,021,000","-10,660,000","15,783,000","17,568,000","-3,809,000","340,000","-19,000","1,552,000","-6,771,000","7,799,000","-780,000","4,171,000","807,000","-1,437,000","4,619,000","-3,228,000","-938,000","1,809,000","923,000","3,953,000","4,788,000","-3,710,000","-2,937,000","-12,785,000","5,533,000","2,155,000","8,669,000","-3,636,000","-4,610,000","-7,260,000","2,533,000","-1,733,000","-2,831,000","-5,224,000","4,552,000","-1,425,000","-875,000","-2,405,000","3,715,000",,,"8,510,000","2,201,000",,,"-6,222,000","-1,393,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,000",,,,,,,,,
