name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,09/30/1990
TotalAssets,"9,210,381,000","8,901,346,000","8,752,260,000","8,485,906,000","8,339,565,000","8,012,838,000","8,030,062,000","7,663,250,000","7,322,466,000","7,202,903,000","6,405,160,000","6,153,408,000","6,194,223,000","6,344,486,000","6,145,974,000","5,795,215,000","5,699,071,000","5,717,549,000","5,396,414,000","5,678,939,000","5,466,558,000","5,264,254,000","5,240,365,000","5,108,789,000","4,965,263,000","4,747,523,000","5,045,739,000","4,953,972,000","4,756,167,000","4,662,349,000","4,775,499,000","4,544,929,000","4,560,536,000","4,192,156,000","4,358,935,000","4,288,472,000","4,098,888,000","4,020,546,000","4,147,656,000","3,869,271,000","3,744,482,000","3,299,000,000","3,367,334,000","3,368,638,000","3,209,469,000","3,213,288,000","3,286,541,000","3,114,649,000","3,005,336,000","2,909,765,000","2,938,854,000","2,877,744,000","2,696,051,000","2,636,658,000","2,742,478,000","2,658,857,000","2,430,159,000","2,464,871,000","2,617,337,000","2,455,046,000","2,351,004,000","2,275,764,000","2,157,822,000","2,065,381,000","2,131,760,000","2,070,031,000","2,141,476,000","2,122,463,000","2,102,297,000","2,145,122,000","2,092,187,000","2,221,556,000","2,238,473,000","2,231,411,000","2,307,353,000","2,169,250,000","2,064,352,000","2,018,015,000","1,978,714,000","2,159,005,000","1,196,289,000","1,114,817,000","1,128,907,000","894,034,000","982,426,000","955,611,000","1,050,993,000","1,223,718,000","1,148,106,000","1,177,900,000","1,173,900,000","1,112,400,000","1,099,400,000","1,016,300,000","946,600,000","896,400,000","829,800,000","777,500,000","629,700,000","562,300,000","515,600,000","426,300,000","409,000,000","383,600,000","348,800,000","311,600,000","297,600,000","277,400,000","254,000,000","221,700,000","208,500,000","190,300,000","176,000,000","132,000,000","121,800,000","108,200,000","99,400,000","86,200,000","81,600,000","72,600,000","68,700,000","37,800,000","35,400,000","22,000,000"
	CurrentAssets,"3,074,246,000","2,947,497,000","2,808,341,000","2,763,976,000","2,689,800,000","2,397,724,000","2,549,217,000","2,186,015,000","1,960,755,000","1,951,429,000","1,738,917,000","1,617,645,000","1,643,883,000","1,797,630,000","1,543,797,000","1,465,583,000","1,370,186,000","1,332,346,000","1,682,593,000","1,894,632,000","1,682,012,000","1,484,043,000","1,716,938,000","1,552,038,000","1,403,197,000","1,200,528,000","1,563,801,000","1,627,537,000","1,544,975,000","1,416,273,000","1,504,735,000","1,314,783,000","1,328,271,000","1,320,865,000","1,447,977,000","1,330,084,000","1,106,369,000","999,782,000","1,140,656,000","1,293,702,000","1,173,541,000","1,289,650,000","1,338,055,000","1,362,296,000","1,206,622,000","1,194,277,000","1,247,755,000","1,495,974,000","1,379,894,000","1,398,521,000","1,463,800,000","1,448,957,000","1,294,997,000","1,221,367,000","1,322,290,000","1,254,171,000","1,216,897,000","1,221,502,000","1,327,539,000","1,206,467,000","1,121,097,000","1,023,991,000","894,490,000","781,225,000","940,437,000","868,424,000","947,479,000","801,803,000","866,127,000","892,392,000","913,033,000","1,164,761,000","1,166,298,000","1,184,783,000","1,239,206,000","1,074,009,000","930,365,000","1,007,548,000","929,315,000","903,546,000","867,098,000","768,167,000","791,382,000","539,153,000","620,291,000","573,521,000","684,521,000","871,850,000","838,359,000","874,400,000","914,700,000","851,600,000","870,300,000","824,300,000","768,600,000","738,600,000","647,700,000","615,500,000","486,100,000","443,100,000","411,900,000","320,300,000","317,600,000","303,900,000","301,700,000","272,600,000","262,500,000","244,000,000","223,300,000","192,900,000","180,100,000","163,100,000","150,300,000","110,700,000","100,900,000","88,300,000","78,800,000","67,700,000","63,500,000","62,200,000","58,600,000","24,700,000","22,200,000","17,700,000"
		CashCashEquivalentsAndShortTermInvestments,"1,720,521,000","1,272,047,000","1,580,789,000","1,530,168,000","1,457,918,000","1,023,074,000","1,235,653,000","1,049,922,000","856,424,000","700,356,000","728,597,000","686,780,000","631,161,000","592,305,000","723,115,000","741,236,000","570,801,000","605,892,000","1,048,356,000","1,302,494,000","1,131,568,000","966,357,000","1,117,315,000","1,089,859,000","959,922,000","705,934,000","964,935,000","1,122,919,000","1,005,424,000","917,062,000","985,762,000","903,046,000","821,633,000","893,053,000","1,022,441,000","892,370,000","681,018,000","550,365,000","700,382,000","963,767,000","796,594,000","943,489,000","1,004,074,000","1,038,281,000","840,463,000","867,128,000","938,561,000","1,209,825,000","1,078,454,000","1,092,343,000","1,168,326,000","1,082,539,000","876,847,000","842,281,000","951,301,000","877,087,000","817,498,000","860,315,000","984,453,000","794,222,000","767,537,000","679,705,000","572,722,000","511,274,000","534,540,000","514,285,000","586,506,000","499,414,000","524,321,000","582,503,000","579,029,000","699,345,000","613,014,000","617,768,000","698,357,000","568,093,000","392,099,000","470,260,000","414,733,000","446,208,000","531,740,000","438,759,000","476,436,000","308,875,000","392,699,000","328,922,000","435,639,000","646,070,000","616,712,000","651,000,000","704,200,000","157,000,000","118,500,000","86,200,000","159,700,000","166,100,000","92,900,000","107,300,000","78,300,000","66,400,000","43,700,000","33,500,000","33,900,000","21,600,000","90,900,000","97,200,000","91,200,000","59,100,000","41,400,000","112,900,000","93,500,000","78,100,000","53,200,000","36,500,000","37,800,000","43,600,000","39,200,000","30,400,000","21,400,000","29,200,000","39,000,000","16,900,000","12,200,000","9,300,000"
			CashAndCashEquivalents,"1,573,620,000","1,124,299,000","1,432,840,000","1,385,395,000","1,457,918,000","1,023,074,000","1,235,653,000","1,049,922,000","856,424,000","700,356,000","728,597,000","686,780,000","631,161,000","592,305,000","723,115,000","741,236,000","570,801,000","605,892,000","1,048,356,000","1,154,986,000","991,325,000","827,709,000","976,620,000","946,317,000","827,946,000","582,986,000","836,188,000","986,423,000","868,845,000","796,824,000","985,762,000","903,046,000","821,633,000","893,053,000","1,022,441,000","892,370,000","681,018,000","550,365,000","700,382,000","963,767,000","796,594,000","811,339,000","855,077,000","889,886,000","694,032,000","700,612,000","775,407,000","883,441,000","669,431,000","626,490,000","701,613,000","622,281,000","506,399,000","470,165,000","577,632,000","545,489,000","574,889,000","428,055,000","579,327,000","435,854,000","461,074,000","377,156,000","330,759,000","269,717,000","294,931,000","314,498,000","404,436,000","319,954,000","343,129,000","376,367,000","346,709,000","499,234,000","456,123,000","412,728,000","524,308,000","426,284,000","268,822,000","347,339,000","312,580,000","347,661,000","483,570,000","231,969,000","271,696,000","134,504,000","145,590,000","199,568,000","153,120,000","450,967,000","150,611,000","222,200,000","285,300,000","157,000,000","118,500,000","86,200,000","159,700,000","166,100,000","92,900,000","107,300,000","78,300,000","66,400,000","43,700,000","33,500,000","33,900,000","21,600,000","90,900,000","97,200,000","91,200,000","59,100,000","41,400,000","112,900,000","93,500,000","78,100,000","53,200,000","36,500,000","37,800,000","43,600,000","39,200,000","30,400,000","21,400,000","29,200,000","39,000,000","16,900,000","12,200,000","9,300,000"
				CashFinancial,,,,,,"856,192,000",,,,,,,"424,723,000","469,908,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,"166,882,000",,,,,,,"206,438,000","122,397,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"146,901,000","147,748,000","147,949,000","144,773,000",,,,,,,,,,,,,,,"0","147,508,000","140,243,000","138,648,000","140,695,000","143,542,000","131,976,000","122,948,000","128,747,000","136,496,000","136,579,000","120,238,000",,,,,,,,,"0","0","0","132,150,000","148,997,000","148,395,000","146,431,000","166,516,000","163,154,000","326,384,000","409,023,000","465,853,000","466,713,000","460,258,000","370,448,000","372,116,000","373,669,000","331,598,000","242,609,000","432,260,000","405,126,000","358,368,000","306,463,000","302,549,000","241,963,000","241,557,000","239,609,000","199,787,000","182,070,000","179,460,000","181,192,000","206,136,000","232,320,000","200,111,000","156,891,000","205,040,000","174,049,000","141,809,000","123,277,000","122,921,000","102,153,000","98,547,000","48,170,000","206,790,000","204,740,000","174,371,000","247,109,000","129,354,000","282,519,000","195,103,000","466,101,000","428,800,000","418,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"722,992,000","1,038,749,000","600,912,000","613,569,000","644,942,000","814,510,000","813,064,000","659,449,000","653,616,000","821,025,000","578,750,000","487,141,000","586,544,000","817,839,000","630,742,000","545,709,000","615,281,000","543,631,000","499,401,000","467,012,000","429,275,000","386,580,000","494,964,000","368,530,000","347,473,000","403,316,000","432,426,000","344,169,000","371,411,000","311,096,000","353,223,000","257,407,000","340,847,000","265,916,000","274,303,000","297,230,000","271,860,000","293,084,000","309,935,000","228,629,000","265,172,000","236,132,000","228,669,000","196,863,000","238,764,000","200,523,000","199,527,000","175,150,000","185,948,000","184,299,000","178,201,000","180,851,000","236,766,000","199,617,000","197,224,000","194,846,000","214,717,000","182,738,000","166,425,000","248,452,000","208,389,000","182,568,000","165,122,000","157,129,000","186,548,000","132,221,000","148,548,000","155,195,000","181,329,000","154,550,000","178,841,000","192,229,000","270,182,000","265,857,000","273,122,000","201,802,000","246,006,000","220,573,000","207,206,000","233,157,000","151,953,000","146,331,000","146,294,000","131,721,000","132,291,000","145,247,000","146,449,000","178,499,000","160,365,000","156,900,000","155,900,000","157,600,000","139,200,000","130,200,000","126,300,000","111,200,000","113,000,000",,"87,900,000","89,500,000","81,900,000","64,900,000","61,100,000","46,500,000","51,400,000","44,900,000","42,900,000","38,400,000","44,600,000","33,600,000","33,900,000","33,600,000","29,800,000","16,500,000","15,300,000","13,300,000","11,900,000","13,000,000","16,700,000","9,800,000","8,100,000","5,800,000","8,300,000","5,700,000"
			AccountsReceivable,"722,992,000","1,038,749,000","563,592,000","577,845,000","612,285,000","789,320,000","758,341,000","638,489,000","634,807,000","799,078,000","553,895,000","457,390,000","526,691,000","762,292,000","554,217,000","501,331,000","568,434,000","499,373,000","451,144,000","411,262,000","373,770,000","331,984,000","438,873,000","317,067,000","299,076,000","354,766,000","385,694,000","307,825,000","338,407,000","283,007,000","326,727,000","238,863,000","322,606,000","246,774,000","256,026,000","278,878,000","251,682,000","270,217,000","292,668,000","210,929,000","236,314,000","213,763,000","203,124,000","175,386,000","210,068,000","169,165,000","181,102,000","148,582,000","149,654,000","142,493,000","127,010,000","136,760,000","189,115,000","150,083,000","147,365,000","143,613,000","171,993,000","142,054,000","123,900,000","204,787,000","166,850,000","141,081,000","122,584,000","110,875,000","138,325,000","83,997,000","100,178,000","108,673,000","134,808,000","108,028,000","132,258,000","143,006,000","220,854,000","194,386,000","200,998,000","201,802,000","246,006,000","220,573,000","207,206,000","233,157,000","151,953,000","146,331,000","146,294,000","131,721,000","132,291,000","145,247,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,"562,941,000",,,,"559,830,000",,,,"456,309,000",,,,"442,074,000",,,,"388,255,000",,,,"328,753,000",,,,"260,279,000","284,233,000","257,699,000","278,305,000","298,740,000","214,537,000","239,430,000","216,448,000","205,613,000","178,446,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
