name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,12/31/2019,12/31/2018,09/30/2018,12/31/2017
TotalAssets,"3,330,978,000","3,582,223,000","1,442,562,000","1,434,076,000","1,389,542,000","1,039,055,000","706,221,000","603,284,000","378,513,000","334,317,000","280,337,000"
	CurrentAssets,"1,343,720,000","1,605,683,000","950,736,000","977,264,000","937,054,000","591,598,000","329,651,000","295,417,000","289,211,000","250,828,000","222,724,000"
		CashCashEquivalentsAndShortTermInvestments,"836,448,000","1,014,511,000","589,946,000","635,149,000","586,536,000","203,891,000","87,500,000","42,467,000","115,443,000","137,739,000","113,435,000"
			CashAndCashEquivalents,"836,448,000","1,014,511,000","589,946,000","635,149,000","586,536,000","203,891,000","87,500,000","42,467,000","115,443,000","137,739,000","113,435,000"
				CashFinancial,"246,221,000","123,906,000","214,195,000","135,097,000","176,513,000","203,891,000","87,451,000","42,247,000","28,769,000","33,573,000","15,198,000"
				CashEquivalents,"590,227,000","890,605,000","375,751,000","500,052,000","410,023,000","0","49,000","220,000","86,674,000","104,166,000","98,237,000"
		Receivables,"366,314,000","461,830,000","258,809,000","242,515,000","258,838,000","296,148,000","161,459,000","193,692,000","139,490,000","86,023,000","81,691,000"
			AccountsReceivable,"366,314,000","461,830,000","258,809,000","242,515,000","258,838,000","296,148,000","161,459,000","193,692,000","139,490,000","86,023,000","81,691,000"
				GrossAccountsReceivable,"381,914,000","480,830,000",,"258,915,000",,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-15,600,000","-19,000,000",,"-16,400,000",,,,,,,
		PrepaidAssets,"76,082,000","68,887,000","50,711,000","51,263,000","46,572,000","48,130,000","44,754,000","37,090,000","19,514,000","13,422,000","16,797,000"
		CurrentDeferredAssets,"64,876,000","60,455,000","51,270,000","48,337,000","45,108,000","43,429,000","35,938,000","22,168,000","14,764,000","13,644,000","10,801,000"
	TotalNonCurrentAssets,"1,987,258,000","1,976,540,000","491,826,000","456,812,000","452,488,000","447,457,000","376,570,000","307,867,000","89,302,000","83,489,000","57,613,000"
		NetPPE,"435,736,000","419,647,000","305,993,000","306,152,000","309,960,000","311,492,000","272,200,000","235,905,000","38,182,000","36,092,000","28,027,000"
			GrossPPE,"500,807,000","477,869,000","357,877,000","355,885,000","355,398,000","356,630,000","312,866,000","266,810,000","63,246,000","58,982,000","45,561,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"13,383,000","13,383,000",,,,,,,,,
				BuildingsAndImprovements,"61,346,000","61,346,000","13,658,000","13,653,000","13,651,000","13,625,000","8,216,000","8,216,000","8,615,000","7,723,000","0"
				MachineryFurnitureEquipment,"63,286,000","56,626,000","48,475,000","46,293,000","45,610,000","43,785,000","41,086,000","34,874,000","27,852,000","25,894,000","21,406,000"
				OtherProperties,"264,609,000","255,496,000","212,040,000","215,420,000","219,046,000","222,923,000","205,536,000","206,833,000","13,805,000","13,452,000","12,950,000"
