name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003
TotalAssets,"2,777,276,000","2,165,867,000","2,152,576,000","2,172,822,000","2,170,526,000","2,167,565,000","2,161,885,000","2,221,783,000","2,188,284,000","2,199,232,000","2,154,275,000","2,147,843,000","2,162,220,000","2,102,540,000","2,107,042,000","2,116,063,000","2,134,789,000","2,154,114,000","1,865,842,000","1,867,891,000","1,870,135,000","1,884,237,000","1,604,497,000","1,617,329,000","1,572,561,000","1,534,456,000","1,466,029,000","1,425,243,000","1,424,599,000","1,401,555,000","1,386,169,000","1,384,744,000","1,378,731,000","1,382,508,000","1,382,372,000","1,386,711,000","1,398,186,000","1,394,110,000","1,379,773,000","959,698,000","972,838,000","966,956,000","657,703,000","651,151,000","652,150,000","643,273,000","634,584,000","645,816,000","660,689,000","616,845,000","518,965,000","505,115,000","469,545,000","439,688,000","430,086,000","431,930,000","427,306,000","238,904,000","232,391,000","235,189,000","235,953,000","243,573,000","242,501,000","246,774,000","248,723,000","254,775,000","254,262,000","286,584,000","250,163,000","103,758,000","102,601,000","154,714,000","131,386,000","140,425,000"
	CurrentAssets,"86,248,000","94,313,000","74,618,000","89,910,000","92,173,000","93,992,000","84,734,000","91,594,000","80,874,000","89,363,000","64,200,000","71,980,000","66,229,000","66,474,000","66,498,000","59,968,000","67,738,000","74,391,000","59,854,000","64,199,000","55,922,000","56,953,000","48,029,000","59,653,000","55,271,000","61,142,000","49,397,000","55,206,000","50,046,000","47,342,000","42,058,000","44,171,000","42,803,000","44,962,000","51,435,000","49,151,000","58,796,000","47,576,000","49,138,000","37,795,000","49,589,000","39,984,000","27,268,000","21,196,000","25,523,000","23,686,000","23,146,000","26,833,000","37,579,000","24,209,000","21,261,000","18,502,000","20,562,000","20,339,000","19,567,000","22,977,000","21,536,000","23,178,000","20,229,000","20,967,000","19,358,000","23,624,000","20,997,000","24,715,000","25,684,000","28,705,000","25,925,000","61,563,000","24,550,000","22,533,000","20,311,000","53,439,000","42,079,000","37,798,000"
		CashCashEquivalentsAndShortTermInvestments,"15,016,000","14,381,000","12,816,000","19,561,000","19,753,000","21,990,000","18,091,000","18,913,000","19,282,000","13,287,000","7,469,000","6,941,000","11,540,000","3,045,000","6,375,000","6,656,000","8,565,000","7,776,000","7,476,000","16,339,000","7,007,000","3,657,000","7,208,000","4,882,000","9,034,000","15,013,000","10,856,000","10,424,000","5,802,000","2,830,000","1,667,000","6,066,000","4,879,000","6,352,000","11,220,000","8,716,000","18,193,000","5,237,000","1,993,000","4,216,000","12,402,000","3,269,000","1,802,000","1,402,000","1,502,000","403,000","706,000","2,806,000","16,609,000","2,508,000","4,050,000","4,195,000","4,321,000","5,269,000","2,118,000","6,371,000","8,237,000","10,321,000","8,710,000","11,563,000","11,100,000","11,555,000","12,408,000","16,414,000","17,267,000","20,583,000","20,524,000","54,310,000","18,416,000","19,104,000","15,880,000","2,008,000","4,378,000","6,694,000"
			CashAndCashEquivalents,"15,016,000","14,381,000","12,816,000","19,561,000","19,753,000","21,990,000","18,091,000","18,913,000","19,282,000","13,287,000","7,469,000","6,941,000","11,540,000","3,045,000","6,375,000","6,656,000","8,565,000","7,776,000","7,476,000","16,339,000","7,007,000","3,657,000","7,208,000","4,882,000","9,034,000","15,013,000","10,856,000","10,424,000","5,802,000","2,830,000","1,667,000","6,066,000","4,879,000","6,352,000","11,220,000","8,716,000","18,193,000","5,237,000","1,993,000","4,216,000","12,402,000","3,269,000","1,802,000","1,402,000","1,502,000","403,000","706,000","2,806,000","16,609,000","2,508,000","4,050,000","4,195,000","4,321,000","5,269,000","2,118,000","6,371,000","8,237,000","10,321,000","8,710,000","11,563,000","11,100,000","11,555,000","12,408,000","16,414,000","17,267,000","20,583,000","20,524,000","54,310,000","18,416,000","19,104,000","15,880,000","2,008,000","4,378,000","6,694,000"
		Receivables,"59,527,000","68,899,000","53,628,000","61,072,000","62,918,000","62,515,000","60,361,000","64,776,000","54,044,000","68,447,000","51,952,000","61,156,000","50,623,000","59,118,000","57,410,000","50,166,000","56,165,000","64,304,000","50,083,000","44,738,000","45,745,000","50,408,000","36,583,000","50,133,000","41,056,000","41,075,000","33,968,000","40,044,000","39,855,000","40,129,000","35,972,000","34,359,000","34,425,000","34,736,000","35,876,000","36,121,000","37,128,000","38,720,000","42,832,000","30,169,000","34,784,000","34,071,000","23,821,000","18,756,000","23,475,000","22,508,000","21,319,000","23,088,000","20,456,000","18,767,000","16,141,000","13,480,000","15,890,000","14,477,000","16,591,000","15,923,000","12,957,000","12,311,000","10,746,000","8,466,000","7,437,000","10,857,000","6,945,000","7,147,000","6,919,000","6,721,000","4,290,000","6,516,000","4,996,000","2,859,000","3,760,000","51,138,000","37,419,000","30,856,000"
			AccountsReceivable,"15,191,000","12,745,000","12,121,000","14,749,000","17,451,000","14,543,000","13,857,000","14,929,000","15,638,000","18,731,000","16,182,000","15,074,000","14,585,000","12,332,000","10,301,000","13,501,000","14,534,000","12,803,000","7,330,000","8,131,000","10,111,000","7,846,000","7,072,000","7,288,000","7,936,000","8,593,000","7,867,000","11,286,000","11,837,000","6,737,000","5,761,000","6,507,000","5,365,000","5,061,000","5,185,000","4,550,000","6,073,000","7,126,000","42,832,000","30,169,000","34,784,000","34,071,000","23,821,000","18,756,000","23,475,000","22,508,000","21,319,000","23,088,000","20,456,000","18,767,000","16,141,000","13,480,000","15,890,000","14,477,000","16,591,000","15,923,000","12,957,000","12,311,000","10,746,000","8,466,000","7,437,000","10,857,000","6,945,000","7,147,000","6,919,000","6,721,000","4,290,000","6,516,000","4,996,000","2,859,000","3,760,000","51,138,000","37,419,000","30,856,000"
			DuefromRelatedPartiesCurrent,"44,336,000","56,154,000","41,507,000","46,323,000","45,467,000","47,972,000","46,504,000","49,847,000","38,406,000","49,716,000","35,770,000","46,082,000","36,038,000","46,786,000","47,109,000","36,665,000","41,631,000","51,501,000","42,753,000","36,607,000","35,634,000","42,562,000","29,511,000","42,845,000","33,120,000","32,482,000","26,101,000","28,758,000","28,018,000","33,392,000","30,211,000","27,852,000","29,060,000","29,675,000","30,691,000","31,571,000","31,055,000","31,594,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"293,000","282,000","248,000"
		PrepaidAssets,"11,705,000","11,033,000","8,174,000","9,277,000","9,502,000","9,487,000","6,282,000","7,905,000","7,548,000","7,629,000","4,779,000","3,883,000","4,066,000","4,311,000","2,713,000","3,146,000","3,008,000","2,311,000","2,295,000","3,122,000","3,170,000","2,888,000","4,238,000","4,638,000","5,181,000","5,054,000","4,573,000","4,738,000","4,389,000","4,383,000","4,419,000","3,746,000","3,499,000","3,874,000","4,339,000","4,314,000","3,475,000","3,619,000","4,313,000","3,410,000","2,403,000","2,644,000","1,645,000","1,038,000","546,000","775,000","1,121,000","939,000","514,000","739,000","1,070,000","827,000","351,000","593,000","858,000","683,000","342,000","546,000","773,000","938,000","821,000","1,212,000","1,644,000","1,154,000","1,498,000","1,401,000","1,111,000","737,000","1,138,000","570,000","671,000",,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,195,000",,,,,,,,,,,,,,,,,,,,,,,,
