name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015
MarketCap,"2,913,623,017","2,908,625,142","2,468,737,765","2,663,478,026","1,809,087,371","1,721,863,331","1,352,240,594","1,045,162,865","608,453,163","463,992,126","765,527,092","602,706,028","664,584,980","998,548,092","1,579,483,754","2,211,805,319","1,622,233,827","1,065,679,538","918,610,444","1,328,561,099","1,667,157,554","1,271,684,839","778,131,045","1,108,609,228","819,253,593","449,486,600","502,462,040","661,948,948","808,504,086"
EnterpriseValue,"3,048,862,017","2,922,812,142","2,518,021,765","2,755,293,026","1,869,624,371","1,737,298,331","1,334,438,594","1,320,251,865","902,518,163","729,971,126","968,924,092","806,924,028","775,677,980","991,269,092","1,479,728,754","2,135,675,319","1,543,540,827","948,640,538","752,631,444","1,325,494,099","1,649,884,554","1,213,063,839","618,661,045","975,894,228","687,865,593","294,315,600","292,282,040","442,581,948","791,624,086"
PeRatio,,,,,,,,,,,,,,,,,,,,,,,,,"3.899","1.524","1.589","2.018",
ForwardPeRatio,"79.365","111.111","185.185","123.457","1,111.111",,,,,,,,,,"90.909","142.857",,,,"196.078",,,,,,,,,
PsRatio,"2.804","3.062","2.396","2.58","1.764","1.678","1.347","1.112","0.665","0.528","0.914","0.781","0.909","1.552","2.781","4.183","3.148","2.108","1.765","2.554","3.883","3.951","3.282","6.6","5.585","5.029","9.883","63.542","43.939"
PbRatio,"4.767","4.193","4.064","4.337","2.931","2.779","2.147","1.616","0.718","0.503","0.691","0.533","0.606","0.874","1.521","2.138","1.565","1.085","0.901","1.546","2.221","1.81","1.384","2.062","1.513","0.692","0.777","1.012",
EnterprisesValueRevenueRatio,"3.08","9.839","10.139","12.385","8.42","8.078","4.907","4.99","3.782","2.952","4.096","3.665","4.041","5.013","7.663","14.243","10.697","6.79","6.618","12.283","15.409","11.418","7.029","16.208","12.171","5.952","6.346","10.953","76.015"
EnterprisesValueEBITDARatio,"52.644","221.442","104.387","327.232","153.575","156.443","148.601","-84.882","-4.869","-13.021","-4.815","-106.892","-66.926","-31.653","54,804.769","-1,757.757","2,060.802","-255.492","-117.032","-212.215","-131.496","-79.938","-20.998","-80.699","-76.285","-26.259","-26.425","-31.19","-75"
