name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002
TotalRevenue,"1,844,054,000","485,860,000","482,367,000","465,955,000","409,872,000","376,088,000","399,358,000","404,146,000","377,794,000","389,277,000","403,351,000","366,073,000","334,576,000","348,183,000","280,779,000","204,919,000","203,607,000","203,040,000","322,971,000","254,101,000","253,211,000","237,917,000","221,675,000","193,261,000","176,549,000","177,385,000","181,581,000","142,305,000","148,353,000","147,025,000","157,938,000","138,443,000","149,618,000","143,593,000","156,963,000","140,877,000","138,904,000","143,279,000","154,552,000","153,826,000","153,554,000","145,506,000","166,465,000","195,480,000","193,061,000","175,127,000","178,601,000","167,726,000","160,111,000","160,944,000","250,510,000","174,202,000","235,107,000","280,552,000","430,735,000","403,095,000","394,860,000","382,056,000","319,192,000","285,964,000","281,297,000","288,062,000","306,270,000","281,348,000","303,578,000","369,165,000","396,638,000","369,921,000","351,237,000","346,594,000","361,361,000","289,808,000","274,654,000","276,686,000","274,066,000","279,152,000","297,045,000","310,697,000","310,707,000","298,045,000","286,587,000"
	OperatingRevenue,"1,844,054,000","485,860,000","482,367,000","465,955,000","409,872,000","376,088,000","399,358,000","404,146,000","377,794,000","389,277,000","403,351,000","366,073,000","334,576,000","348,183,000","280,779,000","204,919,000","203,607,000","203,040,000","322,971,000","254,101,000","253,211,000","237,917,000","221,675,000","193,261,000","176,549,000","177,385,000","181,581,000","142,305,000","148,353,000","147,025,000","157,938,000","138,443,000","149,618,000","143,593,000","156,963,000","140,877,000","138,904,000","143,279,000","154,552,000","153,826,000","153,554,000","145,506,000","166,465,000","195,480,000","193,061,000","175,127,000","178,601,000","167,726,000","160,111,000","160,944,000","250,510,000","174,202,000","235,107,000","280,552,000","430,735,000","403,095,000","394,860,000","382,056,000","319,192,000","285,964,000","281,297,000","288,062,000","306,270,000","281,348,000","303,578,000","369,165,000","396,638,000","369,921,000","351,237,000","346,594,000","361,361,000","289,808,000","274,654,000","276,686,000","274,066,000","279,152,000","297,045,000","310,697,000","310,707,000","298,045,000","286,587,000"
CostOfRevenue,"1,420,531,000","369,472,000","372,645,000","351,206,000","327,208,000","309,296,000","319,421,000","309,906,000","289,801,000","300,929,000","306,582,000","281,396,000","255,657,000","263,865,000","214,671,000","161,113,000","165,914,000","160,203,000","273,890,000","219,625,000","213,898,000","197,819,000","187,565,000","164,466,000","144,499,000","146,073,000","155,483,000","113,416,000","114,317,000","113,058,000","121,151,000","105,683,000","114,719,000","115,231,000","120,653,000","110,075,000","109,937,000","111,568,000","316,893,000","49,411,000","49,478,000","48,760,000","53,963,000","79,852,000","84,880,000","75,377,000","68,444,000","68,621,000","62,250,000","61,896,000","140,991,000","31,097,000","39,908,000","41,385,000","92,139,000","165,234,000","168,280,000","203,960,000","138,285,000","123,966,000","114,401,000","121,726,000","118,008,000","117,675,000","138,382,000","193,651,000","214,738,000","201,855,000","194,523,000","197,192,000","218,112,000","151,343,000","144,960,000","148,937,000","136,840,000","132,138,000","262,216,000",,,,"252,554,000"
GrossProfit,"423,523,000","116,388,000","109,722,000","114,749,000","82,664,000","66,792,000","79,937,000","94,240,000","87,993,000","88,348,000","96,769,000","84,677,000","78,919,000","84,318,000","66,108,000","43,806,000","37,693,000","42,837,000","49,081,000","34,476,000","39,313,000","40,098,000","34,110,000","28,795,000","32,050,000","31,312,000","26,098,000","28,889,000","34,036,000","33,967,000","36,787,000","32,760,000","34,899,000","28,362,000","36,310,000","30,802,000","28,967,000","31,711,000","-162,341,000","104,415,000","104,076,000","96,746,000","112,502,000","115,628,000","108,181,000","99,750,000","110,157,000","99,105,000","97,861,000","99,048,000","109,519,000","143,105,000","195,199,000","239,167,000","338,596,000","237,861,000","226,580,000","178,096,000","180,907,000","161,998,000","166,896,000","166,336,000","188,262,000","163,673,000","165,196,000","175,514,000","181,900,000","168,066,000","156,714,000","149,402,000","143,249,000","138,465,000","129,694,000","127,749,000","137,226,000","147,014,000","34,829,000",,,,"34,033,000"
OperatingExpense,"89,356,000","46,594,000","29,728,000","14,989,000","-1,955,000","9,933,000","20,502,000","20,270,000","25,740,000","38,541,000","44,548,000","43,911,000","41,437,000","37,417,000","28,194,000","16,979,000","13,795,000","15,194,000","15,410,000","15,553,000","16,365,000","22,345,000","15,970,000","14,339,000","16,249,000","15,961,000","3,548,000","15,972,000","14,242,000","16,438,000","22,502,000","14,473,000","16,782,000","14,526,000","17,732,000","14,192,000","14,798,000","15,298,000","-183,330,000","82,120,000","82,474,000","82,944,000","86,593,000","89,994,000","85,380,000","84,321,000","86,016,000","77,877,000","77,454,000","83,148,000","162,350,000","109,920,000","153,901,000","176,985,000","251,348,000","203,005,000","196,601,000","383,959,000","312,092,000","285,259,000","278,352,000","291,594,000","297,285,000","279,363,000","302,324,000","369,419,000","394,226,000","367,624,000","348,521,000","349,284,000","366,883,000","282,108,000","273,548,000","278,461,000","265,791,000","271,283,000","24,322,000","299,426,000","297,466,000","286,790,000","22,227,000"
	SellingGeneralAndAdministration,"104,400,000","26,751,000","27,974,000","28,106,000","21,569,000","21,540,000","20,764,000","23,373,000","19,823,000","23,325,000","26,333,000","27,199,000","22,794,000","22,009,000","15,259,000","8,599,000","8,708,000","7,989,000","8,216,000","7,591,000","7,775,000","8,628,000","6,243,000","6,539,000","5,765,000","5,957,000","6,262,000","4,821,000","4,888,000","5,681,000","12,598,000","5,298,000","5,992,000","5,778,000","6,535,000","5,968,000","6,168,000","6,238,000","-128,370,000","51,715,000","51,962,000","53,082,000","55,870,000","56,447,000","52,244,000","52,658,000","53,484,000","46,741,000","47,030,000","52,442,000","128,958,000","79,651,000","124,241,000","143,326,000","251,251,000","155,444,000","150,371,000","176,240,000","170,484,000","154,338,000","157,686,000","170,244,000","175,415,000","156,226,000","159,388,000","174,801,000","177,315,000","162,467,000","150,101,000","154,325,000","164,692,000","123,235,000","126,003,000","130,390,000","121,424,000","120,419,000",,"116,563,000","115,183,000","112,205,000",
		GeneralAndAdministrativeExpense,"104,400,000","26,751,000","27,974,000","28,106,000","21,569,000","21,540,000","20,764,000","23,373,000","19,823,000","23,325,000","26,333,000","27,199,000","22,794,000","22,009,000","15,259,000","8,599,000","8,708,000","7,989,000","8,216,000","7,591,000","7,775,000","8,628,000","6,243,000","6,539,000","5,765,000","5,957,000","6,262,000","4,821,000","4,888,000","5,681,000","12,598,000","5,298,000","5,992,000","5,778,000","6,535,000","5,968,000","6,168,000","6,238,000","-128,370,000","51,715,000","51,962,000","53,082,000","55,870,000","56,447,000","52,244,000","52,658,000","53,484,000","46,741,000","47,030,000","52,442,000","128,958,000","79,651,000","124,241,000","143,326,000","251,251,000","155,444,000","150,371,000","176,240,000","170,484,000","154,338,000","157,686,000","170,244,000","175,415,000","156,226,000","159,388,000","174,801,000","177,315,000","162,467,000","150,101,000","154,325,000","164,692,000","123,235,000","126,003,000","130,390,000","121,424,000","120,419,000",,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,700,000",,,,,,,,,"44,153,000","44,570,000","47,104,000","48,338,000","48,872,000","45,326,000","46,348,000","47,158,000","41,074,000","41,506,000","47,250,000","123,085,000","74,127,000","119,592,000","137,456,000","220,185,000","154,011,000","149,011,000","-158,757,000","-160,342,000","-147,791,000","-151,114,000","-157,925,000","-167,619,000","-150,039,000","-152,592,000","-164,765,000","-168,672,000","-155,302,000","-143,746,000","-142,460,000","-139,266,000","-121,811,000","-119,326,000","-120,428,000","-119,771,000","-118,289,000",,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,796,000","12,757,000","11,563,000","11,466,000","12,045,000","9,034,000","10,300,000","9,104,000","10,683,000","10,347,000","8,457,000","8,183,000","15,435,000","11,100,000","10,385,000","10,964,000","-17,483,000","-10,142,000","-6,547,000","-6,572,000","-12,319,000","-7,796,000","-6,187,000","-6,796,000","-10,036,000","-8,643,000","-7,165,000","-6,355,000","-11,865,000","-25,426,000","-1,424,000","-6,677,000","-9,962,000","-1,653,000","-2,130,000",,,,,
			InsuranceAndClaims,"12,004,000","2,552,000","3,206,000","3,178,000","3,068,000","3,136,000","2,608,000","3,119,000","2,508,000","1,668,000","1,741,000","1,833,000","1,857,000","1,911,000","1,639,000","1,696,000","1,420,000","1,357,000","1,369,000","1,234,000","955,000","1,262,000","1,121,000","1,099,000","1,087,000","1,149,000","1,009,000","832,000","546,000","1,258,000","1,417,000","1,109,000","1,573,000","1,205,000","1,750,000","1,559,000","1,396,000","1,511,000","1,936,000","1,944,000","1,826,000","2,010,000","1,845,000","2,720,000","2,394,000","2,350,000","2,049,000","2,130,000","2,154,000","2,838,000","2,612,000","2,731,000","3,011,000","3,039,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
