name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
	InterestExpenseNonOperating,"32,817,000","8,542,000","7,956,000","8,170,000","8,148,000","7,398,000","6,743,000","6,215,000","5,313,000","5,220,000","5,933,000","4,532,000","3,817,000","3,590,000","3,591,000","3,376,000","3,581,000","2,635,000","3,588,000","2,297,000","2,598,000","2,264,000","3,101,000","1,797,000","2,106,000","2,104,000","2,101,000","2,099,000","2,097,000","2,075,000",,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"2,349,000","558,000","554,000","616,000","622,000","639,000","605,000","644,000","1,426,000","4,341,000","788,000","746,000",,,,,,,,"321,000",,"317,000",,"311,000",,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-11,001,000","-830,000","-3,448,000","-4,419,000","-2,303,000","-363,000","-27,053,000","712,000","-2,896,000","-7,827,000","1,362,000","7,842,000","-23,327,000","2,208,000","2,186,000","2,687,000","-18,629,000","-6,647,000","12,974,000","1,247,000","-116,330,000","195,000","-486,000","-314,000","-78,986,000","-1,042,000","-61,775,000","-12,705,000","-1,844,000","2,534,000","3,270,000","882,000","-991,000","-12,743,000","-1,062,000","55,000","-33,000","-328,000","-4,000","-48,000","-422,000","-4,004,000","-405,000","-555,000","-7,115,000","118,000","-9,545,000","251,000","-1,909,000","-2,000"
	GainOnSaleOfSecurity,"-3,609,000","-978,000","-1,176,000","-1,248,000","-206,000","-546,000","30,000","633,000","142,000","-877,000","101,000","-229,000","-226,000","-192,000","-312,000","151,000","-104,000","-81,000","45,000","-44,000","76,000","-159,000","-146,000","-66,000","183,000","-551,000","736,000","-101,000","-1,142,000","3,247,000",,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,"-2,324,000","-3,272,000","-2,204,000",,"0","0","-3,277,000",,"0","7,290,000","-25,000,000","0","0","0","-20,000,000","-7,975,000","11,523,000",,"-117,000,000",,"-500,000","-500,000","-79,365,000","-516,000","-62,675,000","-12,783,000","-764,000","-724,000","1,864,000","-888,000","-1,261,000","-12,637,000","-405,000","0","0","-250,000","224,000","-48,000","-422,000","-4,004,000","-405,000","-555,000","-7,115,000","118,000","-9,545,000","251,000","-1,909,000","-2,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,"0",,"-25,452,000","516,000","-26,882,000","783,000","764,000","724,000","-1,864,000","888,000","861,000","822,000",,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,"0",,"104,517,000",,"89,557,000","0","0","0","0","0","0","3,409,000",,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,"2,324,000","3,272,000","2,204,000",,"0",,"3,277,000",,"0","-7,290,000","25,000,000",,"0",,"20,000,000","7,975,000","-11,523,000",,"117,000,000",,"500,000","500,000","300,000",,"0","12,000,000",,,"0",,"400,000","8,406,000","0",,,"250,000",,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"409,000","148,000","52,000","101,000","107,000","183,000","-27,083,000","79,000","239,000","-6,950,000","1,261,000","781,000","1,899,000","2,400,000","2,498,000","2,536,000","1,475,000","1,409,000","1,406,000","1,291,000","594,000","354,000","160,000","252,000","196,000","25,000","164,000","179,000","62,000","11,000","-2,174,000","1,770,000","270,000","-106,000","-657,000","55,000","-33,000","-78,000","-4,000",,,,,,,,,,,
PretaxIncome,"-258,806,000","-60,289,000","-64,670,000","-67,397,000","-66,451,000","-66,411,000","-99,383,000","-78,694,000","-92,283,000","-99,400,000","-97,017,000","-94,425,000","-120,603,000","-86,581,000","-98,371,000","-89,851,000","-101,223,000","-77,954,000","-52,862,000","-61,898,000","-176,667,000","-58,547,000","-69,295,000","-65,922,000","-158,373,000","-87,581,000","-148,109,000","-99,273,000","-71,513,000","-63,042,000","-55,088,000","-39,350,000","-34,696,000","-28,589,000","-29,151,000","-20,320,000","-19,341,000","-15,668,000","-21,059,000","-18,268,000","-15,692,000","-18,991,000",,"-13,835,000","-18,499,000",,,,,
