name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003
TotalAssets,"13,090,800,000","13,264,462,000","13,282,994,000","13,287,637,000","13,347,549,000","13,404,276,000","13,290,502,000","13,540,056,000","13,575,437,000","13,989,737,000","14,103,375,000","7,031,535,000","7,097,186,000","7,062,030,000","7,119,116,000","7,119,494,000","7,457,623,000","7,481,647,000","7,504,578,000","7,469,617,000","7,523,100,000","2,966,085,000","2,920,696,000","1,898,452,000","1,892,185,000","1,835,134,000","1,860,206,000","1,865,703,000","1,903,151,000","1,462,225,000","1,220,091,000","1,189,052,000","1,148,793,000","1,163,722,000","1,147,988,000","1,086,766,000","1,035,710,000","945,815,000","611,359,000","566,349,000","578,204,000","595,034,000","582,673,000","557,988,000","582,602,000","602,536,000","607,578,000","584,492,000","603,022,000","619,826,000","628,055,000","629,760,000","615,439,000","626,587,000","665,218,000","699,609,000","748,265,000","708,702,000","708,303,000","703,646,000","708,851,000","724,709,000","679,202,000","667,197,000","666,299,000","680,081,000","682,265,000","683,637,000","700,201,000","734,965,000","721,959,000","715,056,000","712,631,000","727,096,000","557,156,000"
	CurrentAssets,"1,482,000,000","1,412,719,000","1,311,548,000","1,393,089,000","1,376,119,000","1,209,982,000","1,341,212,000","1,542,784,000","1,514,290,000","1,351,767,000","1,435,617,000","775,948,000","743,519,000","767,075,000","766,487,000","717,088,000","1,001,629,000","1,056,218,000","1,029,419,000","1,078,515,000","1,082,180,000","363,217,000","287,021,000","261,932,000","234,327,000","260,028,000","289,153,000","266,911,000","281,638,000","317,664,000","230,125,000","189,640,000","204,529,000","201,166,000","149,317,000","168,370,000","134,045,000","163,326,000","101,263,000","88,896,000","90,206,000","96,849,000","90,737,000","84,791,000","98,367,000","107,216,000","100,378,000","77,037,000","86,213,000","92,886,000","95,811,000","79,174,000","74,419,000","84,874,000","87,486,000","79,401,000","122,278,000","88,305,000","80,026,000","69,901,000","68,932,000","77,123,000","83,276,000","71,266,000","68,440,000","75,263,000","69,419,000","64,981,000","69,911,000","86,768,000","84,681,000","70,173,000","73,892,000","76,759,000","96,851,000"
		CashCashEquivalentsAndShortTermInvestments,"326,200,000","190,868,000","193,831,000","313,269,000","339,777,000","152,701,000","409,906,000","664,624,000","434,067,000","232,070,000","317,420,000","79,924,000","128,591,000","145,115,000","118,423,000","147,681,000","109,121,000","115,652,000","135,801,000","85,902,000","72,892,000","87,680,000","29,256,000","27,182,000","12,821,000","43,416,000","23,356,000","26,891,000","44,584,000","131,912,000","68,676,000","32,113,000","50,580,000","40,028,000","24,619,000","45,625,000","22,625,000","68,999,000","12,236,000","12,478,000","11,849,000","7,546,000","7,814,000","12,533,000","20,816,000","23,658,000","17,763,000","7,773,000","11,189,000","12,752,000","19,323,000","14,286,000","12,119,000","15,834,000","11,648,000","15,631,000","58,474,000","16,226,000","5,909,000","8,827,000","7,868,000","11,179,000","13,097,000","12,697,000","11,825,000","13,487,000","5,782,000","10,260,000","13,859,000","18,505,000","14,617,000","10,398,000","17,119,000","10,848,000","51,733,000"
			CashAndCashEquivalents,"326,200,000","190,868,000","193,831,000","313,269,000","339,777,000","152,701,000","409,906,000","664,624,000","434,067,000","232,070,000","317,420,000","79,924,000","128,591,000","145,115,000","118,423,000","147,681,000","109,121,000","115,652,000","135,801,000","85,902,000","72,892,000","87,680,000","29,256,000","27,182,000","12,821,000","43,416,000","23,356,000","26,891,000","44,584,000","131,912,000","68,676,000","32,113,000","50,580,000","40,028,000","24,619,000","45,625,000","22,625,000","68,999,000","12,236,000","12,478,000","11,849,000","7,546,000","7,814,000","12,533,000","20,816,000","23,658,000","17,763,000","7,773,000","11,189,000","12,752,000","19,323,000","14,286,000","12,119,000","15,834,000","11,648,000","15,631,000","58,474,000","16,226,000","5,909,000","8,827,000","7,868,000","11,179,000","13,097,000","12,697,000","11,825,000","13,487,000","5,782,000","10,260,000","13,859,000","18,505,000","14,617,000","10,398,000","17,119,000","10,848,000","51,733,000"
		Receivables,"1,016,700,000","1,021,051,000","923,005,000","895,451,000","920,055,000","904,801,000","782,198,000","762,930,000","888,738,000","883,921,000","860,794,000","542,610,000","540,525,000","547,285,000","551,728,000","524,078,000","542,725,000","562,943,000","518,542,000","503,119,000","533,931,000","218,058,000","214,404,000","206,830,000","199,999,000","192,991,000","174,709,000","171,958,000","164,581,000","127,878,000","109,017,000","106,851,000","104,457,000","109,430,000","102,064,000","104,359,000","92,623,000","74,553,000","67,446,000","66,496,000","64,317,000","71,279,000","60,689,000","59,064,000","58,332,000","63,501,000","59,400,000","59,108,000","58,818,000","62,860,000","54,866,000","53,842,000","48,782,000","53,190,000","55,740,000","56,075,000","51,242,000","55,697,000","53,369,000","53,362,000","48,634,000","48,786,000","49,144,000","50,286,000","45,971,000","46,706,000","43,940,000","45,428,000","42,027,000","48,391,000","46,672,000","49,237,000","41,827,000","44,852,000","28,751,000"
			AccountsReceivable,"1,016,700,000","1,021,051,000","923,005,000","895,451,000","920,055,000","904,801,000","782,198,000","762,930,000","888,738,000","883,921,000","860,794,000","542,610,000","540,525,000","547,285,000","551,728,000","524,078,000","542,725,000","562,943,000","518,542,000","503,119,000","533,931,000","218,058,000","214,404,000","206,830,000","199,999,000","192,991,000","174,709,000","171,958,000","164,581,000","127,878,000","109,017,000","106,851,000","104,457,000","109,430,000","102,064,000","104,359,000","92,623,000","74,553,000","67,446,000","66,496,000","64,317,000","71,279,000","60,689,000","59,064,000","58,332,000","63,501,000","59,400,000","59,108,000","58,818,000","62,860,000","54,866,000","53,842,000","48,782,000","53,190,000","55,740,000","56,075,000","51,242,000","55,346,000","53,362,000","53,344,000","48,496,000","48,539,000","48,897,000","50,286,000","45,971,000","46,706,000","43,940,000","45,428,000","42,027,000","48,391,000","46,672,000","49,237,000","41,827,000","44,852,000","28,520,000"
				GrossAccountsReceivable,"1,042,500,000","1,044,180,000","941,912,000","917,151,000","956,941,000","939,723,000","811,280,000","789,978,000","910,913,000","901,126,000","876,078,000","556,689,000","554,066,000","560,443,000","566,829,000","538,713,000","556,555,000","576,301,000","526,507,000","521,456,000","548,572,000","223,863,000","220,532,000","212,642,000","206,047,000","198,360,000","179,736,000","177,072,000","169,125,000","130,880,000","111,740,000","109,845,000","107,963,000","112,465,000","104,620,000","106,811,000","94,810,000","76,518,000","69,043,000","68,002,000","65,717,000","72,592,000","61,561,000","59,930,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-25,800,000","-23,129,000","-18,907,000","-21,700,000","-36,886,000","-34,922,000","-29,082,000","-27,048,000","-22,175,000","-17,205,000","-15,284,000","-14,079,000","-13,541,000","-13,158,000","-15,101,000","-14,635,000","-13,830,000","-13,358,000","-7,965,000","-18,337,000","-14,641,000","-5,805,000","-6,128,000","-5,812,000","-6,048,000","-5,369,000","-5,027,000","-5,114,000","-4,544,000","-3,002,000","-2,723,000","-2,994,000","-3,506,000","-3,035,000","-2,556,000","-2,452,000","-2,187,000","-1,965,000","-1,597,000","-1,506,000","-1,400,000","-1,313,000","-872,000","-866,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","881,000","0","0","0","0","0","0","0","0","0","0","351,000","7,000","18,000","138,000","247,000","247,000","0","0","0",,"0","0","0",,"0","0","0","231,000"
