name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,09/30/2008,08/31/2008,06/30/2008,05/31/2008,03/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005
OperatingCashFlow,"-121,313,000","-162,540,000","32,118,000","2,340,000","6,769,000","-36,981,000","22,447,000","10,511,000","48,160,000","17,777,000","-9,168,000","31,845,000","-11,426,000","-20,783,000","-45,421,000","38,529,000","86,950,000","-41,091,000","-37,604,000","-109,630,000","25,826,000","-38,412,000","22,006,000","58,215,000","84,689,000","-81,923,000","17,706,000","-30,684,000","68,982,000","-45,778,000","-4,017,000","74,554,000","201,229,000","-50,216,000","-13,760,000","51,312,000","80,907,000","-11,123,000","4,849,000","24,916,000","52,475,000","-92,891,000","92,941,000","35,543,000","71,600,000","-91,195,000","14,213,000","-11,937,000","12,937,000","19,603,000","41,630,000","12,262,000","10,641,000","-11,106,000","-20,177,000","4,195,000","-10,490,000","-8,186,000","10,968,000","6,762,000","-4,122,186","-3,360,416","-979,050","-745,163","1,032,103","-435,852","88,084","-125,894","340,518","-193,716","-237,711","-90,251"
	CashFlowFromContinuingOperatingActivities,"-121,313,000","-162,540,000","32,118,000","2,340,000","6,769,000","-36,981,000","22,447,000","10,511,000","48,160,000","17,777,000","-9,168,000","14,376,000","-11,426,000","-20,783,000","-45,421,000","38,529,000","86,950,000","-41,091,000","-37,604,000","-109,630,000","25,826,000","-38,412,000","22,006,000","58,215,000","84,689,000","-81,923,000","17,706,000","-30,684,000","68,982,000","-45,778,000","-4,017,000","74,554,000","201,229,000","-50,216,000","-13,760,000","51,312,000","80,907,000","-11,123,000","4,849,000","24,916,000","52,475,000","-92,891,000","92,941,000","35,543,000","71,600,000","-91,195,000","14,213,000","-11,937,000","12,937,000","19,603,000","41,630,000","12,262,000","10,641,000","-11,106,000","-20,177,000","4,195,000","-10,490,000","-8,186,000","10,968,000","6,762,000","-4,122,186","-3,360,416","-979,050","-745,163","1,032,103","-435,852","88,084","-125,894","340,518","-193,716","-237,711","-90,251"
		NetIncomeFromContinuingOperations,"-98,039,000","-55,872,000","-3,873,000","-54,411,000","16,117,000","-1,979,000","-43,100,000","-30,733,000","-5,474,000","-10,347,000","-34,459,000","-35,491,000","-40,179,000","-37,871,000","59,857,000","-7,419,000","3,751,000","-19,455,000","52,347,000","39,429,000","-11,796,000","1,651,000","24,438,000","12,884,000","12,985,000","-19,816,000","713,000","10,041,000","7,792,000","-3,318,000","42,238,000","41,749,000","32,314,000","43,203,000","25,461,000","9,410,000","5,965,000","2,555,000","33,020,000","-1,007,000","-7,554,000","-12,696,000","13,261,000","12,402,000",,,"16,372,000","7,416,000",,,"23,318,000","5,550,000","627,000","-9,341,000","-5,018,000","-882,000","-1,172,000","4,626,000","-1,787,000","9,933,000","-1,846,191","-2,383,592","-3,685,932","777,243","839,744","-43,489","110,037","11,828","165,273","-222,013","-231,523","-109,491"
		OperatingGainsLosses,"17,521,000","799,000","1,461,000","1,347,000","13,914,000","-14,378,000","-5,217,000","11,273,000","-966,000","-4,719,000","-5,943,000","-643,000","35,000","74,000","-134,324,000","131,000","-2,522,000","137,000","-657,000","8,488,000",,,"988,000","1,559,000","-1,167,000","1,675,000","-1,159,000","519,000","1,226,000","933,000","-3,040,000","1,640,000","1,902,000","-1,031,000","429,000","948,000","610,000","520,000","-46,593,000","447,000","833,000","578,000","309,000","393,000","120,000","63,000",,"-2,000","155,000","168,000",,,,,,,,,,,,,,"-1,799,988","45,013",,,"50,000",,,,
			GainLossOnSaleOfPPE,"-3,680,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","109,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,"13,584,000","11,079,000","3,247,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"274,000","799,000","-183,000","-174,000","-168,000","-175,000","-176,000","-906,000","-12,045,000","-7,966,000","-2,263,000","-643,000","35,000","74,000","106,000","250,000","102,000","137,000","154,000","45,000","75,000","0","988,000","1,559,000","-1,167,000","1,675,000","-1,159,000","519,000","1,226,000","933,000","1,618,000","1,640,000","1,902,000","-1,031,000","429,000","948,000","610,000","520,000","540,000","447,000","833,000","578,000","309,000","284,000","123,000","63,000",,"-2,000","155,000","168,000",,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"91,670,000","20,399,000","22,459,000","28,280,000","20,532,000","20,681,000","21,036,000","19,753,000","19,375,000","18,080,000","19,164,000","14,634,000","19,094,000","19,235,000","19,609,000","30,713,000","26,823,000","26,474,000","27,256,000","19,909,000","34,113,000","26,083,000","28,094,000","19,286,000","18,701,000","18,145,000","17,316,000","17,553,000","15,700,000","15,381,000","15,895,000","15,105,000","14,735,000","14,627,000","13,195,000","12,763,000","12,435,000","12,609,000","12,906,000","13,505,000","13,259,000","13,158,000","13,228,000","11,623,000","12,644,000","12,581,000","11,444,000","9,493,000","9,222,000","8,651,000","8,151,000","8,267,000","6,826,000","6,169,000","29,000","2,060,000","13,000","1,363,000","8,000","928,000","988,719","20,289","11,533","7,560","4,488","4,107","1,992","2,614","62","1,085","474","72"
			DepreciationAndAmortization,"91,670,000","20,399,000","22,459,000","28,280,000","20,532,000","20,681,000","21,036,000","19,753,000","19,375,000","18,080,000","19,164,000","14,634,000","19,094,000","19,235,000","19,609,000","30,713,000","26,823,000","26,474,000","27,256,000","19,909,000","34,113,000","26,083,000","28,094,000","19,286,000","18,701,000","18,145,000","17,316,000","17,553,000","15,700,000","15,381,000","15,895,000","15,105,000","14,735,000","14,627,000","13,195,000","12,763,000","12,435,000","12,609,000","12,906,000","13,505,000","13,259,000","13,158,000","13,228,000","11,623,000","12,644,000","12,581,000","11,444,000","9,493,000","9,222,000","8,651,000","8,151,000","8,267,000","6,826,000","6,169,000","29,000","2,060,000","13,000","1,363,000","8,000","928,000","988,719","20,289","11,533","7,560","4,488","4,107","1,992","2,614","62","1,085","474","72"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,085","474","72"
