name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
TotalAssets,"5,264,805,000","5,307,871,000","4,981,860,000","4,824,007,000","4,785,715,000","4,418,969,000","4,260,413,000","4,268,174,000","4,212,464,000","4,151,275,000","4,137,471,000","4,014,478,000","4,008,877,000","3,925,808,000","3,855,037,000","3,700,189,000","3,690,083,000","3,610,032,000","3,525,847,000","3,485,358,000","3,471,041,000","3,478,987,000","3,470,383,000","3,485,575,000","3,415,125,000","3,420,061,000","3,443,390,000","3,447,508,000","3,468,794,000","3,446,339,000","3,451,148,000","3,430,424,000","3,410,562,000","3,391,639,000","3,397,130,000","3,521,129,000","3,426,566,000","3,398,226,000","3,497,125,000","3,498,650,000","3,492,569,000","3,496,101,000","3,292,805,000","2,368,553,000","2,066,862,000","2,048,395,000","2,073,162,000","2,152,928,000","2,181,106,000","2,166,319,000","2,198,293,000","2,225,821,000","2,067,115,000","2,091,647,000","2,106,143,000","2,029,806,000","2,028,246,000","2,033,695,000","2,046,051,000","2,046,232,000","2,044,165,000","2,055,831,000","2,034,920,000","2,058,069,000","2,019,887,000","1,948,874,000","1,978,939,000","1,892,390,000","1,892,180,000","1,886,289,000","1,724,949,000","1,727,833,000","1,551,781,000","1,473,915,000","1,153,003,000","1,155,574,000","1,167,313,000","1,162,850,000","1,137,309,000","1,065,508,000","1,127,122,000","1,099,963,000","1,108,913,000","1,105,960,000","1,110,625,000","1,104,304,000","1,097,781,000","1,112,900,000","1,160,394,000","1,160,338,000","1,192,900,000","1,177,000,000","1,166,200,000","1,176,841,000","1,169,800,000","1,176,200,000","960,100,000","864,365,000","728,300,000","588,800,000","584,200,000","567,874,000","557,800,000","550,300,000","544,200,000","523,100,000","531,700,000","544,700,000","545,400,000","544,100,000","526,500,000","351,400,000","351,500,000","341,700,000","180,000,000","180,400,000","179,500,000"
	CurrentAssets,"78,662,000","163,353,000","80,219,000","82,825,000","128,723,000","59,904,000","150,448,000","155,297,000","132,148,000","66,418,000","79,614,000","126,467,000","179,033,000","136,929,000","204,137,000","132,840,000","154,632,000","126,390,000","174,362,000","160,428,000","147,697,000","142,438,000","147,302,000","152,705,000","171,606,000","152,911,000","165,791,000","160,383,000","183,550,000","163,984,000","202,553,000","178,414,000","142,546,000","165,366,000","165,685,000","399,319,000","179,413,000","138,408,000","207,268,000","195,225,000","166,426,000","138,802,000","274,679,000","116,704,000","120,728,000","94,247,000","144,179,000","215,336,000","205,086,000","199,289,000","192,369,000","207,698,000","48,181,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"38,120,000","123,398,000","40,272,000","44,753,000","91,528,000","24,060,000","114,218,000","119,993,000","96,921,000","28,860,000","42,386,000","90,457,000","144,222,000","65,974,000","112,410,000","46,025,000","73,891,000","31,085,000","77,395,000","67,740,000","73,248,000","56,340,000","68,812,000","74,871,000","97,107,000","80,258,000","89,395,000","84,945,000","102,703,000","73,714,000","109,144,000","84,811,000","56,427,000","58,427,000","51,526,000","177,895,000","81,821,000","37,140,000","147,868,000","134,967,000","102,972,000","70,460,000","212,796,000","85,344,000","92,406,000","64,925,000","81,419,000","161,710,000","172,307,000","154,570,000","160,178,000","174,151,000","16,679,000","45,312,000","52,745,000","11,185,000","12,130,000","10,354,000","19,491,000","15,451,000","14,831,000","1,605,000","14,883,000","945,000","24,000","610,000","9,156,000","7,416,000","7,844,000","5,305,000","7,592,000","9,426,000","17,423,000","325,740,000","17,981,000","17,490,000","12,745,000","7,270,000","13,075,000","10,053,000","6,981,000","1,354,000","5,065,000","3,417,000","3,215,000","2,847,000","6,277,000","21,898,000","10,626,000","6,676,000",,,,"13,657,000",,"7,900,000",,"909,000","2,800,000","3,800,000","900,000","2,292,000","14,100,000","5,900,000","4,100,000","1,700,000","13,200,000","13,100,000","11,500,000","6,500,000","35,900,000","70,900,000","76,800,000","132,200,000",,,
			CashAndCashEquivalents,"38,120,000","123,398,000","40,272,000","44,753,000","91,528,000","24,060,000","114,218,000","119,993,000","96,921,000","28,860,000","42,386,000","90,457,000","144,222,000","65,974,000","112,410,000","46,025,000","73,891,000","31,085,000","77,395,000","67,740,000","73,248,000","56,340,000","68,812,000","74,871,000","97,107,000","80,258,000","89,395,000","84,945,000","102,703,000","73,714,000","109,144,000","84,811,000","56,427,000","58,427,000","51,526,000","177,895,000","81,821,000","37,140,000","147,868,000","134,967,000","102,972,000","70,460,000","212,796,000","85,344,000","43,137,000","12,659,000","81,419,000","151,805,000","172,307,000","145,128,000","160,178,000","174,151,000","16,679,000","45,312,000","52,745,000","11,185,000","2,567,000","5,785,000","3,703,000","696,000","0","1,605,000","0","945,000","24,000","610,000","9,156,000","7,416,000","7,844,000","5,305,000","7,592,000","9,426,000","17,423,000","325,740,000","17,981,000","17,490,000","12,745,000","7,270,000","13,075,000","10,053,000","6,981,000","1,354,000","5,065,000","3,417,000","3,215,000","2,847,000","6,277,000","21,898,000","10,626,000","6,676,000",,,,"13,657,000",,"0",,"909,000","0","0","0","324,000","0","0","0","0","0","0","0","0","0","0","0","0",,,
				CashFinancial,"38,120,000","123,398,000","40,272,000","44,753,000","91,528,000","24,060,000","114,218,000","119,993,000","96,921,000","28,860,000","42,386,000","90,457,000","144,222,000","65,974,000","112,410,000","46,025,000","73,891,000","31,085,000","77,395,000","67,740,000","73,248,000","56,340,000","68,812,000","74,871,000","97,107,000","80,258,000","89,395,000","84,945,000","102,703,000","73,714,000","109,144,000","84,811,000","56,427,000","58,427,000","51,526,000","177,895,000","81,821,000","37,140,000","147,868,000","134,967,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","49,269,000","52,266,000",,"9,905,000",,"9,442,000",,,,,,,"9,563,000","4,569,000","15,788,000","14,755,000","14,831,000",,"14,883,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900,000",,"0","2,800,000","3,800,000","900,000","1,968,000","14,100,000","5,900,000","4,100,000","1,700,000","13,200,000","13,100,000","11,500,000","6,500,000","35,900,000","70,900,000","76,800,000","132,200,000",,,
		Receivables,"40,542,000","39,955,000","39,947,000","38,072,000","37,195,000","35,844,000","36,230,000","35,304,000","35,227,000","37,558,000","37,228,000","36,010,000","34,811,000","35,041,000","35,889,000","34,672,000","34,913,000","49,477,000","49,284,000","48,253,000","34,239,000","34,520,000","34,277,000","33,837,000","34,144,000","35,463,000","36,334,000","35,464,000","36,313,000","37,137,000","38,051,000","38,208,000","38,610,000","42,990,000","43,415,000","43,987,000","51,271,000","54,378,000","57,154,000","57,224,000","60,645,000","65,394,000","58,740,000","28,598,000","25,057,000","26,145,000","26,483,000","27,078,000","29,592,000","30,373,000","28,867,000","29,566,000","31,502,000","32,839,000","32,754,000","408,000","909,000","1,156,000","1,267,000","1,512,000","1,390,000","1,294,000","995,000","1,794,000","1,650,000","1,619,000","1,483,000","1,230,000","1,464,000","1,469,000","2,486,000","2,085,000","2,454,000","2,385,000","2,040,000","2,180,000","1,730,000","1,735,000","1,694,000","1,574,000","2,197,000","1,966,000","1,647,000","1,479,000","1,542,000","1,440,000","1,070,000","1,142,000","1,471,000","1,338,000",,,,"724,000",,,,"840,000",,,,"872,000",,,,,,,,,,,,,,,
			AccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,377,000","930,000","909,000","1,008,000","1,206,000","1,098,000","927,000","967,000","1,155,000","671,000","482,000","428,000","419,000","528,000","325,000","352,000","421,000","439,000","488,000","1,293,000","1,040,000","1,078,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,"40,542,000","39,955,000","39,947,000","38,072,000","37,195,000","35,844,000","36,230,000","35,304,000","35,227,000","37,558,000","37,228,000","36,010,000","34,811,000","35,041,000","35,889,000","34,672,000","34,913,000","49,477,000","49,284,000","48,253,000","34,239,000","34,520,000","34,277,000","33,837,000","34,144,000","35,463,000","36,334,000","35,464,000","36,313,000","37,137,000","38,051,000","38,208,000","38,610,000","42,990,000","43,415,000","43,078,000","50,263,000","53,172,000","56,056,000","56,297,000","59,678,000","64,239,000","58,069,000","28,116,000","24,629,000","25,726,000","25,955,000","26,753,000","29,240,000","29,952,000","28,428,000","29,078,000","30,209,000","31,799,000","31,676,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,618,000","3,027,000","2,283,000","1,632,000","1,569,000","2,246,000","3,034,000","2,809,000","2,948,000","3,143,000","2,762,000","3,265,000","3,177,000","3,164,000","2,745,000","3,187,000","2,964,000","3,324,000","3,981,000","10,286,000","12,934,000","31,092,000","32,305,000","62,649,000","63,526,000","66,082,000","69,517,000","71,703,000","70,091,000","72,248,000","72,664,000","66,124,000","59,412,000","59,127,000","57,402,000","57,422,000","50,654,000","44,726,000","39,662,000","33,443,000","31,604,000","30,687,000","34,417,000","35,625,000","33,638,000","34,238,000","34,801,000","33,372,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
