name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017
OperatingCashFlow,"-82,064,000","-13,543,000","-22,899,000","-25,673,000","-19,949,000","-20,067,000","-15,938,000","-18,004,000","-15,855,000","-12,230,000","-13,447,000","-13,607,000","-12,568,000","-6,759,000","-6,009,000","-5,693,000","-4,350,000","-3,407,000","-2,511,000","-2,443,000","-2,199,000","-2,326,000"
	CashFlowFromContinuingOperatingActivities,"-82,064,000","-13,543,000","-22,899,000","-25,673,000","-19,949,000","-20,067,000","-15,938,000","-18,004,000","-15,855,000","-12,230,000","-13,447,000","-13,607,000","-12,568,000","-6,759,000","-6,009,000","-5,693,000","-4,350,000","-3,407,000","-2,511,000","-2,443,000","-2,199,000","-2,326,000"
		NetIncomeFromContinuingOperations,"-119,367,000","-34,627,000","-30,794,000","-27,851,000","-26,095,000","-22,901,000","-21,641,000","-18,320,000","-16,491,000","-17,360,000","-14,549,000","-14,430,000","-12,427,000","-9,016,000","-8,495,000","-7,588,000","-5,568,000","-5,464,000","-2,521,000","-2,382,000","-1,648,000","-2,606,000"
		OperatingGainsLosses,,"1,010,000",,,,,,,,,,,,"-400,000",,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,"-400,000",,,,,,,,
			EarningsLossesFromEquityInvestments,,"1,010,000",,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"938,000","240,000","235,000","233,000","230,000","224,000","225,000","244,000","244,000","235,000","229,000","228,000","177,000","253,000","208,000","139,000","76,000","48,000","48,000","28,000","25,000","27,000"
			DepreciationAndAmortization,"938,000","240,000","235,000","233,000","230,000","224,000","225,000","244,000","244,000","235,000","229,000","228,000","177,000","253,000","208,000","139,000","76,000","48,000","48,000","28,000","25,000","27,000"
				Depreciation,,,,,,"224,000","225,000","244,000",,,"229,000","228,000","177,000","253,000","208,000","139,000","76,000","48,000","48,000","28,000","25,000","27,000"
		AmortizationOfSecurities,"661,000","322,000","186,000","66,000","87,000","83,000","66,000","0","-113,000","-180,000","-220,000","-320,000","-289,000","-400,000",,,,,,,,
		StockBasedCompensation,"19,701,000","5,755,000","5,158,000","4,555,000","4,233,000","3,406,000","2,971,000","2,781,000","2,528,000","2,147,000","1,831,000","1,854,000","1,581,000","1,028,000","847,000","775,000","272,000","426,000","72,000","71,000","72,000","56,000"
		OtherNonCashItems,"-724,000","95,000","-996,000","95,000","82,000","80,000","75,000","78,000","62,000","46,000","53,000","58,000","108,000","3,000","-444,000",,,,,,,
		ChangeInWorkingCapital,"15,717,000","13,662,000","3,312,000","-2,771,000","1,514,000","-959,000","2,366,000","-2,787,000","-2,085,000","2,882,000","-791,000","-997,000","-1,718,000","1,373,000","1,875,000","970,000","870,000","1,583,000","-110,000","-160,000","-648,000","197,000"
			ChangeInPrepaidAssets,"-1,385,000","2,489,000","-365,000","-3,055,000","-454,000","-487,000","646,000","-1,853,000","-1,079,000","663,000","-1,298,000","-947,000","-881,000","905,000","-632,000","105,000","-985,000","-290,000","-125,000","-183,000","-507,000","32,000"
			ChangeInPayablesAndAccruedExpense,"8,094,000","1,530,000","3,898,000","494,000","2,172,000","-271,000","1,915,000","-752,000","-831,000","2,391,000","674,000","114,000","-675,000","583,000","2,881,000","828,000","1,781,000","1,871,000","12,000","21,000","-149,000","163,000"
				ChangeInPayable,,,"3,898,000","494,000","2,172,000","-271,000","1,915,000","-752,000","-831,000","2,391,000","674,000","114,000","-675,000","583,000","2,881,000","828,000","1,781,000","1,871,000","12,000","21,000","-149,000","163,000"
					ChangeInAccountPayable,,,"3,898,000","494,000","2,172,000","-271,000","1,915,000","-752,000","-831,000","2,391,000","674,000","114,000","-675,000","583,000","2,881,000","828,000","1,781,000","1,871,000","12,000","21,000","-149,000","163,000"
			ChangeInOtherCurrentLiabilities,"-861,000","-226,000","-221,000","-210,000","-204,000","-201,000","-195,000","-182,000","-175,000","-172,000","-167,000","-164,000","-162,000","-115,000",,,,,,,,
			ChangeInOtherWorkingCapital,,"9,869,000",,,,,"-195,000","-182,000","-175,000","-172,000","-167,000","-164,000","-162,000","-115,000","-374,000","37,000","74,000","2,000","3,000","2,000","8,000","2,000"
InvestingCashFlow,"-132,369,000","-43,384,000","-101,798,000","-7,025,000","19,838,000","32,502,000","-8,892,000","-24,832,000","17,602,000","16,339,000","-12,823,000","20,448,000","9,443,000","24,599,000","-118,681,000","-251,000","-469,000","-57,000","-231,000","-18,000","-35,000","-20,000"
	CashFlowFromContinuingInvestingActivities,"-132,369,000","-43,384,000","-101,798,000","-7,025,000","19,838,000","32,502,000","-8,892,000","-24,832,000","17,602,000","16,339,000","-12,823,000","20,448,000","9,443,000","24,599,000","-118,681,000","-251,000","-469,000","-57,000","-231,000","-18,000","-35,000","-20,000"
		NetPPEPurchaseAndSale,"-407,000","-87,000","-18,000","-140,000","-162,000","-116,000","-17,000","-97,000","-12,000","-60,000","-28,000","0","-56,000","-408,000","-282,000","-251,000","-469,000","-57,000","-231,000","-18,000","-35,000","-20,000"
			PurchaseOfPPE,"-407,000","-87,000","-18,000","-140,000","-162,000","-116,000","-17,000","-97,000","-12,000","-60,000","-28,000","0","-56,000","-408,000","-282,000","-251,000","-469,000","-57,000","-231,000","-18,000","-35,000","-20,000"
		NetInvestmentPurchaseAndSale,"-131,962,000","-43,297,000","-101,780,000","-6,885,000","20,000,000","32,618,000","-8,875,000","-24,735,000","17,614,000","16,399,000","-12,795,000","20,448,000","9,499,000","25,007,000",,,,,,,,
			PurchaseOfInvestment,"-177,886,000","-55,017,000","-102,024,000","-20,845,000","0","-2,535,000","-21,830,000","-43,660,000","-47,216,000","-22,886,000","-41,066,000","-14,406,000","-21,101,000","-31,563,000",,,,,,,,
