name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009
TotalAssets,"433,763,000","427,591,000","441,933,000","449,515,000","442,495,000","415,057,000","417,112,000","358,407,000","360,512,000","339,404,000","342,258,000","324,611,000","298,308,000","287,749,000","223,058,000","220,296,000","206,999,000","183,272,000","179,085,000","174,308,000","170,150,000","165,972,000","188,463,000","193,102,000","199,583,000","189,131,000","197,215,000","205,153,000","259,212,000","260,247,000","265,196,000","276,843,000","374,240,000","373,221,000","425,769,000","429,547,000","428,299,000","427,372,000","490,304,000","507,160,000","513,578,000","529,016,000","532,734,000","524,924,000","515,839,000","499,693,000","452,106,000","434,630,000","434,167,000","281,845,000","235,410,000","212,878,000"
	CurrentAssets,"193,573,000","185,010,000","202,815,000","206,176,000","194,071,000","181,379,000","184,842,000","185,572,000","179,260,000","150,970,000","151,300,000","143,378,000","140,254,000","130,496,000","141,484,000","137,624,000","123,229,000","97,921,000","106,489,000","99,855,000","91,981,000","85,437,000","105,558,000","107,983,000","111,454,000","98,138,000","112,748,000","118,377,000","171,273,000","168,897,000","169,740,000","176,656,000","170,794,000","163,679,000","177,702,000","177,731,000","176,154,000","169,015,000","163,950,000","173,536,000","181,713,000","209,414,000","215,306,000","231,468,000","219,109,000","197,555,000","202,740,000","218,887,000","236,505,000","86,652,000","74,123,000","65,236,000"
		CashCashEquivalentsAndShortTermInvestments,"109,463,000","115,035,000","105,928,000","110,318,000","103,202,000","102,647,000","102,244,000","107,509,000","97,139,000","76,124,000","70,517,000","62,522,000","67,004,000","62,447,000","70,519,000","64,700,000","47,089,000","42,406,000","50,367,000","49,571,000","41,744,000","37,496,000","53,566,000","53,710,000","54,802,000","50,750,000","60,660,000","60,468,000","114,100,000","115,891,000","115,877,000","122,807,000","120,051,000","122,490,000","126,658,000","127,964,000","113,779,000","107,768,000","103,593,000","105,267,000","115,393,000","144,503,000","145,300,000","167,217,000","150,104,000","125,724,000","127,294,000","155,770,000","175,318,000","34,139,000","28,095,000","25,182,000"
			CashAndCashEquivalents,"109,463,000","115,035,000","105,928,000","110,318,000","103,202,000","102,647,000","102,244,000","107,509,000","97,139,000","76,124,000","70,517,000","62,522,000","67,004,000","62,447,000","70,519,000","64,700,000","47,089,000","42,406,000","50,367,000","49,571,000","41,744,000","37,496,000","53,566,000","53,710,000","54,802,000","50,750,000","60,660,000","60,468,000","114,100,000","87,940,000","76,421,000","84,177,000","81,743,000","83,247,000","88,295,000","90,117,000","75,712,000","68,323,000","64,448,000","68,531,000","77,861,000","105,557,000","106,469,000","132,290,000","124,684,000","106,821,000","127,294,000","155,770,000","175,318,000","34,139,000","28,095,000","25,182,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","27,951,000","39,456,000","38,630,000","38,308,000","39,243,000","38,363,000","37,847,000","38,067,000","39,445,000","39,145,000","36,736,000","37,532,000","38,946,000","38,831,000","34,927,000","25,420,000","18,903,000",,,,"0","0","0"
		Receivables,"77,777,000","64,175,000","88,421,000","91,469,000","82,331,000","71,277,000","69,131,000","68,270,000","73,367,000","69,612,000","74,615,000","76,671,000","67,494,000","63,122,000","65,668,000","69,401,000","69,066,000","48,717,000","48,895,000","46,820,000","43,107,000","41,118,000","44,303,000","50,550,000","49,500,000","40,544,000","45,861,000","55,959,000","44,961,000","41,115,000","41,106,000","41,979,000","42,013,000","35,072,000","40,320,000","38,391,000","44,875,000","41,196,000","44,912,000","52,830,000","50,030,000","50,551,000","56,982,000","48,225,000","52,704,000","52,421,000","61,944,000","51,466,000","47,334,000","40,039,000","39,015,000","33,283,000"
			AccountsReceivable,"77,777,000","64,175,000","88,421,000","87,928,000","82,331,000","71,277,000","69,131,000","64,472,000","73,367,000","69,612,000","74,615,000","75,628,000","67,494,000","63,122,000","65,668,000","68,492,000","69,066,000","48,717,000","48,895,000","44,059,000","43,107,000","41,118,000","44,303,000","47,218,000","49,500,000","40,544,000","45,861,000","46,240,000","44,961,000","41,115,000","41,106,000","41,979,000","42,013,000","35,072,000","40,320,000","38,391,000","44,875,000","41,196,000","44,912,000","52,830,000","50,030,000","50,551,000","56,982,000","48,225,000","52,704,000","52,421,000","61,944,000","51,466,000","47,334,000","40,039,000","39,015,000","33,283,000"
				GrossAccountsReceivable,"79,135,000","65,567,000","89,627,000","88,938,000","83,623,000",,,"74,649,000",,,,"85,926,000",,,,"70,317,000",,,,"46,009,000",,,,"49,503,000",,,,"48,304,000",,,,"43,901,000",,,,"40,417,000",,,,"55,637,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,358,000","-1,392,000","-1,206,000","-1,010,000","-1,292,000",,,"-10,177,000",,,,"-10,298,000",,,,"-1,825,000",,,,"-1,950,000",,,,"-2,285,000",,,,"-2,064,000",,,,"-1,922,000",,,,"-2,026,000",,,,"-2,807,000",,,,,,,,,,,,
			TaxesReceivable,,,,"3,541,000",,,,"3,798,000",,,,"1,043,000",,,,"909,000",,,,"2,761,000",,,,"3,332,000",,,,"9,719,000",,,,,,,,,,,,,,,,,,,,,,,,
