name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
OperatingCashFlow,"152,400,000","30,700,000","44,200,000","39,300,000","38,200,000","20,300,000","9,200,000","15,000,000","33,100,000","-5,900,000","56,900,000","72,700,000","68,100,000","9,900,000","68,000,000","48,800,000","129,600,000","-20,000,000","-17,800,000","36,400,000","47,600,000","-19,600,000","56,600,000","10,900,000","25,400,000","-28,400,000","54,500,000","34,400,000","19,100,000","-21,500,000","42,100,000","3,900,000","11,200,000","-25,000,000","31,800,000","32,600,000","23,300,000","-17,800,000","65,900,000","47,500,000","1,800,000","3,000,000","46,000,000","20,000,000","25,400,000","-12,800,000","14,400,000","35,300,000","-11,900,000","-2,400,000","42,300,000","30,500,000","3,800,000","500,000","29,400,000","13,600,000","45,800,000","9,400,000","29,800,000","30,900,000","24,600,000","19,500,000","33,300,000","25,900,000","27,800,000","-11,200,000","46,300,000","13,700,000","18,700,000","-2,300,000","7,400,000","45,900,000","3,500,000","-15,700,000","21,700,000","18,900,000","2,700,000","-1,200,000","-300,000","54,200,000"
	CashFlowFromContinuingOperatingActivities,"152,400,000","30,700,000","44,200,000","39,300,000","38,200,000","20,300,000","9,200,000","15,000,000","33,100,000","300,000","-19,900,000","72,700,000","68,100,000","9,900,000","68,000,000","48,800,000","129,600,000","-20,000,000","-17,800,000","36,400,000","47,600,000","-19,600,000","56,600,000","10,900,000","25,400,000","-28,400,000","54,500,000","34,400,000","19,100,000","-21,500,000","42,100,000","3,900,000","11,200,000","-25,000,000","31,800,000","32,600,000","23,300,000","-17,800,000","65,900,000","47,500,000","1,800,000","3,000,000","46,000,000","20,000,000","25,400,000","-12,800,000","14,400,000","35,300,000","-12,400,000","-3,800,000","24,200,000","30,500,000","3,800,000","500,000","29,400,000","13,600,000","45,800,000","9,400,000","29,800,000","30,900,000","24,600,000","19,500,000","33,300,000","25,900,000","27,800,000","-11,200,000","46,300,000","13,700,000","18,700,000","-2,300,000","7,400,000","45,900,000","3,500,000","-15,700,000","21,700,000","18,900,000","2,700,000","-1,200,000","-300,000","41,200,000"
		NetIncomeFromContinuingOperations,"176,000,000","16,500,000","102,700,000","27,600,000","29,200,000","18,100,000","-8,100,000","-19,700,000","-6,500,000","218,700,000","2,800,000","-1,500,000","23,900,000","13,100,000","-22,100,000","24,200,000","9,900,000","12,600,000","34,200,000","490,200,000","9,000,000","6,400,000","-2,900,000","6,000,000","3,600,000","-46,800,000","6,600,000","11,400,000","-37,300,000","-1,600,000","3,800,000","8,600,000","8,300,000","1,300,000","5,200,000","5,600,000","8,000,000","8,600,000",,,,"13,800,000","44,200,000","0","-15,200,000","15,200,000","6,300,000","4,900,000","44,500,000","5,600,000",,,"-105,700,000","3,200,000","6,100,000","13,100,000","21,100,000","13,200,000","1,800,000","12,300,000","13,800,000","12,300,000","-173,600,000","-4,300,000","4,200,000","14,800,000","17,500,000","10,000,000","21,100,000","10,000,000","3,900,000","10,100,000","8,400,000","11,400,000","8,400,000","7,300,000","11,400,000","6,100,000","200,000","-500,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-200,000","0",,,,,,,,,,,"10,900,000","400,000","-19,400,000","2,300,000","-13,000,000","22,200,000","-18,800,000","-18,300,000","-7,400,000","-1,500,000","-9,700,000","-8,300,000","-16,000,000","24,300,000"
		DepreciationAmortizationDepletion,"84,900,000","27,900,000","19,900,000","18,400,000","18,700,000","18,800,000","19,300,000","17,100,000","17,200,000","17,200,000","14,300,000","18,000,000","18,200,000","17,400,000","19,100,000","17,900,000","18,400,000","18,300,000","18,500,000","17,300,000","14,200,000","13,800,000","14,400,000","14,600,000","14,200,000","13,900,000","14,800,000","14,400,000","14,800,000","14,100,000","14,500,000","14,100,000","14,700,000","14,200,000","13,900,000","14,300,000","14,300,000","14,100,000","14,900,000","14,200,000","13,900,000","12,500,000","14,000,000","12,300,000","11,500,000","10,600,000","9,500,000","9,000,000","10,200,000","10,900,000","6,600,000","11,300,000","11,200,000","11,200,000","11,300,000","11,300,000","11,400,000","10,800,000","10,600,000","10,400,000","9,600,000","9,600,000","9,300,000","9,100,000","8,600,000","8,200,000","8,000,000","7,600,000","7,800,000","7,900,000","8,000,000","7,600,000","7,900,000","8,100,000","8,600,000","7,400,000","7,800,000","7,800,000","6,900,000","7,700,000"
			DepreciationAndAmortization,"84,900,000","27,900,000","19,900,000","18,400,000","18,700,000","18,800,000","19,300,000","17,100,000","17,200,000","17,200,000","14,300,000","18,000,000","18,200,000","17,400,000","19,100,000","17,900,000","18,400,000","18,300,000","18,500,000","17,300,000","14,200,000","13,800,000","14,400,000","14,600,000","14,200,000","13,900,000","14,800,000","14,400,000","14,800,000","14,100,000","14,500,000","14,100,000","14,700,000","14,200,000","13,900,000","14,300,000","14,300,000","14,100,000","14,900,000","14,200,000","13,900,000","12,500,000","14,000,000","12,300,000","11,500,000","10,600,000","9,500,000","9,000,000","10,200,000","10,900,000","6,600,000","11,300,000","11,200,000","11,200,000","11,300,000","11,300,000","11,400,000","10,800,000","10,600,000","10,400,000","9,600,000","9,600,000","9,300,000","9,100,000","8,600,000","8,200,000","8,000,000","7,600,000","7,800,000","7,900,000","8,000,000","7,600,000","7,900,000","8,100,000","8,600,000","7,400,000","7,800,000","7,800,000","6,900,000","7,700,000"
				Depreciation,"28,500,000","7,900,000","7,000,000","6,700,000","6,900,000","6,900,000","7,800,000","7,400,000","7,500,000","7,500,000","2,500,000","9,400,000","9,300,000","9,200,000","10,800,000","9,300,000","9,700,000","9,300,000","9,200,000","8,700,000","7,500,000","7,300,000","7,600,000","7,800,000","7,600,000","7,400,000","7,900,000","7,600,000","7,600,000","7,200,000","7,700,000","7,300,000","7,400,000","7,500,000","7,300,000","7,500,000","7,400,000","7,400,000","7,800,000","7,300,000","7,200,000","6,500,000","7,200,000","6,400,000","5,900,000","5,800,000","5,400,000","5,200,000","6,100,000","6,600,000","3,500,000","7,600,000","8,000,000","7,900,000","7,800,000","7,900,000","7,800,000","7,400,000","7,500,000","7,500,000","7,100,000","7,000,000","6,700,000","6,700,000","6,700,000","6,300,000","6,100,000",,,,,,,,,,,,,
				AmortizationCashFlow,"56,400,000","20,000,000","12,900,000","11,700,000","11,800,000","11,900,000","11,500,000","9,700,000","9,700,000","9,700,000","11,800,000","8,600,000","8,900,000","8,200,000","8,300,000","8,600,000","8,700,000","9,000,000","9,300,000","8,600,000","6,700,000","6,500,000","6,800,000","6,800,000","6,600,000","6,500,000","6,900,000","6,800,000","7,200,000","6,900,000","6,800,000","6,800,000","7,300,000","6,700,000","6,600,000","6,800,000","6,900,000","6,700,000","7,100,000","6,900,000","6,700,000","6,000,000","6,800,000","5,900,000","5,600,000","4,800,000","4,100,000","3,800,000","4,100,000","4,300,000","3,100,000","3,700,000","3,200,000","3,300,000","3,500,000","3,400,000","3,600,000","3,400,000","3,100,000","2,900,000","2,500,000","2,600,000","2,600,000","2,400,000","1,900,000","1,900,000","1,900,000",,,,,,,,,,,,,
					AmortizationOfIntangibles,"56,400,000","20,000,000","12,900,000","11,700,000","11,800,000","11,900,000","11,500,000","9,700,000","9,700,000","9,700,000","11,800,000","8,600,000","8,900,000","8,200,000","8,300,000","8,600,000","8,700,000","9,000,000","9,300,000","8,600,000","6,700,000","6,500,000","6,800,000","6,800,000","6,600,000","6,500,000","6,900,000","6,800,000","7,200,000","6,900,000","6,800,000","6,800,000","7,300,000","6,700,000","6,600,000","6,800,000","6,900,000","6,700,000","7,100,000","6,900,000","6,700,000","6,000,000","6,800,000","5,900,000","5,600,000","4,800,000","4,100,000","3,800,000","4,100,000","4,300,000","3,100,000","3,700,000","3,200,000","3,300,000","3,500,000","3,400,000","3,600,000","3,400,000","3,100,000","2,900,000","2,500,000","2,600,000","2,600,000","2,400,000","1,900,000","1,900,000","1,900,000",,,,,,,,,,,,,
		DeferredTax,"-4,500,000","-900,000","-2,300,000","-700,000","-600,000","-1,600,000","-15,500,000","-36,200,000","-1,000,000","-600,000","-24,100,000","-5,000,000","2,500,000","-1,700,000","9,300,000","3,100,000","-6,600,000","-900,000","-6,700,000","43,000,000","-300,000","-100,000","8,700,000","-800,000","6,600,000","-44,500,000","-1,400,000","5,900,000","-7,100,000","1,500,000","19,100,000","-9,100,000","-1,000,000","-12,300,000","7,500,000","200,000","-1,700,000","-4,300,000","2,400,000","3,300,000","-7,700,000","7,900,000","15,800,000","-4,400,000","-6,700,000","-400,000","-12,300,000","2,600,000","2,400,000","4,900,000","-47,400,000","-6,300,000","1,300,000","-15,300,000","7,800,000","-10,300,000","1,900,000","1,800,000","-14,100,000","5,600,000","-2,800,000","2,900,000","-104,900,000","-5,200,000","900,000","4,700,000","17,100,000","200,000","9,100,000","3,900,000","-2,300,000","1,400,000","900,000","2,800,000","5,100,000","700,000","2,700,000","2,300,000","-16,300,000","-400,000"
