name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015
TotalRevenue,"2,053,700,000","532,310,000","520,225,000","509,532,000","491,633,000","475,225,000","464,100,000","459,184,000","449,755,000","449,789,000","444,277,000","443,326,000","441,582,000","435,500,000","432,616,000","434,251,000","432,426,000","423,669,000","329,954,000","243,536,000","242,216,000","238,750,000","234,551,000","233,038,000","230,496,000","224,502,000","216,685,000"
	OperatingRevenue,"2,053,700,000","532,310,000","520,225,000","509,532,000","491,633,000","475,225,000","464,100,000","459,184,000","449,755,000","449,789,000","444,277,000","443,326,000","441,582,000","435,500,000","432,616,000","434,251,000","432,426,000","423,669,000","329,954,000","243,536,000","242,216,000","238,750,000","234,551,000","233,038,000","230,496,000","224,502,000","216,685,000"
CostOfRevenue,"796,780,000","203,236,000","198,056,000","202,370,000","193,118,000","184,215,000","183,516,000","192,821,000","181,531,000","181,288,000","182,137,000","191,363,000","182,595,000","175,506,000","176,481,000","186,713,000","179,771,000","177,931,000","129,128,000","104,119,000","101,975,000","99,617,000","97,688,000","101,961,000","98,811,000","92,360,000","98,723,000"
GrossProfit,"1,256,920,000","329,074,000","322,169,000","307,162,000","298,515,000","291,010,000","280,584,000","266,363,000","268,224,000","268,501,000","262,140,000","251,963,000","258,987,000","259,994,000","256,135,000","247,538,000","252,655,000","245,738,000","200,826,000","139,417,000","140,241,000","139,133,000","136,863,000","131,077,000","131,685,000","132,142,000","117,962,000"
OperatingExpense,"679,934,000","173,435,000","171,328,000","170,063,000","165,108,000","161,451,000","158,769,000","156,119,000","151,692,000","149,255,000","149,139,000","149,720,000","148,987,000","160,147,000","155,560,000","160,523,000","171,086,000","172,136,000","170,605,000","94,928,000","85,941,000","125,843,000","88,943,000","85,291,000","81,487,000","81,062,000","83,685,000"
	SellingGeneralAndAdministration,"76,504,000","17,639,000","19,668,000","19,369,000","19,828,000","16,950,000","16,679,000","17,972,000","14,426,000","14,228,000","15,375,000","16,405,000","15,956,000","26,538,000","25,340,000","21,152,000","24,636,000","27,636,000","63,585,000","27,462,000","18,426,000","58,266,000","19,523,000","18,811,000","15,408,000","15,360,000","19,894,000"
		GeneralAndAdministrativeExpense,"76,504,000","17,639,000","19,668,000","19,369,000","19,828,000","16,950,000","16,679,000","17,972,000","14,426,000","14,228,000","15,375,000","16,405,000","15,956,000","26,538,000","25,340,000","21,152,000","24,636,000","27,636,000","63,585,000","27,462,000","18,426,000","58,266,000","19,523,000","18,811,000","15,408,000","15,360,000","19,894,000"
			OtherGandA,"76,504,000","17,639,000","19,668,000","19,369,000","19,828,000","16,950,000","16,679,000","17,972,000","14,426,000","14,228,000","15,375,000","16,405,000","15,956,000","26,538,000","25,340,000","21,152,000","24,636,000","27,636,000","63,585,000","27,462,000","18,426,000","58,266,000","19,523,000","18,811,000","15,408,000","15,360,000","19,894,000"
	DepreciationAmortizationDepletionIncomeStatement,"603,430,000","155,796,000","151,660,000","150,694,000","145,280,000","144,501,000","142,090,000","138,147,000","137,266,000","135,027,000","133,764,000","133,315,000","133,031,000","133,609,000","130,220,000","139,371,000","146,450,000","144,500,000","107,020,000","67,466,000","67,515,000","67,577,000","69,420,000","66,480,000","66,079,000","65,702,000","63,791,000"
		DepreciationAndAmortizationInIncomeStatement,"603,430,000","155,796,000","151,660,000","150,694,000","145,280,000","144,501,000","142,090,000","138,147,000","137,266,000","135,027,000","133,764,000","133,315,000","133,031,000","133,609,000","130,220,000","139,371,000","146,450,000","144,500,000","107,020,000","67,466,000","67,515,000","67,577,000","69,420,000","66,480,000","66,079,000","65,702,000","63,791,000"
OperatingIncome,"576,986,000","155,639,000","150,841,000","137,099,000","133,407,000","129,559,000","121,815,000","110,244,000","116,532,000","119,246,000","113,001,000","102,243,000","110,000,000","99,847,000","100,575,000","87,015,000","81,569,000","73,602,000","30,221,000","44,489,000","54,300,000","13,290,000","47,920,000","45,786,000","50,198,000","51,080,000","34,277,000"
NetNonOperatingInterestIncomeExpense,"-313,644,000","-74,389,000","-79,121,000","-79,370,000","-80,764,000","-83,406,000","-95,382,000","-87,713,000","-86,071,000","-84,757,000","-88,417,000","-89,067,000","-95,706,000","-93,983,000","-96,506,000","-97,564,000","-97,226,000","-92,299,000","-74,244,000","-56,796,000","-57,358,000","-68,572,000","-76,883,000","-68,365,000","-70,523,000","-70,277,000","-69,606,000"
	InterestExpenseNonOperating,"313,644,000","74,389,000","79,121,000","79,370,000","80,764,000","83,406,000","95,382,000","87,713,000","86,071,000","84,757,000","88,417,000","89,067,000","95,706,000","93,983,000","96,506,000","97,564,000","97,226,000","92,299,000","74,244,000","56,796,000","57,358,000","68,572,000","76,883,000","68,365,000","70,523,000","70,277,000","69,606,000"
OtherIncomeExpense,"34,715,000","11,753,000","3,151,000","11,766,000","8,045,000","-2,915,000","44,697,000","10,334,000","12,717,000","15,787,000","27,970,000","20,807,000","25,111,000","15,305,000","42,600,000","78,000","-2,472,000","-4,385,000","-8,088,000","-13,959,000","-1,575,000","-1,430,000","-3,098,000","-2,336,000","-361,000","30,000","-3,210,000"
	GainOnSaleOfSecurity,"54,238,000","14,994,000","10,961,000","17,366,000","10,917,000","-3,140,000","42,844,000","15,106,000","11,167,000","15,200,000","31,780,000","20,812,000","26,172,000","17,572,000","28,727,000",,,,,,,,,,,,
	EarningsFromEquityInterest,"-4,217,000","-2,320,000","-2,110,000","202,000","11,000","351,000",,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-9,835,000","-1,515,000","-3,046,000","-4,294,000","-980,000","-356,000","3,974,000","-1,723,000","180,000","-3,127,000","-6,940,000","-4,740,000","-1,671,000","-5,392,000","-7,343,000","-3,252,000","-4,103,000","-6,121,000","-7,611,000","-14,572,000","-706,000","-1,204,000","-2,565,000","-1,279,000","-546,000","183,000","-641,000"
		ImpairmentOfCapitalAssets,"9,835,000","1,515,000","3,046,000","4,294,000","980,000","356,000","-3,974,000","1,723,000","-180,000","3,127,000","6,940,000","4,740,000","1,671,000","5,392,000","7,343,000","3,252,000","4,103,000","6,121,000","7,611,000","14,572,000","706,000","1,204,000","2,565,000","1,279,000","546,000","-183,000","641,000"
		WriteOff,,,,,,,"-3,974,000","1,723,000","-180,000","3,127,000","6,940,000","4,740,000","1,671,000","5,392,000","7,343,000","3,252,000","4,103,000","6,121,000","7,611,000","14,572,000","706,000","1,204,000","2,565,000","1,279,000","546,000","-183,000","641,000"
	OtherNonOperatingIncomeExpenses,"-5,471,000","594,000","-2,654,000","-1,508,000","-1,903,000","230,000","-2,121,000","-3,049,000","1,370,000","3,714,000","3,130,000","4,735,000","610,000","3,125,000","261,000","3,330,000","1,631,000","1,736,000","-477,000","613,000","-869,000","-226,000","-533,000","-1,057,000","185,000","-153,000","-2,569,000"
PretaxIncome,"298,057,000","93,003,000","74,871,000","69,495,000","60,688,000","43,238,000","71,130,000","32,865,000","43,178,000","50,276,000","52,554,000","33,983,000","39,405,000","21,169,000","46,669,000","-10,471,000","-18,129,000","-23,082,000","-52,111,000","-26,266,000","-4,633,000","-56,712,000","-32,061,000","-24,915,000","-20,686,000","-19,167,000","-38,539,000"
NetIncomeCommonStockholders,"296,221,000","92,395,000","74,476,000","69,108,000","60,242,000","57,272,000","70,586,000","32,540,000","42,784,000","49,854,000","51,903,000","33,616,000","38,833,000","20,716,000","25,078,000","824,000","-14,155,000","-17,491,000","-45,965,000","-22,745,000","5,420,000","-42,391,000","-64,174,000","-21,949,000","-19,666,000","-9,975,000","17,612,000"
	NetIncome,"296,673,000","92,615,000","74,543,000","69,177,000","60,338,000","57,367,000","70,699,000","32,654,000","42,903,000","49,956,000","51,992,000","33,707,000","38,942,000","20,822,000","25,268,000","1,020,000","-13,946,000","-17,269,000","-45,965,000","-22,510,000","5,529,000","-42,391,000","-26,649,000","-21,949,000","-19,666,000","-9,975,000","-38,542,000"
		NetIncomeIncludingNoncontrollingInterests,"298,057,000","93,003,000","74,871,000","69,495,000","60,688,000","57,722,000","71,130,000","32,865,000","43,178,000","50,276,000","52,554,000","33,983,000","39,405,000","21,169,000","25,714,000","1,041,000","-14,188,000","-17,580,000","-46,454,000","-22,510,000","5,529,000","-42,391,000","-26,649,000","-21,949,000","-19,666,000","-9,975,000","-38,542,000"
