name,ttm,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989
TotalRevenue,"581,214,000","148,747,000","144,922,000","140,128,000","147,417,000","122,488,000","121,280,000","122,385,000","109,699,000","100,383,000","109,683,000","117,038,000","106,716,000","99,995,000","89,549,000","111,333,000","95,683,000","96,102,000","94,047,000","116,079,000","97,310,000","93,213,000","90,970,000","117,724,000","102,018,000","96,118,000","89,481,000","112,718,000","94,637,000","88,817,000","81,381,000","97,894,000","79,274,000","80,827,000","74,538,000","90,980,000","77,578,000","81,705,000","89,269,000","-1,953,000","107,173,000","114,596,000","124,426,000","136,340,000","128,334,000","134,684,000","134,237,000","145,180,000","128,737,000","127,656,000","127,547,000","136,797,000","119,433,000","117,047,000","120,860,000","139,431,000","126,620,000","127,942,000","121,567,000","136,825,000","121,804,000","119,642,000","115,229,000","122,194,000","111,362,000","109,586,000","103,921,000","107,957,000","99,488,000","100,209,000","97,722,000","96,194,000","89,316,000","90,777,000","86,375,000","81,993,000","77,695,000","77,550,000","71,822,000","72,103,000","68,983,000","67,302,000","64,248,000","69,342,000","66,689,000","65,728,000","60,239,000","66,407,000","65,409,000","67,400,000","72,131,000","78,000,000","70,200,000","70,800,000","67,100,000","69,200,000","59,500,000","57,100,000","54,100,000","52,200,000","45,900,000","44,800,000","45,300,000","45,200,000","41,400,000","41,700,000","48,400,000","53,000,000","45,000,000","42,800,000","39,400,000","40,300,000","33,900,000","34,000,000","31,100,000","32,500,000","27,400,000","26,700,000","25,000,000","24,500,000","22,400,000","19,700,000","18,500,000","17,400,000","13,700,000","13,600,000","13,600,000","10,100,000","10,000,000","10,000,000","10,000,000","6,400,000","6,400,000","6,300,000","6,300,000"
	OperatingRevenue,"581,214,000","148,747,000","144,922,000","140,128,000","147,417,000","122,488,000","121,280,000","122,385,000","109,699,000","100,383,000","109,683,000","117,038,000","106,716,000","99,995,000","89,549,000","111,333,000","95,683,000","96,102,000","94,047,000","116,079,000","97,310,000","93,213,000","90,970,000","117,724,000","102,018,000","96,118,000","89,481,000","112,718,000","94,637,000","88,817,000","81,381,000","97,894,000","79,274,000","80,827,000","74,538,000","90,980,000","77,578,000","81,705,000","89,269,000","-1,953,000","107,173,000","114,596,000","124,426,000","136,340,000","128,334,000","134,684,000","134,237,000","145,180,000","128,737,000","127,656,000","127,547,000","136,797,000","119,433,000","117,047,000","120,860,000","139,431,000","126,620,000","127,942,000","121,567,000","136,825,000","121,804,000","119,642,000","115,229,000","122,194,000","111,362,000","109,586,000","103,921,000","107,957,000","99,488,000","100,209,000","97,722,000","96,194,000","89,316,000","90,777,000","86,375,000","81,993,000","77,695,000","77,550,000","71,822,000","72,103,000","68,983,000","67,302,000","64,248,000","69,342,000","66,689,000","65,728,000","60,239,000","66,407,000","65,409,000","67,400,000","72,131,000","78,000,000","70,200,000","70,800,000","67,100,000","69,200,000","59,500,000","57,100,000","54,100,000","52,200,000","45,900,000","44,800,000","45,300,000","45,200,000","41,400,000","41,700,000","48,400,000","53,000,000","45,000,000","42,800,000","39,400,000","40,300,000","33,900,000","34,000,000","31,100,000","32,500,000","27,400,000","26,700,000","25,000,000","24,500,000","22,400,000","19,700,000","18,500,000","17,400,000","13,700,000","13,600,000","13,600,000","10,100,000","10,000,000","10,000,000","10,000,000","6,400,000","6,400,000","6,300,000","6,300,000"
CostOfRevenue,"88,317,000","23,957,000","23,212,000","21,080,000","20,068,000","19,310,000","17,991,000","18,231,000","14,738,000","14,259,000","14,886,000","20,766,000","20,825,000","17,611,000","16,039,000","16,731,000","16,696,000","16,643,000","16,903,000","17,959,000","18,075,000","17,367,000","15,758,000","16,538,000","17,189,000","16,235,000","15,750,000","15,237,000","15,132,000","15,746,000","17,628,000","11,139,000","7,861,000","7,378,000","7,881,000","8,095,000","8,519,000","8,489,000","11,382,000","-23,205,000","20,241,000","25,781,000","25,402,000","26,198,000","26,816,000","26,157,000","24,124,000","25,381,000","24,709,000","25,231,000","24,001,000","23,704,000","22,526,000","22,593,000","24,378,000","23,848,000","22,735,000","22,696,000","22,610,000","23,567,000","21,520,000","21,244,000","20,425,000","20,554,000","19,333,000","18,935,000","16,464,000","16,491,000","15,335,000","15,655,000","15,987,000","14,733,000","14,918,000","16,258,000","15,418,000","15,919,000","15,186,000","15,224,000","15,443,000","16,938,000","16,651,000","16,712,000","16,897,000","17,465,000","17,035,000","14,304,000","12,224,000","11,367,000","12,303,000","12,963,000","13,740,000","14,700,000","15,000,000","13,100,000","12,000,000","12,800,000","10,500,000","10,400,000","8,900,000","9,100,000","6,900,000","6,300,000","6,000,000","7,300,000","6,700,000","6,300,000","6,700,000","6,000,000","6,700,000","5,500,000","7,400,000","4,100,000","3,700,000","4,000,000","3,300,000","3,200,000","3,000,000","3,400,000","3,200,000","39,800,000","3,000,000","2,600,000","2,600,000","27,900,000","2,000,000",,,,,,,,,,
GrossProfit,"492,897,000","124,790,000","121,710,000","119,048,000","127,349,000","103,178,000","103,289,000","104,154,000","94,961,000","86,124,000","94,797,000","96,272,000","85,891,000","82,384,000","73,510,000","94,602,000","78,987,000","79,459,000","77,144,000","98,120,000","79,235,000","75,846,000","75,212,000","101,186,000","84,829,000","79,883,000","73,731,000","97,481,000","79,505,000","73,071,000","63,753,000","86,755,000","71,413,000","73,449,000","66,657,000","82,885,000","69,059,000","73,216,000","77,887,000","21,252,000","86,932,000","88,815,000","99,024,000","110,142,000","101,518,000","108,527,000","110,113,000","119,799,000","104,028,000","102,425,000","103,546,000","113,093,000","96,907,000","94,454,000","96,482,000","115,583,000","103,885,000","105,246,000","98,957,000","113,258,000","100,284,000","98,398,000","94,804,000","101,640,000","92,029,000","90,651,000","87,457,000","91,466,000","84,153,000","84,554,000","81,735,000","81,461,000","74,398,000","74,519,000","70,957,000","66,074,000","62,509,000","62,326,000","56,379,000","55,165,000","52,332,000","50,590,000","47,351,000","51,877,000","49,654,000","51,424,000","48,015,000","55,040,000","53,106,000","54,437,000","58,391,000","63,300,000","55,200,000","57,700,000","55,100,000","56,400,000","49,000,000","46,700,000","45,200,000","43,100,000","39,000,000","38,500,000","39,300,000","37,900,000","34,700,000","35,400,000","41,700,000","47,000,000","38,300,000","37,300,000","32,000,000","36,200,000","30,200,000","30,000,000","27,800,000","29,300,000","24,400,000","23,300,000","21,800,000","-15,300,000","19,400,000","17,100,000","15,900,000","-10,500,000","11,700,000",,,,,,,,,,
OperatingExpense,"355,217,000","92,446,000","90,855,000","92,134,000","79,782,000","80,116,000","74,320,000","79,362,000","60,552,000","60,120,000","62,731,000","75,566,000","68,877,000","63,759,000","57,686,000","65,197,000","56,627,000","57,202,000","57,512,000","65,211,000","57,262,000","54,856,000","56,802,000","69,296,000","66,155,000","66,884,000","67,020,000","72,066,000","67,688,000","70,986,000","71,089,000","56,749,000","49,730,000","51,415,000","51,513,000","55,154,000","53,040,000","54,792,000","62,212,000","-981,000","70,148,000","84,091,000","86,915,000","90,420,000","86,637,000","80,173,000","79,683,000","84,497,000","75,973,000","79,477,000","81,739,000","87,225,000","87,916,000","82,832,000","86,175,000","100,016,000","85,778,000","84,642,000","81,809,000","97,487,000","82,481,000","87,109,000","82,451,000","92,146,000","79,839,000","79,347,000","78,068,000","69,861,000","69,522,000","66,261,000","67,377,000","65,598,000","61,700,000","63,049,000","62,024,000","53,812,000","52,446,000","53,161,000","50,917,000","45,948,000","45,010,000","42,172,000","44,084,000","45,284,000","43,554,000","44,269,000","46,558,000","46,152,000","46,002,000","43,380,000","46,745,000","47,400,000","44,500,000","47,200,000","45,500,000","45,300,000","41,000,000","40,800,000","40,400,000","38,800,000","37,700,000","37,200,000","37,200,000","37,800,000","35,400,000","36,200,000","35,700,000","38,500,000","32,600,000","31,300,000","28,900,000","29,700,000","26,000,000","24,900,000","23,700,000","23,700,000","20,600,000","19,200,000","18,000,000","-19,300,000","15,800,000","14,100,000","13,500,000","-13,400,000","10,200,000",,,,,,,,,,
	SellingGeneralAndAdministration,"204,774,000","51,911,000","50,460,000","56,215,000","46,188,000","45,722,000","42,893,000","47,315,000","35,700,000","34,156,000","36,946,000","44,284,000","38,683,000","37,486,000","34,608,000","41,578,000","33,970,000","34,062,000","33,948,000","40,650,000","34,323,000","32,842,000","36,289,000","43,330,000","41,263,000","41,402,000","42,038,000","47,489,000","44,080,000","45,525,000","45,066,000","43,127,000","34,639,000","35,787,000","36,236,000","40,515,000","38,214,000","39,954,000","46,217,000","13,901,000","47,462,000","59,597,000","62,699,000","67,979,000","65,593,000","58,054,000","56,550,000","59,719,000","51,299,000","53,588,000","55,988,000","62,385,000","63,228,000","57,335,000","58,890,000","72,193,000","63,333,000","62,763,000","59,742,000","68,424,000","60,832,000","64,774,000","59,676,000","70,408,000","58,590,000","58,017,000","56,144,000","56,523,000","48,194,000","48,572,000","48,981,000","48,147,000","44,984,000","45,937,000","45,856,000","41,868,000","39,436,000","40,359,000","38,430,000","35,575,000","34,551,000","31,609,000","33,366,000","34,658,000","33,164,000","31,926,000","33,171,000","33,708,000","32,875,000","30,959,000","33,374,000","34,700,000","31,600,000","34,100,000","32,600,000","35,000,000","30,200,000","28,800,000","29,700,000","28,500,000","27,800,000","27,100,000","27,500,000","28,900,000","26,300,000","27,400,000","27,000,000","27,800,000","24,900,000","24,000,000","21,600,000","27,700,000","24,200,000","23,700,000","22,300,000","22,500,000","19,500,000","18,400,000","17,300,000","-19,800,000","15,200,000","13,500,000","12,900,000","-13,600,000","9,700,000",,,,,,,,,,
		GeneralAndAdministrativeExpense,"71,442,000","19,207,000","16,991,000","18,793,000","16,451,000","16,460,000","13,424,000","15,302,000","13,514,000","12,440,000","12,748,000","14,915,000","13,506,000","12,654,000","12,285,000","13,380,000","12,218,000","12,404,000","12,520,000","14,421,000","11,164,000","11,606,000","10,568,000","10,477,000","11,411,000","12,264,000","12,380,000","15,229,000","14,076,000","13,673,000","14,315,000","13,056,000","12,162,000","11,428,000","11,727,000","13,604,000","13,660,000","14,064,000","14,682,000","14,104,000","14,428,000","18,069,000","15,452,000","16,163,000","20,342,000","13,742,000","11,852,000","13,638,000","11,937,000","13,448,000","12,782,000","13,489,000","17,717,000","13,830,000","14,575,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,"14,051,000","13,555,000","12,732,000","13,428,000","11,887,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"45,156,000","19,207,000","2,940,000","5,238,000","3,719,000","3,032,000","1,537,000","15,302,000","13,514,000","12,440,000","12,748,000","14,915,000","13,506,000","12,654,000","12,285,000","13,380,000","12,218,000","12,404,000","12,520,000","14,421,000","11,164,000","11,606,000","10,568,000","10,477,000","11,411,000","12,264,000","12,380,000","15,229,000","14,076,000","13,673,000","14,315,000","13,056,000","12,162,000","11,428,000","11,727,000","13,604,000","13,660,000","14,064,000","14,682,000","14,104,000","14,428,000","18,069,000","15,452,000","16,163,000","20,342,000","13,742,000","11,852,000","13,638,000","11,937,000","13,448,000","12,782,000","13,489,000","17,717,000","13,830,000","14,575,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"133,332,000","32,704,000","33,469,000","37,422,000","29,737,000","29,262,000","29,469,000","32,013,000","22,186,000","21,716,000","24,198,000","29,369,000","25,177,000","24,832,000","22,323,000","28,198,000","21,752,000","21,658,000","21,428,000","26,229,000","23,159,000","21,236,000","25,721,000","32,853,000","29,852,000","29,138,000","29,658,000","32,260,000","30,004,000","31,852,000","30,751,000","30,071,000","22,477,000","24,359,000","24,509,000","26,911,000","24,554,000","25,890,000","31,535,000","-203,000","33,034,000","41,528,000","47,247,000","51,816,000","45,251,000","44,312,000","44,698,000","46,081,000","39,362,000","40,140,000","43,206,000","48,896,000","45,511,000","43,505,000","44,315,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
