name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,04/30/1988,04/30/1987,04/30/1986
			Payables,"104,025,000","117,239,000","119,971,000","118,120,000","94,152,000","96,388,000","89,260,000","61,917,000","55,511,000","68,045,000","71,852,000","62,935,000","65,365,000","72,421,000","75,090,000","62,885,000","62,403,000","66,672,000","53,426,000","47,352,000","51,282,000","50,998,000","46,875,000","45,064,000","44,661,000","46,017,000","45,040,000","48,189,000","46,168,000","49,490,000","55,419,000","58,354,000","56,177,000","53,814,000","56,463,000","52,449,000","50,542,000","50,369,000","52,011,000","52,084,000","56,630,000","48,375,000","48,503,000","45,907,000","49,537,000","50,734,000","46,773,000","43,299,000","54,718,000","48,247,000","46,318,000","39,245,000","41,571,000","49,821,000","58,348,000","49,973,000","56,421,000","61,683,000","54,194,000","52,515,000","68,089,000","60,236,000","72,308,000","74,368,000","85,561,000","77,479,000","73,397,000","69,342,000","82,792,000","72,618,000","86,716,000","85,186,000","93,298,000","69,475,000","81,259,000","48,011,000","78,931,000","74,070,000","85,904,000","77,986,000","68,497,000","73,198,000","88,604,000","76,845,000","92,830,000","90,784,000","108,305,000","83,207,000","90,392,000","57,900,000","59,500,000","46,700,000","45,400,000","49,000,000","50,700,000","35,600,000","36,700,000","38,700,000","37,600,000","30,000,000","28,600,000","33,900,000","41,700,000","27,000,000","31,000,000","33,200,000","34,800,000","29,200,000","29,300,000","29,800,000","27,200,000","24,200,000","21,600,000","22,700,000","28,500,000","20,900,000","20,000,000","21,800,000","22,800,000","19,000,000","18,400,000","17,500,000","24,800,000","14,800,000","15,800,000","17,200,000","24,700,000","16,900,000","19,300,000","21,600,000","25,000,000","19,600,000",,,,
				AccountsPayable,"104,025,000","117,239,000","119,971,000","118,120,000","94,152,000","96,388,000","89,260,000","61,917,000","55,511,000","68,045,000","71,852,000","62,935,000","65,365,000","72,421,000","75,090,000","62,885,000","62,403,000","66,672,000","53,426,000","47,352,000","51,282,000","50,998,000","46,875,000","45,064,000","44,661,000","46,017,000","45,040,000","48,189,000","46,168,000","49,490,000","55,419,000","58,354,000","56,177,000","53,814,000","56,463,000","52,449,000","50,542,000","50,369,000","52,011,000","52,084,000","56,630,000","48,375,000","48,503,000","45,907,000","49,537,000","50,734,000","46,773,000","43,299,000","54,718,000","48,247,000","46,318,000","39,245,000","41,571,000","49,821,000","58,348,000","49,973,000","56,421,000","61,683,000","54,194,000","52,515,000","68,089,000","60,236,000","72,308,000","74,368,000","85,561,000","77,479,000","73,397,000","69,342,000","82,792,000","72,618,000","86,716,000","85,186,000","93,298,000","69,475,000","81,259,000","48,011,000","78,931,000","74,070,000","85,904,000","77,986,000","68,497,000","73,198,000","88,604,000","76,845,000","92,830,000","90,784,000","108,305,000","83,207,000","90,392,000","57,900,000","59,500,000","46,700,000","45,400,000","49,000,000","50,700,000","35,600,000","36,700,000","38,700,000","37,600,000","30,000,000","28,600,000","33,900,000","41,700,000","27,000,000","31,000,000","33,200,000","34,800,000","29,200,000","29,300,000","29,800,000","27,200,000","24,200,000","21,600,000","22,700,000","28,500,000","20,900,000","20,000,000","21,800,000","22,800,000","19,000,000","18,400,000","17,500,000","24,800,000","14,800,000","15,800,000","17,200,000","24,700,000","16,900,000","19,300,000","21,600,000","25,000,000","19,600,000",,,,
			CurrentAccruedExpenses,"78,809,000","72,030,000","68,835,000","58,187,000","76,993,000","62,725,000","59,309,000","53,799,000","49,244,000","195,349,000","181,730,000","168,757,000","67,266,000","176,277,000","176,075,000","127,708,000","53,154,000","131,166,000","133,257,000","126,948,000","58,420,000","138,852,000","116,498,000","106,513,000","57,992,000","108,683,000","112,923,000","96,563,000","50,893,000","103,250,000","103,198,000","92,246,000","52,482,000","99,841,000","97,193,000","84,406,000","48,802,000","96,113,000","79,969,000","73,350,000","44,868,000","86,048,000","82,622,000","75,404,000","7,977,000","77,061,000","77,626,000","73,805,000","91,496,000","88,635,000","86,167,000","77,037,000","75,733,000","89,263,000","88,964,000","88,655,000","9,184,000","103,387,000","103,130,000","97,445,000","82,818,000","105,636,000","114,762,000","116,686,000","132,005,000","129,203,000","130,154,000","112,587,000","133,172,000","122,148,000","126,992,000","113,317,000","147,460,000","121,017,000","126,244,000","106,734,000","134,037,000","125,504,000","137,941,000","127,890,000","156,120,000",,,,"78,550,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,"43,397,000","62,546,000","48,403,000","45,135,000","39,562,000","34,980,000",,,,"53,374,000",,,,"40,467,000",,,,"45,229,000",,,,"45,611,000",,,,"40,711,000",,,,"42,667,000",,,,"39,270,000",,,,"36,638,000",,,,"29,447,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"75,271,000","73,222,000","67,859,000","67,408,000","67,614,000","66,416,000","65,758,000","114,399,000","139,376,000","65,128,000","64,024,000","64,158,000","180,000","20,205,000","35,217,000","221,000","223,000","231,000","238,000","206,000","219,000","243,000","254,000","266,000","290,000","300,000","4,344,000","432,000","397,000","331,000","353,000","376,000","7,497,000","7,574,000","7,604,000","7,564,000","513,000","327,000","368,000","373,000","1,829,000","1,823,000","2,481,000","917,000","5,120,000","5,099,000","5,143,000","5,223,000","1,066,000","1,848,000","2,067,000","2,121,000","8,724,000","9,547,000","17,164,000","9,086,000","4,792,000","4,154,000","38,353,000","37,910,000","37,688,000","19,014,000","38,295,000","2,974,000","10,844,000","16,284,000","32,800,000","24,801,000","12,760,000","14,276,000","36,704,000","7,864,000","42,563,000","7,893,000","10,902,000","1,282,000","1,619,000","2,130,000","2,277,000","2,276,000","2,276,000","1,884,000","7,047,000","24,445,000","16,225,000","2,061,000","2,079,000","9,861,000","13,576,000","2,400,000","2,400,000","2,500,000","2,800,000","5,700,000","5,800,000","6,000,000","6,200,000","6,700,000","6,900,000","6,500,000","6,600,000","6,700,000","6,700,000","6,700,000","7,700,000","8,100,000","7,900,000","7,800,000","6,800,000","1,900,000","1,900,000","1,900,000","2,900,000","2,900,000","3,400,000","3,300,000","500,000","3,100,000","4,000,000","4,400,000","4,800,000","7,900,000","8,200,000","8,300,000","8,700,000","8,700,000","12,200,000","13,800,000","9,000,000","8,500,000","8,700,000","9,000,000","9,600,000","17,800,000","7,000,000","5,400,000"
			CurrentDebt,,,,,,,,"50,000,000","75,000,000",,,,"180,000","20,205,000","35,217,000","221,000","223,000",,,,"219,000",,,,,,"4,000,000",,"397,000","331,000","353,000","376,000","7,497,000","7,574,000","7,604,000","7,564,000","513,000","327,000","368,000","373,000","1,829,000","1,823,000","2,481,000","917,000","5,120,000","5,099,000","5,143,000","5,223,000","1,066,000","1,848,000","2,067,000","2,121,000","8,724,000","9,547,000","17,164,000","9,086,000","4,792,000","4,154,000","38,353,000","37,910,000","37,688,000","19,014,000","38,295,000","2,974,000","10,844,000","16,284,000","32,800,000","24,801,000","12,760,000","14,276,000","36,704,000","7,864,000","42,563,000","7,893,000","10,902,000","1,282,000","1,619,000","2,130,000","2,277,000","2,276,000","2,276,000","1,884,000","7,047,000","24,445,000","16,225,000","2,061,000","2,079,000","9,861,000","13,576,000","2,400,000","2,400,000","2,500,000","2,800,000","5,700,000","5,800,000","6,000,000","6,200,000","6,700,000","6,900,000","6,500,000","6,600,000","6,700,000","6,700,000","6,700,000","7,700,000","8,100,000","7,900,000","7,800,000","6,800,000","1,900,000","1,900,000","1,900,000","2,900,000","2,900,000","3,400,000","3,300,000","500,000","3,100,000","4,000,000","4,400,000","4,800,000","7,900,000","8,200,000","8,300,000","8,700,000","8,700,000","12,200,000","13,800,000","9,000,000","8,500,000","8,700,000","9,000,000","9,600,000","17,800,000","7,000,000","5,400,000"
				LineOfCredit,,,,,"0","0",,,"75,000,000",,,,,"20,000,000","35,000,000",,,,,,,,,,,,"4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,,,,,,,,"50,000,000",,,,,,"205,000","217,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"75,271,000","73,222,000","67,859,000","67,408,000","67,614,000","66,416,000","65,758,000","64,399,000","64,376,000","65,128,000","64,024,000","64,158,000","180,000",,,,"223,000","231,000","238,000","206,000","219,000","243,000","254,000","266,000","290,000","300,000","344,000","432,000","397,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"322,239,000","351,572,000","329,557,000","313,157,000","289,226,000","256,490,000","208,589,000","141,518,000","57,807,000",,,,"59,825,000",,,,"31,282,000",,,,"26,595,000",,,,"20,961,000",,,,"23,722,000",,,,"20,903,000",,,,"15,852,000",,,,"12,204,000",,,,"11,203,000",,,,,,,,,,,,,"669,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
