name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000
TotalAssets,"2,141,521,000","2,058,474,000","2,042,363,000","2,032,198,000","1,828,786,000","1,786,657,000","1,717,866,000","1,717,003,000","1,699,392,000","1,646,986,000","1,617,900,000","1,596,676,000","1,526,068,000","1,109,330,000","910,642,000","912,984,000","923,628,000","868,979,000","847,919,000","851,820,000","853,982,000","849,476,000","843,399,000","828,341,000","845,710,000","838,435,000","808,875,000","788,503,000","742,405,000","740,680,000","748,519,000","738,446,000","737,244,000","722,576,000","715,132,000","726,733,000","727,134,000","715,119,000","625,008,000","627,609,000","626,284,000","619,188,000","572,234,000","571,071,000","556,582,000","539,514,000","537,650,000","529,000,000","470,673,000","480,671,000","476,167,000","482,288,000","491,823,000","495,572,000","517,627,000","509,828,000","497,923,000","433,620,000","433,965,000","393,354,000","396,276,000","131,366,000","126,600,000","122,979,000","118,585,000","121,233,000","122,561,000","125,376,000","125,648,000","127,451,000","135,807,000","140,206,000","143,447,000","142,035,000","145,818,000","150,662,000","154,638,000","151,639,000","151,590,000","147,045,000","139,351,000","128,429,000","110,549,000","95,808,626","91,351,758","90,625,095","85,987,970","76,922,218","75,900,000"
	CurrentAssets,"288,696,000","324,264,000","339,996,000","334,919,000","222,997,000","270,424,000","259,056,000","247,520,000","280,199,000","243,215,000","239,719,000","234,474,000","216,131,000","208,690,000","227,016,000","206,131,000","230,202,000","235,351,000","201,556,000","207,651,000","208,440,000","217,914,000","237,681,000","222,581,000","237,941,000","230,522,000","256,303,000","243,389,000","194,320,000","192,020,000","197,249,000","188,316,000","182,866,000","176,344,000","158,224,000","162,270,000","164,375,000","155,900,000","149,268,000","152,848,000","155,664,000","152,327,000","138,593,000","132,423,000","121,225,000","111,025,000","135,538,000","127,895,000","99,635,000","107,909,000","103,144,000","105,111,000","107,770,000","108,570,000","118,595,000","112,029,000","116,468,000","97,681,000","108,791,000","90,725,000","92,132,000","32,689,000","28,869,000","25,302,000","24,820,000","24,596,000","22,481,000","22,100,000","21,278,000","22,854,000","25,812,000","27,013,000","26,808,000","27,774,000","29,448,000","32,038,000","32,597,000","34,558,000","35,064,000","37,918,000","37,051,000","35,594,000","29,615,000","25,863,630","25,278,013","23,597,898","20,641,077","22,810,606","21,700,000"
		CashCashEquivalentsAndShortTermInvestments,"70,713,000","134,606,000","151,253,000","140,852,000","31,091,000","102,018,000","89,739,000","84,583,000","94,282,000","40,165,000","37,688,000","30,504,000","10,428,000","10,389,000","27,227,000","16,252,000","35,043,000","51,322,000","8,468,000","12,707,000","8,294,000","20,638,000","358,000","433,000","410,000","446,000","36,054,000","5,319,000","154,000","307,000","274,000","831,000","291,000","8,412,000","268,000","251,000","431,000","362,000","388,000","234,000","1,834,000","2,455,000","254,000","178,000","259,000","627,000","24,462,000","20,476,000","0","10,094,000","1,198,000","0","0",,,,,"18,000",,"18,000","1,175,000","2,000","2,000","2,000","2,000","2,000","2,000","1,000","2,000","1,000","272,000","2,000","1,000","30,000","58,000","54,000","50,000","36,000","30,000","7,000","3,000","40,000","25,000","46,374","21,309","36,092","4,967","43,254",
			CashAndCashEquivalents,"70,713,000","134,606,000","151,253,000","140,852,000","31,091,000","102,018,000","89,739,000","84,583,000","94,282,000","40,165,000","37,688,000","30,504,000","10,428,000","10,389,000","27,227,000","16,252,000","35,043,000","51,322,000","8,468,000","12,707,000","8,294,000","20,638,000","358,000","433,000","410,000","446,000","36,054,000","5,319,000","154,000","307,000","274,000","831,000","291,000","8,412,000","268,000","251,000","431,000","362,000","388,000","234,000","1,834,000","2,455,000","254,000","178,000","259,000","627,000","24,462,000","20,476,000","0","10,094,000","1,198,000","0","0",,,,,"18,000",,"18,000","1,175,000","2,000","2,000","2,000","2,000","2,000","2,000","1,000","2,000","1,000","272,000","2,000","1,000","30,000","58,000","54,000","50,000","36,000","30,000","7,000","3,000","40,000","25,000","46,374","21,309","36,092","4,967","43,254",
		Receivables,"165,508,000","140,446,000","158,689,000","163,618,000","154,186,000","135,421,000","137,835,000","127,217,000","145,477,000","156,005,000","152,133,000","159,972,000","157,386,000","149,514,000","157,155,000","152,690,000","162,200,000","157,861,000","169,907,000","173,242,000","171,660,000","166,638,000","186,478,000","169,359,000","181,555,000","167,658,000","161,809,000","161,117,000","155,036,000","149,796,000","155,011,000","147,017,000","140,629,000","133,599,000","134,265,000","139,373,000","134,939,000","129,194,000","128,637,000","131,443,000","133,971,000","128,432,000","122,036,000","116,902,000","104,666,000","96,094,000","94,604,000","94,351,000","88,219,000","87,825,000","92,418,000","94,768,000","97,273,000","96,200,000","107,714,000","100,857,000","97,066,000","87,390,000","92,767,000","79,461,000","82,879,000","29,084,000","25,334,000","23,537,000","23,018,000","22,795,000","20,580,000","22,099,000","19,267,000","20,995,000","22,571,000","25,496,000","24,951,000","25,652,000","26,720,000","29,578,000","29,703,000","30,904,000","31,101,000","31,105,000","29,309,000","28,897,000","28,136,000","24,631,157","23,983,665","22,486,422","19,693,813","19,123,534","17,800,000"
			AccountsReceivable,"159,725,000","135,062,000","152,409,000","157,328,000","146,665,000","129,585,000","137,411,000","125,745,000","144,259,000","154,763,000","150,748,000","159,323,000","156,767,000","148,919,000","156,401,000","152,174,000","161,650,000","155,518,000","168,593,000","170,155,000","169,538,000","164,210,000","183,229,000","165,086,000","177,830,000","162,843,000","159,205,000","155,964,000","153,258,000","148,235,000","155,011,000","147,017,000","140,629,000","133,599,000","134,265,000","139,373,000","134,939,000","129,194,000","128,637,000","131,443,000","133,971,000","128,432,000","122,036,000","116,902,000","104,666,000","96,094,000","94,604,000","94,351,000","88,219,000","87,825,000","92,264,000","94,617,000","97,170,000","96,097,000","107,611,000","100,754,000","96,963,000","87,285,000","92,662,000","79,356,000","76,343,000","28,136,000","24,299,000","23,537,000","21,942,000","22,319,000","19,809,000","20,485,000","18,769,000","20,029,000","21,528,000","23,481,000","24,370,000","25,472,000","26,715,000","29,441,000","28,319,000","29,453,000","28,956,000","30,793,000","28,795,000","28,764,000","26,905,000","23,350,467","22,508,500",,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,"190,162,000",,,,"184,884,000",,,,"183,637,000",,,,"163,344,000",,,,"146,334,000",,,,"145,881,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,"-34,644,000",,,,"-20,674,000",,,,"-20,794,000",,,,"-15,109,000",,,,"-12,735,000",,,,"-16,687,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","154,000","151,000","103,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,"5,783,000","5,384,000","6,280,000","6,290,000","7,521,000","5,836,000","424,000","1,472,000","1,218,000","1,242,000","1,385,000","649,000","619,000","595,000","754,000","516,000","550,000","2,343,000","1,314,000","3,087,000","2,122,000","2,428,000","3,249,000","4,273,000","3,725,000","4,815,000","2,604,000","5,153,000","1,778,000","1,561,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","103,000","103,000","103,000","103,000","105,000","105,000","105,000","6,536,000","948,000","1,035,000","0","1,076,000","476,000","771,000","1,614,000","498,000","966,000","1,043,000","2,015,000","581,000","180,000","5,000","137,000","1,384,000","1,451,000","2,145,000","312,000","514,000","133,000","1,231,000","1,280,690","1,475,165",,,,
		PrepaidAssets,"52,475,000","49,212,000","30,054,000","30,449,000","37,720,000","32,985,000","31,482,000","35,720,000","40,440,000","45,004,000","47,857,000","41,957,000","46,276,000","46,288,000","40,135,000","34,690,000","30,460,000","26,168,000","23,181,000","21,702,000","23,635,000","28,435,000","28,566,000","30,510,000","33,698,000","40,139,000","41,194,000","28,528,000","21,884,000","24,671,000","25,272,000","23,776,000","25,255,000","21,012,000","17,803,000","16,758,000","20,213,000","18,737,000","20,243,000","21,171,000","19,859,000","19,140,000","16,303,000","15,343,000","16,300,000","14,304,000","16,472,000","13,068,000","11,416,000","9,990,000","9,528,000","10,343,000","10,497,000","12,370,000",,"11,172,000","11,356,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,046,000",,"6,909,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,"0","22,279,000","22,279,000","22,278,000","22,279,000","17,246,000","17,246,000","17,246,000","17,246,000","16,692,000","16,692,000","16,691,000","13,321,000","5,888,000","5,888,000","8,792,000","7,607,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,009,000","1,858,000",,,,"2,092,000",,"1,101,000","1,100,000","2,100,000","2,235,000","5,235,000","5,235,000","5,235,000",,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,"0","22,279,000","22,279,000","22,278,000","22,279,000","17,246,000","17,246,000","17,246,000","17,246,000","16,692,000","16,692,000","16,691,000","13,321,000","5,888,000","5,888,000","8,792,000","7,607,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,009,000","1,858,000",,,,"2,092,000",,"1,101,000","1,100,000","2,100,000","2,235,000","5,235,000","5,235,000","5,235,000",,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,"2,041,000","2,041,000","2,041,000","2,041,000","2,499,000","2,499,000","2,499,000","2,499,000",,"0","0","4,851,000","2,203,000",,,,,,"31,179,000",,,,,,,,,,"0","0","0","0","2,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
