name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,09/30/2015,07/31/2015,06/30/2015,04/30/2015
TotalAssets,"1,129,600,000","1,087,400,000","1,109,700,000","1,088,100,000","1,045,800,000","1,126,900,000","1,175,600,000","1,134,000,000","1,138,100,000","1,140,600,000","1,190,100,000","1,503,000,000","1,499,800,000","1,390,868,000","1,406,534,000","1,324,102,000","1,210,394,000","1,125,668,000","857,421,000","694,995,000","601,050,000","200,418,000","200,528,000","200,884,000","201,445,000","201,823,000","177,351,000","188,000","42,000"
	CurrentAssets,"385,400,000","350,100,000","367,800,000","334,600,000","293,500,000","365,100,000","398,800,000","361,100,000","372,300,000","327,100,000","343,700,000","326,700,000","313,300,000","308,050,000","312,673,000","332,374,000","378,711,000","266,711,000","252,219,000","157,602,000","126,374,000","635,000","852,000","1,213,000","1,679,000","2,090,000","2,351,000","1,000","25,000"
		CashCashEquivalentsAndShortTermInvestments,"153,500,000","147,500,000","143,600,000","111,700,000","107,300,000","176,200,000","189,800,000","157,300,000","107,500,000","95,700,000","79,600,000","63,700,000","62,400,000","45,974,000","18,077,000","78,734,000","182,698,000","90,679,000","112,510,000","41,584,000","38,549,000","591,000","818,000","1,169,000","1,594,000","2,019,000","2,266,000","1,000","25,000"
			CashAndCashEquivalents,"153,500,000","147,500,000","143,600,000","111,700,000","107,300,000","176,200,000","189,800,000","157,300,000","107,500,000","95,700,000","79,600,000","63,700,000","62,400,000","45,974,000","18,077,000","78,734,000","182,698,000","90,679,000","112,510,000","41,584,000","38,549,000","591,000","818,000","1,169,000","1,594,000","2,019,000","2,266,000","1,000","25,000"
				CashFinancial,"153,500,000",,"143,600,000","111,700,000","107,300,000",,"189,800,000","157,300,000","107,500,000","95,700,000","79,600,000","63,700,000","62,400,000","45,974,000",,,,,,"41,584,000","38,549,000","591,000","818,000","1,169,000","1,594,000","2,019,000","2,266,000","1,000","25,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,"15,744,000","13,346,000","11,158,000","10,979,000","6,022,000","4,790,000","4,015,000",,,,,,,,
		Receivables,"204,100,000","174,200,000","196,400,000","194,800,000","160,300,000","157,100,000","174,500,000","162,700,000","167,800,000","199,400,000","231,800,000","231,300,000","219,000,000","226,841,000","251,382,000","209,345,000","155,462,000","139,676,000","113,737,000","93,567,000","72,489,000",,,,,,,,
			AccountsReceivable,"202,200,000","172,300,000","189,100,000","189,800,000","157,700,000","154,400,000","172,500,000","162,000,000","166,600,000","197,800,000","230,300,000","231,000,000","218,100,000","209,206,000","233,983,000","195,606,000","143,402,000","127,368,000","106,081,000","88,224,000","67,342,000",,,,,,,,
				GrossAccountsReceivable,"204,300,000","174,400,000","191,200,000","191,800,000","160,800,000","157,400,000","176,600,000","166,600,000","170,900,000","201,300,000","232,900,000","231,900,000","219,300,000","210,361,000","234,771,000","196,004,000","143,585,000",,"106,463,000","88,570,000","67,596,000",,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,100,000","-2,100,000","-2,100,000","-2,000,000","-3,100,000","-3,000,000","-4,100,000","-4,600,000","-4,300,000","-3,500,000","-2,600,000","-900,000","-1,200,000","-1,155,000","-788,000","-398,000","-183,000",,"-382,000","-346,000","-254,000",,,,,,,,
