name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,12/31/2016,12/31/2015,09/30/2015,06/30/2015,12/31/2014
TotalAssets,"1,145,854,000","881,765,000","525,689,000","699,912,000","810,129,000","960,569,000","768,334,000","870,106,000","688,939,000","389,244,980","466,356,957","316,704,010","318,353,078","203,533,559","239,145,771","266,817,668","163,203,007","182,131,456","19,141,283","56,691,679","27,433,258","38,177,109","13,742,180","16,817,771","14,306,238"
	CurrentAssets,"1,103,982,000","824,047,000","475,427,000","655,126,000","773,625,000","917,192,000","742,349,000","853,825,000","672,407,000","373,094,684","451,194,872","308,412,717","310,527,863","202,439,221","238,932,792","266,701,518","163,086,857","182,015,306","19,032,933","56,565,519","27,368,730","38,043,838","13,571,638","16,710,935","14,247,342"
		CashCashEquivalentsAndShortTermInvestments,"965,298,000","700,550,000","430,311,000","599,010,000","723,672,000","877,648,000","728,158,000","832,824,000","646,694,000","351,985,085","433,994,644","289,128,569","288,246,706","176,267,666","220,640,818","253,839,540","152,930,977","175,643,529","13,135,848","52,186,169","24,863,488","36,003,546","10,032,116","14,865,008","13,622,995"
			CashAndCashEquivalents,"633,456,000","640,192,000","283,745,000","270,764,000","265,435,000","565,779,000","415,560,000","317,348,000","417,881,000","351,985,085","433,994,644","289,128,569","288,246,706","176,267,666","220,640,818","253,839,540","152,930,977","175,643,529","13,135,848","52,186,169","24,863,488","36,003,546","10,032,116","14,865,008","13,622,995"
			OtherShortTermInvestments,"331,842,000","60,358,000","146,566,000","328,246,000","458,237,000","311,869,000","312,598,000","515,476,000","228,813,000",,,,,,,,,,,,,,,,
		Receivables,"6,330,000","10,103,000","3,522,000","719,000",,,,,,,,,,,"1,364,259","1,996,996","1,828,565",,,,,,"1,549,616","1,486,210","465,850"
			AccountsReceivable,"6,330,000","10,103,000","3,522,000","719,000",,,,,,,,,,,,,,,,,,,,"216,384","22,510"
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,"1,268,941","1,269,826","443,340"
			OtherReceivables,,,,,,,,,,,,,,,"1,364,259","1,996,996","1,828,565",,,,,,"280,675","216,384","22,510"
		Inventory,"32,850,000","16,286,000","1,677,000","3,731,000",,,,,,,,,,,,,,,,,,,,,
			RawMaterials,"14,301,000","16,286,000","1,677,000","3,731,000",,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"18,549,000",,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"24,534,000","24,868,000","17,374,000","18,866,000","17,203,000","11,400,000","11,299,000","17,925,000","22,806,000","19,802,008","14,742,698","13,977,215","20,509,948","24,333,851","16,846,183","10,857,287","8,121,602","5,059,593",,,,,"266,425","310,814","137,354"
		RestrictedCash,"1,558,000","1,563,000","1,563,000","1,572,000","1,552,000","1,266,000","1,255,000","1,248,000","1,016,000",,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,"1,664,566",,
		OtherCurrentAssets,"73,412,000","70,677,000","20,980,000","31,228,000","31,198,000","26,878,000","1,637,000","1,828,000","1,891,000","1,307,591","2,457,530","5,306,933","1,771,209","1,837,704","1,445,791","2,004,691","2,034,278","1,312,184","5,897,085","4,379,350","2,505,242","2,040,292","58,915","48,903","21,143"
	TotalNonCurrentAssets,"41,872,000","57,718,000","50,262,000","44,786,000","36,504,000","43,377,000","25,985,000","16,281,000","16,532,000","16,150,296","15,162,085","8,291,293","7,825,215","1,094,338","212,979","116,150","116,150","116,150","108,350","126,160","64,528","133,271","170,542","106,836","58,896"
		NetPPE,"25,865,000","26,078,000","27,439,000","28,689,000","29,595,000","24,522,000","25,076,000","15,375,000","15,687,000","15,765,208","14,925,570","8,083,420","7,662,870",,,,,,,,,,"20,642","19,596","21,675"
			GrossPPE,"25,865,000","26,078,000","27,439,000","28,689,000","29,595,000","24,522,000","25,076,000","15,375,000","15,687,000","15,765,208","14,925,570","8,083,420","7,662,870",,,,,,,,,,"48,152","44,952","43,182"
				MachineryFurnitureEquipment,,,,,,,,,,,,,,,,,,,,,,,"48,152","44,952","43,182"
				OtherProperties,"25,865,000","26,078,000","27,439,000","28,689,000","29,595,000","24,522,000","25,076,000","15,375,000","15,687,000","15,765,208","14,925,570","8,083,420","7,662,870",,,,,,,,,,,,
			AccumulatedDepreciation,,,,,,,,,,,,,,,,,,,,,,,"-27,510","-25,356","-21,507"
		OtherNonCurrentAssets,"16,007,000","31,640,000","22,823,000","16,097,000","6,909,000","18,855,000","909,000","906,000","845,000","385,088","236,515","207,873","162,345","1,094,338","212,979","116,150","116,150","116,150","108,350","126,160","64,528","133,271","149,900","87,240","37,221"
TotalLiabilitiesNetMinorityInterest,"683,619,000","683,103,000","583,014,000","841,405,000","758,471,000","756,012,000","662,494,000","638,042,000","429,942,000","355,015,304","326,795,143","157,617,972","93,598,186","42,560,904","43,190,921","37,265,562","34,160,902","33,188,596","6,937,944","32,688,209","3,638,938","3,200,160","2,656,380","1,270,869","1,081,531"
	CurrentLiabilities,"124,769,000","131,847,000","94,237,000","157,787,000","83,670,000","128,327,000","75,273,000","57,990,000","50,740,000","65,752,819","44,572,363","35,591,073","20,386,473","17,024,607","16,034,440","10,254,195","7,294,859","6,553,958","6,937,944","6,118,369","3,638,938","3,200,160","2,656,380","1,270,869","1,081,531"
		PayablesAndAccruedExpenses,"117,545,000","120,148,000","74,831,000","139,642,000","73,556,000","120,412,000","71,835,000","55,326,000","48,008,000","63,143,478","42,268,216","34,041,424","19,258,753","15,357,940","16,034,440","10,254,195","7,294,859","6,553,958","6,937,944","6,118,369","3,638,938","3,200,160","2,091,449","1,270,869","1,081,531"
			Payables,"12,273,000","16,909,000","4,984,000","5,339,000","4,158,000","8,477,000","11,069,000","9,927,000","3,078,000","8,360,527","11,836,609","13,811,730","11,916,152","10,254,938","5,468,800","5,133,017","4,585,058","3,663,253","4,001,059","2,604,398","2,547,212","2,477,433","1,267,841","830,156","751,529"
				AccountsPayable,"12,273,000","16,909,000","4,984,000","5,339,000","4,158,000","8,477,000","11,069,000","9,927,000","3,078,000","8,360,527","11,836,609","13,811,730","11,916,152","10,254,938","5,468,800","5,133,017","4,585,058","3,663,253","4,001,059","2,604,398","2,547,212","2,477,433","1,267,841","830,156","751,529"
				OtherPayable,,,,,,,,,,,,,,,,,,,"0",,,,,,
			CurrentAccruedExpenses,"105,272,000","103,239,000","69,847,000","134,303,000","69,398,000","111,935,000","60,766,000","45,399,000","44,930,000","54,782,951","30,431,607","20,229,694","7,342,601","5,103,002","10,565,640","5,121,178","2,709,801","2,890,705","2,936,885","3,513,971","1,091,726","722,727","823,608","440,713","330,002"
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,,,,,,,,,,"1,072,751",,"91,598","273,737",,,
		CurrentDebtAndCapitalLeaseObligation,"4,560,000","4,115,000","4,072,000","4,035,000","3,902,000","3,685,000","3,438,000","2,664,000","2,732,000","2,609,341","2,304,147","1,549,649","1,127,720","1,666,667",,,,,,,,,,,
			CurrentDebt,,,,,,,,,,,,,,"1,666,667",,,,,,,,,,,
			CurrentCapitalLeaseObligation,"4,560,000","4,115,000","4,072,000","4,035,000","3,902,000","3,685,000","3,438,000","2,664,000","2,732,000","2,609,341","2,304,147","1,549,649","1,127,720",,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,,,,,,,,,,,,,,,,,"564,931",,
		OtherCurrentLiabilities,"2,664,000","7,584,000","15,334,000","14,110,000","6,212,000","4,230,000",,,,,,,,,,,,,"0",,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"558,850,000","551,256,000","488,777,000","683,618,000","674,801,000","627,685,000","587,221,000","580,052,000","379,202,000","289,262,485","282,222,780","122,026,899","73,211,713","25,536,297","27,156,481","27,011,367","26,866,043","26,634,638","0","26,569,840","0","0","0","0","0"
		LongTermDebtAndCapitalLeaseObligation,"205,858,000","206,105,000","207,760,000","405,596,000","406,061,000","374,047,000","369,443,000","359,577,000","155,957,000","154,423,485","151,869,780","11,936,899","12,240,781","25,377,514","26,906,481","26,761,367","26,616,043","26,390,346",,,,,,,
			LongTermDebt,"189,168,000","189,024,000","189,610,000","386,471,000","386,152,000","358,830,000","353,769,000","348,842,000","144,561,000","142,566,851","140,614,523","6,693,408","6,673,970","25,377,514","26,906,481","26,761,367","26,616,043","26,390,346",,,,,,,
			LongTermCapitalLeaseObligation,"16,690,000","17,081,000","18,150,000","19,125,000","19,909,000","15,217,000","15,674,000","10,735,000","11,396,000","11,856,634","11,255,257","5,243,491","5,566,811",,,,,,,,,,,,
		DerivativeProductLiabilities,,"0","281,017,000","278,022,000","268,740,000","253,638,000","217,778,000","220,475,000","223,245,000","134,839,000","130,103,000","109,840,000","60,736,000","158,783","250,000","250,000","250,000","244,292",,,,,,,
		OtherNonCurrentLiabilities,"352,992,000","345,151,000",,,,,,,,,"250,000","250,000","234,932",,,,,,,,,,,,
TotalEquityGrossMinorityInterest,"462,235,000","198,662,000","-57,325,000","-141,493,000","51,658,000","204,557,000","105,840,000","232,064,000","258,997,000","34,229,676","139,561,814","159,086,038","224,754,892","160,972,655","195,954,850","229,552,106","129,042,105","148,942,860","12,203,339","24,003,470","23,794,320","34,976,949","11,085,800","15,546,902","13,224,707"
	StockholdersEquity,"462,235,000","198,662,000","-57,325,000","-141,493,000","51,658,000","204,557,000","105,840,000","232,064,000","258,997,000","34,229,676","139,561,814","159,086,038","224,754,892","160,972,655","195,954,850","229,552,106","129,042,105","148,942,860","12,203,339","24,003,470","23,794,320","34,976,949","11,085,800","15,546,902","13,224,707"
