name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,08/31/2017,06/30/2017,05/31/2017,03/31/2017,02/28/2017,12/31/2016,08/31/2016,05/31/2016,08/31/2015
TotalRevenue,"9,964,000,000","2,668,000,000","2,291,000,000","2,554,000,000","2,451,000,000","2,557,000,000","2,259,000,000","2,348,000,000","1,902,000,000","1,754,000,000","2,029,000,000","2,319,000,000","2,124,000,000","2,304,000,000","1,914,000,000","2,212,000,000","2,068,000,000","2,221,000,000","1,247,000,000","2,130,000,000","2,038,000,000","1,841,000,000","1,594,000,000","1,926,000,000",,"1,978,000,000","1,883,000,000","1,588,000,000","1,969,000,000"
	OperatingRevenue,"9,882,000,000","2,649,000,000","2,264,000,000","2,534,000,000","2,435,000,000","2,544,000,000","2,233,000,000","2,328,000,000","1,886,000,000","1,744,000,000","2,006,000,000","2,307,000,000","2,116,000,000","2,298,000,000","1,894,000,000","2,203,000,000","2,063,000,000","2,217,000,000","1,263,000,000","2,122,000,000","2,038,000,000","1,838,000,000","1,594,000,000","1,921,000,000",,"1,978,000,000","1,883,000,000","1,588,000,000","1,969,000,000"
CostOfRevenue,"8,647,000,000","2,282,000,000","2,085,000,000","2,225,000,000","2,055,000,000","2,082,000,000","1,898,000,000","1,905,000,000","1,637,000,000","1,556,000,000","1,761,000,000","1,911,000,000","1,813,000,000","1,890,000,000","1,679,000,000","1,829,000,000","1,757,000,000","1,835,000,000","1,052,000,000","1,755,000,000","1,620,000,000","1,542,000,000","1,339,000,000","1,549,000,000",,"1,744,000,000","1,512,000,000","1,379,000,000","1,637,000,000"
GrossProfit,"1,317,000,000","386,000,000","206,000,000","329,000,000","396,000,000","475,000,000","361,000,000","443,000,000","265,000,000","198,000,000","268,000,000","408,000,000","311,000,000","414,000,000","235,000,000","383,000,000","311,000,000","386,000,000","195,000,000","375,000,000","418,000,000","299,000,000","255,000,000","377,000,000",,"234,000,000","371,000,000","209,000,000","332,000,000"
OperatingExpense,"716,000,000","194,000,000","194,000,000","169,000,000","159,000,000","150,000,000","159,000,000","142,000,000","126,000,000","109,000,000","164,000,000","126,000,000","115,000,000","119,000,000","134,000,000","125,000,000","108,000,000","118,000,000","129,000,000","131,000,000","120,000,000","121,000,000","106,000,000","101,000,000",,"146,000,000","97,000,000","103,000,000","87,000,000"
	SellingGeneralAndAdministration,"585,000,000","151,000,000","156,000,000","142,000,000","136,000,000","130,000,000","140,000,000","127,000,000","113,000,000","99,000,000","147,000,000","117,000,000","109,000,000","114,000,000","122,000,000","119,000,000","101,000,000","114,000,000","148,000,000","123,000,000","120,000,000","118,000,000","107,000,000","98,000,000",,"153,000,000","101,000,000","104,000,000","90,000,000"
		GeneralAndAdministrativeExpense,"585,000,000","151,000,000","156,000,000","142,000,000","136,000,000","130,000,000","140,000,000","127,000,000","113,000,000","99,000,000","147,000,000","117,000,000","109,000,000","114,000,000","122,000,000","119,000,000","101,000,000","114,000,000","148,000,000","123,000,000","120,000,000","118,000,000","107,000,000","98,000,000",,"153,000,000","101,000,000","104,000,000","90,000,000"
			OtherGandA,"585,000,000","151,000,000","156,000,000","142,000,000","136,000,000","130,000,000","140,000,000","127,000,000","113,000,000","99,000,000","147,000,000","117,000,000","109,000,000","114,000,000","122,000,000","119,000,000","101,000,000","114,000,000","148,000,000","123,000,000","120,000,000","118,000,000","107,000,000","98,000,000",,"153,000,000","101,000,000","104,000,000","90,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"60,000,000","26,000,000","14,000,000","10,000,000","10,000,000","9,000,000",,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"60,000,000","26,000,000","14,000,000","10,000,000","10,000,000","9,000,000",,,,,,,,,,,,,,,,,,,,,,,
