name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
OperatingCashFlow,"4,919,000,000","1,084,000,000","1,268,000,000","1,129,000,000","1,438,000,000","1,873,000,000","1,268,000,000","1,050,000,000","1,339,000,000","893,000,000","1,627,000,000","1,023,000,000","1,463,000,000","635,000,000","1,668,000,000","907,000,000","1,494,000,000","974,000,000","1,294,000,000","1,141,000,000","1,280,000,000","886,000,000","1,292,000,000","1,151,000,000","1,294,000,000","1,050,000,000","1,796,000,000","969,000,000","1,282,000,000","1,256,000,000","975,000,000","1,289,000,000","1,085,000,000","1,118,000,000","1,287,000,000","1,060,000,000","950,000,000","767,000,000","868,000,000","914,000,000","453,000,000","560,000,000","777,400,000","620,000,000","489,200,000","478,500,000","692,500,000","483,200,000","296,600,000","438,700,000","668,700,000"
	CashFlowFromContinuingOperatingActivities,"4,919,000,000","1,084,000,000","1,268,000,000","1,129,000,000","1,438,000,000","1,873,000,000","1,268,000,000","1,050,000,000","1,339,000,000","893,000,000","1,627,000,000","1,023,000,000","1,463,000,000","635,000,000","1,668,000,000","907,000,000","1,494,000,000","974,000,000","1,294,000,000","1,141,000,000","1,280,000,000","886,000,000","1,292,000,000","1,151,000,000","1,294,000,000","1,050,000,000","1,796,000,000","969,000,000","1,282,000,000","1,256,000,000","975,000,000","1,289,000,000","1,085,000,000","1,118,000,000","1,287,000,000","1,060,000,000","950,000,000","767,000,000","868,000,000","914,000,000","453,000,000","560,000,000","776,600,000","620,500,000","489,400,000","478,600,000","692,900,000","483,500,000","296,700,000","438,900,000","669,300,000"
		NetIncomeFromContinuingOperations,"1,109,000,000","684,000,000","654,000,000","511,000,000","-740,000,000","1,425,000,000","623,000,000","472,000,000","-624,000,000","-291,000,000","627,000,000","517,000,000","528,000,000","567,000,000","502,000,000","1,005,000,000","-130,000,000","542,000,000","-992,000,000","387,000,000","383,000,000","445,000,000","215,000,000","-183,000,000","375,000,000","314,000,000","-736,000,000","183,000,000","342,000,000","419,000,000","566,000,000","779,000,000","497,000,000","601,000,000","704,000,000","551,000,000","781,000,000","656,000,000","488,000,000","255,000,000","-243,000,000","-73,000,000","293,100,000","84,200,000","81,700,000","201,000,000","166,900,000","53,000,000","260,300,000","-179,900,000","189,800,000"
		OperatingGainsLosses,"-694,000,000","-120,000,000","-238,000,000","-169,000,000","-153,000,000","-276,000,000","1,619,000,000","-194,000,000","-140,000,000","-228,000,000","-506,000,000","-199,000,000","-178,000,000","-182,000,000","-355,000,000","-46,000,000","-229,000,000","-180,000,000","-77,000,000","-134,000,000","-134,000,000","-181,000,000","-199,000,000","-143,000,000","-106,000,000","-94,000,000","-91,000,000","-169,000,000","-125,000,000","-114,000,000","-138,000,000","-107,000,000","-100,000,000","-149,000,000","-591,000,000","-97,000,000","1,000,000","-383,000,000","-277,000,000","1,019,000,000","53,000,000","-24,000,000","-9,800,000","225,100,000","-4,300,000","-3,600,000","136,900,000","-18,700,000","-8,800,000","424,200,000","21,800,000"
			GainLossOnSaleOfBusiness,"-6,000,000","-10,000,000","0","0","4,000,000","-210,000,000",,,,,"-929,000,000",,,,,,,,,,,,,,,,,,,,,,,,"-558,000,000",,,"2,000,000",,,,,,"400,000","100,000","0",,,"0","200,000",
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-17,700,000",,,,"-16,300,000"
			GainLossOnInvestmentSecurities,,"77,000,000",,,,,,,,"-36,000,000","-2,000,000","-13,000,000","-17,000,000","10,000,000","-111,000,000","49,000,000","99,000,000","40,000,000","12,000,000","33,000,000","1,000,000","-6,000,000",,,,,,,,,,,,,"0","1,000,000","96,000,000","-225,000,000","-881,000,000",,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-712,000,000","-187,000,000","-199,000,000","-169,000,000","-157,000,000","-66,000,000","-218,000,000","-194,000,000","-176,000,000","-192,000,000","425,000,000","-173,000,000","-161,000,000","-192,000,000","-179,000,000","-160,000,000","-328,000,000","-220,000,000","-101,000,000","-167,000,000","-135,000,000","-175,000,000","-154,000,000","-143,000,000","-106,000,000","-94,000,000","-84,000,000","-114,000,000","-114,000,000","-102,000,000","-100,000,000","-107,000,000","-100,000,000","-99,000,000","-33,000,000","-100,000,000","-93,000,000","-101,000,000","-211,000,000","-1,000,000","-4,000,000","-7,000,000","154,500,000","-5,800,000","-4,400,000","-3,600,000",,"-4,200,000","-8,800,000","424,000,000","34,800,000"
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"-7,000,000","-55,000,000","-11,000,000","-12,000,000","-38,000,000","0","0","-50,000,000","0","0","0","-59,000,000",,"4,000,000","4,000,000","-17,000,000","3,400,000",,,,"1,300,000",,,,"3,400,000"
		DepreciationAmortizationDepletion,"2,132,000,000","538,000,000","540,000,000","526,000,000","528,000,000","541,000,000","528,000,000","539,000,000","532,000,000","565,000,000","661,000,000","578,000,000","579,000,000","593,000,000","587,000,000","569,000,000","571,000,000","570,000,000","564,000,000","562,000,000","577,000,000","558,000,000","557,000,000","549,000,000","552,000,000","551,000,000","584,000,000","617,000,000","570,000,000","538,000,000","522,000,000","520,000,000","502,000,000","496,000,000","479,000,000","473,000,000","442,000,000","412,000,000","409,000,000","403,000,000","333,000,000","281,000,000","284,300,000","287,800,000","263,700,000","256,100,000","265,100,000","261,700,000","269,700,000","282,300,000","293,100,000"
		DeferredTax,"198,000,000","190,000,000","119,000,000","131,000,000","-242,000,000","347,000,000","181,000,000","136,000,000","97,000,000","-69,000,000","463,000,000","143,000,000","142,000,000","-31,000,000","261,000,000","42,000,000","-47,000,000","149,000,000","1,449,000,000","170,000,000","210,000,000","244,000,000","320,000,000","379,000,000","209,000,000","179,000,000","168,000,000","111,000,000","192,000,000","221,000,000","246,000,000","161,000,000","97,000,000","111,000,000","166,000,000","96,000,000","206,000,000","172,000,000","27,000,000","99,000,000","-88,000,000","9,000,000","6,600,000","53,800,000","18,700,000","5,100,000","206,600,000","-5,700,000","-42,400,000","-156,600,000","9,300,000"
			DeferredIncomeTax,"198,000,000","190,000,000","119,000,000","131,000,000","-242,000,000","347,000,000","181,000,000","136,000,000","97,000,000","-69,000,000","463,000,000","143,000,000","142,000,000","-31,000,000","261,000,000","42,000,000","-47,000,000","149,000,000","1,449,000,000","170,000,000","210,000,000","244,000,000","320,000,000","379,000,000","209,000,000","179,000,000","168,000,000","111,000,000","192,000,000","221,000,000","246,000,000","161,000,000","97,000,000","111,000,000","166,000,000","96,000,000","206,000,000","172,000,000","27,000,000","99,000,000","-88,000,000","9,000,000","6,600,000","53,800,000","18,700,000","5,100,000","206,600,000","-5,700,000","-42,400,000","-156,600,000","9,300,000"
		AmortizationOfSecurities,,,,,,,"41,000,000","32,000,000","35,000,000","32,000,000","22,000,000","21,000,000","19,000,000","21,000,000","18,000,000","21,000,000","24,000,000","32,000,000","16,000,000","15,000,000","15,000,000","15,000,000","14,000,000","15,000,000","16,000,000","14,000,000","12,000,000","13,000,000","14,000,000","12,000,000","12,000,000","12,000,000","11,000,000","10,000,000","10,000,000","11,000,000","9,000,000","9,000,000","14,000,000","5,000,000","2,000,000","2,000,000","1,800,000","1,800,000","1,600,000","1,500,000","1,500,000","1,400,000","1,500,000","1,400,000","1,500,000"
		AssetImpairmentCharge,,,"22,000,000","4,000,000",,,,"11,000,000","1,005,000,000","971,000,000",,,,,"167,000,000","-653,000,000",,,"150,000,000","7,000,000","0","6,000,000","346,000,000","420,000,000","-4,000,000","235,000,000","1,584,000,000","385,000,000","53,000,000","77,000,000",,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0",,,,,,,,,,,
