name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,12/31/2010,09/30/2010,03/31/2010
TotalRevenue,"355,674,000","102,584,000","100,613,000","81,322,000","71,155,000","73,323,000","79,604,000","66,406,000","56,848,000","88,371,000","100,468,000","102,935,000","91,712,000","114,230,000","119,356,000","90,154,000","88,902,000","102,582,000","92,660,000","61,631,000","51,736,000","67,582,000","64,340,000","68,812,000","63,396,000","72,344,000","74,427,000","69,934,000","65,223,000","74,256,000","87,622,000","79,033,000","67,667,000","67,475,000","71,465,000","72,783,000","65,600,000","72,085,000","76,750,000","67,358,000","67,213,000","69,037,000","68,837,000","68,023,000","64,618,000","64,941,000","63,451,000","49,808,000"
	OperatingRevenue,"355,674,000","102,584,000","100,613,000","81,322,000","71,155,000","73,323,000","79,604,000","66,406,000","56,848,000","88,371,000","100,468,000","102,935,000","91,712,000","114,230,000","119,356,000","90,154,000","88,902,000","102,582,000","92,660,000","61,631,000","51,736,000","67,582,000","64,340,000","68,812,000","63,396,000","72,344,000","74,427,000","69,934,000","65,223,000","74,256,000","87,622,000","79,033,000","67,667,000","67,475,000","71,465,000","72,783,000","65,600,000","72,085,000","76,750,000","67,358,000","67,213,000","69,037,000","68,837,000","68,023,000","64,618,000","64,941,000","63,451,000","49,808,000"
CostOfRevenue,"215,556,000","61,472,000","59,866,000","49,601,000","42,986,000","46,090,000","42,644,000","37,475,000","32,729,000","52,787,000","56,988,000","57,503,000","54,570,000","69,261,000","68,473,000","49,795,000","49,173,000","55,759,000","50,446,000","30,671,000","27,922,000","39,308,000","35,721,000","39,888,000","37,282,000","40,249,000","39,298,000","36,580,000","34,486,000","40,151,000","42,089,000","37,812,000","33,822,000","34,730,000","35,409,000","37,428,000","34,586,000","40,182,000","41,799,000","34,719,000","33,874,000","34,553,000","35,146,000","36,072,000","32,629,000","35,333,000","38,119,000","27,435,000"
GrossProfit,"140,118,000","41,112,000","40,747,000","31,721,000","28,169,000","27,233,000","36,960,000","28,931,000","24,119,000","35,584,000","43,480,000","45,432,000","37,142,000","44,969,000","50,883,000","40,359,000","39,729,000","46,823,000","42,214,000","30,960,000","23,814,000","28,274,000","28,619,000","28,924,000","26,114,000","32,095,000","35,129,000","33,354,000","30,737,000","34,105,000","45,533,000","41,221,000","33,845,000","32,745,000","36,056,000","35,355,000","31,014,000","31,903,000","34,951,000","32,639,000","33,339,000","34,484,000","33,691,000","31,951,000","31,989,000","29,608,000","25,332,000","22,373,000"
OperatingExpense,"102,412,000","28,369,000","24,578,000","25,496,000","23,969,000","24,341,000","23,017,000","25,885,000","30,874,000","33,717,000","31,014,000","32,591,000","32,151,000","31,259,000","32,996,000","31,687,000","31,489,000","33,270,000","32,004,000","23,543,000","22,256,000","22,994,000","21,320,000","23,249,000","21,924,000","24,841,000","23,302,000","22,033,000","22,665,000","21,495,000","22,314,000","22,749,000","21,085,000","18,394,000","18,298,000","20,902,000","18,959,000","20,045,000","19,698,000","17,292,000","18,809,000","19,484,000","18,109,000","17,565,000","32,501,000","18,405,000","20,271,000","14,196,000"
	SellingGeneralAndAdministration,"93,622,000","26,192,000","22,391,000","23,306,000","21,733,000","22,161,000","20,882,000","23,788,000","27,841,000","29,298,000","26,554,000","28,130,000","27,718,000","26,648,000","28,109,000","26,191,000","25,712,000","27,526,000","27,251,000","20,521,000","19,317,000","20,026,000","18,357,000","20,224,000","19,108,000","21,708,000","20,167,000","19,005,000","19,849,000","18,895,000","19,631,000","20,008,000","18,334,000","15,653,000","15,516,000","18,123,000","16,171,000","17,239,000","16,885,000","14,494,000","16,015,000","16,677,000","15,300,000","14,687,000","29,616,000","14,705,000","13,971,000","13,573,000"
		GeneralAndAdministrativeExpense,"93,622,000","26,192,000","22,391,000","23,306,000","21,733,000","23,796,000",,"23,788,000","27,841,000","29,298,000","26,554,000",,"27,718,000","26,648,000","28,109,000","26,191,000","25,712,000","27,526,000","27,251,000","20,521,000","19,317,000","20,026,000","18,357,000","20,224,000","19,108,000","21,708,000","20,167,000","19,005,000","19,849,000","18,895,000","19,631,000","20,008,000","18,334,000","15,653,000","15,516,000","18,123,000","16,171,000","17,239,000","16,885,000","14,494,000","16,015,000",,,,,,,
			SalariesAndWages,"568,000","-42,000","292,000","-14,000","332,000",,,,,"1,290,000",,,,"1,018,000","1,041,000","1,085,000","1,004,000","892,000","895,000",,,"744,000",,,"906,000","985,000","890,000",,,"992,000","930,000",,,"631,000",,,,"472,000","475,000","336,000","58,000",,,,,,,
			OtherGandA,"93,054,000","26,234,000","22,099,000","23,320,000","21,401,000","23,796,000",,"23,788,000","27,841,000","28,800,000","26,554,000",,"27,718,000","26,648,000","28,109,000","26,191,000","25,712,000","27,526,000","27,251,000","20,521,000","19,317,000","20,026,000","18,357,000","20,224,000","19,108,000","21,708,000","20,167,000","19,005,000","19,849,000","18,895,000","19,631,000","20,008,000","18,334,000","15,653,000","15,516,000","18,123,000","16,171,000","17,239,000","16,885,000","14,158,000","15,957,000",,,,,,,
		SellingAndMarketingExpense,,,,,"21,401,000","23,796,000","20,882,000","23,788,000","27,841,000","28,800,000","26,554,000",,"27,718,000","26,648,000","28,109,000","26,191,000","25,712,000","27,526,000","27,251,000","20,521,000","19,317,000","20,026,000","18,357,000","20,224,000","19,108,000","21,708,000","20,167,000","19,005,000","19,849,000","18,895,000","19,631,000","20,008,000","18,334,000","15,653,000","15,516,000","18,123,000","16,171,000","17,239,000","16,885,000",,,,,,,,,
