name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,12/31/2007,12/31/2006
TotalAssets,"918,386,000","1,222,745,000","1,680,461,000","1,846,967,000","1,885,027,000","1,844,579,000","1,800,562,000","1,790,284,000","1,731,602,000","1,690,289,000","1,760,672,000","1,677,522,000","1,619,473,000","1,324,017,000","1,252,691,000","1,399,968,000","1,391,983,000","1,303,573,000","1,290,930,000","1,168,563,000","1,155,260,000","1,092,493,000","1,072,266,000","1,004,953,000","960,703,000","898,430,000","912,611,000","828,941,000","815,570,000","755,713,000","755,498,000","688,544,000","655,252,000","616,100,000","594,075,000","541,666,000","523,894,000","494,923,000","423,089,000","375,098,000","349,969,000","317,847,000","303,060,000","289,943,000","286,464,000","284,255,000","281,542,000","237,813,000","221,969,000","174,738,000","183,608,000","126,506,000","157,893,000","116,990,000","105,618,000","80,548,000","88,568,000","61,232,000"
	CurrentAssets,"380,355,000","681,045,000","173,397,000","147,070,000","374,320,000","333,742,000","291,757,000","222,619,000","248,324,000","208,344,000","237,544,000","108,717,000","198,208,000","309,466,000","255,199,000","1,281,570,000","435,364,000","374,862,000","386,846,000","272,771,000","277,922,000","230,068,000","232,123,000","200,212,000","226,097,000","221,345,000","263,233,000","231,077,000","278,081,000","267,045,000","275,171,000","261,134,000","277,939,000","263,703,000","252,464,000","223,597,000","227,998,000","214,174,000","154,347,000","129,229,000","130,299,000","115,414,000","106,784,000","109,807,000","128,286,000","142,284,000","153,074,000","132,933,000","129,391,000","90,246,000","101,080,000","48,399,000","88,503,000","53,599,000","41,924,000","21,548,000","42,314,000","23,036,000"
		CashCashEquivalentsAndShortTermInvestments,"264,329,000","600,941,000","61,002,000","113,863,000","262,272,000","256,609,000","179,762,000","187,223,000","149,542,000","143,873,000","133,861,000","80,006,000","102,710,000","189,348,000","113,633,000","298,154,000","334,756,000","242,745,000","269,751,000","155,696,000","170,098,000","108,572,000","124,797,000","93,994,000","132,921,000","106,400,000","162,193,000","134,243,000","187,171,000","166,022,000","183,608,000","176,706,000","196,595,000","164,244,000","170,308,000","139,240,000","151,541,000","105,111,000","69,644,000","50,760,000","56,700,000","21,189,000","18,999,000","14,652,000","30,243,000","85,815,000","50,471,000","43,420,000","97,883,000","62,571,000","77,514,000","24,742,000","68,275,000","35,152,000","22,227,000","7,206,000","23,210,000","14,361,000"
			CashAndCashEquivalents,"201,933,000","600,941,000","61,002,000","69,448,000","225,829,000","245,769,000","166,950,000","172,532,000","132,493,000","122,272,000","119,709,000","65,801,000","88,467,000","120,346,000","44,879,000","221,632,000","242,846,000","153,474,000","180,142,000","66,282,000","88,541,000","45,976,000","75,143,000","44,554,000","48,793,000","23,036,000","78,177,000","50,710,000","86,156,000","65,238,000","56,482,000","20,214,000","39,129,000","55,824,000","106,816,000","90,801,000","127,739,000","105,111,000","69,644,000","50,760,000","56,700,000","21,189,000","18,999,000","14,652,000","30,243,000","33,637,000","50,471,000","43,420,000","97,883,000","62,571,000","77,514,000","24,742,000","68,275,000","35,152,000","22,227,000","7,206,000","23,210,000","14,361,000"
			OtherShortTermInvestments,"62,396,000","0","0","44,415,000","36,443,000","10,840,000","12,812,000","14,691,000","17,049,000","21,601,000","14,152,000","14,205,000","14,243,000","69,002,000","68,754,000","76,522,000","91,910,000","89,271,000","89,609,000","89,414,000","81,557,000","62,596,000","49,654,000","49,440,000","84,128,000","83,364,000","84,016,000","83,533,000","101,015,000","100,784,000","127,126,000","156,492,000","157,466,000","108,420,000","63,492,000","48,439,000","23,802,000",,,,,,,,,"52,178,000","55,875,000",,,,,,,,,,,
		Receivables,"102,006,000","71,338,000","101,760,000","21,218,000","97,564,000","68,494,000","98,042,000","22,251,000","84,086,000","56,136,000","92,128,000","17,083,000","82,861,000","51,488,000","71,292,000","315,000","10,798,000","12,994,000","16,789,000","15,479,000","13,855,000","14,685,000","16,285,000","17,572,000","10,669,000","12,250,000","9,500,000","8,158,000","6,689,000","7,606,000","8,311,000","8,515,000","7,384,000","10,816,000","7,999,000","11,178,000","7,651,000","34,951,000","9,158,000","8,363,000","8,779,000","23,676,000","24,716,000","37,916,000","34,582,000","41,749,000","32,722,000","42,636,000","13,890,000","13,802,000","15,991,000","12,010,000","11,447,000","11,018,000","10,097,000","6,930,000","7,114,000","4,798,000"
			AccountsReceivable,"102,006,000","70,063,000","95,165,000","19,888,000","91,790,000","62,189,000","89,212,000","20,553,000","77,390,000","48,939,000","83,377,000","13,660,000","74,653,000","46,830,000","65,120,000","0","9,469,000","10,908,000","12,243,000","10,933,000","9,026,000","9,999,000","10,362,000","9,080,000","7,454,000","8,298,000","9,500,000","8,158,000","6,689,000","7,605,000","8,289,000","8,515,000","7,384,000","7,217,000","7,986,000","8,645,000","7,651,000","7,951,000","8,875,000","8,363,000","7,843,000","11,815,000","16,333,000","32,120,000","32,369,000","33,334,000","32,722,000","42,636,000","13,890,000","13,802,000","15,577,000","10,612,000","10,509,000","9,442,000","10,097,000","6,930,000","7,114,000","4,798,000"
				GrossAccountsReceivable,"102,006,000",,"100,165,000","24,888,000","96,790,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,451,000","17,737,000","16,040,000","16,608,000","18,177,000","16,389,000","16,687,000","23,521,000","30,951,000","50,223,000",,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"0",,"-5,000,000","-5,000,000","-5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-9,465,000","-9,092,000","-8,389,000","-8,657,000","-9,302,000","-8,026,000","-8,844,000","-11,706,000","-14,618,000","-18,103,000",,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","27,000,000",,,,,,,,,,,,,,,,,,,,
			AccruedInterestReceivable,,"0","4,850,000","0","5,011,000","5,011,000","4,850,000","13,000","5,011,000","5,011,000","5,192,000","0","4,785,000","4,650,000","4,381,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"0","1,275,000","1,745,000","1,330,000","763,000","1,294,000","3,980,000","1,685,000","1,685,000","2,186,000","3,559,000","3,423,000","3,423,000","8,000","1,791,000","315,000","1,329,000","2,086,000","4,546,000","4,546,000","4,829,000","4,686,000","5,923,000","8,492,000","3,215,000","3,952,000",,,,"1,000","22,000","0","0","3,599,000","13,000","2,533,000",,"0","283,000","0","936,000","11,861,000","8,383,000","5,796,000","2,213,000","8,415,000",,,,"0","414,000","1,398,000","938,000","1,576,000",,,,
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,164,000","2,317,000","1,349,000","893,000"
		RestrictedCash,,,,,,"0","0","0","0","300,000","300,000","300,000","300,000","61,667,000","61,667,000","0","72,816,000","94,534,000","75,604,000","79,440,000","70,342,000","84,931,000","69,328,000","70,840,000","62,481,000","75,384,000","64,737,000","63,696,000","57,875,000","67,840,000","58,801,000","53,233,000","50,834,000","64,368,000","49,800,000","51,541,000","49,680,000","55,964,000","57,027,000","54,482,000","50,454,000","56,115,000","47,177,000","45,390,000","49,740,000",,"55,875,000","30,658,000","6,203,000","3,403,000",,"6,230,000","3,946,000","2,197,000",,,,
