name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002
TotalRevenue,"292,762,000","82,351,000","77,899,000","68,495,000","64,017,000","62,297,000","68,538,000","59,809,000","60,843,000","53,560,000","61,305,000","61,576,000","62,001,000","73,700,000","72,210,000","75,038,000","80,567,000","79,769,000","76,911,000","92,520,000","80,088,000","93,501,000","160,443,000","158,461,000","139,761,000","122,177,000","118,558,000","106,015,000","110,608,000","97,653,000","86,374,000","81,992,000","70,772,000","60,288,000","55,678,000","44,948,000","47,586,000","33,118,000","17,956,000","33,920,000","9,070,000","9,379,000","7,992,000","9,496,000","8,643,000","7,922,000","11,347,000","8,593,000","7,389,000","7,707,000","7,719,000","7,719,000","7,786,000","7,279,000","6,533,000","6,569,000","6,270,000","5,705,000","4,859,000","4,552,000","4,775,000","5,069,000","4,973,000","5,204,000","5,346,000","5,263,000","5,228,000","5,266,000","5,299,000","5,299,000","5,290,000","5,546,000","5,553,000","5,468,000","5,366,000","4,948,000","4,987,000","4,543,000","4,298,000","3,714,000","531,000"
	OperatingRevenue,"292,762,000","82,351,000","77,899,000","68,495,000","64,017,000","62,297,000","68,538,000","59,809,000","60,843,000","53,560,000","61,305,000","61,576,000","62,001,000","73,700,000","72,210,000","75,038,000","80,567,000","79,769,000","76,911,000","92,520,000","80,088,000","93,501,000","160,443,000","158,461,000","139,761,000","122,177,000","118,558,000","106,015,000","110,608,000","97,653,000","86,374,000","81,992,000","70,772,000","60,288,000","55,678,000","44,948,000","47,586,000","33,118,000","17,956,000","33,920,000","9,070,000","9,379,000","7,992,000","9,496,000","8,643,000","7,922,000","11,347,000","8,593,000","7,389,000","7,707,000","7,719,000","7,719,000","7,786,000","7,279,000","6,533,000","6,569,000","6,270,000","5,705,000","4,859,000","4,552,000","4,775,000","5,069,000","4,973,000","5,204,000","5,346,000","5,263,000","5,228,000","5,266,000","5,299,000","5,299,000","5,290,000","5,546,000","5,553,000","5,468,000","5,366,000","4,948,000","4,987,000","4,543,000","4,298,000","3,714,000","531,000"
PretaxIncome,"133,250,000","67,297,000","8,510,000","31,831,000","25,612,000","16,669,000","28,597,000","18,274,000","-23,753,000","-8,758,000","17,083,000","-19,751,000","20,890,000","9,756,000","16,908,000","13,729,000","15,633,000","721,000","7,434,000","14,169,000","2,385,000","2,905,000","36,917,000","34,737,000","44,797,000","32,955,000","30,966,000","23,799,000","27,403,000","22,098,000","4,690,000","11,947,000","8,374,000","766,000","8,837,000","-9,244,000","6,185,000","1,561,000","-1,640,000","8,433,000","-1,152,000","470,000","-7,335,000","1,012,000","2,193,000","1,106,000","1,832,000","3,966,000","-3,170,000","1,234,000","-1,844,000","1,566,000","882,000","-3,298,000","-3,009,000",,"-2,481,000","1,714,000","697,000",,"1,173,000","1,587,000","1,888,000","1,895,000","1,711,000","1,751,000","1,950,000","2,015,000","1,657,000","1,810,000","1,961,000","2,390,000","2,357,000","2,253,000","1,947,000","1,619,000","1,831,000","1,665,000","1,389,000","1,239,000","1,203,000"
TaxProvision,"36,767,000","18,785,000","2,759,000","8,661,000","6,562,000","2,294,000","6,894,000","2,361,000","-5,304,000","-2,165,000","2,811,000","-5,619,000","4,308,000","2,719,000","6,117,000","3,301,000","1,779,000","-6,353,000","-3,418,000","-3,939,000","-12,753,000","-6,471,000","3,653,000","-1,200,000","18,269,000","13,268,000","11,928,000","9,263,000","11,479,000","9,524,000","-5,524,000","721,000","253,000","9,000","5,516,000","-710,000","1,822,000","632,000","1,545,000","-1,110,000","-413,000","93,000","-1,721,000","368,000","644,000","413,000","456,000","934,000","-713,000","359,000","-1,243,000","71,000","197,000","-720,000","-1,666,000",,"-685,000","548,000","-143,000",,"373,000","549,000","663,000","640,000","589,000","639,000","717,000","661,000","586,000","661,000","869,000","1,033,000","926,000","1,058,000","818,000","649,000","785,000","708,000","639,000","527,000","493,000"
NetIncomeCommonStockholders,"86,083,000","43,345,000","4,024,000","21,443,000","17,323,000","7,825,000","17,706,000","12,084,000","-21,936,000","-9,694,000","10,415,000","-22,722,000","11,909,000","2,527,000","5,919,000","3,819,000","9,667,000","3,242,000","5,067,000","11,837,000","7,144,000","12,088,000","27,288,000","29,905,000","20,745,000","14,566,000","15,385,000","11,054,000","12,600,000","11,219,000","8,913,000","9,957,000","7,051,000","-153,000","2,370,000","-9,480,000","4,363,000","641,000","-3,502,000","9,215,000","-1,053,000","-23,000","-6,010,000","506,000","1,549,000","693,000","1,169,000","2,781,000","-2,708,000","625,000","-852,000","1,244,000","434,000","-2,828,000","-1,343,000","1,444,000","-1,796,000","1,166,000","840,000","283,000","800,000","1,038,000","1,225,000","1,255,000","1,122,000","1,112,000","1,233,000","1,354,000","1,071,000","1,149,000","1,092,000","1,357,000","1,431,000","1,195,000","1,129,000","970,000","1,046,000","957,000","750,000","712,000","710,000"
	NetIncome,"96,483,000","48,512,000","5,751,000","23,170,000","19,050,000","14,375,000","21,703,000","15,913,000","-18,449,000","-6,593,000","14,272,000","-14,132,000","16,582,000","7,037,000","11,038,000","11,096,000","14,780,000","8,558,000","11,302,000","16,949,000","12,257,000","17,201,000","33,264,000","35,937,000","26,528,000","19,687,000","19,038,000","14,536,000","15,924,000","12,574,000","10,214,000","11,226,000","8,121,000","757,000","3,321,000","-8,534,000","4,363,000","929,000","-3,185,000","9,543,000","-739,000","377,000","-5,614,000","644,000","1,549,000","693,000","1,376,000","3,032,000","-2,457,000","875,000","-601,000","1,495,000","685,000","-2,578,000","-1,343,000","1,444,000","-1,796,000","1,166,000","840,000","283,000","800,000","1,038,000","1,225,000","1,255,000","1,122,000","1,112,000","1,233,000","1,354,000","1,071,000","1,149,000","1,092,000","1,357,000","1,431,000","1,195,000","1,129,000","970,000","1,046,000","957,000","750,000","712,000","710,000"
		NetIncomeIncludingNoncontrollingInterests,"96,483,000","48,512,000","5,751,000","23,170,000","19,050,000","14,375,000","21,703,000","15,913,000","-18,449,000","-6,593,000","14,272,000","-14,132,000","16,582,000","7,037,000","11,038,000","11,096,000","14,780,000","8,558,000","11,302,000","16,949,000","12,257,000","17,201,000","33,264,000","35,937,000","26,528,000","19,687,000","19,038,000","14,536,000","15,924,000","12,574,000","10,214,000","11,226,000","8,121,000","757,000","3,321,000","-8,534,000","4,363,000","929,000","-3,185,000","9,543,000","-739,000","377,000","-5,614,000","644,000","1,549,000","693,000","1,376,000","3,032,000","-2,457,000","875,000","-601,000","1,495,000","685,000","-2,578,000","-1,343,000","1,784,000","-1,796,000","1,166,000","840,000","128,000","800,000","1,038,000","1,225,000","1,255,000","1,122,000","1,112,000","1,233,000","1,354,000","1,071,000","1,149,000","1,092,000","1,357,000","1,431,000","1,195,000","1,129,000","970,000","1,046,000","957,000","750,000","712,000","710,000"
			NetIncomeContinuousOperations,"96,483,000","48,512,000","5,751,000","23,170,000","19,050,000","14,375,000","21,703,000","15,913,000","-18,449,000","-6,593,000","14,272,000","-14,132,000","16,582,000","7,037,000","10,791,000","10,428,000","13,854,000","7,074,000","10,852,000","18,108,000","15,138,000","9,376,000","33,264,000","35,937,000","26,528,000","19,687,000","19,038,000","14,536,000","15,924,000","12,574,000","10,214,000","11,226,000","8,121,000","757,000","3,321,000","-8,534,000","4,363,000","929,000","-3,185,000","9,543,000","-739,000","377,000","-5,614,000","644,000","1,549,000","693,000","1,376,000","3,032,000","-2,457,000","875,000","-601,000","1,495,000","685,000","-2,578,000","-1,343,000","1,444,000","-1,796,000","1,166,000","840,000","283,000","800,000","1,038,000","1,225,000","1,255,000","1,122,000","1,112,000","1,233,000","1,354,000","1,071,000","1,149,000","1,092,000","1,357,000","1,431,000","1,195,000","1,129,000","970,000","1,046,000","957,000","750,000","712,000","710,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,"0","0","0","0","247,000","668,000","926,000","1,484,000","450,000","-1,159,000","-2,881,000","7,825,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-340,000",,,,"155,000",,,,,,,,,,,,,,,,,,,,,
	PreferredStockDividends,"6,601,000","1,420,000","1,727,000","1,727,000","1,727,000","3,141,000","3,447,000","3,447,000","3,442,000","3,533,000","3,540,000","3,403,000","4,308,000","4,308,000","4,308,000","4,970,000","5,113,000","5,113,000","5,113,000","5,112,000","5,113,000","5,113,000","5,113,000","5,112,000","5,114,000","4,575,000","3,030,000","3,040,000","2,843,000","910,000","910,000","910,000","910,000","910,000","951,000","946,000",,"288,000","317,000","328,000","314,000","400,000","396,000","138,000",,,"207,000","251,000","251,000","250,000","251,000","251,000","251,000","250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
