name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015
OperatingCashFlow,"310,000,000","64,000,000","32,000,000","108,000,000","106,000,000","111,000,000","79,000,000","101,000,000","117,000,000","95,000,000","59,000,000","111,000,000","80,000,000","49,000,000","85,000,000","139,000,000","73,000,000","88,000,000","20,000,000","-287,000,000","87,000,000","-18,000,000","88,000,000","125,300,000","94,600,000","51,100,000","40,000,000","61,300,000","107,900,000"
	CashFlowFromContinuingOperatingActivities,"310,000,000","64,000,000","32,000,000","108,000,000","106,000,000","111,000,000","79,000,000","101,000,000","117,000,000","95,000,000","59,000,000","111,000,000","80,000,000","49,000,000","85,000,000","139,000,000","73,000,000","88,000,000","20,000,000","-287,000,000","87,000,000","-18,000,000","88,000,000","125,300,000","94,600,000","51,100,000","40,000,000","61,300,000","107,900,000"
		NetIncomeFromContinuingOperations,"433,000,000","81,000,000","87,000,000","168,000,000","97,000,000","68,000,000","87,000,000","122,000,000","59,000,000","63,000,000","73,000,000","27,000,000","65,000,000","63,000,000","53,000,000","45,000,000","64,000,000","67,000,000","-10,000,000","105,000,000","56,000,000","71,000,000","72,000,000","65,300,000","74,700,000","68,000,000","65,000,000","33,000,000","72,600,000"
		OperatingGainsLosses,,,,"-72,000,000","0","33,000,000","-1,000,000","-26,000,000","-2,000,000","20,000,000","-2,000,000","70,000,000","-2,000,000","-2,000,000","-2,000,000","47,000,000","-1,000,000","-7,000,000","-5,000,000","-62,000,000","-3,000,000","-3,000,000","-12,000,000","-43,400,000","-3,800,000","-3,800,000","-3,000,000","26,200,000","-3,500,000"
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,"2,000,000",,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,"0","-4,000,000","-2,000,000","1,000,000","-2,000,000","1,000,000","-2,000,000","-2,000,000","0","8,000,000","-3,000,000","-4,000,000","-5,000,000","-2,000,000","-3,000,000","-3,000,000","-4,000,000","-1,400,000","-3,800,000","-3,800,000","-3,000,000","-2,100,000","-3,500,000"
			PensionAndEmployeeBenefitExpense,,,,,,"-3,000,000","-1,000,000","-24,000,000","-4,000,000","-1,000,000","-4,000,000","66,000,000","-5,000,000","0","-2,000,000","35,000,000","-4,000,000","-6,000,000","0","-60,000,000","0","0","-8,000,000",,,,"0",,
		DepreciationAmortizationDepletion,"98,000,000","25,000,000","25,000,000","24,000,000","24,000,000","23,000,000","21,000,000","18,000,000","17,000,000","15,000,000","16,000,000","18,000,000","15,000,000","14,000,000","14,000,000","15,000,000","14,000,000","14,000,000","11,000,000","12,000,000","12,000,000","9,000,000","9,000,000","9,400,000","9,600,000","10,000,000","9,000,000","10,100,000","9,100,000"
			DepreciationAndAmortization,"98,000,000","25,000,000","25,000,000","24,000,000","24,000,000","23,000,000","21,000,000","18,000,000","17,000,000","15,000,000","16,000,000","18,000,000","15,000,000","14,000,000","14,000,000","15,000,000","14,000,000","14,000,000","11,000,000","12,000,000","12,000,000","9,000,000","9,000,000","9,400,000","9,600,000","10,000,000","9,000,000","10,100,000","9,100,000"
		DeferredTax,"63,000,000","7,000,000","8,000,000","24,000,000",,,,,,,,"23,000,000","0","0","0","74,000,000","6,000,000","-20,000,000","85,000,000",,,,,,,,,,
