name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,09/30/1995
OperatingCashFlow,"472,152,000","105,343,000","125,806,000","129,687,000","111,316,000","67,092,000","87,250,000","85,798,000","80,886,000","45,032,000","78,848,000","81,065,000","84,042,000","34,887,000","78,904,000","72,728,000","81,062,000","29,604,000","68,144,000","71,822,000","80,585,000","28,029,000","76,181,000","56,440,000","55,006,000","37,923,000","48,157,000","57,333,000","49,780,000","30,940,000","38,436,000","47,370,000","41,666,000","18,596,000","35,033,000","36,464,000","39,086,000","10,063,000","30,522,000","28,820,000","31,203,000","8,459,000","24,372,000","21,502,000","23,254,000","11,182,000","18,738,000","22,468,000","18,608,000","13,857,000","6,698,000","21,418,000","16,528,000","14,499,000","16,988,000","24,678,000","21,784,000","13,682,000","21,273,000","23,206,000","20,763,000","19,835,000","12,101,000","17,607,000","20,910,000","13,915,000","12,957,000","16,224,000","17,528,000","13,525,000","11,854,000","12,712,000","17,995,000","11,306,000","11,109,000","13,906,000","15,767,000","11,291,000","9,594,000","11,081,000","13,686,000","11,249,000","10,038,000","11,204,000","11,577,000","8,103,000","12,313,000","8,544,000","9,879,000","8,692,000","7,102,000","12,600,000","10,400,000","10,400,000","5,951,000","8,700,000","9,000,000","10,500,000","4,659,000","8,600,000","10,000,000","7,900,000","5,152,000","5,600,000","5,100,000","4,300,000","3,900,000"
	CashFlowFromContinuingOperatingActivities,"472,152,000","105,343,000","125,806,000","129,687,000","111,316,000","67,092,000","87,250,000","85,798,000","80,886,000","45,032,000","78,848,000","81,065,000","84,042,000","34,887,000","78,904,000","72,728,000","81,062,000","29,604,000","68,144,000","71,822,000","80,585,000","28,029,000","76,181,000","56,440,000","55,006,000","37,923,000","48,157,000","57,333,000","49,780,000","30,940,000","38,436,000","47,370,000","41,666,000","18,596,000","35,033,000","36,464,000","39,086,000","10,063,000","30,522,000","28,820,000","31,203,000","8,459,000","24,372,000","21,502,000","23,254,000","11,182,000","18,738,000","22,468,000","18,608,000","13,857,000","6,698,000","21,418,000","16,528,000","14,499,000","16,988,000","24,678,000","21,784,000","13,682,000","21,273,000","23,206,000","20,763,000","19,835,000","12,101,000","17,607,000","20,910,000","13,915,000","12,957,000","16,224,000","17,528,000","13,525,000","11,854,000","12,712,000","17,995,000","11,306,000","11,109,000","13,906,000","15,767,000","11,291,000","9,594,000","11,081,000","13,686,000","11,249,000","10,038,000","11,204,000","11,577,000","8,103,000","12,313,000","8,544,000","9,879,000","8,692,000","7,102,000","12,600,000","10,400,000","10,400,000","5,951,000","8,700,000","9,000,000","10,500,000","4,659,000","8,600,000","10,000,000","7,900,000","5,152,000","5,600,000","5,100,000","4,300,000","3,900,000"
		NetIncomeFromContinuingOperations,"280,001,000","75,418,000","75,767,000","71,051,000","57,765,000","47,592,000","41,800,000","37,287,000","36,648,000","36,625,000","43,731,000","140,746,000","40,963,000","34,637,000","92,740,000","41,311,000","39,458,000","34,049,000","21,186,000","35,666,000","19,432,000","20,525,000","18,190,000","-4,969,000","43,505,000","28,230,000","30,183,000","31,661,000","28,676,000","22,557,000","25,838,000","25,742,000","20,702,000","16,775,000","22,372,000","19,799,000","18,052,000","14,372,000","13,554,000","18,958,000","11,860,000","11,269,000","10,382,000","2,366,000","10,081,000","8,700,000","8,976,000","9,374,000","16,303,000","7,888,000","-1,180,000","7,971,000","6,743,000","8,120,000","8,377,000","9,528,000","10,541,000","8,953,000","10,738,000","10,875,000","8,064,000","9,537,000","9,164,000","9,465,000","9,386,000","8,595,000","8,533,000","9,611,000","8,878,000","7,768,000","7,962,000","7,838,000","8,044,000","6,854,000","7,164,000","7,013,000","7,561,000","6,685,000","6,710,000","6,837,000","6,645,000","6,109,000","5,121,000","7,272,000","6,435,000","5,361,000","7,923,000","6,197,000","5,984,000","5,814,000","5,885,000","7,700,000","6,100,000","5,900,000","5,597,000","6,200,000","6,100,000","6,000,000","5,919,000","6,300,000","6,000,000","4,900,000","5,259,000","3,600,000","3,600,000","3,200,000","3,200,000"
		OperatingGainsLosses,"-6,593,000","-2,118,000","-1,570,000","-1,477,000","-1,428,000","-1,221,000","-923,000","-1,829,000","-970,000","-1,418,000","-6,307,000","-101,396,000","-1,110,000","-1,887,000","-56,529,000","-2,689,000","-1,048,000","-972,000","2,448,000","-753,000","-785,000","-721,000","-1,493,000","-882,000","-16,268,000","-915,000","-482,000","-937,000","-853,000","-639,000","-3,932,000","-2,438,000","-434,000","-458,000","-2,962,000","-575,000","-456,000","-807,000","-2,486,000","-4,167,000","263,000","269,000","-1,106,000","671,000","60,000","148,000","-1,208,000","496,000","-7,056,000","1,078,000","1,768,000","-1,011,000","92,000","175,000","644,000","623,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"580,000","0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,"0","0","0","-302,000","-4,836,000","-100,222,000","0","-1,076,000","-55,473,000",,,,,,,,"-623,000","0",,,"487,000","0","0","7,000","-3,399,000",,,,"-2,431,000","0","0","-421,000",,,,,,,,,,"435,000","404,000","496,000",,,,,"715,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-6,593,000","-2,118,000","-1,570,000","-1,477,000","-1,428,000","-1,221,000","-923,000","-1,829,000","-970,000","-1,116,000","-1,471,000","-1,174,000","-1,110,000","-811,000","-1,056,000","-1,046,000","-1,048,000","-972,000","-1,055,000","-753,000","-785,000","-721,000","-870,000","-882,000","-998,000","-915,000","-969,000","-937,000","-853,000","-646,000","-533,000","-661,000","-434,000","-458,000","-531,000","-575,000","-456,000","-386,000","-1,799,000","331,000","263,000","269,000","405,000","671,000","60,000","148,000","408,000","-15,000","-69,000","-70,000","-618,000","116,000","92,000","175,000","-142,000","57,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"160,161,000","46,401,000","40,832,000","37,157,000","35,771,000","33,359,000","32,590,000","33,018,000","28,987,000","28,330,000","27,891,000","26,852,000","26,160,000","26,227,000","25,691,000","27,291,000","24,784,000","24,764,000","25,589,000","26,149,000","38,105,000","37,642,000","40,999,000","41,406,000","18,251,000","16,425,000","15,069,000","14,671,000","14,585,000","14,181,000","13,969,000","13,367,000","12,476,000","11,937,000","11,428,000","11,381,000","11,447,000","11,290,000","10,432,000","10,511,000","10,491,000","10,245,000","10,356,000","8,940,000","8,657,000","8,625,000","8,579,000","8,473,000","8,513,000","8,621,000","9,238,000","8,725,000","8,837,000","8,856,000","8,997,000","8,945,000","8,797,000","8,920,000","8,736,000","8,622,000","10,373,000","7,268,000","7,230,000","6,923,000","6,314,000","5,873,000","5,743,000","5,625,000","5,416,000","5,228,000","5,217,000","5,095,000","4,879,000","4,704,000","4,810,000","4,819,000","4,671,000","4,680,000","4,691,000","4,403,000","4,202,000","4,096,000","3,875,000","3,789,000","3,723,000","3,648,000","3,714,000","3,577,000","3,526,000","3,456,000","3,438,000","3,400,000","3,200,000","3,100,000","2,903,000","2,900,000","2,400,000","2,100,000","1,905,000","1,900,000","1,700,000","1,500,000","1,283,000","1,300,000","1,000,000","1,000,000","1,000,000"
			DepreciationAndAmortization,"160,161,000","46,401,000","40,832,000","37,157,000","35,771,000","33,359,000","32,590,000","33,018,000","28,987,000","28,330,000","27,891,000","26,852,000","26,160,000","26,227,000","25,691,000","27,291,000","24,784,000","24,764,000","25,589,000","26,149,000","38,105,000","37,642,000","40,999,000","41,406,000","18,251,000","16,425,000","15,069,000","14,671,000","14,585,000","14,181,000","13,969,000","13,367,000","12,476,000","11,937,000","11,428,000","11,381,000","11,447,000","11,290,000","10,432,000",,,,,,,,"8,579,000","8,473,000","8,513,000","8,621,000","9,238,000","8,725,000","8,837,000","8,856,000","8,997,000","8,945,000","8,797,000","8,920,000","8,736,000","8,622,000","10,373,000","7,268,000","7,230,000","6,923,000","6,314,000","5,873,000","5,743,000","5,625,000","5,416,000","5,228,000","5,217,000","5,095,000","4,879,000","4,704,000","4,810,000","4,819,000","4,671,000","4,680,000","4,691,000","4,403,000","4,202,000","4,096,000","3,875,000","3,789,000","3,723,000","3,648,000","3,714,000","3,577,000","3,526,000","3,456,000","3,438,000","3,400,000","3,200,000","3,100,000","2,903,000","2,900,000","2,400,000","2,100,000","1,905,000","1,900,000","1,700,000","1,500,000","1,283,000","1,300,000","1,000,000","1,000,000","1,000,000"
		DeferredTax,"-20,000","10,000","77,000","31,000","-138,000","64,000","-770,000","140,000","727,000","399,000","899,000","225,000","379,000","-175,000","271,000","1,010,000","-43,000","148,000","-196,000","450,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
