name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalAssets,"1,014,045,000","1,078,531,000","1,099,085,000","1,112,207,000","1,137,415,000","1,106,039,000","1,028,271,000","928,971,000","879,369,000","955,813,000","943,061,000","992,507,000","970,375,000","1,043,376,000","1,533,322,000","1,256,631,000","1,213,177,000","1,208,564,000","1,161,157,000","1,115,589,000","1,142,143,000","1,184,456,000","1,096,748,000","1,040,766,000","1,025,251,000","1,050,569,000","974,751,000","926,783,000","989,859,000","1,048,687,000","1,081,318,000","1,077,992,000","1,090,096,000","1,093,930,000","1,141,194,000","1,128,740,000","1,045,316,000","1,034,569,000","1,018,637,000","988,138,000","940,562,000","971,370,000","864,288,000","820,769,000","773,449,000","780,321,000","681,374,000","642,867,000","642,363,000","633,121,000","556,969,000","531,825,000","548,290,000","586,209,000","602,440,000","569,329,000","562,685,000","551,109,000","500,045,000","481,612,000","451,209,000","437,904,000","393,426,000","367,860,000","357,525,000","356,297,000","316,198,000","294,556,000","287,304,000","300,238,000","249,984,000","239,656,000","219,137,000","205,146,000","187,123,000","132,015,000","101,416,000"
	CurrentAssets,"838,138,000","883,093,000","900,000,000","911,791,000","930,875,000","893,178,000","822,712,000","721,688,000","677,647,000","744,109,000","726,724,000","771,949,000","746,097,000","857,899,000","1,258,322,000","1,035,858,000","999,533,000","1,015,664,000","945,166,000","901,589,000","924,274,000","962,785,000","885,067,000","827,426,000","802,463,000","821,143,000","768,483,000","713,685,000","769,881,000","822,965,000","795,669,000","788,128,000","798,704,000","800,111,000","846,589,000","828,905,000","877,688,000","864,209,000","851,076,000","843,725,000","805,028,000","834,229,000","726,614,000","681,898,000","663,064,000","668,044,000","571,380,000","535,691,000","534,637,000","534,725,000","460,022,000","437,329,000","454,142,000","489,348,000","515,805,000","491,765,000","489,853,000","479,589,000","431,081,000","412,734,000","438,056,000","424,359,000","379,025,000","359,451,000","350,880,000","350,709,000","310,985,000","289,667,000","282,856,000","296,101,000","246,053,000","235,760,000","215,099,000","200,962,000","183,263,000","127,840,000","97,520,000"
		CashCashEquivalentsAndShortTermInvestments,"263,788,000","271,516,000","292,195,000","335,319,000","370,656,000","353,318,000","306,818,000","258,552,000","209,714,000","195,707,000","171,917,000","218,311,000","212,652,000","274,364,000","529,813,000","355,638,000","386,237,000","329,796,000","372,786,000","305,523,000","361,235,000","365,982,000","403,016,000","352,672,000","333,304,000","278,266,000","263,848,000","212,915,000","247,405,000","257,129,000","242,648,000","242,729,000","240,261,000","248,154,000","301,418,000","288,103,000","422,412,000","376,877,000","362,420,000","360,428,000","369,420,000","353,695,000","321,059,000","277,896,000","279,173,000","270,737,000","243,509,000","231,030,000","240,947,000","247,100,000","234,540,000","224,496,000","200,298,000","203,009,000","202,187,000","186,828,000","200,793,000","205,343,000","177,242,000","155,819,000","216,222,000","197,465,000","151,086,000","158,880,000","177,974,000","173,182,000","152,584,000","147,938,000","138,554,000","141,715,000","118,589,000","111,226,000","89,459,000","73,605,000","75,673,000","21,376,000","21,755,000"
			CashAndCashEquivalents,"206,826,000","263,772,000","283,267,000","328,941,000","363,514,000","346,460,000","300,492,000","252,633,000","204,292,000","190,208,000","168,002,000","214,611,000","185,680,000","201,047,000","393,640,000","227,397,000","258,795,000","202,870,000","246,573,000","190,676,000","235,668,000","240,468,000","273,720,000","226,011,000","226,858,000","181,945,000","202,429,000","136,755,000","146,401,000","141,234,000","141,820,000","146,982,000","129,656,000","143,009,000","160,484,000","146,934,000","279,098,000","149,032,000","134,601,000","157,155,000","149,258,000","208,898,000","174,278,000","129,423,000","157,536,000","126,173,000","98,548,000","110,940,000","130,983,000","172,202,000","159,647,000","224,496,000","190,218,000","192,839,000","192,039,000","167,053,000","179,706,000","167,495,000","99,912,000","48,492,000","105,585,000","87,736,000","42,980,000","51,620,000","74,823,000","90,002,000","69,238,000","74,252,000","53,009,000","65,052,000","112,434,000","98,923,000","77,121,000","61,215,000","75,673,000","21,376,000","21,755,000"
			OtherShortTermInvestments,"56,962,000","7,744,000","8,928,000","6,378,000","7,142,000","6,858,000","6,326,000","5,919,000","5,422,000","5,499,000","3,915,000","3,700,000","26,972,000","73,317,000","136,173,000","128,241,000","127,442,000","126,926,000","126,213,000","114,847,000","125,567,000","125,514,000","129,296,000","126,661,000","106,446,000","96,321,000","61,419,000","76,160,000","101,004,000","115,895,000","100,828,000","95,747,000","110,605,000","105,145,000","140,934,000","141,169,000","143,314,000","227,845,000","227,819,000","203,273,000","220,162,000","144,797,000","146,781,000","148,473,000","121,637,000","144,564,000","144,961,000","120,090,000","109,964,000","74,898,000","74,893,000","0","10,080,000","10,170,000","10,148,000","19,775,000","21,087,000","37,848,000","77,330,000","107,327,000","110,637,000","109,729,000","108,106,000","107,260,000","103,151,000","83,180,000","83,346,000","73,686,000","85,545,000","76,663,000","6,155,000","12,303,000","12,338,000","12,390,000",,,
		Receivables,"219,911,000","261,158,000","266,526,000","290,598,000","312,922,000","337,052,000","340,004,000","277,490,000","257,582,000","277,168,000","248,070,000","238,635,000","262,531,000","303,667,000","358,982,000","343,883,000","317,102,000","412,798,000","295,591,000","304,588,000","265,254,000","313,839,000","233,911,000","230,550,000","218,421,000","290,642,000","274,173,000","246,493,000","254,745,000","275,689,000","278,568,000","282,900,000","291,251,000","266,484,000","269,964,000","288,483,000","237,896,000","256,014,000","248,862,000","271,769,000","249,208,000","261,307,000","218,653,000","209,960,000","197,622,000","226,731,000","175,599,000","138,730,000","150,140,000","162,853,000","123,529,000","110,231,000","127,984,000","138,275,000","150,552,000","159,039,000","155,843,000","157,765,000","139,968,000","135,796,000","123,301,000","119,601,000","117,780,000","105,993,000","106,052,000","104,269,000","89,531,000","77,982,000","78,552,000","82,203,000","73,622,000","67,451,000","72,230,000","74,866,000","58,790,000","52,328,000","46,173,000"
			AccountsReceivable,"219,911,000","261,158,000","266,526,000","290,598,000","312,922,000","337,052,000","340,004,000","277,490,000","257,582,000","277,168,000","248,070,000","238,635,000","262,531,000","303,667,000","358,982,000","343,883,000","317,102,000","412,798,000","295,591,000","304,588,000","265,254,000","313,839,000","233,911,000","230,550,000","218,421,000","290,642,000","274,173,000","246,493,000","254,745,000","275,689,000","278,568,000","282,900,000","291,251,000","266,484,000","269,964,000","288,483,000","237,896,000","256,014,000","248,862,000","271,769,000","249,208,000","261,307,000","218,653,000","209,960,000","197,622,000","226,731,000","175,599,000","138,730,000","150,140,000","162,853,000","123,529,000","110,231,000","127,984,000","138,275,000","150,552,000","159,039,000","155,843,000","157,765,000","139,968,000","135,796,000","123,301,000","119,601,000","117,780,000","105,993,000","106,052,000","104,269,000","89,531,000","77,982,000","78,552,000","82,203,000","73,622,000","67,451,000","71,355,000","74,866,000","58,790,000","52,328,000","46,173,000"
				GrossAccountsReceivable,"220,310,000","261,557,000","267,606,000","291,679,000","314,003,000","338,133,000","341,083,000","278,569,000","258,658,000","278,247,000","249,149,000","239,714,000","263,786,000","304,921,000","360,237,000","345,138,000","318,358,000","437,891,000","317,206,000","323,291,000","281,512,000","333,080,000","253,117,000","248,796,000","237,022,000","309,926,000","291,345,000","263,877,000","275,062,000","296,239,000","299,216,000","303,980,000","314,432,000","289,479,000","291,217,000","307,591,000","259,070,000","276,084,000","250,118,000","289,935,000","267,847,000","279,932,000","235,395,000","227,467,000","212,463,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-399,000","-399,000","-1,080,000","-1,081,000","-1,081,000","-1,081,000","-1,079,000","-1,079,000","-1,076,000","-1,079,000","-1,079,000","-1,079,000","-1,255,000","-1,254,000","-1,255,000","-1,255,000","-1,256,000","-25,093,000","-21,615,000","-18,703,000","-16,258,000","-19,241,000","-19,206,000","-18,246,000","-18,601,000","-19,284,000","-17,172,000","-17,384,000","-20,317,000","-20,550,000","-20,648,000","-21,080,000","-23,181,000","-22,995,000","-21,253,000","-19,108,000","-21,174,000","-20,070,000","-1,256,000","-18,166,000","-18,639,000","-18,625,000","-16,742,000","-17,507,000","-14,841,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"875,000",,,,
