name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016
TotalAssets,"2,108,108,000","2,084,602,000","2,102,085,000","2,090,848,000","1,797,930,000","1,768,081,000","1,499,850,000","1,179,148,000","1,080,470,000","745,857,000","623,150,000","430,721,000","420,408,000","281,466,000","166,212,000","161,699,000","158,898,000","80,028,000","70,143,000","63,912,000","63,507,000","63,327,000","375,508"
	CurrentAssets,"60,549,000","99,335,000","136,223,000","162,314,000","122,133,000","126,006,000","612,252,000","384,897,000","404,200,000","117,316,000","318,099,000","196,185,000","256,953,000","133,493,000","57,002,000","78,604,000","91,586,000","12,240,000","23,551,000","26,009,000","33,619,000","33,279,000","375,508"
		CashCashEquivalentsAndShortTermInvestments,"43,094,000","81,096,000","127,298,000","156,314,000","122,133,000","126,006,000","612,252,000","373,429,000","381,168,000","82,244,000","308,745,000","186,163,000","256,953,000","133,493,000","57,002,000","78,604,000","90,932,000","11,758,000","22,204,000","25,756,000","33,351,000","33,003,000","508"
			CashAndCashEquivalents,"43,094,000","81,096,000","127,298,000","156,314,000","122,133,000","126,006,000","161,074,000","50,174,000","108,261,000","82,244,000","99,917,000","47,432,000","59,224,000","13,050,000","53,019,000","21,185,000","42,076,000","11,758,000","22,204,000","25,756,000","33,351,000","33,003,000","508"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,"508"
			OtherShortTermInvestments,,,,,,,"451,178,000","323,255,000","272,907,000",,"208,828,000","138,731,000","197,729,000","120,443,000","3,983,000","57,419,000","48,856,000",,,,,,
		Receivables,"15,525,000","12,916,000","8,925,000","6,000,000",,,,,,,,,,,,,,,,,,,
			LoansReceivable,"15,525,000","12,916,000","8,925,000","6,000,000",,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,,,,,,,,,,,,,,,,"654,000","482,000","1,347,000","253,000","268,000","276,000",
		RestrictedCash,"1,930,000","5,323,000",,,,"0","0","11,468,000","23,032,000","35,072,000","9,354,000","10,022,000",,,,,,,,,,,"375,000"
	TotalNonCurrentAssets,"2,047,559,000","1,985,267,000","1,965,862,000","1,928,534,000","1,675,797,000","1,642,075,000","887,598,000","794,251,000","676,270,000","628,541,000","305,051,000","234,536,000","163,455,000","147,973,000","109,210,000","83,095,000","67,312,000","67,788,000","46,592,000","37,903,000","29,888,000","30,048,000","0"
		NetPPE,"2,011,000","1,068,000","811,000","866,000","922,000","980,000","1,035,000","1,091,000","1,147,000","1,202,000",,,,,,,,,"46,592,000","37,903,000","29,888,000","30,048,000",
			GrossPPE,"2,011,000","1,068,000","811,000","866,000","922,000","980,000","1,035,000","1,091,000","1,147,000","1,202,000",,,,,,,,,"47,171,000","38,266,000","30,075,000","30,075,000",
				Properties,,"0","0","0","0","0","0","0","0","0",,,,,,,,,"0","0","0","0",
				LandAndImprovements,,,,,,,,,,,,,,,,,,,"10,385,000","10,385,000","7,600,000","7,600,000",
				BuildingsAndImprovements,,"1,068,000","811,000","866,000","922,000","980,000","1,035,000","1,091,000","1,147,000","1,202,000",,,,,,,,,"30,885,000","27,881,000","22,475,000","22,475,000",
				MachineryFurnitureEquipment,,,"811,000","866,000","922,000","980,000","1,035,000","1,091,000","1,147,000","1,202,000",,,,,,,,,,,,,
				OtherProperties,"2,011,000","1,068,000","811,000","866,000","922,000","980,000","1,035,000","1,091,000","1,147,000","1,202,000",,,,,,,,,,,,,
				Leases,,,,,,,,,,,,,,,,,,,"5,901,000",,,,
			AccumulatedDepreciation,,,,,,,,,,,,,,,,,,,"-579,000","-363,000","-187,000","-27,000",
		GoodwillAndOtherIntangibleAssets,"9,215,000","9,148,000",,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"9,215,000","9,148,000",,,,,,,,,,,,,,,,,,,,,
		InvestmentProperties,"1,800,999,000","1,640,166,000","1,400,882,000","1,276,859,000","1,133,530,000","1,020,044,000","885,027,000","791,569,000","672,876,000","505,861,000","303,983,000","232,957,000","161,151,000","147,359,000","108,711,000","81,649,000","67,312,000","67,788,000","46,592,000","37,903,000","29,888,000",,
		InvestmentsAndAdvances,"209,935,000","324,889,000","554,420,000","649,352,000","539,323,000","619,275,000",,,,"119,595,000",,,,,,,,,,,,,
		OtherNonCurrentAssets,"25,399,000","9,996,000","9,749,000","1,457,000","2,022,000","1,776,000","1,536,000","1,591,000","2,247,000","1,883,000","1,068,000","1,579,000","2,304,000","614,000","499,000","1,446,000",,,"1,347,000",,,,
