name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994
		Inventory,"412,058,000","618,646,000","497,832,000","84,834,000","415,029,000","656,963,000","714,404,000","1,078,422,000","898,169,000","966,497,000","384,138,000","0","33,239,000","108,848,000","83,152,000","56,419,000","38,566,000","171,578,000","116,958,000","292,243,000","2,131,000","39,743,000","102,798,000","73,190,000","200,044,000",,,,,,,,"51,161,000","0","0","12,851,000","103,474,000","60,863,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"412,058,000","618,646,000","497,832,000","84,834,000","415,029,000","656,963,000","714,404,000","1,078,422,000","898,169,000","966,497,000","384,138,000","0","33,239,000","108,848,000","83,152,000","56,419,000","38,566,000","171,578,000","116,958,000","292,243,000","2,131,000","39,743,000","102,798,000","73,190,000","200,044,000",,,,,,,,"51,161,000","0","0","12,851,000","103,474,000","60,863,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"36,449,000","28,858,000","33,008,000","30,507,000","33,868,000","35,971,000","48,448,000","45,087,000","54,251,000","73,375,000","42,531,000","44,105,000","329,287,000","107,168,000","83,346,000","66,256,000","57,456,000","80,947,000","102,384,000","71,257,000","59,883,000","60,720,000","81,645,000","91,672,000","52,629,000","49,408,000","46,136,000","38,408,000","40,561,000","32,827,000","100,383,000","32,814,000","43,068,000","27,584,000","91,293,000","29,267,000","32,025,000","26,614,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,"21,153,000","19,701,000","19,809,000","16,147,000","18,836,000","14,207,000","14,507,000","14,144,000","15,863,000","15,577,000","19,635,000","17,892,000","20,561,000","19,921,000","20,119,000","22,121,000","34,830,000","39,792,000","40,473,000","56,167,000","57,596,000","53,952,000","54,784,000","34,891,000","27,566,000","35,343,000","40,068,000","42,052,000","35,780,000","34,245,000","26,571,000","26,405,000","20,620,000","19,794,000","19,213,000","19,639,000","20,419,000","19,339,000","19,717,000","20,818,000","21,265,000","20,716,000","19,631,000","20,387,000","19,824,000","17,310,000","18,036,000","19,320,000","21,854,000","20,681,000","20,720,000","20,785,000","12,918,000","12,719,000","12,189,000","12,894,000","13,662,000","13,613,000","13,639,000","16,795,000","16,288,000","15,448,000","15,981,000","16,341,000","14,013,000","9,221,000","9,298,000","9,261,000","9,545,000","10,477,000","7,921,000","7,840,000","7,796,000","8,089,000",,"8,115,000","8,197,000",,"7,429,000","7,358,000",,,"7,543,000","7,492,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"206,434,000",,,"210,470,000","217,850,000",,,"212,038,000",,,,"213,674,000",,"238,035,000",,"212,422,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,"618,646,000","497,832,000","84,834,000","415,029,000","656,963,000","714,404,000","1,078,422,000","898,169,000","966,497,000","384,138,000","0","33,239,000","108,848,000","83,152,000","56,419,000","38,566,000","171,578,000","116,958,000","292,243,000","2,131,000","39,743,000","102,798,000","73,190,000","200,044,000",,,,,,,,"51,161,000","0","0","12,851,000","103,474,000","60,863,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"0","0","0","0","267,950,000","0","0","0","213,377,000","0","0","0","204,650,000",,"0","0","0","0","0","0","204,874,000","206,434,000","0","0",,"217,850,000","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"3,705,253,000","3,749,696,000","3,910,546,000","4,336,601,000","4,332,537,000","4,307,097,000","4,291,618,000","4,088,098,000","4,188,033,000","4,107,257,000","5,133,583,000","5,100,360,000","4,732,195,000","4,641,556,000","4,691,327,000","4,527,285,000","4,499,407,000","4,479,593,000","4,422,296,000","4,517,050,000","4,508,821,000","3,986,820,000","4,046,028,000","3,860,640,000","3,688,809,000","3,797,166,000","3,743,629,000","3,909,659,000","3,948,779,000","3,941,674,000","3,915,768,000","3,993,354,000","4,008,371,000","4,079,023,000","4,024,794,000","4,243,955,000","4,249,735,000","4,211,821,000","3,877,167,000","4,085,287,000","4,114,800,000","3,902,622,000","3,916,054,000","4,148,161,000","4,160,336,000","3,971,955,000","4,196,067,000","4,223,136,000","4,254,706,000","4,068,665,000","4,329,991,000","4,356,364,000","4,239,639,000","4,061,497,000","4,343,823,000","4,364,836,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetPPE,"2,896,000","22,298,000","22,298,000","22,298,000","22,298,000","22,298,000","22,604,000","22,604,000","22,604,000","22,604,000","22,376,000","22,452,000","22,477,000",,,,,"4,015,761,000","3,961,136,000","3,961,018,000","3,940,145,000","3,472,794,000","3,517,525,000","3,397,253,000","3,230,229,000","3,343,236,000","3,303,113,000","3,479,406,000","3,537,958,000","3,543,874,000",,"3,577,431,000","3,664,978,000","3,728,945,000","3,721,876,000","3,926,568,000","3,914,962,000","3,901,222,000","3,793,204,000","3,796,605,000","3,815,188,000","3,870,607,000","3,884,063,000","3,901,882,000","3,915,112,000","3,937,735,000","3,947,388,000","3,970,329,000","4,005,194,000","4,032,985,000","4,071,377,000","4,085,322,000","3,901,871,000","3,923,002,000","3,937,943,000","3,957,663,000","3,962,914,000","3,978,416,000","3,990,309,000","4,005,853,000","3,763,499,000","3,776,794,000","4,025,488,000","4,012,682,000","3,904,404,000","3,768,772,000","3,778,531,000","3,757,097,000","3,842,795,000","3,538,465,000","3,512,372,000","3,526,557,000","3,397,672,000","3,408,625,000","3,421,391,000","3,402,256,000","3,407,511,000","3,412,088,000","3,346,565,000","3,363,220,000","3,044,926,000","3,027,366,000","2,952,164,000","2,981,237,000","2,911,415,000","3,394,403,000","3,384,937,000","3,384,801,000","3,415,649,000","3,398,216,000","3,378,000,000","3,326,700,000","3,296,200,000","3,289,865,000","3,270,800,000","3,207,300,000","2,965,400,000","2,526,483,000","1,351,500,000","1,307,400,000","1,237,400,000","784,742,000","376,500,000","365,000,000","333,900,000","328,600,000","226,700,000","217,700,000","204,700,000","183,700,000"
			GrossPPE,"2,896,000","22,298,000","22,298,000","22,298,000","22,298,000","22,298,000","22,604,000","22,604,000","22,604,000","22,604,000","22,376,000","22,452,000","22,477,000",,,,,"5,102,844,000","5,107,227,000","5,092,817,000","5,268,112,000","4,804,867,000","4,869,350,000","4,790,326,000","4,613,191,000","4,807,718,000","4,737,716,000","4,928,197,000","4,955,293,000","4,958,179,000",,"4,966,633,000","5,061,773,000","5,129,933,000","5,113,940,000","5,391,672,000","5,354,937,000","5,379,436,000","5,248,624,000","5,212,795,000","5,192,340,000","5,279,770,000","5,253,281,000","5,231,303,000","5,210,451,000","5,216,720,000","5,194,965,000","5,178,246,000","5,176,004,000","5,186,208,000","5,184,411,000","5,158,812,000","4,937,170,000","4,963,780,000","4,940,111,000","4,923,527,000","4,892,991,000","4,885,429,000","4,860,197,000","4,839,345,000","4,565,695,000","4,573,587,000","4,788,541,000","4,792,269,000","4,651,443,000","4,491,752,000","4,470,989,000","4,417,443,000","4,471,713,000","4,180,091,000","4,125,459,000","4,120,959,000","3,970,656,000","3,954,632,000","3,941,814,000","3,897,327,000","3,876,959,000","3,857,657,000","3,767,504,000","3,762,261,000","3,408,197,000","3,378,071,000","3,282,191,000","3,295,476,000","3,206,201,000","3,704,354,000","3,673,913,000","3,654,866,000","3,692,714,000","3,654,845,000","3,378,000,000","3,326,700,000","3,296,200,000","3,467,799,000","3,270,800,000","3,207,300,000","2,965,400,000","2,629,616,000","1,351,500,000","1,307,400,000","1,237,400,000","853,352,000","376,500,000","365,000,000","333,900,000","328,600,000","226,700,000","217,700,000","204,700,000","183,700,000"
				Properties,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,,,,,,,,,,,,,,,,,,"786,789,000","712,166,000","721,753,000","752,842,000","661,335,000","667,095,000","709,335,000","684,960,000","735,696,000","706,122,000","749,359,000","760,628,000","760,855,000",,"725,542,000","736,058,000","750,658,000","755,643,000","781,347,000","779,583,000","782,315,000","765,742,000","765,646,000","765,639,000","773,026,000","772,980,000","771,980,000","771,998,000","771,960,000","770,166,000","770,239,000","772,403,000","771,794,000","774,155,000","774,126,000","731,128,000","731,086,000","729,549,000","728,560,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,"3,955,122,000","4,021,241,000","3,998,971,000","4,107,508,000","3,758,210,000","3,821,332,000","3,691,074,000","3,557,813,000","3,648,238,000","3,619,200,000","3,751,805,000","3,769,787,000","3,753,300,000",,"3,807,642,000","3,884,320,000","3,915,800,000","3,908,139,000","4,142,086,000","4,114,633,000","4,104,472,000","3,995,933,000","3,977,332,000","3,968,468,000","4,001,943,000","3,988,926,000","3,982,156,000","3,975,224,000","3,970,177,000","3,958,379,000","3,949,892,000","3,952,119,000","3,948,509,000","3,954,619,000","3,949,325,000","3,796,139,000","3,792,186,000","3,783,728,000","3,775,929,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,,,,,,,,,,,,,,,,,"30,247,000","29,355,000","27,985,000","23,499,000","21,230,000","19,622,000","17,997,000","16,576,000","15,167,000","13,582,000","12,867,000","12,527,000","12,055,000",,"9,461,000","9,116,000","7,472,000","4,535,000","4,513,000","2,905,000","3,041,000","2,994,000","3,106,000","3,106,000","4,465,000","4,289,000","4,260,000","4,260,000","4,485,000","9,380,000","9,316,000","9,349,000","9,358,000","9,358,000","9,358,000","8,716,000","8,892,000","8,880,000","8,888,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"2,896,000","22,298,000","22,298,000","22,298,000","22,298,000","22,298,000","22,604,000","22,604,000","22,604,000","22,604,000","22,376,000","22,452,000","22,477,000",,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","417,954,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,,,,,,,,,,,,,,,,,,"330,686,000","344,465,000","344,108,000","384,263,000","364,092,000","361,301,000","371,920,000","353,842,000","408,617,000","398,812,000","414,166,000","412,351,000","431,969,000",,"423,988,000","432,279,000","456,003,000","445,623,000","463,726,000","457,816,000","489,608,000","483,955,000","466,711,000","455,127,000","500,336,000","487,086,000","472,907,000","458,969,000","470,098,000","457,040,000","448,799,000","442,133,000","456,547,000","446,279,000","426,003,000","401,187,000","431,616,000","417,954,000","410,150,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,,,,,,,,,,,,,,,,,"-1,087,083,000","-1,146,091,000","-1,131,799,000","-1,327,967,000","-1,332,073,000","-1,351,825,000","-1,393,073,000","-1,382,962,000","-1,464,482,000","-1,434,603,000","-1,448,791,000","-1,417,335,000","-1,414,305,000",,"-1,389,202,000","-1,396,795,000","-1,400,988,000","-1,392,064,000","-1,465,104,000","-1,439,975,000","-1,478,214,000","-1,455,420,000","-1,416,190,000","-1,377,152,000","-1,409,163,000","-1,369,218,000","-1,329,421,000","-1,295,339,000","-1,278,985,000","-1,247,577,000","-1,207,917,000","-1,170,810,000","-1,153,223,000","-1,113,034,000","-1,073,490,000","-1,035,299,000","-1,040,778,000","-1,002,168,000","-965,864,000","-930,077,000","-907,013,000","-869,888,000","-833,492,000","-802,196,000","-796,793,000","-763,053,000","-779,587,000","-747,039,000","-722,980,000","-692,458,000","-660,346,000","-628,918,000","-641,626,000","-613,087,000","-594,402,000","-572,984,000","-546,007,000","-520,423,000","-495,071,000","-469,448,000","-445,569,000","-420,939,000","-399,041,000","-363,271,000","-350,705,000","-330,027,000","-314,239,000","-294,786,000","-309,951,000","-288,976,000","-270,065,000","-277,065,000","-256,629,000",,,,"-177,934,000",,,,"-103,133,000",,,,"-68,610,000",,,,,,,,
		GoodwillAndOtherIntangibleAssets,"10,865,000","42,183,000","45,291,000","49,375,000","65,206,000","74,553,000","75,610,000","82,996,000","83,692,000","89,037,000","101,294,000","94,598,000","98,276,000","92,805,000","98,597,000","96,763,000","100,732,000","105,702,000","113,108,000","123,385,000","124,844,000","74,991,000","80,601,000","21,784,000","15,681,000","13,876,000","7,881,000","8,403,000","8,966,000","9,510,000","10,511,000","12,460,000","14,104,000","16,604,000","16,446,000","20,376,000","20,924,000","22,229,000",,"21,672,000",,,,"34,425,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Goodwill,,"0","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000","2,945,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"10,865,000","42,183,000","42,346,000","46,430,000","62,261,000","71,608,000","72,665,000","80,051,000","80,747,000","86,092,000","98,349,000","91,653,000","95,331,000","89,860,000","95,652,000","93,818,000","97,787,000","102,757,000","110,163,000","120,440,000","121,899,000","72,046,000","77,656,000","18,839,000","12,736,000","10,931,000","4,936,000","5,458,000","6,021,000","6,565,000","7,566,000","9,515,000","11,159,000","13,659,000","13,501,000","17,431,000","17,979,000","19,284,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
