name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
			OtherReceivables,"1,087,000","1,080,000","1,358,000","1,350,000","1,343,000","1,336,000","1,613,247","1,605,980","1,598,712","1,591,445","1,869,177","1,861,910","1,854,643","1,847,375","2,125,108","2,117,840","2,110,573","2,213,305","2,381,038","2,373,771","2,366,503","3,844,236","4,022,340","3,407,454","2,760,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"800,000","900,000","900,000","900,000","800,000","800,000","600,000","700,000","700,000","800,000","800,000","800,000","900,000","1,000,000","600,000","700,000","700,000","700,000","800,000","900,000","600,000","600,000","700,000","700,000","700,000","700,000","700,000","700,000","600,000","700,000","700,000","700,000","700,000","700,000","800,000","700,000","700,000","700,000",,,"700,000","600,000"
		PrepaidAssets,"3,129,000","3,526,000","1,768,000","1,814,000","1,642,000","1,693,000","698,256","2,184,141","2,501,257","3,113,929","3,329,830","1,864,177","2,489,860","2,634,664","4,321,106","2,882,784","3,149,238","3,174,299","2,559,423","2,115,405","2,617,802","2,165,127","1,921,270","1,650,606","2,339,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,"26,385,000","22,734,000","68,546,000","13,918,000","609,000","29,536,000","2,425,944","29,709,862","2,910,392","128,430,049","6,213,295","59,035,150","1,336,361","19,721,475","8,477,796","2,419,686","3,148,997","6,508,131","7,027,196","4,727,381","5,882,767","9,855,469","6,643,732","10,568,618","15,156,505","14,060,523","10,625,517","1,493,395","5,383,695","4,440,098","1,425,507","842,508","812,593","366,645","322,562","233,589","888,150","0","3,764,058","4,374,407","2,779,511","2,779,511",,,,,"0",,,"0","0","0","0","462,765","460,555",,"9,510,980","10,387,550","1,524,347","1,310,560","1,918,927","1,185,962","2,103,639",,"8,796,611","7,840,167","1,634,357","5,630,699","32,110,043","27,717,882","1,590,973",,"6,580,093","19,359,098","950,000","2,743,161","2,734,293","12,339,527","9,824,855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,"0",,"765,225","239,720","0","0","0",,"0","0",,,"1,754,394",,,,"328,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,"0",,"765,225","239,720","0","0","0",,"0","0",,,"1,754,394",,,,"328,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"0","6,720,000","835,000","3,720,000","4,505,000","833,000","29,413,951","9,974,702","4,633,801","833,167","4,502,635","4,603,403","59,078,667","75,866,510",,,,,"15,000,000",,,,,"38,685,310","47,657,971",,"4,231,425",,"6,166,700",,"3,153,762",,,"0","3,203,100","0","0","3,433,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,"13,512,025",,"14,852,899","13,975,385","13,425,384","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","27,150,497","27,848,525","0","0","0","27,825,924","0","0","27,096,896","27,047,317","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0",,"0","16,444,165","14,583,281",,"17,628,529","16,653,232","15,595,541","14,499,375","13,578,134","12,918,476","11,953,991","13,701,943","14,054,550","13,206,312","12,915,306","12,844,128","13,216,271","13,297,251","13,028,071","16,625,222","15,334,644","11,556,984","14,400,000","15,300,000","19,400,000","32,700,000","33,300,000","31,100,000","14,800,000","6,900,000","29,200,000","4,300,000","18,900,000","18,900,000","33,900,000","20,700,000","28,500,000","18,500,000","19,400,000","22,700,000","24,400,000","21,700,000","21,600,000","22,900,000","29,200,000","21,300,000","21,700,000","22,900,000","21,200,000","21,600,000","22,000,000","27,200,000","25,900,000","25,500,000","0","0","0","0","2,200,000","0","0","0","2,100,000","0","0",,,"1,900,000","1,800,000"
	TotalNonCurrentAssets,"666,665,000","641,267,000","561,697,000","617,972,000","617,312,000","589,962,000","604,044,744","594,579,487","656,387,405","520,047,066","556,115,737","502,246,584","445,339,354","448,792,365","450,812,535","462,696,783","466,892,044","442,758,685","399,421,820","411,276,555","395,725,186","381,737,784","352,052,343","305,077,189","329,418,260","381,333,075","306,414,505","265,123,236","262,382,837","268,512,746","244,673,607","234,949,337","207,131,147","220,154,709","224,455,317","198,704,737","202,716,072","179,721,941","166,360,068","165,579,773","167,004,202","139,254,289","166,950,944","173,487,909","144,876,204","145,405,040","169,485,892","170,679,141","170,993,776","171,341,599","166,082,642","164,123,677","164,198,651","162,879,950","161,456,531","158,478,798","147,638,150","145,223,639","141,534,586","141,203,071","138,372,671","139,369,733","137,066,361","136,159,874","120,209,564","119,950,069","113,240,727","110,021,666","77,961,503","68,577,863","86,705,369","68,780,095","61,258,935","48,883,215","49,576,302","46,797,203","47,154,333","34,358,668","31,344,886","31,449,154","31,642,328","31,770,899","30,937,853","31,055,246","26,877,160","17,635,458","10,641,249","9,444,889","11,679,572","8,400,000","7,900,000","7,700,000","7,500,000","7,400,000","18,700,000","33,800,000","34,600,000","16,900,000","35,300,000","18,900,000","21,000,000","21,100,000","22,600,000","22,800,000","26,200,000","26,200,000","26,600,000","26,600,000","27,500,000","27,600,000","28,300,000","28,500,000","35,800,000","35,300,000","35,600,000","35,900,000","36,100,000","35,800,000","37,200,000","37,100,000","37,500,000","61,600,000","63,800,000","62,900,000","65,400,000","64,600,000","69,600,000","67,600,000","64,800,000","63,600,000","72,000,000","63,600,000","76,800,000","70,900,000","34,900,000","29,700,000"
		NetPPE,"143,000","168,000","198,000","198,000","218,000","246,000","275,756","305,196","334,394","363,631","384,462","413,907","443,351","26,512,834","32,478,321","39,320,567","37,534,967","52,815,532","54,005,325","51,842,251","54,402,526","61,784,059","65,493,512","61,702,728","60,633,120","57,933,450","55,203,705","43,844,923","38,290,326","42,853,642","42,469,890","44,962,753","45,259,250","44,107,704","45,747,458","45,649,718","46,218,406","46,829,130","127,040,458","125,834,576","119,532,694","119,963,611","130,365,719","134,140,088","132,856,390","133,044,857","133,135,639","133,478,320","133,729,425","133,985,433","133,830,141","133,841,490","133,418,623","151,822,005","132,120,258","145,507,910","134,775,982","132,606,130","115,758,455","115,431,647","113,681,176","113,638,139","114,066,819","125,102,338","100,990,427","101,010,159","97,139,483","93,665,596","77,961,503","68,577,863","68,536,616","68,780,095","61,258,935","48,883,215","49,576,302","46,797,203","47,154,333","34,358,668","31,344,886","31,449,154","31,642,328","31,770,899","30,937,853","31,055,246","26,877,160","17,635,458","10,641,249","9,444,889","8,685,026","8,400,000","7,900,000","7,700,000","7,400,000","7,400,000","18,600,000","32,000,000","32,900,000","16,900,000","33,300,000","18,900,000","21,000,000","21,100,000","22,600,000","22,800,000","26,100,000","26,300,000","26,500,000","26,500,000","27,500,000","27,700,000","28,400,000","28,400,000","35,900,000","35,300,000","35,500,000","35,800,000","35,900,000","35,900,000","37,200,000","37,200,000","37,300,000","37,500,000","38,400,000","38,200,000","37,300,000","37,300,000","37,000,000","36,700,000","35,900,000","35,700,000","34,900,000","33,900,000",,,"26,200,000","22,000,000"
			GrossPPE,"143,000","168,000","198,000","198,000","218,000","246,000","275,756","305,196","334,394","363,631","384,462","413,907","443,351","26,512,834","32,478,321","39,320,567","37,534,967","52,815,532","54,005,325","51,842,251","54,402,526","61,784,059","65,493,512","61,702,728","60,633,120","57,933,450","55,203,705","43,844,923","38,290,326","42,853,642","42,469,890","44,962,753","45,259,250","44,107,704","45,747,458","45,649,718","46,218,406","46,829,130","138,785,802","137,303,412","131,266,795","131,530,031","142,840,910","152,050,505","150,300,274","150,137,910","149,675,212","149,483,236","149,152,737","148,821,134","148,063,471","147,484,301","146,481,456","164,310,168","144,048,461","156,864,672","145,589,096","142,890,800","125,520,847","124,673,546","122,398,121","121,859,277","121,417,912","131,947,660","107,493,814","107,089,249","103,026,334","99,169,948","83,101,411","73,369,106","72,987,106","72,923,158","65,106,905","52,659,438","53,089,509","50,058,363","50,157,677","37,069,660","33,852,727","33,762,019","33,756,191","33,686,140","32,699,349","32,631,589","28,104,258","18,862,556","22,430,097","10,531,672","9,764,323","9,400,000","8,800,000","8,600,000","8,300,000","8,300,000","27,900,000","41,500,000","42,400,000","26,200,000","45,000,000","30,600,000","32,700,000","32,800,000","35,100,000","35,000,000","39,000,000","39,200,000","39,500,000","39,500,000","40,500,000","40,700,000","50,100,000","50,100,000","57,600,000","57,000,000","56,300,000","56,600,000","56,700,000","56,700,000","56,900,000","56,900,000","57,000,000","57,200,000","58,800,000","58,600,000","57,700,000","57,700,000","55,100,000","54,800,000","54,000,000","53,800,000","46,400,000","45,400,000",,,"37,700,000","32,400,000"
				Properties,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120,173,169","0","0","111,564,673","0","0","0","119,935,128","0","0","0","119,800,091","0","119,285,746","116,519,767","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,,,,,,"173,595,000","7,200,397","7,151,736","6,805,176","6,732,291","23,520,982","22,824,001","25,745,482","25,764,633","27,243,368","31,371,995","30,145,845","39,477,697","40,750,335","40,213,760","44,443,943","51,955,278","58,460,992","56,962,202","55,839,895","53,406,020","50,247,962","38,511,871","38,290,326","38,522,315","38,175,956","40,819,670","39,421,053","39,060,825","41,761,684","41,763,932","42,360,998","43,043,426","15,144,835","15,131,329","15,118,781","15,109,298","15,065,687","15,033,929","14,950,383","14,770,388","14,622,841","14,517,130","14,269,924","13,960,019","13,555,317","13,196,544","12,942,267","31,616,529","128,413,560","25,688,683","23,909,723","23,448,050","111,088,354","110,326,675","3,431,213","107,832,318","107,555,926","118,297,415","94,127,507","93,937,327","89,833,766","86,384,952","2,071,931","2,091,080","1,997,085","1,991,378","1,984,529","1,984,529","2,034,291","2,020,190","1,994,628","1,958,550","1,948,045","21,725,906","1,921,831","1,877,240","7,985,160","7,985,161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
