name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003
TotalRevenue,"239,616,000","58,014,000","65,629,000","57,384,000","58,589,000","49,668,000","49,943,000","39,132,000","26,369,000","32,239,000","51,795,000","46,117,000","47,774,000","36,026,000","45,469,000","40,573,000","42,553,000","34,125,000","47,632,000","38,173,000","36,389,000","29,299,000","37,875,000","30,281,000","27,477,000","22,423,000","30,042,000","23,085,000","22,563,000","19,071,000","25,499,000","18,726,000","17,724,000","16,189,000","22,239,000","16,828,000","19,560,000","15,967,000","22,533,000","19,426,000","19,591,000","15,727,000","18,542,000","15,232,000","14,895,000","11,621,000","15,216,000","12,092,000","12,217,000","13,749,000","15,416,000","12,171,000","11,665,000","14,430,000","17,897,000","19,110,000","24,754,000","21,618,000","26,453,000","28,143,000","23,873,000","23,257,000","30,481,000","25,059,000","24,395,000","20,757,000","23,953,000","18,950,000","17,570,000","15,147,000","16,093,000","12,703,000","12,265,000","11,580,000","12,449,000","11,025,000","9,018,000"
	OperatingRevenue,"239,616,000","58,014,000","65,629,000","57,384,000","58,589,000","49,668,000","49,943,000","39,132,000","26,369,000","32,239,000","51,795,000","46,117,000","47,774,000","36,026,000","45,469,000","40,573,000","42,553,000","34,125,000","47,632,000","38,173,000","36,389,000","29,299,000","37,875,000","30,281,000","27,477,000","22,423,000","30,042,000","23,085,000","22,563,000","19,071,000","25,499,000","18,726,000","17,724,000","16,189,000","22,239,000","16,828,000","19,560,000","15,967,000","22,533,000","19,426,000","19,591,000","15,727,000","18,542,000","15,232,000","14,895,000","11,621,000","15,216,000","12,092,000","12,217,000","13,749,000","15,416,000","12,171,000","11,665,000","14,430,000","17,897,000","19,110,000","24,754,000","21,618,000","26,453,000","28,143,000","23,873,000","23,257,000","30,481,000","25,059,000","24,395,000","20,757,000","23,953,000","18,950,000","17,570,000","15,147,000","16,093,000","12,703,000","12,265,000","11,580,000","12,449,000","11,025,000","9,018,000"
CostOfRevenue,"102,433,000","26,226,000","27,448,000","23,959,000","24,800,000","21,958,000","21,877,000","17,386,000","14,745,000","17,903,000","23,005,000","19,884,000","21,943,000","18,717,000","26,683,000","18,688,000","20,176,000","16,791,000","20,299,000","15,963,000","15,343,000","13,778,000","15,962,000","12,538,000","11,472,000","9,949,000","12,145,000","9,594,000","9,687,000","9,052,000","11,679,000","7,935,000","7,848,000","7,303,000","9,202,000","7,651,000","8,442,000","7,417,000","9,790,000","8,828,000","9,274,000","7,845,000","7,506,000","6,772,000","6,476,000","5,224,000","6,233,000","5,661,000","5,335,000","5,829,000","5,783,000","4,910,000","5,130,000","5,936,000","7,045,000","7,823,000","9,271,000","8,219,000","9,704,000","9,607,000","7,910,000","7,781,000","8,349,000","7,931,000","7,768,000","5,811,000","6,150,000","4,746,000","4,883,000","4,014,000","4,235,000","3,408,000","3,400,000","3,647,000","3,711,000","3,613,000","2,760,000"
GrossProfit,"137,183,000","31,788,000","38,181,000","33,425,000","33,789,000","27,710,000","28,066,000","21,746,000","11,624,000","14,336,000","28,790,000","26,233,000","25,831,000","17,309,000","18,786,000","21,885,000","22,377,000","17,334,000","27,333,000","22,210,000","21,046,000","15,521,000","21,913,000","17,743,000","16,005,000","12,474,000","17,897,000","13,491,000","12,876,000","10,019,000","13,820,000","10,791,000","9,876,000","8,886,000","13,037,000","9,177,000","11,118,000","8,550,000","12,743,000","10,598,000","10,317,000","7,882,000","11,036,000","8,460,000","8,419,000","6,397,000","8,983,000","6,431,000","6,882,000","7,920,000","9,633,000","7,261,000","6,535,000","8,494,000","10,852,000","11,287,000","15,483,000","13,399,000","16,749,000","18,536,000","15,963,000","15,476,000","22,132,000","17,128,000","16,627,000","14,946,000","17,803,000","14,204,000","12,687,000","11,133,000","11,858,000","9,295,000","8,865,000","7,933,000","8,738,000","7,412,000","6,258,000"
OperatingExpense,"149,675,000","44,945,000","40,210,000","32,799,000","31,721,000","26,545,000","26,622,000","22,957,000","22,555,000","26,465,000","30,719,000","28,642,000","25,532,000","25,335,000","24,276,000","22,883,000","24,532,000","22,083,000","22,790,000","19,994,000","19,316,000","16,934,000","17,468,000","16,204,000","17,421,000","14,645,000","15,900,000","14,475,000","14,808,000","13,621,000","15,412,000","13,330,000","12,711,000","12,539,000","13,377,000","11,154,000","11,741,000","10,866,000","11,675,000","11,706,000","11,838,000","13,148,000","11,970,000","11,088,000","11,282,000","10,404,000","10,534,000","10,022,000","10,702,000","10,057,000","10,051,000","8,917,000","11,182,000","11,266,000","11,224,000","12,487,000","15,388,000","15,075,000","13,897,000","15,428,000","14,013,000","13,828,000","13,377,000","13,389,000","32,496,000","14,228,000","10,851,000","9,480,000","9,527,000","9,297,000","9,131,000","8,144,000","7,895,000","7,628,000","6,442,000","5,559,000","5,107,000"
	SellingGeneralAndAdministration,"125,720,000","38,446,000","33,406,000","26,997,000","26,871,000","22,433,000","22,594,000","19,525,000","19,564,000","22,595,000","26,256,000","24,999,000","22,259,000","21,629,000","20,812,000","19,639,000","20,437,000","18,527,000","19,309,000","16,527,000","16,335,000","13,989,000","14,571,000","13,290,000","14,709,000","11,936,000","13,088,000","11,727,000","12,080,000","11,176,000","12,763,000","10,702,000","10,089,000","9,895,000","10,939,000","8,714,000","9,524,000","8,745,000","9,553,000","9,489,000","9,966,000","10,932,000","9,657,000","8,736,000","8,936,000","8,274,000","8,361,000","8,151,000","9,196,000","8,603,000","8,163,000","7,233,000","9,687,000","9,523,000","9,291,000","10,659,000","13,384,000","13,290,000","12,163,000","13,664,000","12,090,000","12,081,000","11,442,000","11,166,000","12,553,000","12,921,000","9,271,000","7,772,000","7,922,000","7,819,000","7,667,000","6,848,000","6,532,000","6,348,000","5,979,000","4,382,000","4,228,000"
		GeneralAndAdministrativeExpense,"39,082,000","13,502,000","9,312,000","7,807,000","8,461,000","7,365,000","7,937,000","7,239,000","8,529,000","7,806,000","5,933,000","7,308,000","5,267,000","5,525,000","5,494,000","5,160,000","4,902,000","5,439,000","3,947,000","3,379,000","3,548,000","3,216,000","3,010,000","2,716,000","3,997,000","3,220,000","3,189,000","2,937,000","3,014,000","2,989,000","3,407,000","2,897,000","2,335,000","2,564,000","3,135,000","2,160,000","2,354,000","2,289,000","2,452,000","2,475,000","2,854,000","3,495,000","2,878,000","2,310,000","2,588,000","2,328,000","2,238,000","2,352,000","2,744,000","2,242,000","2,063,000","2,121,000","3,616,000","2,520,000",,,,,,,,,,,,,,,,,,,,,,"809,000",
			OtherGandA,"39,082,000","13,502,000","9,312,000","7,807,000","8,461,000","7,365,000","7,937,000","7,239,000","8,529,000","7,806,000","5,933,000","7,308,000","5,267,000","5,525,000","5,494,000","5,160,000","4,902,000","5,439,000","3,947,000","3,379,000","3,548,000","3,216,000","3,010,000","2,716,000","3,997,000","3,220,000","3,189,000","2,937,000","3,014,000","2,989,000","3,407,000","2,897,000","2,335,000","2,564,000","3,135,000","2,160,000","2,354,000","2,289,000","2,452,000","2,475,000","2,854,000","3,495,000","2,878,000","2,310,000","2,588,000","2,328,000","2,238,000","2,352,000","2,744,000","2,242,000","2,063,000","2,121,000","3,616,000","2,520,000",,,,,,,,,,,,,,,,,,,,,,"809,000",
		SellingAndMarketingExpense,"86,638,000","24,944,000","24,094,000","19,190,000","18,410,000","15,068,000","14,657,000","12,286,000","11,035,000","14,789,000","20,323,000","17,691,000","16,992,000","16,104,000","15,318,000","14,479,000","15,535,000","13,088,000","15,362,000","13,148,000","12,787,000","10,773,000","11,561,000","10,574,000","10,712,000","8,716,000","9,899,000","8,790,000","9,066,000","8,187,000","9,356,000","7,805,000","7,754,000","7,331,000","7,804,000","6,554,000","7,170,000","6,456,000","7,101,000","7,014,000","7,112,000","7,437,000","6,779,000","6,426,000","6,348,000","5,946,000","6,123,000","5,799,000","6,452,000","6,361,000","6,100,000","5,112,000","6,071,000","7,003,000",,,,,,,,,,,,,,,,,,,,,,"3,573,000",
	ResearchAndDevelopment,"23,955,000","6,499,000","6,804,000","5,802,000","4,850,000","4,112,000","4,028,000","3,432,000","2,991,000","3,870,000","4,463,000","3,643,000","3,273,000","3,706,000","3,464,000","3,244,000","4,095,000","3,556,000","3,481,000","3,467,000","2,981,000","2,945,000","2,897,000","2,914,000","2,712,000","2,709,000","2,812,000","2,748,000","2,728,000","2,445,000","2,649,000","2,628,000","2,622,000","2,644,000","2,438,000","2,440,000","2,217,000","2,121,000","2,122,000","2,217,000","1,872,000","2,216,000","2,313,000","2,352,000","2,346,000","2,130,000","2,173,000","1,871,000","1,506,000","1,454,000","1,888,000","1,684,000","1,495,000","1,743,000","1,933,000","1,828,000","2,004,000","1,785,000","1,734,000","1,764,000","1,923,000","1,747,000","1,935,000","1,679,000","1,552,000","1,307,000","1,373,000","1,275,000","1,335,000","1,081,000","1,151,000","979,000","1,047,000","959,000","1,273,000","740,000","683,000"
