name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
OperatingCashFlow,"-14,280,000","32,491,000","-16,258,000","-14,682,000","-15,831,000","-20,136,000","-10,931,000","-10,873,000","-9,646,000","-10,771,000","-10,201,000","-8,048,000","-6,274,000","-6,532,000","-3,515,000","-3,041,000","-2,419,000","-1,989,000"
	CashFlowFromContinuingOperatingActivities,"-14,280,000","32,491,000","-16,258,000","-14,682,000","-15,831,000","-20,136,000","-10,931,000","-10,873,000","-9,646,000","-10,771,000","-10,201,000","-8,048,000","-6,274,000","-6,532,000","-3,515,000","-3,041,000","-2,419,000","-1,989,000"
		NetIncomeFromContinuingOperations,"-93,661,000","-24,649,000","-24,448,000","-22,597,000","-21,967,000","-16,793,000","-14,561,000","-13,684,000","-12,959,000","-11,039,000","-10,160,000","-8,604,000","-7,819,000","-5,742,000","-4,282,000","-3,317,000","-3,010,000","-1,912,000"
		OperatingGainsLosses,,,"0","0","0","29,000","0","0","0","3,000","0","0","0","3,000",,,,
			GainLossOnSaleOfPPE,"0","0","0","0","0","29,000","0","0","0","3,000","0","0","0","3,000","10,000","0","0","0"
		DepreciationAmortizationDepletion,"985,000","247,000","235,000","254,000","249,000","236,000","237,000","234,000","224,000","193,000","139,000","126,000","105,000","80,000","75,000","64,000","43,000","32,000"
			DepreciationAndAmortization,"985,000","247,000","235,000","254,000","249,000","236,000","237,000","234,000","224,000","193,000","139,000","126,000","105,000","80,000","75,000","64,000","43,000","32,000"
				Depreciation,"985,000","247,000","235,000","254,000","249,000","236,000","237,000","234,000","224,000","193,000","139,000","126,000","105,000","80,000","75,000","64,000","43,000","32,000"
		AmortizationOfSecurities,"378,000","235,000","57,000","49,000",,,,,,,,,,,,,,
		StockBasedCompensation,"18,727,000","4,975,000","4,686,000","4,614,000","4,452,000","2,698,000","1,580,000","1,785,000","1,649,000","754,000","712,000","731,000","298,000","181,000","119,000","40,000","77,000","4,000"
		OtherNonCashItems,"1,362,000","377,000","386,000","322,000","277,000","271,000","266,000","262,000","257,000","253,000",,,,,,,,
		ChangeInWorkingCapital,"57,929,000","51,306,000","2,826,000","2,676,000","1,121,000","-6,577,000","1,547,000","530,000","1,183,000","-935,000","-892,000","-301,000","1,142,000","-1,054,000","563,000","172,000","471,000","-113,000"
			ChangeInPrepaidAssets,"-5,038,000","-3,265,000","-778,000","228,000","-1,223,000","-1,078,000","-2,823,000","-80,000","949,000","-924,000","863,000","-1,866,000","-225,000","-796,000","-327,000","-263,000","-103,000","61,000"
			ChangeInPayablesAndAccruedExpense,"4,953,000","-3,443,000","3,604,000","2,448,000","2,344,000","-5,499,000","4,370,000","610,000","234,000","-11,000","-1,761,000","1,557,000","1,360,000","-265,000","897,000","436,000","575,000","-173,000"
			ChangeInOtherWorkingCapital,,"58,014,000",,,,,,,,,"6,000","8,000","7,000","7,000","-7,000","-1,000","-1,000","-1,000"
InvestingCashFlow,"-212,004,000","-135,782,000","11,797,000","-5,264,000","-82,755,000","-204,000","-90,000","-269,000","-81,000","-610,000","-569,000","-583,000","-392,000","-90,000","-83,000","-516,000","-300,000","-26,000"
	CashFlowFromContinuingInvestingActivities,"-212,004,000","-135,782,000","11,797,000","-5,264,000","-82,755,000","-204,000","-90,000","-269,000","-81,000","-610,000","-569,000","-583,000","-392,000","-90,000","-83,000","-516,000","-300,000","-26,000"
		NetPPEPurchaseAndSale,"-1,837,000","-841,000","-203,000","-273,000","-520,000","-204,000","-90,000","-269,000","-81,000","-610,000","-569,000","-583,000","-392,000","-90,000","-83,000","-516,000","-300,000","-26,000"
			PurchaseOfPPE,"-1,837,000","-841,000","-203,000","-273,000","-520,000","-204,000","-90,000","-269,000","-81,000","-610,000","-568,000","-583,000","-392,000","-92,000","-93,000","-516,000","-300,000","-26,000"
			SaleOfPPE,,,,,,,"0","0","0","0","-1,000","0","0","2,000","10,000","0","0","0"
		NetInvestmentPurchaseAndSale,"-210,167,000","-134,941,000","12,000,000","-4,991,000",,,,,,,,,,,,,,
			PurchaseOfInvestment,"-231,167,000","-143,941,000","0","-4,991,000",,,,,,,,,,,,,,
			SaleOfInvestment,"21,000,000","9,000,000",,,,,,,,,,,,,,,,
FinancingCashFlow,"43,245,000","42,507,000","171,000","408,000","159,000","546,000","106,868,000","673,000","369,000","198,000","192,000","-1,000,000","150,638,000","-68,000","89,779,000","13,378,000","63,000","12,419,000"
	CashFlowFromContinuingFinancingActivities,"43,245,000","42,507,000","171,000","408,000","159,000","546,000","106,868,000","673,000","369,000","198,000","192,000","-1,000,000","150,638,000","-68,000","89,779,000","13,378,000","63,000","12,419,000"
		NetIssuancePaymentsOfDebt,,,,,,"0",,,,"-1,000",,,,,,,,
			NetLongTermDebtIssuance,,,,,,"0",,,,"-1,000",,,,,,,,
				LongTermDebtPayments,,,,,,"0",,,,"-1,000",,,,,,,,
		NetCommonStockIssuance,"42,245,000","42,245,000",,,,,"105,398,000",,,,"0","0","151,838,000","74,000","19,000","0","-8,000","8,000"
			CommonStockIssuance,"42,245,000","42,245,000",,,,,"105,398,000",,,,"0","0","151,838,000","74,000","19,000","0","-8,000","8,000"
		NetPreferredStockIssuance,,,,,,,,,,,"0","0","0","0","90,153,000","13,372,000","63,000","12,412,000"
			PreferredStockIssuance,,,,,,,,,,,"0","0","0","0","90,153,000","13,372,000","63,000","12,412,000"
		ProceedsFromStockOptionExercised,"1,002,000","262,000","172,000","407,000","161,000","546,000","1,595,000","1,033,000","368,000","199,000","194,000","19,000",,,"-15,000","7,000",,
		NetOtherFinancingCharges,,,"-1,000","1,000",,,"-125,000",,,,"-2,000","-1,019,000","-1,302,000","-142,000","-378,000","-1,000","0","-1,000"
