name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
OperatingCashFlow,"-233,258,000","-72,109,000","-65,494,000","-41,434,000","-54,221,000","-50,240,000","513,915,000","86,000","-43,357,000","-54,492,000","-47,643,000","-30,435,000","-43,175,000","-30,323,000","93,185,000","-34,822,000","-41,824,000","33,577,000","-18,336,000","-21,921,000","-17,569,000","-18,809,000","-18,366,000"
	CashFlowFromContinuingOperatingActivities,"-233,258,000","-72,109,000","-65,494,000","-41,434,000","-54,221,000","-50,240,000","513,915,000","86,000","-43,357,000","-54,492,000","-47,643,000","-30,435,000","-43,175,000","-30,323,000","93,185,000","-34,822,000","-41,824,000","33,577,000","-18,336,000","-21,921,000","-17,569,000","-18,809,000","-18,366,000"
		NetIncomeFromContinuingOperations,"-285,760,000","-65,220,000","-75,261,000","-84,588,000","-60,691,000","-70,041,000","244,885,000","-58,228,000","-58,758,000","-56,763,000","-54,025,000","-46,260,000","-58,337,000","-38,992,000","77,533,000","-35,371,000","-54,724,000","-23,678,000","-22,887,000","-21,844,000","-22,134,000","-21,320,000","-19,354,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,"0","0","8,000","-44,000","0",,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,"0","0","0","0","0","8,000","-44,000","0",,,"0","3,000"
		DepreciationAmortizationDepletion,"8,564,000","2,079,000","2,094,000","2,187,000","2,204,000","2,108,000","2,121,000","2,156,000","2,145,000","2,109,000","2,055,000","1,890,000","1,643,000","2,403,000","2,379,000","2,327,000","1,855,000","854,000","807,000","778,000","766,000","731,000","686,000"
			DepreciationAndAmortization,"8,564,000","2,079,000","2,094,000","2,187,000","2,204,000","2,108,000","2,121,000","2,156,000","2,145,000","2,109,000","2,055,000","1,890,000","1,643,000","2,403,000","2,379,000","2,327,000","1,855,000","854,000","807,000","778,000","766,000","731,000","686,000"
				Depreciation,,,,,,,,,,,,,,,,,"1,855,000","854,000","807,000","778,000","766,000","731,000","686,000"
		AmortizationOfSecurities,"9,214,000","1,627,000","2,432,000","2,660,000","2,495,000","1,161,000","1,129,000","-49,000","-418,000","-607,000","-987,000","-1,298,000","-1,417,000","-1,317,000","-841,000","-772,000","-705,000","-387,000","-146,000","214,000","458,000","227,000","160,000"
		StockBasedCompensation,"90,364,000","26,145,000","22,085,000","20,998,000","21,136,000","21,028,000","13,830,000","13,252,000","12,484,000","10,785,000","8,889,000","8,901,000","13,714,000","6,874,000","5,646,000","5,510,000","4,710,000","2,925,000","1,457,000","1,128,000","1,059,000","765,000","691,000"
		OtherNonCashItems,"-3,074,000","-783,000","-783,000","-782,000","-726,000","-693,000","-671,000","-634,000","-1,285,000","268,000","940,000","-114,000",,,,,,,,,,,"0"
		ChangeInWorkingCapital,"-52,566,000","-35,957,000","-16,061,000","18,091,000","-18,639,000","-3,803,000","252,621,000","43,589,000","2,475,000","-10,284,000","-4,515,000","6,446,000","1,535,000","709,000","8,468,000","-6,516,000","7,032,000","53,907,000","2,433,000","-2,198,000","2,282,000","788,000","-552,000"
			ChangeInPrepaidAssets,"-17,924,000","1,242,000","-20,914,000","16,104,000","-14,356,000","6,301,000","-14,388,000","25,000","6,248,000","-2,454,000","863,000","3,108,000","-145,000","2,849,000","-12,911,000","-3,661,000","-105,000","-1,613,000","76,000","-1,269,000","-693,000","1,959,000","-1,302,000"
			ChangeInPayablesAndAccruedExpense,"11,560,000","-7,058,000","7,690,000","7,273,000","3,655,000","-10,181,000","15,456,000","7,986,000","1,160,000","-4,119,000","-809,000","3,926,000","2,044,000","-2,628,000","4,713,000","-1,817,000","9,899,000","-4,208,000","2,583,000","-775,000","3,638,000","-1,661,000","849,000"
				ChangeInPayable,"4,330,000","1,248,000","-78,000","782,000","2,378,000","623,000","-1,770,000","891,000","-452,000","-292,000","567,000","-837,000","-662,000","1,965,000","-1,761,000","-5,859,000","8,045,000","-951,000","-111,000","764,000","272,000","-718,000","-1,431,000"
