name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,12/31/2017
TotalAssets,"3,470,000,000","3,410,000,000","3,420,000,000","3,414,000,000","3,440,000,000","3,496,000,000","3,510,000,000","3,526,000,000","3,487,000,000","3,361,000,000","3,328,000,000","4,190,000,000","4,269,000,000","2,233,084,000","2,154,516,000","2,167,970,000"
	CurrentAssets,"1,417,000,000","1,351,000,000","1,351,000,000","1,419,000,000","1,422,000,000","1,431,000,000","1,500,000,000","1,484,000,000","1,460,000,000","1,340,000,000","1,244,000,000","1,172,000,000","1,219,000,000","1,086,605,000","1,037,821,000","1,076,926,000"
		CashCashEquivalentsAndShortTermInvestments,"117,000,000","183,000,000","187,000,000","230,000,000","211,000,000","290,000,000","355,000,000","414,000,000","205,000,000","130,000,000","68,000,000","55,000,000","73,000,000","23,324,000","21,804,000","16,656,000"
			CashAndCashEquivalents,"117,000,000","183,000,000","187,000,000","230,000,000","211,000,000","290,000,000","355,000,000","414,000,000","205,000,000","130,000,000","68,000,000","55,000,000","73,000,000","23,324,000","21,804,000","16,656,000"
		Receivables,"627,000,000","555,000,000","568,000,000","596,000,000","605,000,000","574,000,000","579,000,000","545,000,000","595,000,000","493,000,000","543,000,000","519,000,000","520,000,000","480,009,000","489,379,000","503,517,000"
			AccountsReceivable,"538,000,000","480,000,000","491,000,000","517,000,000","518,000,000","507,000,000","498,000,000","470,000,000","525,000,000","426,000,000","466,000,000","458,000,000","461,000,000","430,783,000","436,522,000","427,866,000"
				GrossAccountsReceivable,"542,000,000","484,000,000","495,000,000","522,000,000","523,000,000","512,000,000","504,000,000","476,000,000","533,000,000","434,000,000","473,000,000","465,000,000","468,000,000","438,195,000","444,421,000","435,436,000"
				AllowanceForDoubtfulAccountsReceivable,"-4,000,000","-4,000,000","-4,000,000","-5,000,000","-5,000,000","-5,000,000","-6,000,000","-6,000,000","-8,000,000","-8,000,000","-7,000,000","-7,000,000","-7,000,000","-7,412,000","-7,899,000","-7,570,000"
			OtherReceivables,"89,000,000","75,000,000","77,000,000","79,000,000","87,000,000","67,000,000","81,000,000","75,000,000","70,000,000","67,000,000","77,000,000","61,000,000","59,000,000","49,226,000","52,857,000","75,651,000"
		Inventory,"630,000,000","583,000,000","552,000,000","557,000,000","555,000,000","530,000,000","521,000,000","484,000,000","572,000,000","636,000,000","598,000,000","556,000,000","594,000,000","564,163,000","501,584,000","534,664,000"
		PrepaidAssets,"43,000,000","30,000,000","44,000,000","36,000,000","51,000,000","37,000,000","45,000,000","41,000,000","40,000,000","30,000,000","35,000,000","42,000,000","32,000,000","19,109,000","25,054,000","22,089,000"
		AssetsHeldForSaleCurrent,,,,,,"0","0","0","48,000,000","51,000,000",,,,,,
	TotalNonCurrentAssets,"2,053,000,000","2,059,000,000","2,069,000,000","1,995,000,000","2,018,000,000","2,065,000,000","2,010,000,000","2,042,000,000","2,027,000,000","2,021,000,000","2,084,000,000","3,018,000,000","3,050,000,000","1,146,479,000","1,116,695,000","1,091,044,000"
		NetPPE,"285,000,000","281,000,000","247,000,000","229,000,000","229,000,000","233,000,000","226,000,000","229,000,000","217,000,000","177,000,000","179,000,000","160,000,000","156,000,000","68,549,000","66,693,000","64,554,000"
			GrossPPE,"427,000,000","416,000,000","372,000,000","349,000,000","341,000,000","339,000,000","327,000,000","323,000,000","306,000,000","261,000,000","269,000,000","245,000,000","249,000,000","142,057,000","66,693,000","128,160,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,"0"
				LandAndImprovements,,"1,000,000",,,,"1,000,000",,,,"1,000,000",,,,"2,414,000",,"2,538,000"
				BuildingsAndImprovements,,"7,000,000",,,,"10,000,000",,,,"9,000,000",,,,"17,395,000",,"18,383,000"
				MachineryFurnitureEquipment,,"191,000,000",,,,"167,000,000",,,,"144,000,000",,,,"110,184,000",,"97,598,000"
				OtherProperties,"427,000,000","137,000,000","372,000,000","349,000,000","341,000,000","117,000,000","327,000,000","323,000,000","306,000,000","84,000,000","269,000,000","245,000,000","249,000,000",,"66,693,000",
				ConstructionInProgress,,"58,000,000",,,,"23,000,000",,,,,,,,,,
				Leases,,"22,000,000",,,,"21,000,000",,,,"23,000,000",,,,"12,064,000",,"9,641,000"
			AccumulatedDepreciation,"-142,000,000","-135,000,000","-125,000,000","-120,000,000","-112,000,000","-106,000,000","-101,000,000","-94,000,000","-89,000,000","-84,000,000","-90,000,000","-85,000,000","-93,000,000","-73,508,000",,"-63,606,000"
		GoodwillAndOtherIntangibleAssets,"1,681,000,000","1,686,000,000","1,726,000,000","1,671,000,000","1,703,000,000","1,742,000,000","1,695,000,000","1,726,000,000","1,759,000,000","1,797,000,000","1,835,000,000","2,819,000,000","2,833,000,000","957,975,000","926,819,000","963,645,000"
			Goodwill,"1,267,000,000","1,247,000,000","1,247,000,000","1,187,000,000","1,187,000,000","1,187,000,000","1,154,000,000","1,154,000,000","1,154,000,000","1,154,000,000","1,156,000,000","2,102,000,000","2,105,000,000","749,762,000","706,024,000","710,718,000"
			OtherIntangibleAssets,"414,000,000","439,000,000","479,000,000","484,000,000","516,000,000","555,000,000","541,000,000","572,000,000","605,000,000","643,000,000","679,000,000","717,000,000","728,000,000","208,213,000","220,795,000","252,927,000"
		InvestmentsAndAdvances,"48,000,000","49,000,000","96,000,000","95,000,000","86,000,000","90,000,000","89,000,000","87,000,000","51,000,000","47,000,000","70,000,000","39,000,000","61,000,000","21,678,000","21,518,000","22,974,000"
			LongTermEquityInvestment,"48,000,000","49,000,000","96,000,000","95,000,000","86,000,000","90,000,000","89,000,000","87,000,000","51,000,000","47,000,000","70,000,000","39,000,000","61,000,000","21,678,000","21,518,000","22,974,000"
				InvestmentsinAssociatesatCost,"48,000,000","49,000,000","96,000,000","95,000,000","86,000,000","90,000,000","89,000,000","87,000,000","51,000,000","47,000,000","70,000,000","39,000,000","61,000,000","21,678,000","21,518,000","22,974,000"
		NonCurrentDeferredAssets,,,,,,,,,,,,,,"72,998,000","72,611,000","14,128,000"
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,"72,998,000","72,611,000","14,128,000"
		OtherNonCurrentAssets,"39,000,000","43,000,000",,,,,,,,,,,,"25,279,000","29,054,000","25,743,000"
TotalLiabilitiesNetMinorityInterest,"1,920,000,000","1,876,000,000","1,918,000,000","1,912,000,000","1,920,000,000","1,959,000,000","2,094,000,000","2,250,000,000","2,285,000,000","2,105,000,000","1,999,000,000","1,943,000,000","1,975,000,000","739,467,000","641,246,000","955,030,000"
	CurrentLiabilities,"762,000,000","698,000,000","714,000,000","709,000,000","682,000,000","691,000,000","731,000,000","720,000,000","800,000,000","829,000,000","751,000,000","674,000,000","670,000,000","572,563,000","474,348,000","511,586,000"
