name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000
MarketCap,"9,335,926,771","9,599,456,438","12,649,741,876","11,847,040,858","11,477,118,782","9,741,215,215","8,227,060,694","6,089,084,948","6,227,200,510","5,530,562,146","7,857,321,024","6,762,838,291","7,832,988,021","6,027,956,145","4,662,260,051","5,228,930,091","4,532,627,175","4,669,849,750","5,338,910,491","4,710,981,401","4,581,489,378","3,731,250,374","3,397,346,638","3,633,124,144","3,672,715,592","4,551,533,168","4,013,145,948","2,758,199,870","3,431,614,327","3,119,040,000","3,306,511,198","3,119,463,467","4,078,722,250","3,825,753,243","3,313,040,863","3,459,791,570","2,698,190,238","3,190,414,340","2,538,701,598","2,176,380,536","2,210,692,266","2,542,876,465","2,059,848,653","2,243,942,260","3,376,175,235","3,450,239,568","2,742,804,836","2,312,770,116","2,003,592,584","2,412,266,802","1,982,318,891","1,751,763,873","1,519,453,981","1,010,647,693","662,827,807","2,187,136,025","2,102,604,701","2,513,927,058","1,406,040,356","928,317,315","968,751,287","1,107,817,941","770,234,078","716,604,231","482,862,251","486,401,576","437,761,112","391,918,190","357,005,026","314,937,402","360,565,889","309,517,870","435,650,875","433,180,792","391,325,439","380,431,568","290,303,733","163,161,236","267,338,544","280,529,449","216,847,617","525,837,922","897,311,478","924,591,106","826,472,451","859,565,255","1,290,762,713","2,427,312,500"
EnterpriseValue,"9,636,226,771","9,825,156,438","12,806,941,876","11,970,340,858","11,554,518,782","9,922,215,215","8,481,960,694","6,359,584,948","6,430,400,510","5,726,562,146","8,124,421,024","7,023,638,291","7,927,088,021","6,046,656,145","4,632,760,051","5,190,830,091","4,469,327,175","4,646,249,750","5,390,210,491","4,701,481,401","4,501,789,378","3,642,650,374","3,320,746,638","3,555,724,144","3,554,415,592","4,349,933,168","3,852,245,948","2,629,199,870","3,293,914,327","2,976,540,000","3,219,411,198","3,017,563,467","3,979,522,250","3,742,053,243","3,361,940,863","3,545,391,570","2,765,390,238","3,217,014,340","2,565,301,598","2,256,980,536","2,300,792,266","2,599,976,465","2,175,448,653","2,359,542,260","3,494,175,235","3,552,339,568","2,813,404,836","2,246,170,116","1,942,692,584","2,342,366,802","1,912,918,891","1,754,563,873","1,537,553,981","1,065,847,693","718,927,807","2,313,748,025","2,212,964,701","2,615,169,058","1,371,274,356","919,343,315","947,442,287","1,100,390,941","782,482,078","651,590,231","417,848,251","421,268,576","375,205,112","329,362,190","298,151,026","272,118,402","322,842,889","278,189,870","402,885,875","405,788,792","359,449,439","344,420,568","273,946,733","143,683,236","243,822,544","250,822,449","168,073,617","470,914,922","842,388,478","857,420,106","753,527,451","776,973,255","1,197,535,713","2,442,042,500"
PeRatio,"33.811","35.525","47.407","50.387","57.561","63.02","53.594","37.857","36","28.46","38.908","36.608","42.692","33.719","47.254","57.672","54.792","61.061","36.511","29.75","30.681","24.558","24.068","34.318","32.486","46.667","62.231","46.943","63.781","55.97","50.308","40.25","48.54","47.479","58.165","43.021","40.375","41.522","33.126","26.18","23.351","27.836","24.84","27.06","37.704","37.909","28.621","21.258","20.61","27.13","24.612","27.359","23.744","14","10.359","78.412","37.794","73.286","44.333","44","49.188","58.444","96.354","175.25","134","111.132","492.801","444.129",,,,,,,,,,,,,"59.927","145.341","248.05","280.983","264.465","392.2","1,178.15","2,218.75"
ForwardPeRatio,,,,"35.088","43.103","36.63","32.363","25.773","28.409","20.45","28.902","24.753","30.864","24.876",,"22.173","20.45","21.834","25.445","23.697","26.247","22.026","19.194","20.704","22.422","24.876","27.248","18.832","24.39","21.413","23.923","20.367","24.51","22.936","22.321","21.231","17.065","17.731","16.949","15.314","12.136","14.045","12.821","12.887","18.692","19.531","18.939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.368","1.529","1.3","1.564","1.464","1.427","1.357","1.09","1.134","1.083","0.978","0.776","0.933","0.804","0.781","1.133","1.001","1.283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"3.879","4.066","5.444","5.296","5.526","5","4.28","3.134","3.118","2.709","3.95","3.51","4.084","3.188","2.497","2.859","2.535","2.696","3.221","2.874","2.869","2.348","2.149","2.318","2.318","2.916","2.483","1.662","1.991","1.731","1.793","1.672","2.191","2.088","1.843","1.913","1.522","1.785","1.424","1.27","1.307","1.547","1.3","1.417","2.281","2.5","2.108","1.851","1.663","2.084","1.784","1.655","1.47","0.931","0.604","2.207","2.025","2.837","2.593","1.95","2.107","2.476","2.049","2.084","1.593","1.636","1.415","1.275","1.177","1.061","1.233","1.136","1.619","1.63","1.501","2.619","2.47","1.356","2.289","2.595","2.245","5.703","9.733","11.319","9.84","10.224","16.573","31.211"
PbRatio,"9.18","8.967","11.761","11.823","11.86","10.134","8.641","6.785","6.801","6.03","9.296","7.856","8.46","6.723","5.707","6.741","5.808","6.438","7.31","6.148","6.322","5.436","4.879","5.477","5.231","6.268","5.278","3.625","4.794","4.072","4.095","3.544","4.728","4.522","4.263","4.813","3.917","4.515","3.593","3.393","3.342","4.069","3.416","3.721","5.352","6.037","5.201","4.682","4.856","5.772","4.733","4.69","4.515","3.403","2.125","7.43","6.808","8.677","5.436","4.188","4.515","5.786","4.365","3.286","2.214","2.29","2.116","1.894","1.731","1.482","1.659","1.483","2.074","2.155","1.933","1.951","2.245","1.288","2.115","2.173","1.696","4.123","7.035","7.473","6.708","6.922","10.798","245.903"
EnterprisesValueRevenueRatio,"3.92","16.513","18.737","19.659","20.243","17.888","13.517","12.436","15.145","13.506","13.543","13.478","16.171","13.105","8.368","11.125","10.073","10.763","10.161","10.793","10.85","9.464","7.061","9.027","9.563","11.587","8.056","6.638","8.318","8.42","6.337","7.188","8.7","8.832","6.089","8.076","6.079","8.177","4.959","5.04","5.469","6.41","4.579","5.639","8.709","9.951","6.761","7.241","6.456","8.435","5.221","6.618","6.089","4.624","2.281","9.558","7.103","10.968","7.463","6.984","7.786","9.958","5.769","6.213","5.368","5.661","4.658","4.656","4.178","3.633","3.77","4.185","6.281","5.954","4.88","5.462","7.958","4.213","7.401","8.447","6.014","18.265","34.128","36.043","33.775","35.465","54.958","107.626"
EnterprisesValueEBITDARatio,"18.98","79.044","94.03","87.823","104.189","87.343","63.678","63.787","120.872","166.47","60.63","65.764","112.123","99.945","38.256","62.091","71.509","84.477","49.634","69.038","90.036","72.275","31.298","59.163","103.93","97.314","45.643","65.895","78.991","105.178","54.017","101.261","78.03","110.385","45.617","78.438","51.401","120.94","46.898","30.053","60.707","59.09","31.758","43.136","72.194","104.174","42.953","46.313","46.035","65.797","22.964","53.008","58.241","45.355","12.257","152.894","76.589","120.365","48.308","80.243","134.79","141.821","49.421","82.013","175.198","141.129","88.076","112.487","327.279","107.175","166.586","1,090.941","-76.348","206.508","-6,418.74","-62.091","219.861","101.257","187.556","94.401","84.672","349.343","795.457","882.119","1,310.483","1,164.877","-1,147.065","4,232.309"
