name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
TotalAssets,"11,249,000,000","11,322,000,000","11,376,000,000","11,891,000,000","12,560,000,000","12,992,488,000","12,991,366,000","13,493,284,000","13,520,385,000","13,644,590,000","13,600,255,000","13,836,857,000","13,847,756,000","13,648,502,000","13,982,979,000","14,323,254,000","14,704,907,000","15,159,208,000","13,446,939,000","14,233,489,000","14,931,174,000","15,060,162,000","15,295,150,000","15,409,166,000","14,930,485,000","15,114,692,000","15,818,375,000","16,203,289,000","8,283,292,723.866","8,665,933,411.158","9,267,380,215.207","9,403,888,237.06","9,442,739,650.667","9,836,468,833.715","9,736,444,600.375","9,479,587,323.064","9,518,589,283.885","9,623,936,043.59","9,022,407,262.362","9,003,881,553.128","9,282,706,135.027","9,081,557,902.923","9,405,150,214.592","9,850,959,102.425","9,543,098,579.618","9,260,429,578.401","9,532,907,683.502","8,864,664,668.324","8,650,900,132.906","8,889,605,421.514"
	CurrentAssets,"2,873,000,000","2,488,000,000","2,396,000,000","2,591,000,000","3,308,000,000","3,440,085,000","2,707,884,000","3,137,684,000","3,045,545,000","2,634,037,000","2,437,725,000","2,405,480,000","2,329,096,000","2,286,696,000","2,377,744,000","2,582,119,000","2,644,705,000","3,064,517,000","2,284,624,000","2,332,724,000","2,366,820,000","2,289,566,000","2,180,635,000","2,209,851,000","2,400,405,000","2,485,374,000","2,604,173,000","2,720,693,000","1,676,490,908.894","1,753,250,401.284","2,132,429,448.787","2,045,163,578.815","2,057,696,327.878","2,314,529,536.855","2,253,788,441.038","2,063,653,986.261","2,229,012,140.15","2,169,134,022.8","1,660,154,594.831","1,571,213,713.302","1,672,458,412.817","1,462,800,855.421","1,574,348,074.102","1,833,701,049.584","1,625,664,304.069","1,512,604,069.69","1,604,138,842.705","1,286,584,295.95","1,993,235,242.788","2,105,387,128.202"
		CashCashEquivalentsAndShortTermInvestments,"600,000,000","591,000,000","435,000,000","639,000,000","748,000,000","907,015,000","943,346,000","1,346,741,000","1,457,524,000","662,934,000","542,425,000","400,928,000","290,359,000","250,669,000","447,550,000","613,777,000","569,620,000","1,057,418,000","300,079,000","494,681,000","463,296,000","294,094,000","349,899,000","390,012,000","505,796,000","627,484,000","551,915,000","557,093,000","319,586,758.065","330,232,501.581","591,035,174.094","522,252,994.625","401,074,130.106","595,695,821.481","616,581,429.555","461,594,504.58","468,906,874.296","615,293,464.173","257,991,037.609","152,314,879.287","275,427,877.753","268,463,482.6","422,430,325.42","432,511,038.726","286,137,858.978","211,568,027.663","267,441,194.909","186,418,579.714","627,808,132.744","679,047,509.886"
			CashAndCashEquivalents,"600,000,000","591,000,000","435,000,000","639,000,000","748,000,000","907,015,000","943,346,000","1,346,741,000","1,457,524,000","662,934,000","542,425,000","400,928,000","290,359,000","250,669,000","447,550,000","613,777,000","569,620,000","1,057,418,000","300,079,000","494,681,000","463,296,000","294,094,000","349,899,000","390,012,000","505,796,000","627,484,000","551,915,000","557,093,000","275,732,865.512","317,602,996.255","578,164,653.335","502,841,823.788","352,496,217.852","578,748,377.475","575,933,447.583","450,098,875.937","456,186,609.978","603,503,319.491","251,707,091.588","140,209,396.245","266,531,488.868","247,132,395.827","402,019,612.104","425,469,417.3","279,720,724.028","202,693,177.284","260,646,242.743","133,100,599.503","598,366,201.721","672,438,248.61"
				CashFinancial,,,"435,000,000","639,000,000",,,,"1,346,741,000",,,,,,,,,,,,,,,,,,,,,"275,732,865.512","317,602,996.255","578,164,653.335","502,841,823.788","352,496,217.852","578,748,377.475","575,933,447.583","450,098,875.937","456,186,609.978","603,503,319.491","251,707,091.588","140,209,396.245","266,531,488.868","247,132,395.827","402,019,612.104","425,469,417.3",,,"260,646,242.743",,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,"693,000",,,,"26,690,000",,,"43,853,892.553","12,629,505.326","12,870,520.759","19,411,170.837","48,577,912.254","16,947,444.006","40,647,981.972","11,495,628.643","12,720,264.317","11,790,144.682","6,283,946.02","12,105,483.042","8,896,388.885","21,331,086.773","20,410,713.316","7,041,621.426","6,417,134.95","8,874,850.379","6,794,952.165","53,317,980.212","29,441,931.023","6,609,261.276"
		Receivables,"714,000,000","1,371,000,000","1,017,000,000","974,000,000","912,000,000","1,231,310,000","828,459,000","860,351,000","630,695,000","1,457,705,000","948,879,000","994,096,000","970,130,000","1,338,459,000","872,062,000","919,395,000","1,036,825,000","1,299,235,000","975,912,000","846,001,000","844,486,000","1,190,491,000","916,315,000","961,654,000","1,011,687,000","1,234,827,000","1,017,554,000","1,129,665,000","846,727,959.889","1,028,212,704.898","1,138,696,579.028","1,178,130,371.906","1,311,362,948.7","1,365,214,449.446","1,286,608,552.498","1,246,358,503.331","1,403,621,555.169","1,209,864,575.343","1,041,621,191.305","1,068,972,894.96","1,153,068,847.298","971,006,415.657","863,943,065.138","1,054,479,913.138","973,129,924.039","959,922,862.083","1,063,058,409.878","825,294,877.419","1,076,520,023.091","1,146,012,665.482"
			AccountsReceivable,"714,000,000","902,000,000","1,017,000,000","974,000,000","912,000,000","846,128,000","828,459,000","860,351,000","630,695,000","1,006,127,000","899,665,000","948,520,000","934,219,000","949,085,000","821,764,000","869,851,000","953,342,000","937,854,000","948,993,000","824,527,000","818,944,000","932,672,000","880,943,000","930,748,000","975,383,000","937,193,000","929,939,000","1,050,491,000","841,045,883.283","872,582,567.245","1,042,156,887.626","1,064,199,568.883","1,144,282,767.157","1,214,452,208.015","1,157,686,858.192","1,105,655,443.381","1,223,756,531.093","1,024,766,577.618","926,923,126.308","944,883,464.786","997,850,939.797","826,122,739.939","887,420,546.531","755,797,321.752","960,398,723.633","756,714,988.695","828,485,377.089","799,685,626.554","1,064,541,073.179","1,134,453,263.797"
				GrossAccountsReceivable,"728,000,000","917,000,000","1,034,000,000","991,000,000","928,000,000","861,772,000",,"907,141,000",,"1,057,489,000",,,,"1,008,509,000",,,,"991,177,000",,,,"991,556,000",,,,"1,013,330,000",,,,"964,547,156.963","1,135,482,438.331","1,162,087,642.228","1,243,969,192.683","1,314,238,172.83","1,254,364,634.92","1,196,057,972.523","1,314,675,750.435",,"1,015,474,891.18","1,028,788,818.696","1,089,728,265.945",,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-14,000,000","-15,000,000","-17,000,000","-17,000,000","-16,000,000","-15,644,000",,"-46,790,000",,"-51,362,000",,,,"-59,424,000",,,,"-53,323,000",,,,"-58,884,000",,,,"-76,137,000",,,,"-91,964,589.717","-93,325,550.706","-97,888,073.344","-99,686,425.526","-99,785,964.815","-96,677,776.728","-90,402,529.142","-90,919,219.342",,"-88,551,764.872","-83,905,353.91","-91,877,326.148",,,,,,,,,
