name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994
TotalRevenue,"2,282,881,000","682,800,000","550,700,000","599,227,000","450,143,000","295,622,000","402,989,000","636,425,000","762,557,000","623,848,000","769,359,000","914,245,000","856,152,000","658,671,000","604,523,000","689,206,000","641,387,000","629,336,000","559,535,000","611,407,000","439,161,000","566,282,000","552,314,000","595,190,000","612,866,000","669,079,000","802,389,000","765,465,000","714,606,000","630,149,000","495,058,000","618,106,000","593,285,000","502,216,000","490,355,000","484,215,000","433,663,000","423,166,000","415,374,000","443,535,000","507,797,000","458,186,000","398,199,000","442,736,000","317,280,000","286,301,000","201,444,000","181,351,000","211,455,000","199,950,000","171,693,000","230,416,000","244,448,000","287,132,000","256,129,000","362,021,000","382,106,000","259,573,000","286,378,000","350,621,000","386,606,000","239,978,000","246,623,000","265,159,000","266,088,000","236,214,000","186,362,000","265,226,000","286,034,000","254,913,000","218,048,000","202,399,000","225,293,000","166,561,000","112,131,000","108,421,000","124,952,000","104,729,000","96,889,000","36,030,000","90,648,000","99,069,000","79,882,000","134,747,000","148,349,000","156,918,000","153,984,000","161,689,000","171,915,000","172,823,000","113,000,000","157,500,000","174,100,000","166,900,000","120,100,000","124,700,000","150,700,000","126,800,000","138,000,000","78,900,000","96,800,000","114,300,000","140,900,000","150,000,000","121,100,000","142,100,000","116,800,000","104,600,000","117,300,000","86,100,000","79,700,000","96,800,000","87,600,000"
	OperatingRevenue,"2,282,881,000","682,800,000","550,700,000","599,227,000","450,143,000","295,622,000","402,989,000","636,425,000","762,557,000","623,848,000","769,359,000","914,245,000","856,152,000","658,671,000","604,523,000","689,206,000","641,387,000","629,336,000","559,535,000","611,407,000","439,161,000","566,282,000","552,314,000","595,190,000","612,866,000","669,079,000","802,389,000","765,465,000","714,606,000","630,149,000","495,058,000","618,106,000","593,285,000","502,216,000","490,355,000","484,215,000","433,663,000","423,166,000","415,374,000","443,535,000","507,797,000","458,186,000","398,199,000","442,736,000","317,280,000","286,301,000","201,444,000","181,351,000","211,455,000","199,950,000","171,693,000","230,416,000","244,448,000","287,132,000","256,129,000","362,021,000","382,106,000","259,573,000","286,378,000","350,621,000","386,606,000","239,978,000","246,623,000","265,159,000","266,088,000","236,214,000","186,362,000","265,226,000","286,034,000","254,913,000","218,048,000","202,399,000","225,293,000","166,561,000","112,131,000","108,421,000","124,952,000","104,729,000","96,889,000","36,030,000","90,648,000","99,069,000","79,882,000","134,747,000","148,349,000","156,918,000","153,984,000","161,689,000","171,915,000","172,823,000","113,000,000","157,500,000","174,100,000","166,900,000","120,100,000","124,700,000","150,700,000","126,800,000","138,000,000","78,900,000","96,800,000","114,300,000","140,900,000","150,000,000","121,100,000","142,100,000","116,800,000","104,600,000","117,300,000","86,100,000","79,700,000","96,800,000","87,600,000"
CostOfRevenue,"2,007,174,000","628,000,000","503,100,000","501,094,000","375,011,000","277,951,000","362,318,000","569,350,000","655,026,000","537,512,000","677,170,000","780,708,000","749,580,000","604,827,000","531,990,000","583,319,000","532,880,000","523,989,000","470,221,000","511,485,000","349,460,000","447,357,000","439,563,000","475,507,000","485,768,000","549,188,000","617,624,000","590,776,000","565,320,000","504,839,000","406,990,000","512,071,000","496,510,000","444,365,000","428,796,000","423,915,000","383,644,000","374,891,000","367,595,000","388,994,000","445,859,000","406,700,000","351,742,000","391,660,000","279,130,000","257,690,000","175,278,000","152,860,000","175,587,000","175,784,000","150,051,000","198,108,000","217,755,000","270,977,000","238,178,000","319,022,000","333,473,000","224,900,000","250,441,000","289,904,000","328,830,000","208,156,000","217,506,000","225,328,000","221,616,000","196,031,000","153,469,000","226,388,000","251,052,000","228,366,000","193,242,000","172,868,000","199,576,000","149,397,000","95,980,000","92,020,000","108,759,000","94,134,000","85,901,000","21,573,000","81,333,000","90,511,000","68,515,000","131,484,000","121,994,000","134,878,000","125,316,000","128,005,000","137,591,000","139,580,000","87,600,000","119,800,000","139,900,000","133,800,000","94,700,000","96,900,000","121,800,000","101,600,000","111,200,000","56,000,000","69,500,000","83,500,000","110,900,000","115,900,000","90,100,000","99,200,000","80,100,000","102,900,000","76,100,000","61,600,000","55,200,000","67,100,000","63,000,000"
GrossProfit,"275,707,000","54,800,000","47,600,000","98,133,000","75,132,000","17,671,000","40,671,000","67,075,000","107,531,000","86,336,000","92,189,000","133,537,000","106,572,000","53,844,000","72,533,000","105,887,000","108,507,000","105,347,000","89,314,000","99,922,000","89,701,000","118,925,000","112,751,000","119,683,000","127,098,000","119,891,000","184,765,000","174,689,000","149,286,000","125,310,000","88,068,000","106,035,000","96,775,000","57,851,000","61,559,000","60,300,000","50,019,000","48,275,000","47,779,000","54,541,000","61,938,000","51,486,000","46,457,000","51,076,000","38,150,000","28,611,000","26,166,000","28,491,000","35,868,000","24,166,000","21,642,000","32,308,000","26,693,000","16,155,000","17,951,000","42,999,000","48,633,000","34,673,000","35,937,000","60,717,000","57,776,000","31,822,000","29,117,000","39,831,000","44,472,000","40,183,000","32,893,000","38,838,000","34,982,000","26,547,000","24,806,000","29,531,000","25,717,000","17,164,000","16,151,000","16,401,000","16,193,000","10,595,000","10,988,000","14,457,000","9,315,000","8,558,000","11,367,000","3,263,000","26,355,000","22,040,000","28,668,000","33,684,000","34,324,000","33,243,000","25,400,000","37,700,000","34,200,000","33,100,000","25,400,000","27,800,000","28,900,000","25,200,000","26,800,000","22,900,000","27,300,000","30,800,000","30,000,000","34,100,000","31,000,000","42,900,000","36,700,000","1,700,000","41,200,000","24,500,000","24,500,000","29,700,000","24,600,000"
OperatingExpense,"203,713,000","54,700,000","44,300,000","55,442,000","49,239,000","43,425,000","43,707,000","46,251,000","49,494,000","54,597,000","54,364,000","60,607,000","54,377,000","47,892,000","50,432,000","51,309,000","51,793,000","50,294,000","47,043,000","47,089,000","42,810,000","39,495,000","41,213,000","40,608,000","43,280,000","38,244,000","36,549,000","39,568,000","45,595,000","32,899,000","33,729,000","36,236,000","34,800,000","28,125,000","26,109,000","26,811,000","25,322,000","24,942,000","26,100,000","27,598,000","28,784,000","24,979,000","23,235,000","22,114,000","22,580,000","17,693,000","17,938,000","19,245,000","17,519,000","16,958,000","16,208,000","17,612,000","15,886,000","16,265,000","15,980,000","20,542,000","23,407,000","21,000,000","20,184,000","27,397,000","20,092,000","18,800,000","17,124,000","19,893,000","18,082,000","17,260,000","15,684,000","16,033,000","15,276,000","14,044,000","12,072,000","14,952,000","12,352,000","10,924,000","8,167,000","7,805,000","8,317,000","8,162,000","7,070,000","1,454,000","8,857,000","9,320,000","10,372,000","-5,343,000","19,667,000","16,049,000","19,173,000","17,580,000","18,867,000","21,006,000","17,000,000","21,200,000","17,100,000","16,000,000","13,300,000","14,100,000","13,400,000","11,800,000","13,600,000","8,000,000","18,500,000","20,200,000","17,700,000","19,100,000","15,600,000","26,200,000","24,000,000","-13,400,000","23,200,000","13,400,000","12,000,000","14,900,000","12,300,000"
	SellingGeneralAndAdministration,"203,713,000","54,700,000","44,300,000","55,442,000","49,239,000","43,425,000","43,707,000","46,251,000","49,494,000","54,597,000","54,364,000","60,607,000","54,377,000","47,892,000","50,432,000","51,309,000","51,793,000","50,294,000","47,043,000","47,089,000","42,810,000","39,495,000","41,213,000","40,608,000","43,280,000","38,244,000","36,549,000","39,568,000","45,595,000","32,899,000","33,729,000","36,236,000","34,800,000","28,125,000","26,109,000","26,811,000","25,322,000","24,942,000","26,100,000","27,598,000","28,784,000","24,979,000","23,235,000","22,114,000","22,580,000","17,693,000","17,938,000","19,245,000","17,519,000","16,958,000","16,208,000","17,612,000","15,886,000","16,265,000","15,980,000","20,542,000","23,407,000","21,000,000","20,184,000","27,397,000","20,092,000","18,800,000","17,124,000","19,893,000","18,082,000","17,260,000","15,684,000","16,033,000","15,276,000","14,044,000","12,072,000","14,952,000","12,352,000","10,924,000","8,167,000","7,805,000","8,317,000","8,162,000","7,070,000","1,454,000","8,857,000","9,320,000","10,372,000","11,193,000","13,969,000","10,454,000","13,930,000","12,013,000","13,600,000","16,184,000","12,400,000","16,300,000","13,000,000","12,300,000","9,500,000","11,100,000","10,600,000","8,300,000","8,400,000","1,600,000","11,200,000","13,000,000","10,800,000","12,100,000","9,400,000","20,500,000","18,000,000","-19,500,000","17,200,000","7,500,000","6,300,000","8,700,000","6,700,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,698,000","5,595,000","5,243,000","5,567,000","5,267,000","4,822,000","4,600,000","4,900,000","4,100,000","3,700,000","3,800,000","3,000,000","2,800,000","3,500,000","5,200,000","6,400,000","7,300,000","7,200,000","6,900,000","7,000,000","6,200,000","5,700,000","6,000,000","6,100,000","6,000,000","5,900,000","5,700,000","6,200,000","5,600,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,698,000","5,595,000","5,243,000","5,567,000","5,267,000","4,822,000","4,600,000","4,900,000","4,100,000","3,700,000","3,800,000","3,000,000","2,800,000","3,500,000","5,200,000","6,400,000","7,300,000","7,200,000","6,900,000","7,000,000","6,200,000","5,700,000","6,000,000","6,100,000","6,000,000","5,900,000","5,700,000","6,200,000","5,600,000"
OperatingIncome,"71,994,000","100,000","3,300,000","42,691,000","25,893,000","-25,754,000","-3,036,000","20,824,000","58,037,000","31,739,000","37,825,000","72,930,000","52,195,000","5,952,000","22,101,000","54,578,000","56,714,000","55,053,000","42,271,000","52,833,000","46,891,000","79,430,000","71,538,000","79,075,000","83,818,000","81,647,000","148,216,000","135,121,000","103,691,000","92,411,000","54,339,000","69,799,000","61,975,000","29,726,000","35,450,000","33,489,000","24,697,000","23,333,000","21,679,000","26,943,000","33,154,000","26,507,000","23,222,000","28,962,000","15,570,000","10,918,000","8,228,000","9,246,000","18,349,000","7,208,000","5,434,000","14,696,000","10,807,000","-110,000","1,971,000","22,457,000","25,226,000","13,673,000","15,753,000","33,320,000","37,684,000","13,022,000","11,993,000","19,938,000","26,390,000","22,923,000","17,209,000","22,805,000","19,706,000","12,503,000","12,734,000","14,579,000","13,365,000","6,240,000","7,984,000","8,596,000","7,876,000","2,433,000","3,918,000","13,003,000","458,000","-762,000","995,000","8,606,000","6,688,000","5,991,000","9,495,000","16,104,000","15,457,000","12,237,000","8,400,000","16,500,000","17,100,000","17,100,000","12,100,000","13,700,000","15,500,000","13,400,000","13,200,000","14,900,000","8,800,000","10,600,000","12,300,000","15,000,000","15,400,000","16,700,000","12,700,000","15,100,000","18,000,000","11,100,000","12,500,000","14,800,000","12,300,000"
NetNonOperatingInterestIncomeExpense,"-47,555,000","-12,000,000","-11,300,000","-13,381,000","-10,881,000","-9,893,000","-10,500,000","-11,120,000","-10,698,000","-10,329,000","-10,239,000","-8,849,000","-9,770,000","-7,617,000","-7,165,000","-7,694,000","-7,392,000","-7,895,000","-7,964,000","-7,850,000","-7,030,000","-4,777,000","-3,862,000","-3,794,000","-3,925,000","-4,691,000","-4,858,000","-4,058,000","-5,151,000","-4,965,000","-4,800,000","-4,784,000","-4,861,000","-4,265,000","-4,396,000","-4,724,000","-5,713,000","-6,041,000","-5,900,000","-6,235,000","-6,560,000","-6,630,000","-5,383,000","-6,346,000","-9,807,000","-10,536,000","-10,304,000","-10,081,000","-9,536,000","-12,406,000","-11,112,000","-12,294,000","-10,749,000","-8,192,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
