name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,10/31/2015,07/31/2015
TotalAssets,"2,355,893,000","2,315,590,000","2,254,566,000","2,277,496,000","2,265,551,000","2,311,452,000","2,315,872,000","1,768,547,000","1,773,341,000","1,863,316,000","1,866,386,000","1,786,042,000","1,801,819,000","1,821,138,000","1,773,086,000","1,599,880,000","1,475,398,000","1,345,196,000","764,910,000","726,073,000","718,307,000","670,717,000","648,263,000","399,086,000","345,943,000","254,864,000","249,831,000"
	CurrentAssets,"1,676,379,000","1,621,724,000","1,552,395,000","1,562,261,000","1,566,583,000","1,615,726,000","1,634,121,000","1,094,020,000","1,095,193,000","1,191,634,000","1,217,907,000","1,275,212,000","1,299,250,000","1,299,915,000","1,277,020,000","1,263,101,000","1,184,676,000","1,162,551,000","592,901,000","583,970,000","587,253,000","543,799,000","530,521,000","329,861,000","285,597,000","206,767,000","209,283,000"
		CashCashEquivalentsAndShortTermInvestments,"1,300,622,000","1,291,775,000","1,276,101,000","1,213,729,000","1,254,821,000","1,288,839,000","1,318,085,000","719,778,000","732,137,000","819,000,000","889,404,000","908,834,000","940,752,000","965,925,000","964,975,000","934,303,000","923,464,000","918,255,000","365,945,000","349,053,000","350,345,000","355,153,000","347,112,000","185,200,000","191,829,000","136,171,000","150,539,000"
			CashAndCashEquivalents,"386,721,000","400,749,000","350,985,000","285,723,000","274,676,000","298,701,000","504,482,000","318,737,000","262,331,000","211,693,000","233,820,000","396,678,000","445,119,000","466,010,000","399,786,000","305,975,000","376,789,000","610,446,000","132,459,000","138,359,000","200,774,000","226,006,000","225,463,000","99,209,000","90,714,000","54,861,000","67,879,000"
				CashFinancial,,,,,,,,,,,,"130,564,000","264,973,000","246,324,000","228,244,000","181,409,000","169,278,000","138,750,000","91,912,000","80,534,000","72,289,000","65,836,000","57,991,000","46,905,000","38,655,000","36,119,000","50,721,000"
				CashEquivalents,,,,,,,,,,,,"266,114,000","180,146,000","219,686,000","171,542,000","124,566,000","207,511,000","471,696,000","40,547,000","57,825,000","128,485,000","160,170,000","167,472,000","52,304,000","52,059,000","18,742,000","17,158,000"
			OtherShortTermInvestments,"913,901,000","891,026,000","925,116,000","928,006,000","980,145,000","990,138,000","813,603,000","401,041,000","469,806,000","607,307,000","655,584,000","512,156,000","495,633,000","499,915,000","565,189,000","628,328,000","546,675,000","307,809,000","233,486,000","210,694,000","149,571,000","129,147,000","121,649,000","85,991,000","101,115,000","81,310,000","82,660,000"
		Receivables,"187,441,000","166,252,000","124,628,000","189,071,000","151,335,000","172,479,000","191,767,000","259,454,000","252,927,000","261,769,000","227,881,000","250,543,000","244,445,000","247,600,000","237,682,000","258,289,000","194,323,000","179,241,000","171,550,000","178,876,000","170,335,000","151,224,000","147,707,000","110,659,000","63,548,000","48,069,000","39,253,000"
			AccountsReceivable,"180,386,000","159,938,000","116,944,000","180,781,000","143,116,000","164,868,000","183,270,000","242,516,000","236,690,000","247,323,000","214,883,000","245,475,000","244,445,000","247,600,000","237,682,000","258,289,000","194,323,000","179,241,000","171,550,000","178,876,000","170,335,000","151,224,000","147,707,000","110,659,000","63,548,000","48,069,000","39,253,000"
				GrossAccountsReceivable,"181,019,000","160,606,000","117,430,000","181,673,000","143,891,000","165,287,000",,"243,320,000",,,,"245,854,000",,,,"259,104,000",,,,"179,008,000",,,,"110,791,000","63,680,000","48,201,000","39,663,000"
