name,ttm,03/31/2022
MarketCap,"491,361,095","2,671,161,720"
EnterpriseValue,"1,648,576,095","3,416,572,720"
PeRatio,,"55.191"
PsRatio,"3.544","4.796"
PbRatio,"0.436","9.513"
EnterprisesValueRevenueRatio,"11.923","17.747"
EnterprisesValueEBITDARatio,"-3.96","-9.492"
