name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004
TotalRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,
	OperatingRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,
CostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,
GrossProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,
OperatingExpense,"46,850,281","11,519,747","11,723,390","12,251,769","11,355,375","8,943,766","9,396,175","7,507,861","8,106,479","7,698,245","7,625,759","6,271,275","7,072,231","8,065,510","7,398,989","5,814,463","4,543,485","4,734,473","4,092,115","5,177,611","3,636,157","3,592,263","3,133,388","6,555,282","2,245,898","2,153,289","3,922,286","3,966,737","1,512,960","858,339","770,678","639,367","998,833","1,021,167","308,904","1,465,918","125,273","126,402","415,377","641,383","696,345","794,659","2,186,294","1,226,574","1,637,138","1,945,977","1,367,102","1,961,551","1,301,437","1,517,531","860,882","1,801,150","1,256,926","777,790","905,847","2,686,015","994,969","671,731","917,024","1,140,773","255,569","168,783","12,339","5,845","5,680","4,660","9,407","41,745","45,698","45,698","4,098"
	SellingGeneralAndAdministration,"11,295,219","2,915,158","3,066,951","2,878,983","2,434,127","2,233,745","1,470,656","1,402,955","1,381,477","1,720,142","1,352,035","1,635,312","1,388,729","2,061,251","1,761,307","1,481,538","1,620,379","1,489,450","1,397,803","1,361,051","1,405,026","1,116,014","1,126,184","2,243,905","1,376,362","852,775","3,861,698","3,220,234","713,498","451,193","452,053","295,319","733,818","903,015","303,532","1,368,655","86,252","125,731","287,909","527,962","301,917","364,587","468,497","632,233","856,063","1,215,328","869,321","872,624","688,086","701,732","649,213","729,852","801,163","441,060","621,653","1,600,115","1,085,889","436,086","692,332","248,794","213,978","143,240","12,212","5,730","5,679","4,660","9,407",,,,"0"
		GeneralAndAdministrativeExpense,"11,295,219","2,915,158","3,066,951","2,878,983","2,434,127","2,233,745","1,470,656","1,402,955","1,381,477","1,720,142","1,352,035","1,635,312","1,388,729","2,061,251","1,761,307","1,481,538","1,620,379","1,489,450","1,397,803","1,361,051","1,405,026","1,116,014","1,126,184","2,243,905","1,376,362","852,775","3,861,698","3,220,234","713,498","451,193","452,053","295,319","733,818","903,015","303,532","1,368,655","86,252","125,731","287,909","457,462","286,917","356,949","453,497","616,615","817,411","1,190,328","814,786",,,,,"729,852","801,163","441,060","621,653",,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,000","12,000","0","0","0","0","0","0","0","7,938","2,354","10,999","41,819",,,,,"0","0","0","0",,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,125","16,125","0","0","0","1,214","0","0","12,783","10,293","16,937","16,107","4,815",,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"11,295,219","2,915,158","3,066,951","2,878,983","2,434,127","2,233,745","1,470,656","1,402,955","1,381,477","1,720,142","1,352,035","1,635,312","1,388,729","2,061,251","1,761,307","1,481,538","1,620,379","1,489,450","1,397,803","1,361,051","1,405,026","1,116,014","1,126,184","2,243,905","1,376,362","852,775","3,861,698","3,220,234","713,498","451,193","452,053","295,319","733,818","903,015","210,925","273,236","86,252","125,731","287,909","456,248","286,917","356,949","440,714","598,384","798,120","1,163,222","768,152",,,,,"729,852","801,163","441,060","621,653",,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,500","15,000","7,638","15,000","15,618","38,652","25,000","54,535",,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"35,598,342","8,604,589","8,656,439","9,372,786","8,964,528","6,720,841","7,925,519","6,104,906","6,725,002","6,053,047","6,348,668","4,710,907","5,758,446","6,078,786","5,712,210","4,407,452","2,997,634","3,245,023","2,694,312","3,836,386","2,300,277","2,492,933","2,042,490","4,338,871","917,303","1,327,393","670,736","746,503","799,462","407,146","318,625","344,048","265,015","118,152","5,180","97,263","39,021","560","127,003","112,957","393,963","429,607","1,717,333","591,776","777,971","730,242","497,290","1,088,587","613,161","815,609","211,479","1,071,148","455,683","328,859","284,104","784,534","248,232","223,566","223,150","894,202","39,953","25,543",,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"192","0","0","111","465","464","465","465","464","382","377","407","491","340","190","190","190","150","80","90","90","-4,596","4,816",,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"192","0","0","111","465","464","465","465","464","382","377","407","491","340","190","190","190","150","80","90","90","-4,596","4,816",,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"190","190","190",,"80","90","90","-4,596","4,816",,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"190","190","190",,"80","90","90","-4,596","4,816",,,,,,,,,,,,,,
	OtherOperatingExpenses,"-299,359",,,"0","-43,280","-10,820",,"0",,"-74,944","-74,944","-74,944","-74,944","-74,527","-74,528","-74,527","-74,528",,,"-19,826","-69,146","-16,684","-35,286","-27,494","-47,767","-26,879","-610,148",,,,,,,,,,,,,,,,,"2,183","2,727",,,,,,,,,"7,781",,,"-343,968","12,079","1,542",,"1,638",,"127",,"1",,,,,,"4,098"
