name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
OperatingCashFlow,"1,979,000,000","163,000,000","361,000,000","1,491,000,000","-36,000,000","2,366,000,000","543,000,000","200,000,000","372,000,000","2,207,000,000","543,750,000","792,919,000","629,710,000","340,621,000","480,958,000","516,575,000","359,839,000","223,749,000","877,809,000","448,525,000","238,609,000","417,365,000","445,846,000","425,426,000","225,874,000","368,572,000","1,210,149,000","272,774,000","289,481,000","316,211,000","1,097,979,000","330,366,000","366,582,000","541,228,000","476,130,000","445,909,000","310,191,000","494,930,000","445,451,000","710,819,000","263,602,000","554,655,000","475,555,000","296,163,000","162,166,000","375,648,000","512,461,000","295,066,000","87,181,000","948,032,000","461,298,000","363,721,000","186,732,000","352,485,000","261,838,000","98,814,000","177,815,000","188,515,000","356,272,000","89,964,000","223,237,000","287,936,000","355,725,000","182,581,000","155,869,000","152,050,000","238,461,000","151,696,000","-294,000","209,488,000","230,449,000","131,938,000","-23,721,000","375,813,000","374,129,000","26,108,000","40,965,000","131,072,000","-54,493,000","68,601,000","88,523,000","59,220,000","101,621,000","25,735,000","73,835,000","42,740,000","95,497,000","7,520,000","-4,060,000","93,842,000","52,601,000","131,000,000","-25,100,000","119,200,000","262,347,000","16,000,000","50,900,000","19,900,000","263,325,000","38,400,000","39,400,000","91,600,000","47,778,000","40,400,000","31,500,000","137,000,000","86,700,000","-23,900,000","33,800,000","74,400,000","113,600,000","-39,200,000","26,000,000","29,000,000","87,400,000","-14,300,000","14,500,000","26,400,000"
	CashFlowFromContinuingOperatingActivities,,,,,,"2,366,000,000","543,000,000","200,000,000","372,000,000","2,207,000,000","543,750,000","792,919,000","629,710,000","340,621,000","480,958,000","516,575,000","359,839,000","223,749,000","877,809,000","448,525,000","238,609,000","417,365,000","445,846,000","425,426,000","225,874,000","368,572,000","1,210,149,000","272,774,000","289,481,000","316,211,000","1,097,979,000","330,366,000","366,582,000","541,228,000","476,130,000","445,909,000","310,191,000","494,930,000","445,451,000","710,819,000","263,602,000","554,655,000","475,555,000","296,163,000","162,166,000","375,648,000","512,461,000","295,066,000","87,181,000","948,032,000","461,298,000","363,721,000","186,732,000","352,485,000","261,838,000","98,814,000","177,815,000","188,515,000","356,272,000","89,964,000","223,237,000","287,936,000","355,725,000","182,581,000","155,869,000","152,050,000","238,461,000","151,696,000","-294,000","209,488,000","230,449,000","131,938,000","-23,721,000","375,813,000","374,129,000","26,108,000","40,965,000","131,072,000","-54,493,000","68,601,000","88,523,000","59,220,000","101,621,000","25,735,000","73,835,000","42,740,000","95,497,000","7,520,000","-4,060,000","93,842,000","52,601,000","131,000,000","-25,100,000","119,200,000","262,347,000","16,000,000","50,900,000","19,900,000","263,325,000","38,400,000","39,400,000","91,600,000","47,778,000","40,400,000","31,500,000","137,000,000","86,700,000","-23,900,000","33,800,000","74,400,000","113,600,000","-39,200,000","26,000,000","29,000,000","87,400,000","-14,300,000","14,500,000","26,400,000"
		NetIncomeFromContinuingOperations,,,,,,"139,000,000","132,000,000","213,000,000","158,000,000","-88,000,000","235,030,000","262,765,000","202,698,000","169,507,000","110,039,000","301,199,000","204,374,000","100,230,000","1,216,888,000","227,591,000","232,190,000","145,512,000","190,149,000","198,719,000","236,103,000","76,472,000","163,127,000","83,534,000","130,391,000","125,114,000","191,091,000","157,996,000","198,296,000","136,664,000","144,959,000","137,955,000","-49,612,000","185,535,000","222,989,000","144,475,000","141,111,000","123,318,000","158,531,000","147,385,000","132,888,000","160,816,000","196,712,000","128,232,000","127,019,000","122,439,000","112,409,000","118,208,000","153,179,000","23,290,000","9,361,000","25,228,000","110,702,000","31,505,000","63,586,000","76,521,000","77,475,000","76,252,000","81,474,000","74,035,000","63,631,000","69,070,000","68,177,000","67,629,000","21,817,000","66,557,000","55,420,000","39,395,000","65,337,000","61,739,000","56,089,000","41,751,000","42,559,000","32,742,000","33,387,000","33,588,000","28,051,000","27,780,000","-28,095,000","8,985,000","30,514,000","21,642,000","29,103,000","31,370,000","21,410,000","23,904,000","19,300,000","-13,900,000","25,600,000","22,000,000","33,900,000","20,700,000","19,200,000","15,900,000","22,300,000","14,400,000","15,100,000","2,800,000","18,500,000","12,600,000","13,500,000","10,500,000","15,600,000","11,300,000","11,600,000","8,800,000","14,200,000","8,500,000","9,600,000","8,100,000","13,000,000","5,000,000","11,200,000","4,900,000"
		OperatingGainsLosses,,,,,,"-302,000,000","-105,000,000","-66,000,000","-81,000,000","285,000,000","-21,956,000","-48,784,000","-12,472,000","-7,788,000","139,029,000","20,017,000","10,572,000","470,000","-28,409,000","-22,653,000","-56,295,000","-60,523,000","-10,193,000","-86,624,000","-118,264,000","120,886,000","44,809,000","111,346,000","16,178,000","-7,583,000","39,223,000","-22,318,000","-118,527,000","-84,571,000","2,159,000","76,465,000","-48,243,000","-94,371,000","-110,762,000","-76,053,000","-23,801,000","-43,520,000","103,304,000","83,760,000","-27,388,000","-123,620,000",,,,"-131,185,000",,,"-78,188,000","72,262,000","243,559,000","241,307,000","7,079,000","155,260,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,"-302,000,000","-105,000,000","-66,000,000","-81,000,000","285,000,000","-21,956,000","-48,784,000","-12,472,000","-7,788,000","139,029,000","20,017,000","10,572,000","470,000","-28,409,000","-22,653,000","-56,295,000","-60,523,000","-10,193,000","-86,624,000","-118,264,000","120,886,000","44,809,000","111,346,000","16,178,000","-7,583,000","39,223,000","-22,318,000","-118,527,000","-84,571,000","2,159,000","76,465,000","-48,243,000","-94,371,000","-110,762,000","-76,053,000","-23,801,000","-43,520,000","103,304,000","83,760,000","-27,388,000","-123,620,000",,,,"-131,185,000",,,"-78,188,000","72,262,000","243,559,000","241,307,000","7,079,000","155,260,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-83,465,000","43,762,000","76,560,000","-52,468,000","40,402,000","37,264,000","91,772,000","71,745,000","-11,112,000","37,173,000","18,264,000","-72,220,000","55,577,000","39,772,000","30,709,000","6,533,000","35,098,000","20,298,000","1,963,000","25,502,000","24,674,000","11,756,000","-418,000","40,131,000","14,142,000","19,938,000","-47,716,000","-8,417,000","22,742,000","490,000","26,119,000","13,762,000","10,203,000","7,126,000","6,013,000","14,600,000","25,600,000","1,800,000","3,767,000","6,000,000","9,500,000","8,500,000","5,875,000","4,400,000","4,400,000","900,000","908,000","5,300,000","2,400,000","5,600,000","10,200,000","1,100,000","4,700,000","-1,600,000","2,900,000",,,"1,000,000","-2,400,000","3,400,000","-3,000,000","4,000,000"
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-83,465,000","43,762,000","76,560,000","-52,468,000","40,402,000","37,264,000","91,772,000","71,745,000","-11,112,000","37,173,000","18,264,000","-72,220,000","55,577,000","39,772,000","30,709,000","6,533,000","35,098,000","20,298,000","1,963,000","25,502,000","24,674,000","11,756,000","-418,000","40,131,000","14,142,000","19,938,000","-47,716,000","-8,417,000","22,742,000","490,000","26,119,000","13,762,000","10,203,000","7,126,000","6,013,000","14,600,000","25,600,000","1,800,000","3,767,000","6,000,000","9,500,000","8,500,000","5,875,000","4,400,000","4,400,000","900,000","908,000","5,300,000","2,400,000","5,600,000","10,200,000","1,100,000","4,700,000","-1,600,000","2,900,000",,,"1,000,000","-2,400,000","3,400,000","-3,000,000","4,000,000"
		AmortizationOfSecurities,,,,,,"-12,000,000","-13,000,000","-9,000,000","-12,000,000","-12,000,000","-10,614,000","-10,644,000","-17,083,000","-16,659,000","-2,224,000","-29,441,000","5,319,000","-31,032,000","-10,155,000","-47,664,000","-24,092,000","-23,471,000","-37,985,000","-13,124,000","-27,061,000","-15,782,000","-15,589,000","-22,693,000","-17,355,000","-21,666,000","-22,271,000","-28,667,000","-26,164,000","-25,357,000","-24,860,000","-27,025,000","-21,165,000","-22,497,000",,,"-34,066,000","-35,281,000","-72,360,000","-32,573,000",,,"-39,456,000","-40,099,000","-47,946,000","-16,833,000","-41,165,000","-33,567,000","-25,450,000","-34,342,000","-16,123,000",,,,"-21,334,000","-24,647,000","-20,123,000","-9,551,000","-12,819,000","-13,901,000","-14,736,000","-11,888,000","-10,728,000","-13,285,000","-11,019,000","-5,256,000",,,,,,,,,,,,,,,,,,"-6,439,000","-9,652,000","-6,249,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,"-162,000",,,,"-79,000","-2,884,000","0","0","-77,000","4,356,000","-600,000","-668,000","-715,000","10,000","-2,277,000","-143,000","-678,000","238,000","-6,000","30,000","-515,000","-1,728,000","-1,758,000","-932,000","3,634,000","-597,000","-217,000","-565,000","-1,114,000","-39,000","-10,000","-1,442,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,,,,,,"-156,000,000","-137,000,000","-81,000,000","-45,000,000","165,000,000","-256,148,000","123,740,000","13,148,000","62,260,000","-57,676,000","26,986,000","50,245,000","-20,823,000","72,003,000","-9,990,000","-38,761,000","964,000","-10,943,000","45,337,000","52,579,000","30,976,000","-27,636,000","-54,640,000","3,978,000","59,837,000","101,323,000","-22,151,000","53,770,000","22,486,000","49,174,000","-15,567,000","-14,115,000","33,636,000","62,990,000","-4,718,000","-11,687,000","38,938,000","-17,360,000","17,487,000","16,078,000","53,065,000","123,210,000","22,210,000","-98,848,000","-16,213,000","61,382,000","-15,523,000","-39,125,000","-9,277,000","2,682,000","-87,935,000","85,108,000","-27,743,000","-79,058,000","92,317,000","-11,837,000","-10,923,000","-69,245,000","-57,598,000","37,485,000","-29,370,000","-2,940,000","86,551,000","-56,738,000","-37,346,000","-184,688,000","-204,951,000","-49,748,000","-31,050,000","-492,000,000","-561,790,000","529,084,000","-69,739,000","-98,912,000","27,760,000","-74,603,000","-130,238,000","-181,485,000","100,233,000","-67,443,000","-53,852,000","-73,781,000","-79,900,000","33,719,000","-19,898,000","448,873,000","-195,400,000","-194,900,000","-130,300,000","-134,729,000","-24,800,000","-230,600,000","-19,600,000","-546,666,000","-177,600,000","-44,200,000","-92,500,000","-83,151,000","12,600,000","-293,900,000","134,900,000","-345,400,000","272,900,000","-61,400,000","-71,900,000","-63,700,000","21,600,000","-22,100,000","-116,000,000","81,500,000","-169,200,000","10,800,000","28,200,000"
