name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,12/31/2009,12/31/2008
TotalRevenue,"2,785,690,000","705,695,000","716,480,000","708,808,000","654,707,000","634,795,000","523,678,000","497,458,000","482,522,000","484,069,000","485,984,000","466,182,000","438,460,000","393,079,000","415,817,000","402,010,000","394,667,000","391,141,000","401,720,000","389,501,000","379,451,000","372,914,000","394,562,000","180,007,000","221,068,000"
	OperatingRevenue,"2,785,690,000","705,695,000","716,480,000","708,808,000","654,707,000","634,795,000","523,678,000","497,458,000","480,226,000","481,906,000","483,791,000","464,124,000","436,238,000","390,847,000","413,673,000","399,969,000","392,356,000","388,738,000","399,631,000","386,837,000","377,097,000","370,355,000","392,353,000","180,007,000","221,068,000"
CostOfRevenue,"2,155,001,000","547,407,000","555,113,000","553,037,000","499,418,000","477,555,000","371,239,000","362,139,000","354,184,000","348,667,000","348,230,000","345,476,000","317,341,000","294,401,000","307,139,000","300,525,000","296,467,000","293,854,000","301,353,000","296,669,000","289,511,000","281,950,000","293,612,000","132,067,000","160,196,000"
GrossProfit,"630,689,000","158,288,000","161,367,000","155,771,000","155,289,000","157,240,000","152,439,000","135,319,000","128,338,000","135,402,000","137,754,000","120,706,000","121,119,000","98,678,000","108,678,000","101,485,000","98,200,000","97,287,000","100,367,000","92,832,000","89,940,000","90,964,000","100,950,000","47,940,000","60,872,000"
OperatingExpense,"519,875,000","140,222,000","136,605,000","116,114,000","126,934,000","122,263,000","97,855,000","89,538,000","84,739,000","88,497,000","80,798,000","77,541,000","73,106,000","61,213,000","56,605,000","57,920,000","56,533,000","61,355,000","56,400,000","65,307,000","52,459,000","54,178,000","57,897,000","38,387,000","39,894,000"
	SellingGeneralAndAdministration,"194,626,000","57,602,000","49,004,000","45,545,000","42,475,000","45,052,000","39,536,000","35,969,000","32,340,000","36,893,000","33,048,000","32,476,000","32,669,000","31,117,000","26,813,000","28,517,000","27,482,000","31,947,000","26,855,000","36,432,000","23,546,000","24,770,000","28,080,000","12,302,000","16,422,000"
		GeneralAndAdministrativeExpense,"134,757,000","57,602,000",,,,,,"35,969,000","32,340,000","36,893,000","33,048,000","32,476,000","32,669,000","31,117,000","26,813,000","28,517,000","27,482,000","31,947,000","26,855,000","36,432,000","23,546,000","24,770,000","28,080,000",,"16,422,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,"0",,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,"2,332,000"
			OtherGandA,"134,757,000","57,602,000",,,,,,"35,969,000","32,340,000","36,893,000","33,048,000","32,476,000","32,669,000","31,117,000","26,813,000","28,517,000","27,482,000","31,947,000","26,855,000","36,432,000","23,546,000","24,770,000","28,080,000",,"14,090,000"
