name,ttm,03/31/2022,12/31/2021,09/30/2021
MarketCap,"396,532,508","746,540,255","998,020,294","1,215,252,050"
EnterpriseValue,"140,977,508","692,847,255","701,285,294","1,182,108,050"
PeRatio,"21.798","133",,
PsRatio,"4.247","4.985","11.214",
PbRatio,"1.559","3.058","4.284",
EnterprisesValueRevenueRatio,"1.517","31.696","26.327","49.162"
EnterprisesValueEBITDARatio,"6.831","128.281","186.017","54.46"
