name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012
TotalAssets,"668,665,000","657,545,000","633,355,000","610,058,000","584,638,000","573,280,000","549,555,000","533,398,000","531,733,000","527,276,000","514,489,000","490,232,000","479,251,000","466,853,000","458,648,000","490,722,000","519,152,000","546,649,000","542,587,000","513,446,000","519,069,000","512,271,000","484,844,000","427,858,000","419,053,000","410,615,000","391,292,000","353,677,000","313,928,000","284,284,000","253,278,000","216,420,000","197,263,000","183,307,000","175,684,000","159,153,000","146,239,000","138,603,000","129,552,000","90,836,000","82,522,000","81,739,000"
	CurrentAssets,"278,329,000","266,748,000","555,374,000","534,021,000","508,548,000","497,304,000","476,247,000","461,398,000","458,766,000","451,190,000","447,428,000","425,618,000","415,304,000","409,589,000","407,682,000","438,449,000","466,647,000","493,283,000","486,329,000","459,711,000","465,418,000","468,535,000","441,604,000","385,701,000","376,086,000","369,645,000","351,379,000","313,919,000","304,978,000","275,371,000","246,447,000","210,193,000","191,180,000","177,236,000","169,584,000","152,804,000","140,130,000","133,148,000","125,323,000","87,280,000","78,742,000","77,819,000"
		CashCashEquivalentsAndShortTermInvestments,"200,639,000","171,043,000","457,760,000","449,159,000","435,529,000","440,708,000","423,637,000","410,703,000","411,327,000","404,748,000","400,791,000","375,802,000","366,176,000","358,908,000","348,617,000","375,960,000","414,119,000","434,591,000","414,018,000","400,815,000","420,168,000","405,394,000","372,100,000","327,027,000","323,811,000","307,893,000","276,720,000","239,754,000","235,228,000","207,994,000","186,528,000","166,528,000","155,616,000","143,394,000","128,051,000","118,310,000","104,277,000","100,494,000","94,820,000","65,171,000","59,694,000","58,944,000"
			CashAndCashEquivalents,"200,639,000","171,043,000","457,760,000","258,402,000","227,509,000","241,274,000","225,508,000","220,647,000","236,585,000","231,403,000","252,310,000","222,693,000","204,444,000","194,047,000","212,338,000","295,289,000","336,692,000","346,672,000","320,933,000","309,738,000","335,182,000","322,872,000","313,455,000","276,507,000","267,959,000","268,056,000","236,465,000","199,577,000","197,311,000","170,291,000","146,577,000","128,263,000","129,480,000","143,394,000","128,051,000","118,310,000","104,277,000","100,494,000","94,820,000","65,171,000","59,694,000","58,944,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143,394,000","128,051,000","118,310,000","104,277,000","100,494,000","94,820,000","65,171,000","59,694,000","58,944,000"
			OtherShortTermInvestments,,"0","0","190,757,000","208,020,000","199,434,000","198,129,000","190,056,000","174,742,000","173,345,000","148,481,000","153,109,000","161,732,000","164,861,000","136,279,000","80,671,000","77,427,000","87,919,000","93,085,000","91,077,000","84,986,000","82,522,000","58,645,000","50,520,000","55,852,000","39,837,000","40,255,000","40,177,000","37,917,000","37,703,000","39,951,000","38,265,000","26,136,000",,,,,,,,,
		Receivables,"28,008,000","44,307,000","44,776,000","38,295,000","34,528,000","24,974,000","24,111,000","23,275,000","20,684,000","18,487,000","21,609,000","27,940,000","26,457,000","26,212,000","32,417,000","29,007,000","25,727,000","31,294,000","47,197,000","38,351,000","22,871,000","38,596,000","41,394,000","33,588,000","30,501,000","39,408,000","46,282,000","42,137,000","39,193,000","40,180,000","40,965,000","26,833,000","21,305,000","18,837,000","25,449,000","21,881,000","23,467,000","20,153,000","18,243,000","10,629,000","8,930,000","9,485,000"
			AccountsReceivable,"28,008,000","44,307,000","44,776,000","38,295,000","34,528,000","24,974,000","24,111,000","23,275,000","20,684,000","18,487,000","21,609,000","27,940,000","26,457,000","26,212,000","32,417,000","29,007,000","25,727,000","31,294,000","47,197,000","38,351,000","22,871,000","38,596,000","41,394,000","33,588,000","30,501,000","39,408,000","46,282,000","42,137,000","39,193,000","40,180,000","40,965,000","26,833,000","21,305,000","18,837,000","25,449,000","21,881,000","23,467,000","20,153,000","18,243,000","10,629,000","8,930,000","9,485,000"
		Inventory,"41,523,000","45,219,000","47,039,000","42,076,000","33,120,000","26,081,000","23,712,000","23,907,000","21,957,000","22,971,000","19,845,000","17,376,000","17,635,000","18,252,000","23,328,000","30,787,000","22,968,000","23,383,000","21,097,000","17,726,000","19,066,000","20,145,000","23,340,000","20,898,000","17,921,000","18,167,000","22,788,000","27,773,000","25,803,000","21,693,000","14,839,000","13,003,000","10,034,000","10,452,000","13,010,000","9,913,000","9,325,000","8,918,000","9,141,000","8,389,000","7,616,000","6,786,000"
			WorkInProcess,"32,892,000","25,844,000","30,240,000","34,432,000","24,497,000","18,219,000","14,133,000","15,085,000","12,773,000","10,133,000","11,830,000","9,854,000","9,809,000","9,430,000","12,483,000","19,553,000","13,093,000","12,073,000","13,630,000","11,156,000","10,209,000","10,105,000","13,404,000","11,944,000","9,671,000","9,474,000","12,696,000","12,721,000","18,165,000","13,805,000","10,327,000","9,096,000","6,432,000","5,119,000","8,322,000","7,125,000","4,845,000","4,044,000","4,258,000","5,202,000","3,201,000","3,233,000"
