name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
OperatingCashFlow,"179,100,000","39,100,000","62,400,000","33,000,000","44,600,000","85,700,000","90,900,000","60,100,000","87,200,000","13,800,000","75,300,000","21,900,000","11,100,000","1,900,000","127,900,000","11,500,000","19,200,000","-4,700,000","36,600,000","66,600,000","-22,400,000","23,800,000","40,600,000","26,200,000","400,000","200,000","64,100,000","8,100,000","9,200,000","30,500,000","28,600,000","29,100,000","-1,000,000","21,000,000","13,600,000","18,600,000","12,000,000","17,800,000","17,900,000","20,400,000","31,800,000","15,900,000","-7,400,000","30,900,000","-8,900,000","21,800,000","15,200,000","400,000","9,600,000","-7,700,000","20,900,000","5,300,000","21,900,000","6,000,000","11,800,000","35,700,000","22,800,000","11,500,000","21,000,000","-6,500,000","12,000,000","7,200,000"
	CashFlowFromContinuingOperatingActivities,"179,100,000","39,100,000","62,400,000","33,000,000","44,600,000","85,700,000","90,900,000","60,100,000","87,200,000","13,800,000","75,500,000","22,000,000","11,100,000","2,000,000","128,000,000","11,500,000","19,200,000","-4,100,000","37,100,000","67,200,000","-22,000,000","24,000,000","41,000,000","26,200,000","500,000","200,000","64,300,000","8,100,000","9,300,000","30,500,000","28,500,000","29,200,000","-800,000","21,100,000","14,200,000","18,400,000","12,600,000","17,900,000","18,000,000","20,600,000","31,900,000","16,100,000","-7,200,000","31,000,000","-8,700,000","21,900,000","15,200,000","500,000","9,500,000","-7,600,000","20,900,000","5,300,000","21,800,000","6,100,000","11,400,000","35,600,000","23,300,000","11,500,000","24,200,000","-6,800,000","14,400,000","7,200,000"
		NetIncomeFromContinuingOperations,"117,000,000","25,600,000","31,600,000","29,300,000","30,500,000","27,000,000","30,100,000","17,200,000","32,500,000","29,000,000","42,100,000","33,500,000","34,000,000","19,700,000","42,900,000","26,400,000","33,500,000","1,600,000","19,800,000","26,400,000","18,300,000","17,600,000","23,400,000","20,600,000","18,800,000","5,200,000","20,900,000","12,700,000","14,400,000","8,000,000","15,100,000","9,000,000","11,400,000","-4,700,000","13,700,000","7,400,000","8,800,000","4,100,000","19,000,000","6,200,000","7,900,000","4,000,000","7,400,000","8,100,000","10,400,000","4,900,000","16,400,000","9,400,000","8,200,000","3,900,000","10,600,000","8,400,000","9,700,000","4,100,000","10,000,000","8,800,000","13,300,000","12,000,000","14,700,000","13,400,000","8,000,000","4,000,000"
		OperatingGainsLosses,,,,,,,,,,,,,,"900,000",,,,"700,000",,,"200,000","-300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"-600,000",,,,,,,"800,000","-1,400,000",,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,"900,000",,,,"700,000",,,"100,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"-600,000",,,,,,,,,,,,
		DepreciationAmortizationDepletion,"78,400,000","19,900,000","20,200,000","20,000,000","18,300,000","18,300,000","18,600,000","18,000,000","17,700,000","17,500,000","18,100,000","17,200,000","15,600,000","14,700,000","14,600,000","15,300,000","14,100,000","13,700,000","13,800,000","12,800,000","12,900,000","12,200,000","11,300,000","9,100,000","9,500,000","8,600,000","8,700,000","7,300,000","6,800,000","6,800,000","6,600,000","7,100,000","6,000,000","5,600,000","6,200,000","6,300,000","6,400,000","6,100,000","5,700,000","6,100,000","5,900,000","5,900,000","5,800,000","6,400,000","6,000,000","5,900,000","5,800,000","6,100,000","5,400,000","5,600,000","6,100,000","5,900,000","5,500,000","5,100,000","6,000,000","6,900,000","6,500,000","6,100,000","6,100,000","31,400,000","-18,400,000","6,000,000"
			DepreciationAndAmortization,"78,400,000","19,900,000","20,200,000","20,000,000","18,300,000","18,300,000","18,600,000","18,000,000","17,700,000","17,500,000","18,100,000","17,200,000","15,600,000","14,700,000","14,600,000","15,300,000","14,100,000","13,700,000","13,800,000","12,800,000","12,900,000","12,200,000","11,300,000","9,100,000","9,500,000","8,600,000","8,700,000","7,300,000","6,800,000","6,800,000","6,600,000","7,100,000","6,000,000","5,600,000","6,200,000","6,300,000","6,400,000","6,100,000","5,700,000","6,100,000","5,900,000","5,900,000","5,800,000","6,400,000","6,000,000","5,900,000","5,800,000","6,100,000","5,400,000","5,600,000","6,100,000","5,900,000","5,500,000","5,100,000","6,000,000","6,900,000","6,500,000","6,100,000","6,100,000","31,400,000","-18,400,000","6,000,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000",,,,"4,700,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,100,000",,,,"1,300,000"
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,100,000",,,,"1,300,000"
		StockBasedCompensation,"6,400,000","1,700,000","0","2,400,000","2,300,000","1,800,000","1,000,000","-1,200,000","-400,000","2,500,000","2,200,000","2,500,000","2,100,000","2,600,000","2,100,000","2,900,000","2,300,000","2,400,000","2,800,000","1,900,000","2,500,000","1,800,000","2,800,000","2,600,000","2,300,000","2,200,000","2,000,000","1,900,000","1,900,000","1,400,000","1,700,000","1,900,000","2,000,000","1,700,000","1,800,000","1,700,000","1,700,000","1,700,000","2,100,000","1,700,000","1,800,000","1,900,000","1,000,000","1,400,000","1,500,000","1,300,000","1,900,000","1,900,000","1,900,000","1,600,000","2,000,000","2,100,000","2,000,000","1,800,000",,,,,"2,200,000","2,300,000","2,300,000","1,800,000"
