name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003
MarketCap,"7,848,532,349","7,332,534,173","7,354,523,227","7,521,156,306","7,751,650,818","8,569,539,880","7,876,204,825","6,466,925,504","5,328,888,779","5,186,923,300","10,216,703,992","10,009,959,055","9,761,246,785","8,880,046,387","8,808,458,824","9,202,175,544","8,612,538,449","9,934,588,972","10,042,525,231","8,998,826,332","8,280,109,520","8,176,058,205","8,079,258,665","6,930,425,107","6,214,124,955","6,166,295,712","5,578,247,199","5,956,238,236","6,301,422,884","6,191,409,313","6,025,886,842","5,502,177,893","5,429,117,126","5,535,400,536","5,478,167,755","4,725,677,177","5,010,422,407","4,396,800,060","3,956,590,755","4,265,785,256","3,922,228,077","4,383,632,598","3,828,234,242","3,366,613,411","4,508,249,779","4,632,984,825","3,940,337,203","3,533,453,038","3,343,849,273","3,839,363,730","3,477,957,394","3,246,443,990","2,540,587,957","2,352,615,875","2,668,777,995","2,955,468,144","2,711,972,779","3,388,056,959","3,255,413,015","3,514,728,355","3,734,466,693","3,562,753,089","3,420,567,690","3,186,783,532","3,007,398,260","2,893,265,994","2,991,716,632","2,800,036,295","2,913,322,820","2,666,119,235","3,025,461,606","2,569,351,850","2,532,878,736","2,550,190,186","2,402,497,372"
EnterpriseValue,"8,972,532,349","8,231,534,173","7,814,523,227","7,763,156,306","8,548,650,818","9,122,539,880","8,601,204,825","6,159,925,504","6,058,888,779","7,316,923,300","11,572,759,992","11,739,144,055","11,184,741,785","10,460,147,387","10,576,736,824","11,317,605,544","10,643,764,449","12,203,367,972","12,423,240,231","11,487,078,332","10,716,140,520","10,904,675,205","10,635,664,665","9,854,858,107","7,909,233,955","7,837,729,712","7,058,060,199","7,860,457,236","8,306,478,884","7,642,734,313","7,703,949,842","6,930,857,893","7,051,258,126","7,310,855,536","6,753,814,755","6,175,147,177","6,315,960,407","5,604,171,060","5,163,961,755","4,723,413,256","4,463,124,077","4,835,450,598","4,640,126,242","4,178,505,411","5,411,675,779","5,437,811,825","4,693,086,203","12,850,598,038","12,633,760,273","12,930,336,730","12,698,021,394","11,813,134,990","11,245,136,957","11,147,494,875","2,711,620,995","3,561,207,144","3,275,378,779","4,009,866,959","3,776,900,015","4,038,630,355","4,392,908,693","4,107,874,089","3,878,734,690","3,610,025,532","3,430,640,260","3,262,208,994","3,252,605,632","3,060,925,295","3,157,553,820","2,936,250,235","3,279,148,606","2,842,459,850","2,806,967,736","2,698,454,186","2,716,057,372"
PeRatio,"19.27","12.108","12.6","9.075","11.692","19.976","14.398","10.696","8.205","6.178","14.021","13.126","12.863","12.907","5.048","5.435","4.942","5.558","12.834","11.885","10.844","11.768","12.193","12.684","14.221","12.902","11.024","10.306","9.811","9.529","9.682","9.232","15.144","13.777","11.451","9.851","7.399","7.004","6.282","7.252","6.875","7.351","6.097","5.362","7.324","7.628","6.984","7.339","7.065","7.645","8.586","10.573","11.637","12.316","14.21","12.446","9.319","13.055","10.933","11.476","12.763","12.413","12.545","11.829","11.196","12.511","13.724","12.845","14.267","10.78","12.423","10.049","10.137","10.81","11.171"
ForwardPeRatio,"13.459","10.941","8.11","7.8","13.514","13.333","9.794","7.496","7.728","6.274","11.601","11.299","11.848","10.638","10.352","10.707","10.87","12.937","14.409","13.021","12.854","12.821","12.707","10.846","10.661","9.699","9.285","9.634","10.091","9.615","9.843","9.259","9.285","9.479","9.852","8.258","7.331","6.39","6.658","7.057","6.609","7.788","7.424","5.938","7.788","7.975","7.57","6.817",,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.105","1.132","1.064","1.068","1.089","1.133","0.949","0.843","0.735","0.765","0.811","0.76","0.463","0.281","0.742","0.974","0.798","0.757","0.649",,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.492","0.454","0.453","0.477","0.496","0.568","0.526","0.428","0.354","0.376","0.759","0.767","0.769","0.718","0.715","0.745","0.693","0.809","0.827","0.752","0.696","0.716","0.728","0.656","0.618","0.622","0.567","0.589","0.611","0.598","0.564","0.535","0.545","0.559","0.55","0.478","0.506","0.45","0.403","0.475","0.446","0.499","0.444","0.391","0.52","0.554","0.486","0.454","0.437","0.507","0.495","0.495","0.404","0.373","0.482","0.523","0.475","0.612","0.59","0.648","0.714","0.701","0.708","0.678","0.642","0.639","0.68","0.637","0.692","0.648","0.756","0.628","0.626","0.643","0.627"
PbRatio,"0.855","0.563","0.571","0.559","0.641","0.597","0.596","0.515","0.573","0.447","0.887","0.935","1.013","1.051","1.027","1.058","0.943","1.038","1.241","1.127","1.116","1.153","1.012","0.914","0.925","1.005","0.894","0.919","0.881","0.882","0.902","0.823","0.869","0.933","0.929","0.803","0.709","0.633","0.573","0.684","0.662","0.714","0.677","0.595","0.847","0.922","0.782","0.707","0.753","0.922","0.899","0.861","0.82","0.951","1.02","1.134","0.886","1.108","1.021","1.214","1.293","1.265","1.233","1.292","1.22","1.164","1.184","1.108","1.174","1.157","1.328","1.215","1.295","1.237","1.233"
EnterprisesValueRevenueRatio,"0.551","2.095","1.876","1.92","2.082","2.276","2.076","1.691","1.68","2.284","3.058","3.236","3.226","3.058","3.226","3.507","3.33","3.845","3.843","3.652","3.424","3.624","3.465","3.398","2.603","3.119","2.495","3.223","3.158","3.032","2.856","2.551","2.489","2.751","2.468","2.584","2.438","2.155","1.896","1.929","1.879","2.109","1.976","2.095","2.455","2.382","2.064","6.571","6.54","6.157","6.532","6.64","6.202","7.282","1.982","2.718","1.994","2.948","2.524","2.93","2.951","3.032","2.639","2.815","2.761","2.721","2.626","2.642","2.893","2.679","2.918","2.963","2.875","2.768","2.483"
