name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,12/31/2018
TotalAssets,"270,487,000","264,717,000","250,647,000","245,625,000","241,193,000","239,669,000","232,252,000","191,836,000","198,526,000","189,591,000","66,164,000","71,845,000"
	CurrentAssets,"226,773,000","222,532,000","210,053,000","205,110,000","200,868,000","199,330,000","193,699,000","154,424,000","161,140,000","157,033,000","30,809,000","42,882,000"
		CashCashEquivalentsAndShortTermInvestments,"179,317,000","176,935,000","175,008,000","171,481,000","167,793,000","163,879,000","167,272,000","129,463,000","137,376,000","135,310,000","12,600,000","26,190,000"
			CashAndCashEquivalents,"81,662,000","107,114,000","115,332,000","108,257,000","102,303,000","114,515,000","117,778,000","79,792,000","137,376,000","135,310,000","12,600,000","26,190,000"
				CashFinancial,,,,,,,,,,,"12,600,000","26,190,000"
			OtherShortTermInvestments,"97,655,000","69,821,000","59,676,000","63,224,000","65,490,000","49,364,000","49,494,000","49,671,000",,,,
		Receivables,"23,080,000","25,483,000","16,041,000","16,133,000","15,928,000","17,178,000","14,406,000","14,089,000","12,311,000","11,099,000","10,288,000","10,551,000"
			AccountsReceivable,"23,080,000","25,483,000","16,041,000","16,133,000","15,928,000","17,178,000","14,406,000","14,089,000","12,311,000","11,099,000","10,288,000","10,551,000"
				GrossAccountsReceivable,"24,328,000","26,781,000","16,982,000","17,111,000","17,180,000","18,606,000","16,093,000","15,780,000","13,767,000","11,805,000","11,384,000","10,925,000"
				AllowanceForDoubtfulAccountsReceivable,"-1,248,000","-1,298,000","-941,000","-978,000","-1,252,000","-1,428,000","-1,687,000","-1,691,000","-1,456,000","-706,000","-1,096,000","-374,000"
		PrepaidAssets,"9,114,000","6,199,000","7,138,000","6,846,000","7,596,000","9,651,000","4,565,000","4,157,000","5,337,000","5,050,000","3,184,000","2,507,000"
		RestrictedCash,,,,,,,,,,,,"0"
		CurrentDeferredAssets,"15,262,000","13,915,000","11,866,000","10,650,000","9,551,000","8,622,000","7,456,000","6,715,000","6,116,000","5,574,000","4,737,000","3,634,000"
	TotalNonCurrentAssets,"43,714,000","42,185,000","40,594,000","40,515,000","40,325,000","40,339,000","38,553,000","37,412,000","37,386,000","32,558,000","35,355,000","28,963,000"
		NetPPE,"21,751,000","22,313,000","22,982,000","23,702,000","24,294,000","25,057,000","24,517,000","23,853,000","24,000,000","19,147,000","19,884,000","15,524,000"
			GrossPPE,"21,751,000","35,157,000","22,982,000","23,702,000","24,294,000","34,918,000","24,517,000","23,853,000","24,000,000","26,249,000","19,884,000","20,133,000"
				Properties,"0","0","0","0","0","0",,,,"0","1,000","0"
				BuildingsAndImprovements,"9,279,000",,"9,629,000","9,790,000","9,942,000",,,,,,,
				MachineryFurnitureEquipment,,"7,390,000",,,,"6,478,000",,,,"5,556,000",,"5,088,000"
				OtherProperties,"12,472,000","9,459,000","13,353,000","13,912,000","14,352,000","10,132,000","24,517,000","23,853,000","24,000,000","5,618,000","19,884,000",
				Leases,,"18,308,000",,,,"18,308,000",,,,"15,075,000",,"15,045,000"
			AccumulatedDepreciation,,"-12,844,000",,,,"-9,861,000",,,,"-7,102,000",,"-4,609,000"
		GoodwillAndOtherIntangibleAssets,"5,084,000","5,344,000","5,605,000","5,866,000","6,126,000","6,387,000","6,712,000","7,068,000","7,425,000","7,781,000","8,157,000","9,313,000"
			Goodwill,"2,299,000","2,299,000","2,299,000","2,299,000","2,299,000","2,299,000","2,299,000","2,299,000","2,299,000","2,299,000","2,299,000","2,299,000"
			OtherIntangibleAssets,"2,785,000","3,045,000","3,306,000","3,567,000","3,827,000","4,088,000","4,413,000","4,769,000","5,126,000","5,482,000","5,858,000","7,014,000"
		InvestmentsAndAdvances,"1,456,000",,,,,,,,,,,
			OtherInvestments,"1,456,000",,,,,,,,,,,
		NonCurrentDeferredAssets,"15,352,000","14,402,000","11,882,000","10,822,000","9,775,000","8,757,000","7,199,000","6,367,000","5,836,000","5,505,000","7,199,000","4,087,000"
