name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
OperatingCashFlow,"-122,998,000","-27,981,000","-440,254,000","365,150,000","-19,913,000","-123,258,000","-47,655,000","-2,304,000","-28,447,000","-8,210,000","-16,116,000","-18,529,000"
	CashFlowFromContinuingOperatingActivities,"-122,998,000","-27,981,000","-440,254,000","365,150,000","-19,913,000","-123,258,000","-47,655,000","-2,304,000","-28,447,000","-8,210,000","-16,116,000","-18,529,000"
		NetIncomeFromContinuingOperations,"-634,337,000","-54,671,000","-159,735,000","-306,615,000","-153,208,000","-230,883,000","-31,557,000","-15,275,000","34,813,000","-85,620,000","-30,996,000","-30,795,000"
		OperatingGainsLosses,,"92,169,000","64,854,000","-30,979,000","-17,039,000","4,563,000","0","-30,106,000","-7,744,000","-9,866,000","-4,738,000","-5,725,000"
			GainLossOnSaleOfPPE,,,,,,"4,563,000",,,,,,
			GainLossOnInvestmentSecurities,,"92,169,000","64,854,000",,,"0","0","-30,106,000",,,,
		DepreciationAmortizationDepletion,"43,494,000","13,102,000","11,964,000","10,541,000","7,887,000","5,021,000","3,351,000","3,720,000","2,023,000","2,877,000","2,432,000","2,112,000"
			DepreciationAndAmortization,"43,494,000","13,102,000","11,964,000","10,541,000","7,887,000","5,021,000","3,351,000","3,720,000","2,023,000","2,877,000","2,432,000","2,112,000"
		DeferredTax,,,,,,"-70,000","78,000","97,000","103,000","93,000","93,000","96,000"
			DeferredIncomeTax,,,,,,"-70,000","78,000","97,000","103,000","93,000","93,000","96,000"
		AmortizationOfSecurities,,"968,000",,,,,,,,,,
		AssetImpairmentCharge,,,,,"403,000","11,141,000",,,,,,
		ProvisionandWriteOffofAssets,"208,070,000","66,294,000","52,640,000","63,647,000","25,489,000","-17,346,000","17,468,000","40,267,000","-32,171,000","82,216,000","30,178,000","24,844,000"
		StockBasedCompensation,"375,783,000","98,387,000","88,537,000","93,189,000","135,562,000","139,747,000","6,521,000","6,203,000","5,036,000","7,795,000","8,368,000","8,426,000"
		OtherNonCashItems,"-291,773,000","-200,367,000","-122,630,000","93,195,000","-76,268,000","41,624,000","-39,395,000","-19,854,000","-36,948,000","-46,797,000","-31,814,000","-22,476,000"
		ChangeInWorkingCapital,"6,230,000","-43,863,000","-375,884,000","411,193,000","14,784,000","-77,055,000","-4,121,000","12,644,000","-5,137,000","31,226,000","5,623,000","-736,000"
			ChangeInReceivables,"-58,940,000","5,650,000","-36,041,000","-12,076,000","-16,473,000","2,619,000","-19,255,000","10,175,000","-15,036,000","-955,000","-1,075,000","-1,983,000"
				ChangesInAccountReceivables,"-58,940,000","5,650,000","-36,041,000","-12,076,000","-16,473,000","2,619,000","-19,255,000","10,175,000","-15,036,000","-955,000","-1,075,000","-1,983,000"
			ChangeInPayablesAndAccruedExpense,"37,493,000","-12,109,000","-327,179,000","345,183,000","31,598,000","112,218,000","32,409,000","2,100,000","14,438,000","454,000","13,285,000","1,912,000"
				ChangeInPayable,"18,825,000","-32,157,000","-347,211,000","356,478,000","41,715,000","-318,000","13,591,000","2,317,000","7,989,000","-1,056,000","7,899,000","961,000"
					ChangeInAccountPayable,"19,386,000","3,396,000","-380,265,000","368,096,000","28,159,000","-3,798,000","1,752,000","6,110,000","5,950,000","-427,000","4,170,000","-2,179,000"
				ChangeInAccruedExpense,"18,668,000","20,048,000","20,032,000","-11,295,000","-10,117,000","112,536,000","18,818,000","-217,000","6,449,000","1,510,000","5,386,000","951,000"
					ChangeInInterestPayable,"-900,000","371,000","-684,000","553,000","-1,140,000","736,000","1,001,000","798,000","-365,000","-463,000","296,000","960,000"
			ChangeInOtherCurrentAssets,"27,677,000","-37,404,000","-12,664,000","78,086,000","-341,000","-191,892,000","-17,275,000","369,000","-4,539,000","31,727,000","-6,587,000","-665,000"
			ChangeInOtherWorkingCapital,,,,,,,,"369,000",,,,"-665,000"
InvestingCashFlow,"-901,276,000","-166,048,000","-190,063,000","-629,510,000","84,345,000","-199,668,000","-548,949,000","-357,761,000","-20,673,000","40,410,000","-204,818,000","-67,992,000"
	CashFlowFromContinuingInvestingActivities,"-901,276,000","-166,048,000","-190,063,000","-629,510,000","84,345,000","-199,668,000","-548,949,000","-357,761,000","-20,673,000","40,410,000","-204,818,000","-67,992,000"
		NetPPEPurchaseAndSale,"-67,092,000","-21,095,000","-21,812,000","-16,347,000","-7,838,000","-5,351,000","-2,894,000","-4,169,000","-2,315,000","-5,202,000","-8,091,000","-5,411,000"
			PurchaseOfPPE,"-67,092,000","-21,095,000","-21,812,000","-16,347,000","-7,838,000","-5,351,000","-2,894,000","-4,169,000","-2,315,000","-5,202,000","-8,091,000","-5,411,000"
		NetBusinessPurchaseAndSale,"-123,656,000","0","0","-5,999,000","-117,657,000","-104,776,000",,,,,,
			PurchaseOfBusiness,"-123,656,000","0","0","-5,999,000","-117,657,000","-104,776,000",,,,,,
		NetInvestmentPurchaseAndSale,,"-125,595,000","-9,927,000","-442,671,000",,"-1,281,905,000","-1,275,061,000","-1,102,720,000","-705,304,000","-618,789,000","-702,571,000","-500,223,000"
			PurchaseOfInvestment,,"-258,323,000","-68,164,000","-443,560,000",,"-1,425,140,000","-1,404,972,000","-1,177,769,000","-797,034,000","-693,435,000","-781,546,000","-558,305,000"
			SaleOfInvestment,,"132,728,000","58,237,000","889,000",,"143,235,000","129,911,000","75,049,000","91,730,000","74,646,000","78,975,000","58,082,000"
		NetOtherInvestingChanges,"-132,335,000","-19,358,000","-158,324,000","-164,493,000","209,840,000","-89,541,000","-546,055,000","-353,592,000","-18,358,000","45,612,000","-196,727,000","-62,581,000"
FinancingCashFlow,"1,889,871,000","55,787,000","1,766,260,000","243,953,000","-176,129,000","1,488,628,000","447,520,000","817,811,000","120,717,000","-30,445,000","141,790,000","62,670,000"
	CashFlowFromContinuingFinancingActivities,"1,889,871,000","55,787,000","1,766,260,000","243,953,000","-176,129,000","1,488,628,000","447,520,000","817,811,000","120,717,000","-30,445,000","141,790,000","62,670,000"
		NetIssuancePaymentsOfDebt,"2,026,170,000","101,861,000","1,818,666,000","252,913,000","-147,270,000","294,990,000","428,105,000","386,837,000","126,063,000","-30,587,000","182,866,000","47,308,000"
			NetLongTermDebtIssuance,"2,026,170,000","101,861,000","1,818,666,000","252,913,000","-147,270,000","294,990,000","428,105,000","386,837,000","126,063,000","-30,587,000","182,866,000","47,308,000"
				LongTermDebtIssuance,"5,508,038,000","1,278,425,000","2,519,719,000","1,181,895,000","527,999,000","1,380,300,000","1,137,664,000","1,292,170,000","679,058,000","558,965,000","559,248,000","410,534,000"
				LongTermDebtPayments,"-3,481,868,000","-1,176,564,000","-701,053,000","-928,982,000","-675,269,000","-1,085,310,000","-709,559,000","-905,333,000","-552,995,000","-589,552,000","-376,382,000","-363,226,000"
		NetCommonStockIssuance,"-223,000","-80,000","0","-4,000","-139,000","1,281,881,000","21,477,000","1,157,000","2,733,000","-1,621,000","-17,111,000","-122,000"
			CommonStockIssuance,"-125,000","0",,,"-125,000","1,281,884,000","21,676,000","1,741,000","2,733,000","-1,221,000","478,000","743,000"
			CommonStockPayments,"-98,000","-80,000","0","-4,000","-14,000","-3,000","-199,000","-584,000","0","-400,000","-17,589,000","-865,000"
		NetPreferredStockIssuance,"0","0","0","0","0","-13,000","108,000","434,434,000","0","0","-22,594,000","15,484,000"
			PreferredStockIssuance,"0","0","0","0","0","0","108,000","434,434,000","0","0","-3,000","15,484,000"
			PreferredStockPayments,"0","0",,,"0","-13,000","0",,"0","0",,
		ProceedsFromStockOptionExercised,"70,967,000","8,171,000","22,099,000","37,470,000","3,227,000","20,398,000",,,,,,
		NetOtherFinancingCharges,"-207,043,000","-54,165,000","-74,505,000","-46,426,000","-31,947,000","-132,045,000","-2,170,000","-4,617,000","-6,304,000","-12,000",,
EndCashPosition,"2,672,599,000","2,675,565,000","2,814,803,000","1,675,813,000","1,692,632,000","1,807,002,000","636,790,000","785,874,000","328,128,000","256,531,000","254,776,000","333,920,000"
	ChangesInCash,"865,597,000","-138,242,000","1,135,943,000","-20,407,000","-111,697,000","1,165,702,000","-149,084,000","457,746,000","71,597,000","1,755,000","-79,144,000","-23,851,000"
	EffectOfExchangeRateChanges,"2,966,000","-996,000","3,047,000","3,588,000","-2,673,000","4,510,000",,,,,,
	BeginningCashPosition,"1,807,002,000","2,814,803,000","1,675,813,000","1,692,632,000","1,807,002,000","636,790,000","785,874,000","328,128,000","256,531,000","254,776,000","333,920,000","357,771,000"
IncomeTaxPaidSupplementalData,,"10,000","8,000","72,000","138,000","81,000",,,,,,
InterestPaidSupplementalData,,"11,182,000","12,948,000","10,195,000","13,115,000","11,859,000","9,782,000","6,934,000","6,013,000","8,148,000","7,329,000","6,595,000"
CapitalExpenditure,"-67,092,000","-21,095,000","-21,812,000","-16,347,000","-7,838,000","-5,351,000","-2,894,000","-4,169,000","-2,315,000","-5,202,000","-8,091,000","-5,411,000"
IssuanceOfCapitalStock,"-125,000","0","0","0","-125,000","1,281,884,000","21,784,000","436,175,000","2,733,000","-1,221,000","475,000","16,227,000"
IssuanceOfDebt,"5,508,038,000","1,278,425,000","2,519,719,000","1,181,895,000","527,999,000","1,380,300,000","1,137,664,000","1,292,170,000","679,058,000","558,965,000","559,248,000","410,534,000"
RepaymentOfDebt,"-3,481,868,000","-1,176,564,000","-701,053,000","-928,982,000","-675,269,000","-1,085,310,000","-709,559,000","-905,333,000","-552,995,000","-589,552,000","-376,382,000","-363,226,000"
RepurchaseOfCapitalStock,"-98,000","-80,000","0","-4,000","-14,000","-16,000","-199,000","-584,000","0","-400,000","-40,180,000","-865,000"
