name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,12/31/2012
TotalAssets,"223,866,000","247,056,000","225,092,000","221,454,000","250,228,000","271,157,000","147,136,000","168,613,000","196,173,000","232,959,000","263,795,000","149,641,000","170,587,000","190,823,000","212,704,000","139,893,000","80,635,000","97,004,000","108,047,000","117,973,000","43,299,000","63,828,000","80,152,000","92,045,000","102,013,000","110,897,000","117,897,000","46,441,000","51,654,000","55,934,000","62,372,000","68,194,000","71,555,000","18,083,000","22,068,000","5,537,000"
	CurrentAssets,"151,762,000","173,290,000","171,499,000","164,473,000","188,351,000","195,065,000","132,837,000","141,915,000","132,669,000","165,656,000","203,462,000","124,771,000","144,159,000","168,139,000","211,388,000","138,526,000","78,813,000","95,058,000","105,976,000","115,805,000","41,031,000","61,445,000","77,018,000","89,143,000","99,474,000","108,934,000","115,680,000","44,031,000","49,057,000","53,150,000","59,410,000","65,055,000","68,226,000","14,558,000","18,347,000","1,228,000"
		CashCashEquivalentsAndShortTermInvestments,"141,111,000","167,035,000","144,194,000","155,176,000","171,582,000","180,925,000","120,869,000","130,185,000","120,196,000","155,006,000","193,089,000","115,309,000","134,453,000","161,383,000","206,077,000","131,961,000","74,521,000","92,569,000","102,982,000","112,436,000","36,810,000","58,276,000","71,420,000","84,764,000","96,244,000","106,741,000","111,116,000","43,191,000","47,422,000","52,663,000","58,393,000","62,812,000","67,038,000","12,357,000","17,733,000","1,117,000"
			CashAndCashEquivalents,"21,362,000","13,453,000","22,991,000","22,335,000","22,519,000","31,683,000","75,281,000","56,967,000","17,036,000","18,305,000","34,705,000","18,494,000","14,188,000","15,081,000","96,729,000","17,802,000","11,877,000","9,388,000","11,792,000","9,416,000","5,306,000","12,092,000","5,426,000","3,545,000","7,922,000","15,101,000","111,116,000","43,191,000","47,422,000","52,663,000","58,393,000","62,812,000","67,038,000","12,357,000","17,733,000","1,117,000"
				CashEquivalents,"21,362,000","13,453,000","22,991,000","22,335,000","22,519,000","31,683,000","75,281,000","56,967,000","17,036,000","18,305,000","34,705,000","18,494,000","14,188,000","15,081,000","96,729,000","17,802,000","11,877,000","9,388,000","11,792,000","9,416,000","5,306,000","12,092,000","5,426,000","3,545,000","7,922,000","15,101,000",,,,"52,663,000","58,393,000","62,812,000","67,038,000","12,357,000","17,733,000","1,117,000"
			OtherShortTermInvestments,"119,749,000","153,582,000","121,203,000","132,841,000","149,063,000","149,242,000","45,588,000","73,218,000","103,160,000","136,701,000","158,384,000","96,815,000","120,265,000","146,302,000","109,348,000","114,159,000","62,644,000","83,181,000","91,190,000","103,020,000","31,504,000","46,184,000","65,994,000","81,219,000","88,322,000","91,640,000",,,,,,,,,,
		Receivables,"3,631,000","1,152,000","21,047,000","1,002,000","3,751,000","2,064,000","1,714,000","1,606,000","1,785,000","1,787,000","1,817,000","1,589,000","1,768,000","1,590,000","732,000","589,000","861,000","854,000","802,000","735,000","1,542,000","939,000","778,000","981,000","657,000","464,000","2,593,000","250,000","215,000","200,000","89,000","537,000","46,000","61,000","58,000","31,000"
			AccountsReceivable,"2,496,000",,,,,,,,,,,,,,,,,,"97,000",,,,,,,,,,,,,,,,,
			AccruedInterestReceivable,,,,,,,,,"847,000",,,,,,,,,,,,,,,,,"80,000",,,,,,,,,,
			TaxesReceivable,"697,000","697,000","697,000","697,000","1,507,000","1,507,000","1,252,000","1,120,000","938,000","816,000","1,033,000","984,000","749,000","664,000","539,000","473,000","777,000","731,000","705,000","560,000","558,000","852,000","663,000","608,000","529,000","384,000","450,000","250,000","215,000","200,000","89,000","57,000","46,000","61,000","58,000","31,000"
			OtherReceivables,"438,000","455,000","20,350,000","305,000","2,244,000","557,000","462,000","486,000",,"971,000","784,000","605,000","1,019,000","926,000","193,000","116,000","84,000","123,000","97,000","175,000","984,000","87,000","115,000","373,000","128,000",,"2,143,000",,,,,"480,000",,,,
		Inventory,"1,907,000","2,584,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RawMaterials,"1,095,000","927,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"812,000","1,657,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"5,113,000","2,519,000","6,258,000","8,295,000","13,018,000","12,076,000","10,254,000","10,124,000","10,688,000","8,863,000","8,232,000","7,512,000","7,577,000","4,805,000","4,218,000","5,615,000","3,431,000","1,635,000","1,492,000","1,934,000","1,979,000","1,530,000","4,820,000","3,398,000","2,573,000","1,729,000","1,971,000","509,000","1,420,000","287,000","928,000","399,000","580,000","34,000","556,000","80,000"
		RestrictedCash,,,,,,,,,,"0","0","361,000","361,000","361,000","361,000","361,000",,"0","700,000","700,000","700,000","700,000",,,,,,,,,,,,,"0","0"
		OtherCurrentAssets,,,,,,,,,,,"324,000",,,,,,,,"0",,,,,,,,,"81,000",,,,"1,307,000","562,000","2,106,000",,
	TotalNonCurrentAssets,"72,104,000","73,766,000","53,593,000","56,981,000","61,877,000","76,092,000","14,299,000","26,698,000","63,504,000","67,303,000","60,333,000","24,870,000","26,428,000","22,684,000","1,316,000","1,367,000","1,822,000","1,946,000","2,071,000","2,168,000","2,268,000","2,383,000","3,134,000","2,902,000","2,539,000","1,963,000","2,217,000","2,410,000","2,597,000","2,785,000","2,962,000","3,139,000","3,329,000","3,525,000","3,721,000","4,309,000"
		NetPPE,"3,240,000","3,604,000","3,964,000","4,357,000","4,741,000","5,119,000","3,385,000","3,429,000","3,528,000","3,736,000","3,940,000","4,142,000","4,333,000","880,000","908,000","959,000","1,053,000","1,177,000","1,302,000","1,399,000","1,499,000","1,614,000","1,665,000","1,433,000","1,070,000","1,263,000","1,517,000","1,710,000","1,897,000","2,085,000","2,262,000","2,439,000","2,629,000","2,825,000","3,021,000","3,609,000"
			GrossPPE,"3,240,000","4,765,000","3,964,000","4,357,000","4,741,000","6,660,000","3,385,000","3,429,000","3,528,000","5,068,000","3,940,000","4,142,000","4,333,000","2,014,000",,,,"1,941,000",,,,"9,699,000",,,,"8,280,000",,,,"8,277,000",,,,"8,240,000","8,239,000","8,235,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0","0","0"
