name,ttm,03/31/2022,06/30/2021,03/31/2021
OperatingCashFlow,"-36,166,000","-14,369,000","-6,513,000","-3,643,000"
	CashFlowFromContinuingOperatingActivities,"-36,166,000","-14,369,000","-6,513,000","-3,643,000"
		NetIncomeFromContinuingOperations,"14,889,000","-10,344,000","-9,273,000","-7,141,000"
		OperatingGainsLosses,"-51,933,000","-710,000","1,000","2,681,000"
			GainLossOnSaleOfPPE,"10,000","0","1,000","1,000"
			GainLossOnInvestmentSecurities,"-51,943,000","-710,000","0","2,680,000"
		DepreciationAmortizationDepletion,"2,578,000","762,000","558,000","544,000"
			DepreciationAndAmortization,"2,578,000","762,000","558,000","544,000"
				Depreciation,,"762,000",,"544,000"
		DeferredTax,"5,000","-23,000","12,000","-53,000"
			DeferredIncomeTax,"5,000","-23,000","12,000","-53,000"
		StockBasedCompensation,"4,240,000","1,596,000","147,000","70,000"
		OtherNonCashItems,,,"86,000","177,000"
		ChangeInWorkingCapital,"-6,031,000","-5,650,000","1,956,000","79,000"
			ChangeInReceivables,"-1,232,000","-810,000","20,000","-130,000"
			ChangeInPrepaidAssets,"-3,139,000","659,000","-7,000","-67,000"
			ChangeInPayablesAndAccruedExpense,"-2,360,000","-5,610,000","1,963,000","329,000"
				ChangeInPayable,"-2,616,000","-3,310,000","708,000","84,000"
					ChangeInAccountPayable,"-2,616,000","-3,310,000","708,000","84,000"
				ChangeInAccruedExpense,"256,000","-2,300,000","1,255,000","245,000"
			ChangeInOtherCurrentLiabilities,,"180,000",,"-17,000"
			ChangeInOtherWorkingCapital,"503,000","-69,000","-37,000","-36,000"
InvestingCashFlow,"-137,667,000","-48,881,000","-3,758,000","-97,000"
	CashFlowFromContinuingInvestingActivities,"-137,667,000","-48,881,000","-3,758,000","-97,000"
		NetPPEPurchaseAndSale,"-23,076,000","-10,527,000","-3,702,000","-68,000"
			PurchaseOfPPE,"-23,076,000","-10,527,000","-3,702,000","-68,000"
		NetIntangiblesPurchaseAndSale,"-457,000","-105,000","-56,000","-29,000"
			PurchaseOfIntangibles,"-457,000","-105,000","-56,000","-29,000"
		NetInvestmentPurchaseAndSale,"-114,134,000","-38,249,000",,"0"
			PurchaseOfInvestment,"-137,554,000","-61,669,000",,"0"
			SaleOfInvestment,,"23,420,000",,"0"
FinancingCashFlow,"617,458,000","208,000","123,825,000","5,546,000"
	CashFlowFromContinuingFinancingActivities,"617,458,000","208,000","123,825,000","5,546,000"
		NetIssuancePaymentsOfDebt,"-3,301,000","-50,000","-1,270,000","5,529,000"
			NetLongTermDebtIssuance,"-3,301,000","-50,000","-1,270,000","5,529,000"
				LongTermDebtIssuance,"2,000","0","0","5,833,000"
				LongTermDebtPayments,"-3,303,000","-50,000","-1,270,000","-304,000"
		ProceedsFromStockOptionExercised,"374,000","270,000","68,000","17,000"
		NetOtherFinancingCharges,,"-12,000",,
EndCashPosition,"450,405,000","450,405,000","120,334,000","6,780,000"
	ChangesInCash,"443,625,000","-63,042,000","113,554,000","1,806,000"
	BeginningCashPosition,"6,780,000","513,447,000","6,780,000","4,974,000"
InterestPaidSupplementalData,"105,000","3,000","40,000","42,000"
CapitalExpenditure,"-23,533,000","-10,632,000","-3,758,000","-97,000"
IssuanceOfDebt,"2,000","0","0","5,833,000"
RepaymentOfDebt,"-3,303,000","-50,000","-1,270,000","-304,000"
FreeCashFlow,"-59,699,000","-25,001,000","-10,271,000","-3,740,000"
