name,ttm
TotalRevenue,"31,947,299"
	OperatingRevenue,"31,947,299"
OperatingExpense,"313,787"
	SellingGeneralAndAdministration,"406,366"
		GeneralAndAdministrativeExpense,"406,366"
	OtherOperatingExpenses,"-92,579"
PretaxIncome,"31,555,235"
NetIncomeCommonStockholders,"31,555,235"
	NetIncome,"31,555,235"
		NetIncomeIncludingNoncontrollingInterests,"31,555,235"
			NetIncomeContinuousOperations,"31,555,235"
DilutedNIAvailtoComStockholders,"31,555,235"
NetIncomeFromContinuingAndDiscontinuedOperation,"31,555,235"
NormalizedIncome,"31,612,377.21"
InterestIncome,"40,055,161"
InterestExpense,"3,603,183"
NetInterestIncome,"36,451,978"
NetIncomeFromContinuingOperationNetMinorityInterest,"31,555,235"
TotalUnusualItemsExcludingGoodwill,"-78,277"
TotalUnusualItems,"-78,277"
TaxRateForCalcs,"0.27"
TaxEffectOfUnusualItems,"-21,134.79"
